date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-14.9922,0.8013,1w
2021-01-13,high_volatility,up,down,0,-4.6172,0.8267,1w
2021-01-25,crisis,up,up,1,5.6017,0.616,1w
2021-02-03,crisis,neutral,up,0,0.704,0.512,1w
2021-02-12,crisis,neutral,down,0,-8.5806,0.5453,1w
2021-02-24,crisis,down,up,0,4.5714,0.4253,1w
2021-03-05,crisis,neutral,up,0,2.2287,0.4653,1w
2021-03-16,crisis,down,down,1,-6.2125,0.3733,1w
2021-03-25,high_volatility,down,down,1,-18.5593,0.412,1w
2021-04-06,high_volatility,down,down,1,-5.1687,0.368,1w
2021-04-15,chop,down,down,1,-2.341,0.3213,1w
2021-04-26,chop,down,up,0,4.5064,0.424,1w
2021-05-05,chop,down,up,0,7.926,0.4133,1w
2021-05-14,high_volatility,down,neutral,0,-0.1958,0.3893,1w
2021-05-25,chop,down,down,1,-7.3945,0.448,1w
2021-06-04,chop,neutral,down,0,-24.8491,0.544,1w
2021-06-15,chop,neutral,down,0,-4.5896,0.4667,1w
2021-06-24,chop,down,up,0,12.0257,0.2973,1w
2021-07-06,chop,down,up,0,44.5705,0.2973,1w
2021-07-15,chop,neutral,up,0,26.9128,0.4707,1w
2021-07-26,chop,up,up,1,22.3176,0.5573,1w
2021-08-04,trending_bull,up,neutral,0,0.2498,0.588,1w
2021-08-13,high_volatility,up,down,0,-6.1342,0.656,1w
2021-08-24,high_volatility,up,down,0,-9.8154,0.6693,1w
2021-09-02,high_volatility,neutral,down,0,-4.029,0.5413,1w
2021-09-14,high_volatility,up,down,0,-14.0295,0.596,1w
2021-09-23,chop,up,up,1,3.7435,0.6293,1w
2021-10-04,chop,up,down,0,-10.4179,0.7133,1w
2021-10-13,high_volatility,neutral,up,0,20.0561,0.5147,1w
2021-10-22,high_volatility,up,up,1,8.8753,0.5733,1w
2021-11-02,high_volatility,down,up,0,23.091,0.396,1w
2021-11-11,crisis,neutral,down,0,-5.4097,0.492,1w
2021-11-22,high_volatility,neutral,down,0,-11.7982,0.4653,1w
2021-12-02,chop,neutral,down,0,-15.649,0.5453,1w
2021-12-13,chop,neutral,down,0,-9.2649,0.5013,1w
2021-12-22,chop,neutral,up,0,12.8139,0.496,1w
2022-01-03,chop,down,up,0,32.0257,0.3867,1w
2022-01-12,chop,neutral,up,0,29.5165,0.5293,1w
2022-01-24,chop,neutral,up,0,9.1631,0.532,1w
2022-02-02,chop,up,down,0,-4.3021,0.724,1w
2022-02-11,trending_bull,up,down,0,-10.221,0.5853,1w
2022-02-23,chop,neutral,up,0,2.0058,0.536,1w
2022-03-04,chop,neutral,neutral,0,-0.2668,0.536,1w
2022-03-15,chop,up,down,0,-3.205,0.5587,1w
2022-03-24,chop,up,down,0,-7.0305,0.6933,1w
2022-04-04,chop,up,up,1,1.6854,0.6947,1w
2022-04-13,chop,up,up,1,5.0759,0.6507,1w
2022-04-25,chop,down,up,0,10.8965,0.4467,1w
2022-05-04,chop,down,up,0,5.4297,0.424,1w
2022-05-13,chop,down,up,0,11.6811,0.4093,1w
2022-05-24,chop,neutral,up,0,8.0732,0.52,1w
2022-06-03,chop,up,up,1,4.6677,0.5587,1w
2022-06-14,trending_bull,up,up,1,14.6484,0.6173,1w
2022-06-24,trending_bull,up,up,1,8.0331,0.6507,1w
2022-07-06,trending_bull,up,up,1,9.657,0.68,1w
2022-07-15,trending_bull,up,down,0,-10.2156,0.7573,1w
2022-07-26,trending_bull,up,down,0,-11.8989,0.788,1w
2022-08-04,trending_bull,up,down,0,-4.1317,0.7347,1w
2022-08-15,chop,up,up,1,4.6539,0.6133,1w
2022-08-24,chop,up,up,1,2.318,0.584,1w
2022-09-02,chop,up,down,0,-9.5487,0.616,1w
2022-09-14,chop,neutral,down,0,-4.2535,0.5467,1w
2022-09-23,chop,neutral,down,0,-5.6129,0.5013,1w
2022-10-04,chop,down,down,1,-24.4301,0.4133,1w
2022-10-13,chop,down,down,1,-27.3094,0.268,1w
2022-10-24,chop,down,down,1,-15.5249,0.2347,1w
2022-11-02,high_volatility,down,up,0,7.1062,0.1787,1w
2022-11-11,trending_bear,down,up,0,15.8662,0.2413,1w
2022-11-22,trending_bear,down,up,0,21.2616,0.2627,1w
2022-12-02,trending_bear,down,up,0,5.4234,0.256,1w
2022-12-13,trending_bull,down,down,1,-14.3951,0.376,1w
2022-12-22,trending_bull,down,down,1,-14.9526,0.4213,1w
2023-01-04,trending_bull,down,up,0,2.4967,0.3733,1w
2023-01-13,trending_bear,down,up,0,13.0068,0.3187,1w
2023-01-25,chop,down,up,0,8.1718,0.3893,1w
2023-02-03,chop,up,up,1,1.7034,0.6107,1w
2023-02-14,chop,up,down,0,-7.1322,0.64,1w
2023-02-24,chop,up,down,0,-5.3008,0.5907,1w
2023-03-07,chop,up,down,0,-16.4417,0.5533,1w
2023-03-16,chop,down,down,1,-12.3273,0.3147,1w
2023-03-27,chop,down,down,1,-12.2074,0.2947,1w
2023-04-05,chop,down,up,0,1.3382,0.3733,1w
2023-04-17,chop,down,up,0,15.9299,0.3547,1w
2023-04-26,chop,down,up,0,6.6118,0.3893,1w
2023-05-05,chop,down,up,0,5.2974,0.3733,1w
2023-05-16,chop,down,down,1,-1.411,0.3787,1w
2023-05-25,chop,down,down,1,-7.4406,0.4067,1w
2023-06-06,chop,down,up,0,3.5335,0.3507,1w
2023-06-15,chop,down,up,0,6.6874,0.4293,1w
2023-06-27,chop,down,up,0,3.4041,0.3507,1w
2023-07-07,chop,up,down,0,-6.7637,0.5773,1w
2023-07-18,trending_bull,up,up,1,0.5966,0.6467,1w
2023-07-27,chop,neutral,down,0,-4.4078,0.5013,1w
2023-08-07,crisis,down,up,0,5.8141,0.4453,1w
2023-08-16,high_volatility,neutral,down,0,-7.2125,0.504,1w
2023-08-25,chop,neutral,down,0,-8.4276,0.4907,1w
2023-09-06,chop,down,up,0,5.3298,0.448,1w
2023-09-15,chop,neutral,down,0,-2.9404,0.4707,1w
2023-09-26,chop,neutral,down,0,-4.419,0.4947,1w
2023-10-05,chop,neutral,down,0,-2.2366,0.456,1w
2023-10-16,chop,down,down,1,-0.7823,0.4093,1w
2023-10-25,chop,down,down,1,-2.2877,0.376,1w
2023-11-03,chop,neutral,down,0,-6.0256,0.5173,1w
2023-11-14,chop,down,down,1,-1.5816,0.3627,1w
2023-11-24,chop,down,down,1,-6.2025,0.3733,1w
2023-12-05,chop,down,down,1,-1.871,0.4253,1w
2023-12-14,chop,down,down,1,-19.4612,0.376,1w
2023-12-26,chop,down,down,1,-19.621,0.3733,1w
2024-01-05,chop,down,down,1,-16.4036,0.3507,1w
2024-01-17,trending_bear,down,down,1,-4.9057,0.22,1w
2024-01-26,trending_bear,down,down,1,-11.8839,0.1973,1w
2024-02-06,trending_bear,down,down,1,-13.8341,0.184,1w
2024-02-15,trending_bear,down,down,1,-21.5058,0.2267,1w
2024-02-27,trending_bear,down,down,1,-12.9862,0.1453,1w
2024-03-07,trending_bear,down,down,1,-25.455,0.1533,1w
2024-03-18,trending_bear,down,down,1,-19.8148,0.1467,1w
2024-03-27,trending_bear,down,down,1,-4.4974,0.1227,1w
2024-04-08,trending_bear,down,up,0,1.4541,0.0787,1w
2024-04-17,trending_bear,down,up,0,26.1946,0.22,1w
2024-04-26,chop,down,up,0,8.1612,0.288,1w
2024-05-07,chop,down,up,0,27.8185,0.3347,1w
2024-05-16,chop,down,up,0,18.075,0.344,1w
2024-05-28,chop,down,up,0,24.7263,0.4173,1w
2024-06-06,trending_bull,up,up,1,10.632,0.5907,1w
2024-06-17,trending_bull,up,up,1,14.6346,0.5853,1w
2024-06-27,trending_bull,up,up,1,8.3022,0.6173,1w
2024-07-09,trending_bull,up,down,0,-20.2076,0.7653,1w
2024-07-18,trending_bull,up,down,0,-20.3042,0.872,1w
2024-07-29,trending_bull,up,down,0,-9.9006,0.7667,1w
2024-08-07,trending_bear,up,up,1,3.2272,0.588,1w
2024-08-16,chop,up,up,1,4.7706,0.5733,1w
2024-08-27,chop,up,neutral,0,0.3428,0.6173,1w
2024-09-06,chop,down,up,0,5.7137,0.3813,1w
2024-09-17,chop,neutral,up,0,2.8588,0.456,1w
2024-09-26,chop,down,up,0,5.0497,0.404,1w
2024-10-07,chop,down,down,1,-2.3414,0.3307,1w
2024-10-16,chop,down,down,1,-16.1596,0.3387,1w
2024-10-25,chop,down,down,1,-3.4241,0.404,1w
2024-11-05,chop,neutral,up,0,17.8758,0.5053,1w
2024-11-14,chop,down,up,0,17.0544,0.3947,1w
2024-11-25,chop,neutral,up,0,7.5239,0.4707,1w
