date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-7.4618,0.4427,1w
2021-01-13,chop,down,down,1,-7.3151,0.3733,1w
2021-01-25,chop,down,down,1,-10.0704,0.2693,1w
2021-02-03,trending_bear,down,down,1,-5.1515,0.2787,1w
2021-02-12,trending_bear,down,down,1,-3.3605,0.3133,1w
2021-02-24,trending_bear,down,up,0,10.9286,0.224,1w
2021-03-05,trending_bear,down,up,0,7.2166,0.3213,1w
2021-03-16,trending_bear,down,down,1,-1.1907,0.1453,1w
2021-03-25,chop,down,down,1,-6.9697,0.2853,1w
2021-04-06,chop,down,down,1,-12.4816,0.3573,1w
2021-04-15,chop,down,down,1,-11.3103,0.296,1w
2021-04-26,chop,down,down,1,-9.0153,0.3467,1w
2021-05-05,chop,down,down,1,-2.7523,0.2947,1w
2021-05-14,trending_bear,down,down,1,-10.0042,0.2933,1w
2021-05-25,trending_bear,down,down,1,-2.0281,0.4133,1w
2021-06-04,chop,down,neutral,0,0.2786,0.4013,1w
2021-06-15,chop,down,down,1,-1.3566,0.172,1w
2021-06-24,chop,down,up,0,6.3576,0.236,1w
2021-07-06,chop,down,up,0,8.4511,0.292,1w
2021-07-15,chop,down,up,0,11.8886,0.3027,1w
2021-07-26,chop,down,up,0,3.215,0.4293,1w
2021-08-04,chop,neutral,down,0,-2.7132,0.5067,1w
2021-08-13,trending_bull,up,down,0,-3.8807,0.6067,1w
2021-08-24,chop,up,down,0,-13.3123,0.6107,1w
2021-09-02,chop,neutral,down,0,-15.5329,0.544,1w
2021-09-14,chop,up,down,0,-11.1094,0.6107,1w
2021-09-23,chop,down,up,0,13.2048,0.336,1w
2021-10-04,trending_bear,down,up,0,17.9881,0.2413,1w
2021-10-13,trending_bear,down,up,0,18.3589,0.2973,1w
2021-10-22,chop,down,up,0,9.4624,0.4427,1w
2021-11-02,trending_bull,neutral,up,0,11.9675,0.4667,1w
2021-11-11,trending_bull,down,up,0,4.5536,0.4267,1w
2021-11-22,trending_bull,neutral,down,0,-0.755,0.5453,1w
2021-12-02,trending_bull,up,neutral,0,0.4439,0.6387,1w
2021-12-13,trending_bull,up,up,1,10.6168,0.6413,1w
2021-12-22,trending_bull,up,up,1,11.8603,0.7827,1w
2022-01-03,trending_bull,up,up,1,6.1969,0.8147,1w
2022-01-12,trending_bull,up,neutral,0,0.2467,0.9107,1w
2022-01-24,trending_bull,up,down,0,-1.1825,0.824,1w
2022-02-02,trending_bull,up,neutral,0,0.1339,0.7853,1w
2022-02-11,chop,up,down,0,-6.8582,0.736,1w
2022-02-23,chop,up,down,0,-0.7331,0.6173,1w
2022-03-04,chop,up,up,1,6.383,0.6173,1w
2022-03-15,chop,neutral,up,0,13.3115,0.528,1w
2022-03-24,chop,up,up,1,4.7857,0.6587,1w
2022-04-04,chop,up,up,1,0.5034,0.692,1w
2022-04-13,trending_bull,up,up,1,1.747,0.6133,1w
2022-04-25,trending_bull,up,up,1,4.9194,0.58,1w
2022-05-04,trending_bull,up,up,1,10.2712,0.5907,1w
2022-05-13,trending_bull,up,up,1,24.4478,0.668,1w
2022-05-24,trending_bull,up,up,1,11.9762,0.6933,1w
2022-06-03,trending_bull,up,up,1,7.7964,0.8,1w
2022-06-14,crisis,up,down,0,-5.7232,0.9507,1w
2022-06-24,high_volatility,up,down,0,-1.6418,0.8467,1w
2022-07-06,trending_bull,up,neutral,0,0.2021,0.7653,1w
2022-07-15,trending_bull,up,down,0,-2.8815,0.7893,1w
2022-07-26,chop,up,down,0,-2.9983,0.7693,1w
2022-08-04,chop,up,up,1,6.7873,0.7253,1w
2022-08-15,chop,up,down,0,-1.4566,0.7307,1w
