date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,up,1,1.6842,0.58,1w
2021-01-13,chop,up,down,0,-2.3101,0.7747,1w
2021-01-25,chop,up,down,0,-6.9992,0.6133,1w
2021-02-03,chop,neutral,down,0,-3.2169,0.5453,1w
2021-02-12,chop,neutral,down,0,-7.8584,0.48,1w
2021-02-24,chop,down,up,0,0.826,0.3787,1w
2021-03-05,chop,neutral,down,0,-6.4628,0.4707,1w
2021-03-16,high_volatility,down,down,1,-13.076,0.4093,1w
2021-03-25,chop,down,down,1,-9.1859,0.4133,1w
2021-04-06,chop,down,down,1,-6.8099,0.2773,1w
2021-04-15,trending_bear,down,down,1,-8.5638,0.172,1w
2021-04-26,trending_bear,down,down,1,-7.923,0.22,1w
2021-05-05,trending_bear,down,down,1,-2.837,0.22,1w
2021-05-14,trending_bear,down,down,1,-1.4753,0.1533,1w
2021-05-25,trending_bear,down,down,1,-9.4392,0.2693,1w
2021-06-04,chop,down,down,1,-13.9951,0.3027,1w
2021-06-15,chop,down,down,1,-8.2398,0.1867,1w
2021-06-24,trending_bear,down,up,0,2.902,0.1587,1w
2021-07-06,trending_bear,down,up,0,3.998,0.2093,1w
2021-07-15,trending_bear,down,up,0,7.6464,0.224,1w
2021-07-26,chop,down,down,1,-2.4875,0.3147,1w
2021-08-04,chop,down,down,1,-3.7099,0.2827,1w
2021-08-13,chop,down,down,1,-9.9191,0.4467,1w
2021-08-24,chop,down,down,1,-11.091,0.3893,1w
2021-09-02,chop,down,down,1,-8.3249,0.2667,1w
2021-09-14,chop,down,down,1,-5.3377,0.3653,1w
2021-09-23,chop,down,up,0,14.1228,0.2787,1w
2021-10-04,trending_bear,down,up,0,13.9475,0.344,1w
2021-10-13,chop,down,up,0,17.3543,0.376,1w
2021-10-22,chop,down,up,0,11.4849,0.4093,1w
2021-11-02,chop,up,up,1,6.8495,0.5573,1w
2021-11-11,chop,neutral,down,0,-6.0393,0.5107,1w
2021-11-22,chop,up,down,0,-5.9206,0.6133,1w
2021-12-02,chop,up,down,0,-2.3786,0.6613,1w
2021-12-13,chop,up,up,1,8.4281,0.6027,1w
2021-12-22,chop,up,up,1,12.9608,0.7453,1w
2022-01-03,chop,up,up,1,18.8432,0.684,1w
2022-01-12,chop,up,down,0,-2.8704,0.7693,1w
2022-01-24,chop,up,down,0,-8.9732,0.7347,1w
2022-02-02,chop,up,down,0,-13.6493,0.792,1w
2022-02-11,chop,neutral,down,0,-11.0532,0.4587,1w
2022-02-23,trending_bear,down,down,1,-13.3663,0.4067,1w
