date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,26.4971,0.3747,1w
2021-01-13,chop,neutral,up,0,17.0647,0.544,1w
2021-01-25,chop,neutral,up,0,12.6728,0.4693,1w
2021-02-03,crisis,up,up,1,20.5199,0.5907,1w
2021-02-12,crisis,up,up,1,29.6479,0.68,1w
2021-02-24,crisis,up,up,1,55.0344,0.6893,1w
2021-03-05,crisis,up,up,1,3.7377,0.8213,1w
2021-03-16,crisis,up,up,1,8.4541,0.872,1w
2021-03-25,crisis,up,down,0,-1.9567,0.9027,1w
2021-04-06,high_volatility,up,up,1,2.5091,0.8507,1w
2021-04-15,high_volatility,up,down,0,-0.6709,0.7947,1w
2021-04-26,high_volatility,up,up,1,19.1187,0.7867,1w
2021-05-05,high_volatility,up,up,1,12.5548,0.736,1w
2021-05-14,crisis,up,down,0,-6.4562,0.6827,1w
2021-05-25,crisis,up,down,0,-13.6379,0.7707,1w
2021-06-04,high_volatility,up,down,0,-15.7469,0.6347,1w
2021-06-15,high_volatility,neutral,down,0,-7.8274,0.548,1w
2021-06-24,high_volatility,down,up,0,11.9785,0.4493,1w
2021-07-06,high_volatility,neutral,up,0,3.1805,0.4947,1w
2021-07-15,high_volatility,down,up,0,11.9571,0.436,1w
2021-07-26,chop,up,up,1,18.8819,0.6053,1w
2021-08-04,chop,neutral,up,0,19.0393,0.468,1w
2021-08-13,chop,neutral,up,0,1.759,0.5013,1w
2021-08-24,high_volatility,up,down,0,-17.2277,0.584,1w
2021-09-02,high_volatility,down,down,1,-6.6611,0.4493,1w
2021-09-14,chop,neutral,down,0,-3.1101,0.52,1w
2021-09-23,chop,neutral,up,0,21.3349,0.5453,1w
2021-10-04,chop,up,up,1,11.5309,0.5507,1w
2021-10-13,chop,up,up,1,3.647,0.5733,1w
2021-10-22,chop,up,down,0,-1.7507,0.5987,1w
2021-11-02,chop,up,down,0,-3.2349,0.724,1w
2021-11-11,chop,up,down,0,-13.681,0.5627,1w
2021-11-22,chop,down,down,1,-12.2436,0.392,1w
2021-12-02,chop,neutral,down,0,-10.314,0.4707,1w
2021-12-13,chop,down,up,0,2.2713,0.416,1w
2021-12-22,chop,up,up,1,4.2557,0.5653,1w
2022-01-03,chop,down,up,0,2.2255,0.38,1w
2022-01-12,chop,down,down,1,-0.8421,0.424,1w
2022-01-24,chop,down,down,1,-8.2145,0.36,1w
2022-02-02,chop,down,up,0,0.7185,0.3187,1w
2022-02-11,chop,down,down,1,-14.1318,0.2773,1w
2022-02-23,chop,down,down,1,-1.0699,0.212,1w
2022-03-04,chop,down,up,0,6.8501,0.328,1w
2022-03-15,chop,down,up,0,9.2141,0.2987,1w
2022-03-24,chop,down,up,0,2.8164,0.388,1w
2022-04-04,chop,neutral,down,0,-9.0909,0.548,1w
2022-04-13,chop,neutral,down,0,-7.0226,0.4533,1w
2022-04-25,chop,down,down,1,-1.4437,0.4013,1w
2022-05-04,chop,down,down,1,-2.1256,0.408,1w
2022-05-13,chop,down,up,0,0.87,0.2947,1w
2022-05-24,chop,neutral,down,0,-2.3599,0.48,1w
2022-06-03,chop,down,down,1,-2.7873,0.424,1w
2022-06-14,chop,down,up,0,1.4892,0.4453,1w
2022-06-24,chop,down,up,0,10.0123,0.3813,1w
2022-07-06,chop,down,up,0,8.3774,0.2307,1w
2022-07-15,chop,down,up,0,5.7756,0.3467,1w
2022-07-26,chop,neutral,down,0,-0.8084,0.548,1w
2022-08-04,chop,up,up,1,3.5681,0.5587,1w
2022-08-15,chop,up,up,1,7.8901,0.6507,1w
2022-08-24,chop,up,up,1,2.4157,0.5547,1w
2022-09-02,chop,up,down,0,-8.1817,0.676,1w
2022-09-14,chop,up,down,0,-2.6908,0.724,1w
2022-09-23,chop,up,down,0,-0.9818,0.6467,1w
2022-10-04,chop,neutral,up,0,6.4793,0.5053,1w
2022-10-13,chop,up,down,0,-5.7519,0.5813,1w
2022-10-24,chop,neutral,down,0,-4.8364,0.488,1w
2022-11-02,chop,down,down,1,-8.1733,0.448,1w
2022-11-11,chop,down,down,1,-7.0096,0.4387,1w
2022-11-22,chop,down,up,0,1.4036,0.42,1w
2022-12-02,chop,down,up,0,3.5423,0.2693,1w
2022-12-13,trending_bear,down,down,1,-3.6419,0.2347,1w
