date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-8.3881,0.5693,1w
2021-01-13,chop,down,down,1,-5.8996,0.3893,1w
2021-01-25,chop,down,up,0,2.086,0.3587,1w
2021-02-03,chop,down,up,0,17.9393,0.3267,1w
2021-02-12,chop,down,up,0,9.5311,0.26,1w
2021-02-24,chop,down,up,0,14.9115,0.3733,1w
2021-03-05,chop,neutral,up,0,5.7562,0.5453,1w
2021-03-16,chop,up,up,1,9.6386,0.5853,1w
2021-03-25,chop,up,down,0,-6.5724,0.588,1w
2021-04-06,chop,up,down,0,-10.1356,0.616,1w
2021-04-15,chop,up,down,0,-29.8498,0.668,1w
2021-04-26,chop,up,down,0,-12.3976,0.6173,1w
2021-05-05,chop,up,down,0,-6.8441,0.6227,1w
2021-05-14,trending_bear,down,neutral,0,-0.3485,0.3507,1w
2021-05-25,trending_bear,down,down,1,-8.6299,0.3893,1w
2021-06-04,chop,down,down,1,-20.6194,0.376,1w
2021-06-15,high_volatility,down,down,1,-12.6376,0.2853,1w
2021-06-24,chop,down,down,1,-12.9154,0.216,1w
2021-07-06,chop,down,up,0,4.2021,0.168,1w
2021-07-15,trending_bear,down,down,1,-0.5473,0.128,1w
2021-07-26,trending_bear,down,down,1,-12.3001,0.2093,1w
2021-08-04,chop,down,down,1,-29.1824,0.2347,1w
2021-08-13,chop,down,down,1,-10.3182,0.344,1w
2021-08-24,trending_bear,down,down,1,-5.3204,0.2333,1w
2021-09-02,trending_bear,down,up,0,13.0522,0.1453,1w
2021-09-14,trending_bear,down,up,0,0.9346,0.252,1w
2021-09-23,chop,down,up,0,9.1644,0.232,1w
2021-10-04,chop,down,down,1,-5.1684,0.3867,1w
2021-10-13,chop,down,down,1,-9.2662,0.3787,1w
2021-10-22,chop,down,down,1,-5.6674,0.3653,1w
2021-11-02,chop,down,up,0,14.059,0.2853,1w
2021-11-11,chop,down,up,0,7.1503,0.2973,1w
2021-11-22,chop,down,up,0,7.5399,0.3787,1w
2021-12-02,chop,up,down,0,-1.5482,0.6067,1w
2021-12-13,chop,neutral,up,0,11.506,0.5013,1w
2021-12-22,chop,up,up,1,13.7642,0.5853,1w
2022-01-03,chop,neutral,up,0,3.2421,0.4773,1w
2022-01-12,chop,up,down,0,-13.2979,0.5933,1w
2022-01-24,chop,up,down,0,-20.2194,0.6333,1w
2022-02-02,trending_bull,up,down,0,-5.2154,0.6333,1w
2022-02-11,chop,neutral,up,0,2.4237,0.536,1w
2022-02-23,chop,down,up,0,21.6625,0.444,1w
2022-03-04,trending_bear,down,up,0,25.2134,0.3867,1w
2022-03-15,chop,neutral,up,0,14.3908,0.4907,1w
2022-03-24,chop,up,down,0,-4.4241,0.5587,1w
2022-04-04,chop,up,down,0,-3.496,0.5507,1w
2022-04-13,chop,neutral,down,0,-6.734,0.48,1w
2022-04-25,chop,down,down,1,-9.5575,0.368,1w
2022-05-04,chop,up,down,0,-14.3488,0.5573,1w
2022-05-13,chop,neutral,down,0,-6.9796,0.4933,1w
2022-05-24,chop,neutral,down,0,-2.2029,0.516,1w
2022-06-03,chop,neutral,down,0,-9.8718,0.5,1w
2022-06-14,chop,down,up,0,6.4858,0.3613,1w
2022-06-24,chop,down,up,0,12.8045,0.2013,1w
2022-07-06,chop,down,up,0,7.4409,0.136,1w
2022-07-15,chop,down,down,1,-6.5941,0.32,1w
2022-07-26,chop,down,up,0,2.527,0.4027,1w
2022-08-04,chop,down,up,0,0.848,0.2747,1w
2022-08-15,chop,down,up,0,6.9885,0.4067,1w
2022-08-24,chop,up,down,0,-4.3949,0.5533,1w
2022-09-02,chop,neutral,down,0,-11.4194,0.4653,1w
2022-09-14,chop,up,down,0,-10.9515,0.5693,1w
2022-09-23,chop,neutral,up,0,6.4944,0.5293,1w
2022-10-04,chop,down,up,0,4.3384,0.416,1w
2022-10-13,chop,down,down,1,-11.5747,0.3653,1w
2022-10-24,chop,down,down,1,-3.3322,0.4493,1w
2022-11-02,chop,down,up,0,4.4431,0.388,1w
2022-11-11,chop,down,up,0,11.4599,0.3147,1w
2022-11-22,chop,down,up,0,12.9817,0.3813,1w
2022-12-02,chop,neutral,up,0,0.6498,0.5053,1w
2022-12-13,chop,down,down,1,-6.7937,0.4067,1w
2022-12-22,chop,up,down,0,-16.6766,0.6267,1w
2023-01-04,chop,up,down,0,-15.2455,0.588,1w
2023-01-13,chop,neutral,down,0,-9.4891,0.4653,1w
2023-01-25,chop,down,down,1,-9.2873,0.4093,1w
2023-02-03,chop,down,up,0,1.7192,0.3267,1w
2023-02-14,chop,down,up,0,12.9659,0.3467,1w
2023-02-24,chop,down,up,0,12.3545,0.2973,1w
2023-03-07,chop,down,up,0,25.1249,0.344,1w
2023-03-16,trending_bull,down,up,0,32.4877,0.384,1w
2023-03-27,trending_bull,down,up,0,30.1097,0.2747,1w
2023-04-05,trending_bull,up,up,1,4.4272,0.6027,1w
2023-04-17,crisis,up,up,1,10.1058,0.7747,1w
2023-04-26,high_volatility,up,up,1,11.16,0.768,1w
2023-05-05,high_volatility,up,up,1,9.5264,0.7947,1w
2023-05-16,crisis,up,down,0,-2.9756,0.8867,1w
2023-05-25,crisis,up,down,0,-11.1307,0.9053,1w
2023-06-06,crisis,up,neutral,0,-0.3239,0.788,1w
2023-06-15,high_volatility,up,up,1,20.1325,0.7467,1w
2023-06-27,chop,up,up,1,6.2345,0.7413,1w
2023-07-07,chop,up,down,0,-5.8167,0.6333,1w
2023-07-18,high_volatility,up,down,0,-12.3365,0.6693,1w
2023-07-27,high_volatility,up,down,0,-1.1275,0.5853,1w
2023-08-07,crisis,neutral,neutral,0,-0.3341,0.5413,1w
2023-08-16,high_volatility,neutral,up,0,4.5813,0.456,1w
2023-08-25,chop,down,up,0,3.2076,0.4147,1w
2023-09-06,chop,down,up,0,15.5209,0.3707,1w
2023-09-15,chop,up,up,1,6.7018,0.5573,1w
2023-09-26,chop,up,up,1,13.4676,0.5573,1w
2023-10-05,chop,neutral,up,0,7.1631,0.4787,1w
2023-10-16,chop,down,down,1,-2.2263,0.4453,1w
2023-10-25,high_volatility,up,down,0,-8.2654,0.6173,1w
2023-11-03,chop,up,up,1,0.8259,0.628,1w
2023-11-14,high_volatility,neutral,up,0,1.9846,0.5333,1w
2023-11-24,chop,neutral,down,0,-4.3338,0.544,1w
2023-12-05,chop,up,down,0,-8.3919,0.668,1w
2023-12-14,high_volatility,neutral,down,0,-2.5443,0.5427,1w
2023-12-26,chop,down,up,0,5.1848,0.4013,1w
2024-01-05,chop,neutral,up,0,16.7608,0.4587,1w
2024-01-17,chop,down,up,0,15.119,0.448,1w
2024-01-26,chop,down,up,0,5.8459,0.3467,1w
2024-02-06,chop,up,down,0,-4.3235,0.58,1w
2024-02-15,chop,up,up,1,9.5056,0.5987,1w
2024-02-27,high_volatility,up,up,1,9.271,0.58,1w
2024-03-07,crisis,neutral,down,0,-11.2745,0.5013,1w
2024-03-18,high_volatility,up,up,1,3.0303,0.6693,1w
2024-03-27,high_volatility,up,down,0,-2.168,0.708,1w
2024-04-08,crisis,neutral,up,0,4.6702,0.5,1w
2024-04-17,high_volatility,up,down,0,-14.0526,0.6693,1w
2024-04-26,chop,up,down,0,-3.4756,0.58,1w
2024-05-07,chop,neutral,up,0,7.8154,0.5107,1w
2024-05-16,chop,down,up,0,21.7227,0.4427,1w
2024-05-28,chop,neutral,up,0,16.4412,0.4947,1w
2024-06-06,chop,up,up,1,2.9835,0.6013,1w
2024-06-17,trending_bull,neutral,up,0,2.7904,0.5467,1w
2024-06-27,trending_bull,neutral,down,0,-3.6268,0.5467,1w
2024-07-09,chop,up,up,1,5.3413,0.628,1w
2024-07-18,chop,up,up,1,1.6252,0.5573,1w
2024-07-29,chop,up,up,1,21.8727,0.5507,1w
