date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.7606,0.7,1w
2021-01-13,crisis,neutral,down,0,-0.8026,0.5227,1w
2021-01-25,crisis,down,down,1,-5.6921,0.416,1w
2021-02-03,crisis,neutral,up,0,12.5658,0.48,1w
2021-02-12,high_volatility,neutral,up,0,2.9717,0.5107,1w
2021-02-24,high_volatility,down,up,0,26.4714,0.3467,1w
2021-03-05,crisis,neutral,up,0,9.6142,0.5373,1w
2021-03-16,crisis,neutral,up,0,13.3004,0.4587,1w
2021-03-25,crisis,neutral,down,0,-8.1297,0.548,1w
2021-04-06,high_volatility,up,down,0,-11.1702,0.58,1w
2021-04-15,chop,up,down,0,-23.9265,0.5907,1w
2021-04-26,high_volatility,up,down,0,-16.5841,0.588,1w
2021-05-05,high_volatility,up,down,0,-6.4941,0.56,1w
2021-05-14,crisis,down,down,1,-2.7046,0.412,1w
2021-05-25,crisis,neutral,up,0,5.4345,0.5107,1w
2021-06-04,high_volatility,down,up,0,1.67,0.4067,1w
2021-06-15,chop,down,up,0,1.7378,0.3693,1w
2021-06-24,chop,down,down,1,-1.0652,0.2947,1w
2021-07-06,chop,down,up,0,2.74,0.312,1w
2021-07-15,chop,down,up,0,3.5209,0.2693,1w
2021-07-26,chop,down,up,0,22.4174,0.32,1w
2021-08-04,chop,down,up,0,8.6605,0.4253,1w
2021-08-13,chop,neutral,up,0,3.9998,0.544,1w
2021-08-24,chop,up,down,0,-11.7332,0.648,1w
2021-09-02,chop,neutral,down,0,-5.5879,0.5387,1w
2021-09-14,chop,up,down,0,-14.693,0.6053,1w
2021-09-23,chop,down,neutral,0,0.2847,0.4413,1w
2021-10-04,chop,neutral,down,0,-1.766,0.4587,1w
2021-10-13,chop,down,up,0,3.5278,0.376,1w
2021-10-22,trending_bear,neutral,up,0,5.7518,0.52,1w
2021-11-02,chop,neutral,up,0,10.2732,0.4947,1w
2021-11-11,chop,down,down,1,-2.1413,0.3973,1w
2021-11-22,chop,down,down,1,-14.1259,0.3733,1w
2021-12-02,chop,neutral,down,0,-19.8274,0.4653,1w
2021-12-13,chop,down,down,1,-15.0233,0.3507,1w
2021-12-22,chop,down,up,0,5.5816,0.376,1w
2022-01-03,chop,down,up,0,17.3307,0.24,1w
2022-01-12,chop,down,up,0,19.7681,0.312,1w
2022-01-24,chop,down,up,0,24.351,0.396,1w
