date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,7.932,0.4467,1w
2021-01-13,chop,neutral,up,0,5.0306,0.484,1w
2021-01-25,chop,neutral,up,0,7.2102,0.5013,1w
2021-02-03,trending_bull,up,up,1,14.938,0.5693,1w
2021-02-12,trending_bull,up,up,1,9.1316,0.6133,1w
2021-02-24,trending_bull,up,up,1,14.7571,0.712,1w
2021-03-05,crisis,up,down,0,-3.5403,0.9693,1w
2021-03-16,crisis,up,up,1,10.8774,0.7947,1w
2021-03-25,crisis,up,neutral,0,0.4372,0.8467,1w
2021-04-06,high_volatility,up,up,1,3.0973,0.7653,1w
2021-04-15,chop,up,down,0,-0.6359,0.764,1w
2021-04-26,chop,up,up,1,4.4384,0.7427,1w
2021-05-05,chop,up,up,1,4.21,0.7253,1w
2021-05-14,chop,up,up,1,6.6421,0.6973,1w
2021-05-25,chop,up,down,0,-2.5708,0.68,1w
2021-06-04,chop,up,down,0,-16.3538,0.5867,1w
2021-06-15,chop,up,down,0,-16.4753,0.7653,1w
2021-06-24,chop,neutral,down,0,-8.6004,0.4907,1w
2021-07-06,high_volatility,down,up,0,2.2222,0.3507,1w
2021-07-15,high_volatility,down,up,0,4.0708,0.28,1w
2021-07-26,trending_bear,down,up,0,4.7758,0.3667,1w
2021-08-04,trending_bear,down,up,0,1.1283,0.2747,1w
2021-08-13,chop,down,neutral,0,-0.4603,0.3453,1w
2021-08-24,chop,down,down,1,-7.5949,0.368,1w
2021-09-02,chop,down,down,1,-3.0994,0.2093,1w
2021-09-14,chop,down,down,1,-1.2097,0.236,1w
2021-09-23,chop,down,up,0,3.7608,0.2867,1w
2021-10-04,chop,down,up,0,1.2934,0.448,1w
2021-10-13,chop,neutral,neutral,0,-0.3454,0.4827,1w
2021-10-22,chop,down,neutral,0,0.2368,0.412,1w
2021-11-02,chop,neutral,down,0,-1.3817,0.5013,1w
2021-11-11,chop,down,down,1,-7.4872,0.4467,1w
2021-11-22,chop,down,down,1,-3.2811,0.32,1w
2021-12-02,chop,neutral,down,0,-3.5726,0.4627,1w
2021-12-13,chop,down,up,0,0.9203,0.3333,1w
2021-12-22,chop,neutral,up,0,4.577,0.5013,1w
2022-01-03,chop,down,up,0,2.6912,0.3667,1w
2022-01-12,chop,down,down,1,-2.2788,0.3733,1w
2022-01-24,chop,neutral,down,0,-5.3928,0.484,1w
2022-02-02,chop,down,up,0,3.1073,0.336,1w
2022-02-11,chop,down,down,1,-7.177,0.3,1w
2022-02-23,chop,down,down,1,-2.8269,0.308,1w
2022-03-04,chop,down,up,0,1.2614,0.3893,1w
2022-03-15,chop,down,up,0,7.5569,0.2747,1w
2022-03-24,trending_bear,down,up,0,1.3562,0.3333,1w
2022-04-04,chop,neutral,down,0,-6.4828,0.5053,1w
2022-04-13,trending_bull,down,down,1,-5.8864,0.3907,1w
2022-04-25,chop,down,down,1,-1.9327,0.2947,1w
2022-05-04,chop,down,down,1,-1.8746,0.32,1w
2022-05-13,chop,down,neutral,0,0.0,0.2747,1w
2022-05-24,chop,down,up,0,2.0772,0.3547,1w
2022-06-03,chop,down,up,0,0.5878,0.3187,1w
2022-06-14,chop,down,up,0,1.0065,0.432,1w
2022-06-24,chop,down,up,0,8.5672,0.396,1w
2022-07-06,chop,down,up,0,6.3452,0.296,1w
2022-07-15,chop,down,up,0,1.1938,0.3507,1w
2022-07-26,chop,up,down,0,-1.2943,0.5827,1w
2022-08-04,trending_bull,up,up,1,2.251,0.5987,1w
2022-08-15,chop,up,up,1,6.899,0.608,1w
2022-08-24,chop,up,up,1,2.8708,0.6613,1w
2022-09-02,chop,up,down,0,-4.3304,0.7453,1w
2022-09-14,trending_bull,up,down,0,-2.7469,0.768,1w
2022-09-23,trending_bull,up,down,0,-1.5282,0.8453,1w
2022-10-04,trending_bear,up,up,1,3.9888,0.5853,1w
2022-10-13,trending_bull,up,down,0,-1.6835,0.588,1w
2022-10-24,chop,neutral,down,0,-3.0141,0.4667,1w
2022-11-02,chop,neutral,down,0,-4.192,0.4853,1w
2022-11-11,chop,neutral,down,0,-6.1043,0.4947,1w
2022-11-22,chop,down,down,1,-2.9774,0.4093,1w
2022-12-02,chop,down,down,1,-1.2317,0.28,1w
2022-12-13,chop,down,down,1,-1.1249,0.184,1w
2022-12-22,chop,down,neutral,0,0.2954,0.2627,1w
2023-01-04,chop,down,down,1,-1.1211,0.3693,1w
2023-01-13,chop,down,neutral,0,0.3035,0.2413,1w
2023-01-25,chop,down,down,1,-2.9304,0.2947,1w
2023-02-03,chop,down,up,0,0.9043,0.248,1w
2023-02-14,chop,down,up,0,3.6925,0.2747,1w
2023-02-24,chop,down,up,0,2.9235,0.2973,1w
2023-03-07,chop,down,up,0,6.9993,0.4093,1w
2023-03-16,chop,neutral,up,0,3.2421,0.5453,1w
2023-03-27,chop,neutral,up,0,4.0029,0.4867,1w
2023-04-05,trending_bull,up,down,0,-1.9485,0.7107,1w
2023-04-17,trending_bull,up,neutral,0,0.2126,0.764,1w
2023-04-26,trending_bull,up,down,0,-0.5598,0.6173,1w
2023-05-05,chop,up,down,0,-2.4131,0.676,1w
2023-05-16,chop,up,down,0,-1.7618,0.6987,1w
2023-05-25,chop,up,down,0,-3.1099,0.6973,1w
2023-06-06,chop,neutral,up,0,1.7217,0.52,1w
2023-06-15,chop,down,neutral,0,-0.2863,0.4467,1w
2023-06-27,chop,neutral,down,0,-4.5455,0.5053,1w
2023-07-07,chop,down,down,1,-7.0413,0.3787,1w
2023-07-18,chop,down,down,1,-2.7437,0.3787,1w
2023-07-27,chop,down,up,0,1.6479,0.2253,1w
2023-08-07,trending_bear,down,down,1,-1.6654,0.208,1w
2023-08-16,chop,down,down,1,-1.8643,0.2747,1w
2023-08-25,chop,down,neutral,0,0.0,0.2333,1w
2023-09-06,chop,down,up,0,9.5238,0.224,1w
2023-09-15,chop,down,up,0,2.4151,0.26,1w
2023-09-26,chop,down,up,0,2.2371,0.3187,1w
2023-10-05,high_volatility,down,down,1,-3.584,0.4267,1w
