date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,neutral,0,-0.37,0.8373,1w
2021-01-13,trending_bull,up,down,0,-3.18,0.7467,1w
2021-01-25,trending_bull,up,down,0,-2.8731,0.7253,1w
2021-02-03,crisis,up,down,0,-6.3408,0.6333,1w
2021-02-12,crisis,up,down,0,-6.9194,0.5733,1w
2021-02-24,high_volatility,neutral,down,0,-1.2807,0.544,1w
2021-03-05,crisis,neutral,up,0,2.4193,0.508,1w
2021-03-16,crisis,down,up,0,8.9937,0.248,1w
2021-03-25,high_volatility,down,up,0,4.6696,0.368,1w
2021-04-06,chop,down,down,1,-0.7855,0.412,1w
2021-04-15,trending_bull,neutral,down,0,-1.5029,0.456,1w
2021-04-26,trending_bull,down,down,1,-4.6852,0.4467,1w
2021-05-05,high_volatility,down,down,1,-3.4629,0.3707,1w
2021-05-14,high_volatility,neutral,down,0,-7.4079,0.4933,1w
2021-05-25,crisis,neutral,down,0,-1.5366,0.4587,1w
2021-06-04,crisis,neutral,up,0,2.5235,0.4853,1w
2021-06-15,high_volatility,neutral,up,0,9.5183,0.4813,1w
2021-06-24,high_volatility,neutral,up,0,2.2392,0.4667,1w
2021-07-06,chop,neutral,up,0,3.5911,0.468,1w
2021-07-15,chop,down,up,0,3.629,0.4467,1w
2021-07-26,chop,down,up,0,3.8061,0.4213,1w
2021-08-04,chop,neutral,down,0,-1.0567,0.5053,1w
2021-08-13,chop,neutral,down,0,-5.9934,0.5147,1w
2021-08-24,trending_bull,up,down,0,-5.3146,0.6333,1w
2021-09-02,chop,up,down,0,-3.17,0.5987,1w
2021-09-14,chop,up,neutral,0,0.4209,0.656,1w
2021-09-23,chop,neutral,up,0,2.694,0.5053,1w
2021-10-04,chop,down,up,0,8.1683,0.376,1w
2021-10-13,chop,down,up,0,4.0605,0.436,1w
2021-10-22,high_volatility,neutral,up,0,4.0184,0.488,1w
2021-11-02,trending_bull,neutral,up,0,4.9482,0.5293,1w
2021-11-11,trending_bull,neutral,up,0,3.9694,0.5013,1w
2021-11-22,trending_bull,neutral,down,0,-0.6501,0.5373,1w
2021-12-02,trending_bull,up,down,0,-3.382,0.6467,1w
2021-12-13,trending_bull,up,down,0,-4.3999,0.6627,1w
2021-12-22,chop,up,down,0,-5.743,0.6467,1w
2022-01-03,chop,up,down,0,-5.0288,0.632,1w
2022-01-12,chop,neutral,up,0,1.4437,0.4827,1w
2022-01-24,chop,down,up,0,2.5476,0.3413,1w
2022-02-02,chop,down,up,0,3.2831,0.312,1w
2022-02-11,chop,neutral,up,0,1.1683,0.456,1w
2022-02-23,chop,down,up,0,2.4666,0.2973,1w
2022-03-04,chop,down,up,0,5.3348,0.2507,1w
2022-03-15,chop,down,up,0,3.9658,0.3347,1w
2022-03-24,chop,down,up,0,5.6939,0.4213,1w
2022-04-04,trending_bull,neutral,up,0,5.3039,0.5107,1w
2022-04-13,trending_bull,up,up,1,5.3239,0.6107,1w
2022-04-25,trending_bull,up,down,0,-1.9359,0.768,1w
2022-05-04,trending_bull,up,down,0,-4.5263,0.8707,1w
2022-05-13,trending_bull,up,down,0,-4.6428,0.8,1w
2022-05-24,trending_bear,up,up,1,1.2957,0.6267,1w
2022-06-03,trending_bear,up,up,1,2.776,0.6933,1w
2022-06-14,trending_bear,up,neutral,0,-0.0431,0.5907,1w
2022-06-24,chop,up,up,1,2.8891,0.5787,1w
2022-07-06,chop,neutral,up,0,0.8302,0.5187,1w
2022-07-15,chop,neutral,down,0,-1.6807,0.484,1w
2022-07-26,chop,neutral,down,0,-6.0203,0.516,1w
2022-08-04,chop,down,down,1,-6.1559,0.2973,1w
2022-08-15,chop,down,up,0,0.7146,0.2693,1w
2022-08-24,trending_bear,down,down,1,-2.1534,0.3467,1w
2022-09-02,chop,down,down,1,-3.3308,0.3333,1w
2022-09-14,chop,down,down,1,-11.032,0.3813,1w
2022-09-23,chop,down,down,1,-5.9877,0.2667,1w
2022-10-04,trending_bear,down,up,0,4.2036,0.2253,1w
2022-10-13,trending_bear,down,up,0,4.1532,0.168,1w
2022-10-24,trending_bear,down,up,0,4.2316,0.152,1w
2022-11-02,trending_bear,down,up,0,2.1822,0.2133,1w
2022-11-11,chop,down,up,0,3.1001,0.2747,1w
