date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-1.4104,0.9027,1w
2021-01-13,high_volatility,up,down,0,-0.6235,0.764,1w
2021-01-25,crisis,up,down,0,-2.0893,0.82,1w
2021-02-03,crisis,up,down,0,-5.0677,0.7347,1w
2021-02-12,high_volatility,up,down,0,-7.1918,0.6533,1w
2021-02-24,crisis,up,down,0,-3.2958,0.6307,1w
2021-03-05,crisis,up,neutral,0,-0.0323,0.58,1w
2021-03-16,crisis,down,up,0,5.8162,0.2933,1w
2021-03-25,high_volatility,down,up,0,7.3303,0.352,1w
2021-04-06,chop,down,up,0,1.9512,0.3693,1w
2021-04-15,chop,neutral,down,0,-4.1498,0.4667,1w
2021-04-26,trending_bull,neutral,down,0,-10.7659,0.4653,1w
2021-05-05,high_volatility,down,down,1,-6.4502,0.384,1w
2021-05-14,high_volatility,down,down,1,-10.0703,0.4093,1w
2021-05-25,crisis,down,down,1,-3.6104,0.348,1w
2021-06-04,high_volatility,down,down,1,-0.8157,0.376,1w
2021-06-15,high_volatility,down,up,0,8.5401,0.2973,1w
2021-06-24,crisis,down,neutral,0,0.3982,0.3667,1w
2021-07-06,high_volatility,down,neutral,0,-0.1571,0.3653,1w
2021-07-15,chop,down,up,0,1.7593,0.2987,1w
2021-07-26,chop,down,up,0,1.5111,0.26,1w
2021-08-04,high_volatility,down,down,1,-3.4635,0.344,1w
2021-08-13,chop,down,down,1,-6.9871,0.392,1w
2021-08-24,chop,neutral,down,0,-6.5903,0.456,1w
2021-09-02,chop,down,down,1,-6.3065,0.3867,1w
2021-09-14,chop,neutral,down,0,-10.1653,0.536,1w
2021-09-23,chop,down,down,1,-4.4899,0.3467,1w
2021-10-04,trending_bear,down,up,0,4.4098,0.2253,1w
2021-10-13,trending_bear,down,up,0,12.5658,0.1947,1w
2021-10-22,trending_bear,down,up,0,11.6024,0.256,1w
2021-11-02,trending_bull,down,up,0,12.2687,0.2973,1w
2021-11-11,trending_bull,down,up,0,8.1578,0.3573,1w
2021-11-22,trending_bull,down,up,0,4.2714,0.4453,1w
2021-12-02,trending_bull,up,up,1,0.6374,0.6613,1w
2021-12-13,trending_bull,up,down,0,-1.5962,0.6933,1w
2021-12-22,trending_bull,up,down,0,-6.2291,0.728,1w
2022-01-03,trending_bull,up,down,0,-6.0224,0.828,1w
2022-01-12,trending_bull,up,down,0,-6.5821,0.868,1w
2022-01-24,trending_bear,up,down,0,-1.1784,0.6987,1w
2022-02-02,trending_bear,up,down,0,-1.5848,0.648,1w
2022-02-11,trending_bear,down,up,0,1.8308,0.4333,1w
2022-02-23,trending_bear,down,up,0,5.3569,0.3467,1w
2022-03-04,chop,down,up,0,9.2105,0.252,1w
2022-03-15,chop,down,up,0,5.6757,0.26,1w
2022-03-24,chop,down,up,0,7.824,0.3653,1w
2022-04-04,trending_bull,down,up,0,3.4534,0.42,1w
2022-04-13,trending_bull,neutral,up,0,3.9303,0.4653,1w
2022-04-25,trending_bull,up,down,0,-5.3371,0.7467,1w
2022-05-04,trending_bull,up,down,0,-6.4667,0.724,1w
2022-05-13,trending_bull,up,down,0,-5.9843,0.7853,1w
2022-05-24,trending_bear,up,up,1,2.2147,0.6107,1w
2022-06-03,trending_bear,up,up,1,5.1907,0.6387,1w
2022-06-14,trending_bear,neutral,neutral,0,0.3638,0.5427,1w
2022-06-24,chop,neutral,up,0,3.2595,0.5173,1w
2022-07-06,chop,neutral,up,0,5.0124,0.4707,1w
2022-07-15,chop,down,up,0,4.3513,0.412,1w
2022-07-26,chop,down,neutral,0,0.2827,0.4427,1w
2022-08-04,chop,down,down,1,-2.855,0.444,1w
2022-08-15,chop,down,up,0,1.0182,0.436,1w
2022-08-24,chop,up,down,0,-1.8757,0.616,1w
2022-09-02,chop,up,down,0,-4.0555,0.6453,1w
