date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-17.5776,0.248,1w
2021-01-13,trending_bear,down,down,1,-25.7915,0.2013,1w
2021-01-25,trending_bear,down,down,1,-23.1115,0.0773,1w
2021-02-03,trending_bear,down,down,1,-8.7816,0.204,1w
2021-02-12,trending_bear,down,down,1,-11.9291,0.1533,1w
2021-02-24,trending_bear,down,up,0,9.705,0.1507,1w
2021-03-05,chop,down,up,0,2.6055,0.2253,1w
2021-03-16,chop,down,neutral,0,-0.2638,0.1947,1w
2021-03-25,chop,down,down,1,-25.6264,0.252,1w
2021-04-06,chop,down,down,1,-18.2847,0.2413,1w
2021-04-15,chop,down,down,1,-12.1569,0.2333,1w
2021-04-26,chop,down,up,0,12.95,0.2187,1w
2021-05-05,chop,down,down,1,-17.1901,0.3547,1w
2021-05-14,chop,down,down,1,-19.7951,0.336,1w
2021-05-25,chop,neutral,up,0,15.3623,0.456,1w
2021-06-04,chop,down,up,0,3.9568,0.3853,1w
2021-06-15,chop,down,up,0,2.1524,0.3467,1w
2021-06-24,chop,down,down,1,-15.8826,0.3493,1w
2021-07-06,chop,down,up,0,13.7354,0.344,1w
2021-07-15,chop,down,up,0,14.8529,0.3587,1w
2021-07-26,chop,down,up,0,19.2464,0.4253,1w
2021-08-04,chop,down,up,0,0.9321,0.4453,1w
2021-08-13,chop,neutral,up,0,5.1754,0.52,1w
2021-08-24,chop,up,up,1,10.3137,0.58,1w
2021-09-02,chop,up,up,1,7.3856,0.5667,1w
2021-09-14,chop,up,down,0,-6.8255,0.668,1w
2021-09-23,chop,neutral,down,0,-4.8251,0.524,1w
2021-10-04,chop,up,down,0,-2.8112,0.588,1w
2021-10-13,chop,up,up,1,4.3694,0.5653,1w
2021-10-22,chop,up,up,1,8.2803,0.6307,1w
2021-11-02,chop,neutral,up,0,8.9438,0.5293,1w
2021-11-11,chop,neutral,down,0,-2.438,0.4693,1w
2021-11-22,chop,up,up,1,2.6122,0.5653,1w
2021-12-02,chop,up,down,0,-7.9244,0.5867,1w
2021-12-13,chop,down,neutral,0,0.0757,0.428,1w
2021-12-22,chop,up,up,1,4.4903,0.5573,1w
2022-01-03,chop,down,up,0,22.3717,0.4093,1w
2022-01-12,chop,up,down,0,-7.456,0.6,1w
2022-01-24,chop,up,down,0,-2.3737,0.5907,1w
2022-02-02,trending_bull,up,down,0,-2.9112,0.6467,1w
2022-02-11,chop,neutral,up,0,1.4182,0.492,1w
2022-02-23,chop,neutral,up,0,9.7483,0.5067,1w
2022-03-04,chop,neutral,up,0,5.03,0.5427,1w
2022-03-15,chop,down,up,0,7.7271,0.412,1w
2022-03-24,chop,up,down,0,-1.1756,0.58,1w
2022-04-04,chop,up,down,0,-23.9663,0.636,1w
2022-04-13,chop,neutral,down,0,-22.956,0.5467,1w
2022-04-25,chop,neutral,down,0,-8.6434,0.5427,1w
2022-05-04,trending_bear,down,up,0,14.7073,0.2333,1w
2022-05-13,trending_bear,down,up,0,13.1079,0.3733,1w
2022-05-24,trending_bear,down,up,0,7.877,0.444,1w
2022-06-03,chop,down,up,0,10.4344,0.3787,1w
2022-06-14,chop,down,up,0,16.7869,0.3867,1w
2022-06-24,trending_bull,down,up,0,4.9242,0.3787,1w
2022-07-06,trending_bull,neutral,down,0,-2.878,0.4667,1w
2022-07-15,trending_bull,neutral,down,0,-15.2095,0.4907,1w
2022-07-26,trending_bull,neutral,neutral,0,-0.4468,0.508,1w
2022-08-04,chop,up,up,1,5.9257,0.7467,1w
2022-08-15,chop,up,down,0,-0.7249,0.68,1w
2022-08-24,chop,up,down,0,-3.1587,0.616,1w
2022-09-02,chop,up,down,0,-4.557,0.6627,1w
2022-09-14,chop,neutral,up,0,3.5395,0.52,1w
2022-09-23,chop,down,up,0,3.3964,0.4493,1w
2022-10-04,chop,down,up,0,13.7356,0.412,1w
2022-10-13,chop,down,up,0,14.4675,0.3053,1w
2022-10-24,chop,neutral,up,0,24.2567,0.4653,1w
2022-11-02,chop,up,up,1,11.5061,0.584,1w
2022-11-11,chop,up,up,1,13.4908,0.632,1w
2022-11-22,chop,up,up,1,18.0297,0.6173,1w
2022-12-02,trending_bull,up,up,1,4.8959,0.6693,1w
2022-12-13,trending_bull,up,down,0,-0.6485,0.768,1w
2022-12-22,trending_bull,up,neutral,0,-0.4575,0.78,1w
2023-01-04,trending_bull,up,up,1,10.4399,0.7293,1w
2023-01-13,trending_bull,up,down,0,-1.6204,0.7427,1w
2023-01-25,chop,up,down,0,-6.1273,0.8067,1w
2023-02-03,trending_bull,up,down,0,-15.6638,0.8373,1w
2023-02-14,crisis,up,down,0,-6.5336,0.6067,1w
2023-02-24,chop,up,down,0,-1.5798,0.6107,1w
2023-03-07,chop,neutral,down,0,-3.491,0.4907,1w
2023-03-16,chop,down,down,1,-3.7669,0.3653,1w
2023-03-27,chop,down,down,1,-6.422,0.4067,1w
2023-04-05,chop,down,up,0,21.7775,0.404,1w
2023-04-17,chop,down,up,0,29.5087,0.332,1w
2023-04-26,chop,down,up,0,22.0259,0.284,1w
2023-05-05,high_volatility,neutral,down,0,-1.6468,0.4827,1w
2023-05-16,trending_bull,up,up,1,1.7302,0.6173,1w
2023-05-25,trending_bull,up,up,1,6.988,0.6093,1w
2023-06-06,trending_bull,up,up,1,1.6616,0.6173,1w
2023-06-15,trending_bull,up,down,0,-7.1412,0.716,1w
2023-06-27,trending_bull,up,down,0,-14.8912,0.708,1w
2023-07-07,trending_bull,up,down,0,-33.4333,0.7133,1w
2023-07-18,chop,up,down,0,-25.1221,0.692,1w
2023-07-27,trending_bear,up,down,0,-15.1499,0.58,1w
2023-08-07,crisis,down,up,0,7.0163,0.1387,1w
2023-08-16,high_volatility,down,down,1,-6.8365,0.1653,1w
2023-08-25,trending_bear,down,up,0,1.9664,0.216,1w
2023-09-06,trending_bear,down,up,0,13.6752,0.168,1w
2023-09-15,trending_bear,down,up,0,14.6798,0.1267,1w
2023-09-26,trending_bear,down,down,1,-2.7201,0.1787,1w
2023-10-05,trending_bull,down,down,1,-0.9208,0.22,1w
