date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,2.4372,0.3653,1w
2021-01-13,chop,neutral,down,0,-1.1372,0.504,1w
2021-01-25,chop,neutral,neutral,0,-0.4521,0.4587,1w
2021-02-03,chop,neutral,up,0,3.2306,0.4907,1w
2021-02-12,chop,down,up,0,3.9231,0.3387,1w
2021-02-24,chop,down,up,0,3.749,0.3733,1w
2021-03-05,chop,up,down,0,-1.4085,0.5733,1w
2021-03-16,chop,neutral,down,0,-10.3733,0.5013,1w
2021-03-25,chop,up,down,0,-10.05,0.5573,1w
2021-04-06,chop,neutral,down,0,-9.2025,0.4867,1w
2021-04-15,chop,down,neutral,0,-0.2486,0.2933,1w
2021-04-26,chop,down,down,1,-2.3103,0.2693,1w
2021-05-05,trending_bear,down,up,0,1.5599,0.2307,1w
2021-05-14,chop,down,up,0,4.2324,0.3173,1w
2021-05-25,chop,down,up,0,5.0833,0.2947,1w
2021-06-04,chop,down,up,0,2.7552,0.2973,1w
2021-06-15,chop,down,down,1,-6.4091,0.332,1w
2021-06-24,chop,down,down,1,-7.7226,0.3467,1w
2021-07-06,chop,down,down,1,-3.4728,0.412,1w
2021-07-15,chop,down,up,0,6.9374,0.412,1w
2021-07-26,chop,down,up,0,0.933,0.4093,1w
2021-08-04,chop,neutral,down,0,-4.4776,0.484,1w
2021-08-13,high_volatility,neutral,down,0,-14.2971,0.5467,1w
2021-08-24,chop,neutral,down,0,-2.6249,0.4653,1w
2021-09-02,chop,down,down,1,-1.7714,0.368,1w
2021-09-14,chop,down,down,1,-2.713,0.2347,1w
2021-09-23,chop,down,down,1,-3.7143,0.3067,1w
2021-10-04,chop,down,up,0,10.7269,0.2747,1w
2021-10-13,chop,down,up,0,15.0994,0.2987,1w
2021-10-22,chop,down,up,0,21.043,0.368,1w
2021-11-02,high_volatility,neutral,up,0,7.4468,0.5267,1w
2021-11-11,high_volatility,neutral,up,0,6.4154,0.5013,1w
2021-11-22,high_volatility,up,down,0,-17.0404,0.6413,1w
2021-12-02,high_volatility,up,down,0,-4.6865,0.676,1w
2021-12-13,trending_bull,up,up,1,8.0092,0.7427,1w
2021-12-22,crisis,down,up,0,20.0217,0.4427,1w
2022-01-03,crisis,up,up,1,17.5941,0.6027,1w
2022-01-12,high_volatility,up,up,1,13.6592,0.7213,1w
2022-01-24,chop,up,up,1,18.1419,0.7147,1w
2022-02-02,trending_bull,up,up,1,5.7343,0.6613,1w
2022-02-11,high_volatility,up,down,0,-14.0071,0.724,1w
2022-02-23,high_volatility,up,down,0,-16.2574,0.6733,1w
2022-03-04,crisis,up,down,0,-4.9621,0.5933,1w
2022-03-15,crisis,neutral,up,0,3.2329,0.5293,1w
2022-03-24,high_volatility,up,neutral,0,0.3365,0.6307,1w
2022-04-04,chop,up,down,0,-2.4521,0.628,1w
2022-04-13,chop,neutral,down,0,-5.1263,0.4987,1w
2022-04-25,chop,neutral,up,0,3.4921,0.492,1w
2022-05-04,chop,down,up,0,6.4465,0.4213,1w
2022-05-13,chop,down,up,0,8.9888,0.2933,1w
