date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,up,down,0,-6.9011,0.952,1w
2021-01-13,crisis,up,down,0,-3.1388,0.7413,1w
2021-01-25,crisis,up,down,0,-7.1359,0.6413,1w
2021-02-03,crisis,up,down,0,-4.926,0.56,1w
2021-02-12,crisis,neutral,up,0,1.9548,0.46,1w
2021-02-24,high_volatility,down,up,0,12.2746,0.3613,1w
2021-03-05,high_volatility,down,up,0,10.4825,0.4053,1w
2021-03-16,high_volatility,down,up,0,9.4437,0.3187,1w
2021-03-25,high_volatility,down,up,0,8.2366,0.4093,1w
2021-04-06,high_volatility,neutral,down,0,-6.9727,0.48,1w
2021-04-15,high_volatility,up,down,0,-24.8909,0.5987,1w
2021-04-26,high_volatility,up,down,0,-28.1703,0.6227,1w
2021-05-05,crisis,down,down,1,-14.933,0.4213,1w
2021-05-14,crisis,down,down,1,-15.5201,0.2693,1w
2021-05-25,high_volatility,down,down,1,-0.8243,0.2933,1w
2021-06-04,trending_bear,down,down,1,-4.1361,0.2947,1w
2021-06-15,trending_bear,down,up,0,7.518,0.1613,1w
2021-06-24,trending_bear,down,up,0,4.0134,0.2173,1w
2021-07-06,chop,down,up,0,7.6239,0.1973,1w
2021-07-15,chop,down,up,0,13.4121,0.172,1w
2021-07-26,chop,down,up,0,0.6819,0.22,1w
2021-08-04,chop,down,down,1,-4.9331,0.304,1w
2021-08-13,trending_bull,up,down,0,-9.6112,0.5693,1w
2021-08-24,trending_bull,up,down,0,-16.6947,0.5733,1w
2021-09-02,chop,down,down,1,-13.8376,0.4333,1w
2021-09-14,chop,up,down,0,-17.0548,0.6667,1w
2021-09-23,trending_bear,down,down,1,-5.0829,0.2747,1w
2021-10-04,trending_bear,down,up,0,2.4153,0.2413,1w
2021-10-13,trending_bear,down,up,0,15.4311,0.2133,1w
2021-10-22,trending_bear,down,up,0,11.2025,0.1947,1w
2021-11-02,trending_bear,down,up,0,9.7058,0.2253,1w
2021-11-11,chop,down,up,0,1.6361,0.2853,1w
2021-11-22,chop,down,down,1,-0.9293,0.312,1w
2021-12-02,chop,down,down,1,-2.9881,0.4213,1w
2021-12-13,chop,down,up,0,1.5269,0.4267,1w
2021-12-22,chop,neutral,up,0,11.5918,0.54,1w
2022-01-03,chop,up,up,1,14.9881,0.5573,1w
2022-01-12,chop,up,up,1,6.0623,0.68,1w
2022-01-24,chop,up,down,0,-1.3366,0.7253,1w
2022-02-02,trending_bull,up,down,0,-3.3885,0.7573,1w
2022-02-11,trending_bull,up,down,0,-6.044,0.6333,1w
2022-02-23,chop,up,down,0,-2.8797,0.584,1w
2022-03-04,chop,up,up,1,0.9418,0.608,1w
2022-03-15,chop,neutral,neutral,0,-0.2748,0.4587,1w
2022-03-24,chop,neutral,up,0,3.0583,0.5267,1w
2022-04-04,chop,up,up,1,2.1346,0.5773,1w
2022-04-13,chop,down,up,0,1.7378,0.436,1w
2022-04-25,chop,down,up,0,1.6377,0.3973,1w
2022-05-04,chop,down,down,1,-2.059,0.3787,1w
2022-05-13,chop,down,up,0,0.8412,0.4307,1w
2022-05-24,chop,neutral,down,0,-1.7356,0.4693,1w
2022-06-03,chop,neutral,down,0,-1.5566,0.488,1w
2022-06-14,chop,neutral,up,0,5.1429,0.4933,1w
2022-06-24,chop,neutral,up,0,6.9579,0.5013,1w
2022-07-06,chop,neutral,neutral,0,0.2049,0.4853,1w
2022-07-15,chop,up,down,0,-1.0564,0.5547,1w
2022-07-26,chop,up,down,0,-2.5612,0.6307,1w
2022-08-04,chop,down,down,1,-1.9127,0.3853,1w
2022-08-15,chop,neutral,up,0,2.0353,0.4973,1w
2022-08-24,chop,neutral,down,0,-7.021,0.4653,1w
2022-09-02,chop,down,down,1,-10.0478,0.3973,1w
2022-09-14,chop,neutral,down,0,-10.9839,0.5013,1w
2022-09-23,chop,down,down,1,-8.7892,0.3307,1w
2022-10-04,trending_bear,down,down,1,-3.953,0.2333,1w
2022-10-13,trending_bear,down,down,1,-7.6091,0.2253,1w
2022-10-24,trending_bear,down,up,0,12.9633,0.1293,1w
2022-11-02,trending_bear,down,up,0,12.9329,0.1787,1w
2022-11-11,chop,down,up,0,18.2109,0.1867,1w
2022-11-22,chop,down,up,0,18.9691,0.3173,1w
2022-12-02,chop,neutral,up,0,10.5115,0.4587,1w
2022-12-13,trending_bull,neutral,down,0,-4.6092,0.5427,1w
2022-12-22,trending_bull,up,down,0,-5.4399,0.724,1w
2023-01-04,trending_bull,up,down,0,-2.7957,0.7253,1w
2023-01-13,trending_bull,up,up,1,2.8693,0.6987,1w
2023-01-25,chop,up,up,1,4.4849,0.7987,1w
2023-02-03,chop,up,up,1,1.977,0.7307,1w
2023-02-14,chop,up,down,0,-2.3484,0.7547,1w
2023-02-24,chop,up,down,0,-4.849,0.744,1w
2023-03-07,chop,up,down,0,-5.3317,0.6733,1w
2023-03-16,chop,down,down,1,-10.4573,0.3467,1w
2023-03-27,chop,down,down,1,-19.7967,0.312,1w
2023-04-05,chop,down,down,1,-17.0405,0.3653,1w
2023-04-17,chop,down,up,0,3.2867,0.26,1w
2023-04-26,trending_bear,down,up,0,0.6631,0.1587,1w
2023-05-05,trending_bear,down,up,0,0.9094,0.1453,1w
2023-05-16,trending_bear,down,up,0,1.3539,0.1787,1w
2023-05-25,chop,down,up,0,6.0591,0.1467,1w
2023-06-06,chop,down,up,0,4.8964,0.1867,1w
2023-06-15,chop,down,up,0,10.7207,0.26,1w
2023-06-27,chop,down,up,0,10.1751,0.2347,1w
2023-07-07,chop,down,up,0,5.7667,0.3133,1w
2023-07-18,trending_bull,up,up,1,1.7534,0.752,1w
2023-07-27,high_volatility,up,up,1,3.9935,0.768,1w
2023-08-07,crisis,up,up,1,6.0424,0.6947,1w
2023-08-16,trending_bull,up,up,1,6.017,0.6987,1w
2023-08-25,trending_bull,up,down,0,-2.0296,0.824,1w
2023-09-06,trending_bull,up,down,0,-3.0646,0.7533,1w
2023-09-15,trending_bull,up,down,0,-5.8043,0.752,1w
2023-09-26,chop,up,down,0,-3.8649,0.7013,1w
2023-10-05,chop,up,down,0,-5.1167,0.6027,1w
2023-10-16,chop,down,down,1,-8.1909,0.4467,1w
2023-10-25,chop,down,down,1,-1.4803,0.412,1w
2023-11-03,chop,down,up,0,0.5418,0.3707,1w
2023-11-14,chop,down,down,1,-3.1547,0.3733,1w
2023-11-24,chop,down,down,1,-10.5511,0.2733,1w
2023-12-05,chop,down,down,1,-5.4491,0.2827,1w
2023-12-14,chop,down,up,0,1.8922,0.2107,1w
2023-12-26,trending_bear,down,up,0,12.4614,0.1933,1w
2024-01-05,trending_bear,down,up,0,11.2216,0.2747,1w
2024-01-17,chop,down,up,0,10.8056,0.2493,1w
2024-01-26,trending_bull,neutral,up,0,3.0209,0.5133,1w
2024-02-06,trending_bull,neutral,neutral,0,0.4431,0.5387,1w
2024-02-15,trending_bull,up,down,0,-6.2929,0.5747,1w
2024-02-27,trending_bull,neutral,down,0,-10.0763,0.5453,1w
2024-03-07,trending_bull,neutral,down,0,-22.7178,0.5387,1w
2024-03-18,trending_bear,neutral,down,0,-8.8962,0.5413,1w
2024-03-27,trending_bear,neutral,down,0,-7.7735,0.536,1w
2024-04-08,crisis,down,up,0,7.4018,0.2733,1w
2024-04-17,high_volatility,down,up,0,12.187,0.4,1w
2024-04-26,trending_bear,down,up,0,6.8787,0.3067,1w
2024-05-07,trending_bear,down,up,0,1.8894,0.356,1w
2024-05-16,chop,down,down,1,-2.4344,0.3733,1w
2024-05-28,chop,down,down,1,-2.2805,0.3413,1w
2024-06-06,chop,down,neutral,0,-0.0413,0.3893,1w
2024-06-17,chop,down,up,0,2.0532,0.4013,1w
2024-06-27,chop,down,up,0,1.7921,0.404,1w
2024-07-09,chop,up,down,0,-3.1969,0.668,1w
2024-07-18,chop,up,up,1,1.4379,0.6667,1w
2024-07-29,chop,up,up,1,5.4879,0.5933,1w
2024-08-07,chop,down,up,0,7.5807,0.448,1w
2024-08-16,chop,neutral,up,0,5.4519,0.5133,1w
2024-08-27,chop,up,up,1,1.2996,0.5533,1w
2024-09-06,chop,neutral,up,0,5.4463,0.52,1w
2024-09-17,trending_bull,up,up,1,9.312,0.632,1w
2024-09-26,chop,up,up,1,9.78,0.608,1w
2024-10-07,chop,up,up,1,8.3443,0.5907,1w
2024-10-16,trending_bull,up,down,0,-2.8778,0.6933,1w
2024-10-25,trending_bull,up,up,1,3.7985,0.744,1w
2024-11-05,trending_bull,up,up,1,0.8519,0.764,1w
2024-11-14,chop,up,up,1,4.255,0.6947,1w
2024-11-25,chop,up,up,1,0.7398,0.7107,1w
