date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,1.2891,0.4947,1w
2021-01-13,high_volatility,up,down,0,-5.8378,0.6533,1w
2021-01-25,crisis,down,down,1,-0.5046,0.3507,1w
2021-02-03,crisis,neutral,down,0,-9.1431,0.468,1w
2021-02-12,chop,neutral,down,0,-11.5741,0.5107,1w
2021-02-24,chop,neutral,down,0,-3.1858,0.4653,1w
2021-03-05,crisis,down,down,1,-2.0176,0.3893,1w
2021-03-16,crisis,down,down,1,-2.1661,0.376,1w
2021-03-25,high_volatility,down,down,1,-9.6124,0.4333,1w
2021-04-06,chop,down,down,1,-6.4304,0.2813,1w
2021-04-15,chop,down,down,1,-10.7263,0.184,1w
2021-04-26,chop,down,down,1,-5.9884,0.232,1w
2021-05-05,trending_bear,down,up,0,1.0304,0.1787,1w
2021-05-14,trending_bear,down,down,1,-1.2132,0.1507,1w
2021-05-25,trending_bear,down,down,1,-4.5694,0.2133,1w
2021-06-04,trending_bull,down,down,1,-7.0456,0.388,1w
2021-06-15,chop,down,down,1,-2.1029,0.22,1w
2021-06-24,trending_bear,down,up,0,2.0981,0.168,1w
2021-07-06,chop,down,up,0,4.3009,0.2747,1w
2021-07-15,chop,down,up,0,13.8248,0.2253,1w
2021-07-26,chop,down,up,0,2.9495,0.404,1w
2021-08-04,chop,down,down,1,-3.4313,0.3947,1w
2021-08-13,chop,up,down,0,-7.5202,0.64,1w
2021-08-24,chop,neutral,down,0,-7.6046,0.5107,1w
2021-09-02,chop,down,down,1,-2.194,0.3187,1w
2021-09-14,chop,neutral,down,0,-10.0302,0.5427,1w
2021-09-23,chop,down,up,0,3.9485,0.376,1w
2021-10-04,chop,down,up,0,1.7258,0.4013,1w
2021-10-13,chop,down,up,0,8.1732,0.376,1w
2021-10-22,chop,down,up,0,1.3837,0.424,1w
2021-11-02,chop,neutral,up,0,3.8242,0.4587,1w
2021-11-11,chop,down,down,1,-5.4657,0.396,1w
2021-11-22,chop,down,down,1,-6.716,0.436,1w
2021-12-02,chop,neutral,down,0,-2.8679,0.5453,1w
2021-12-13,chop,down,up,0,9.602,0.4253,1w
2021-12-22,chop,neutral,up,0,3.5973,0.4987,1w
2022-01-03,chop,neutral,up,0,2.4001,0.4693,1w
2022-01-12,chop,up,down,0,-1.8415,0.6133,1w
2022-01-24,chop,neutral,down,0,-1.2985,0.4653,1w
2022-02-02,chop,neutral,down,0,-7.6848,0.5453,1w
