date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-10.0181,0.4067,1w
2021-01-13,chop,down,up,0,4.1313,0.256,1w
2021-01-25,trending_bear,down,up,0,5.1749,0.1733,1w
2021-02-03,high_volatility,down,up,0,4.8185,0.2947,1w
2021-02-12,chop,down,down,1,-14.5529,0.2973,1w
2021-02-24,chop,down,up,0,5.3245,0.2933,1w
2021-03-05,high_volatility,down,up,0,6.6142,0.412,1w
2021-03-16,high_volatility,down,up,0,17.3694,0.312,1w
2021-03-25,crisis,down,down,1,-0.8863,0.4013,1w
2021-04-06,chop,neutral,down,0,-11.8333,0.488,1w
2021-04-15,chop,neutral,down,0,-28.7432,0.5053,1w
2021-04-26,chop,up,down,0,-19.3086,0.5573,1w
2021-05-05,chop,down,down,1,-13.4084,0.42,1w
2021-05-14,crisis,down,up,0,2.2305,0.2747,1w
2021-05-25,trending_bear,down,up,0,0.5233,0.3787,1w
2021-06-04,crisis,down,up,0,8.99,0.332,1w
2021-06-15,chop,down,up,0,10.6641,0.424,1w
2021-06-24,chop,down,up,0,5.6426,0.3693,1w
2021-07-06,chop,down,up,0,13.2555,0.3507,1w
2021-07-15,chop,down,up,0,16.5404,0.352,1w
2021-07-26,chop,down,up,0,8.5094,0.428,1w
2021-08-04,trending_bull,neutral,up,0,1.3749,0.52,1w
2021-08-13,trending_bull,up,down,0,-6.6213,0.752,1w
2021-08-24,trending_bull,up,down,0,-11.8561,0.6613,1w
2021-09-02,trending_bull,up,down,0,-8.4057,0.6973,1w
2021-09-14,chop,up,down,0,-11.7792,0.704,1w
2021-09-23,chop,neutral,down,0,-3.0702,0.544,1w
2021-10-04,chop,neutral,up,0,8.9246,0.4853,1w
2021-10-13,chop,neutral,up,0,30.1801,0.4693,1w
2021-10-22,chop,down,up,0,26.0082,0.4093,1w
2021-11-02,chop,neutral,up,0,17.692,0.5107,1w
2021-11-11,high_volatility,up,up,1,2.4415,0.5733,1w
2021-11-22,trending_bull,neutral,up,0,4.052,0.52,1w
2021-12-02,trending_bull,up,down,0,-7.0376,0.6173,1w
