date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,chop,down,up,0,10.1762,0.1573,1w
2021-01-08,chop,down,up,0,5.6652,0.3467,1w
2021-01-15,trending_bull,neutral,down,0,-1.0055,0.492,1w
2021-01-22,trending_bear,down,down,1,-4.4531,0.4133,1w
2021-01-29,trending_bull,neutral,down,0,-12.6703,0.4667,1w
2021-02-05,trending_bull,down,up,0,7.5491,0.4253,1w
2021-02-12,trending_bear,down,up,0,9.0528,0.4467,1w
2021-02-19,trending_bear,neutral,up,0,3.8296,0.4707,1w
2021-02-26,trending_bull,neutral,down,0,-6.9024,0.5453,1w
2021-03-05,trending_bull,up,down,0,-19.6801,0.5613,1w
2021-03-12,trending_bear,down,down,1,-1.2552,0.4227,1w
2021-03-19,trending_bear,down,up,0,40.2314,0.4067,1w
2021-03-26,chop,down,up,0,26.0454,0.3347,1w
2021-04-02,chop,down,down,1,-11.8503,0.388,1w
2021-04-09,trending_bull,up,down,0,-33.9715,0.5707,1w
2021-04-16,trending_bull,neutral,down,0,-23.6202,0.536,1w
2021-04-23,trending_bear,down,down,1,-39.4883,0.4253,1w
2021-04-30,chop,down,down,1,-31.2447,0.296,1w
2021-05-07,trending_bear,down,down,1,-39.8609,0.388,1w
2021-05-14,chop,down,down,1,-3.8339,0.248,1w
2021-05-21,chop,down,down,1,-10.0693,0.2733,1w
2021-05-28,chop,down,down,1,-15.6465,0.2253,1w
2021-06-04,chop,down,down,1,-9.8302,0.192,1w
2021-06-11,chop,down,down,1,-17.8077,0.1573,1w
2021-06-18,chop,down,down,1,-13.5364,0.1253,1w
2021-06-25,chop,down,down,1,-14.7306,0.1947,1w
2021-07-02,chop,down,up,0,2.6135,0.2253,1w
2021-07-09,chop,down,up,0,3.1358,0.0987,1w
2021-07-16,trending_bear,down,down,1,-15.899,0.256,1w
2021-07-23,trending_bear,down,down,1,-22.5415,0.1973,1w
2021-07-30,trending_bear,down,down,1,-21.2336,0.2493,1w
2021-08-06,trending_bear,down,up,0,2.5354,0.1587,1w
2021-08-13,chop,down,down,1,-61.0219,0.128,1w
2021-08-20,chop,down,down,1,-31.9162,0.172,1w
2021-08-27,chop,down,down,1,-36.1791,0.2933,1w
2021-09-03,chop,down,up,0,4.8985,0.1413,1w
2021-09-10,chop,down,up,0,4.1061,0.3067,1w
2021-09-17,chop,down,down,1,-31.4105,0.312,1w
2021-09-24,chop,down,down,1,-4.8389,0.3307,1w
2021-10-01,trending_bear,down,down,1,-29.6924,0.3507,1w
2021-10-08,trending_bear,down,up,0,27.7507,0.2747,1w
2021-10-15,trending_bear,down,up,0,14.0564,0.4013,1w
2021-10-22,trending_bear,down,up,0,14.763,0.3573,1w
2021-10-29,trending_bear,down,up,0,20.1203,0.3413,1w
2021-11-05,trending_bull,neutral,up,0,5.8761,0.4653,1w
2021-11-12,trending_bull,down,down,1,-1.1573,0.4253,1w
2021-11-19,trending_bull,neutral,down,0,-13.7217,0.4707,1w
2021-11-26,trending_bull,neutral,down,0,-18.399,0.4587,1w
2021-12-03,trending_bull,down,down,1,-14.2062,0.424,1w
2021-12-10,trending_bear,up,down,0,-14.0502,0.5867,1w
2021-12-17,chop,down,down,1,-5.91,0.4253,1w
2021-12-24,chop,neutral,down,0,-6.3818,0.4653,1w
2021-12-31,chop,down,down,1,-7.9443,0.4253,1w
2022-01-07,chop,down,down,1,-13.9896,0.2387,1w
2022-01-14,chop,down,up,0,18.8587,0.216,1w
2022-01-21,chop,down,up,0,23.6941,0.132,1w
2022-01-28,chop,down,up,0,32.6886,0.1227,1w
2022-02-04,trending_bull,down,up,0,16.2418,0.3973,1w
2022-02-11,trending_bull,neutral,down,0,-19.2183,0.4667,1w
2022-02-18,trending_bull,up,down,0,-31.5512,0.5733,1w
2022-02-25,trending_bull,neutral,down,0,-30.3857,0.5013,1w
2022-03-04,trending_bear,down,down,1,-29.8829,0.4227,1w
2022-03-11,trending_bear,down,down,1,-11.2421,0.3733,1w
2022-03-18,trending_bear,down,down,1,-11.45,0.376,1w
2022-03-25,trending_bear,down,up,0,1.4658,0.268,1w
2022-04-01,trending_bear,down,down,1,-4.0901,0.3787,1w
2022-04-08,trending_bear,down,up,0,13.1095,0.296,1w
2022-04-15,trending_bear,down,up,0,9.2087,0.168,1w
2022-04-22,trending_bear,down,up,0,11.4417,0.1773,1w
2022-04-29,trending_bull,down,up,0,6.0278,0.2333,1w
2022-05-06,trending_bull,down,up,0,5.9277,0.3213,1w
2022-05-13,trending_bull,down,up,0,1.1626,0.4013,1w
2022-05-20,chop,down,down,1,-0.8588,0.4333,1w
2022-05-27,chop,up,down,0,-7.7222,0.6453,1w
2022-06-03,chop,neutral,down,0,-5.729,0.52,1w
2022-06-10,chop,up,down,0,-17.461,0.6173,1w
2022-06-17,chop,up,down,0,-14.6154,0.5827,1w
2022-06-24,chop,neutral,down,0,-7.3885,0.5293,1w
2022-07-01,chop,down,down,1,-1.3192,0.4067,1w
2022-07-08,chop,down,up,0,3.7269,0.2267,1w
2022-07-15,chop,down,down,1,-8.0875,0.3213,1w
2022-07-22,chop,down,down,1,-17.0394,0.304,1w
2022-07-29,chop,down,down,1,-16.7437,0.376,1w
2022-08-05,chop,down,down,1,-16.349,0.32,1w
2022-08-12,chop,down,down,1,-22.9435,0.2827,1w
2022-08-19,trending_bear,down,up,0,19.6935,0.3653,1w
2022-08-26,trending_bear,down,up,0,17.9956,0.324,1w
2022-09-02,crisis,down,up,0,10.5893,0.3893,1w
2022-09-09,trending_bull,neutral,up,0,5.6011,0.456,1w
2022-09-16,chop,down,down,1,-35.7234,0.424,1w
2022-09-23,chop,down,down,1,-23.8831,0.4267,1w
2022-09-30,chop,down,down,1,-22.0564,0.412,1w
2022-10-07,chop,down,down,1,-9.8476,0.3507,1w
2022-10-14,trending_bear,down,up,0,27.4863,0.3573,1w
2022-10-21,trending_bear,down,up,0,16.1878,0.4013,1w
2022-10-28,chop,down,up,0,25.4346,0.4067,1w
2022-11-04,crisis,neutral,down,0,-15.753,0.5013,1w
2022-11-11,high_volatility,neutral,down,0,-17.234,0.4947,1w
2022-11-18,crisis,down,down,1,-20.0106,0.4467,1w
2022-11-25,trending_bear,down,down,1,-20.5453,0.4173,1w
2022-12-02,trending_bear,neutral,down,0,-12.4573,0.4653,1w
2022-12-09,trending_bear,neutral,down,0,-1.9806,0.46,1w
2022-12-16,chop,neutral,down,0,-1.1236,0.46,1w
2022-12-23,chop,neutral,down,0,-6.9716,0.4587,1w
2022-12-30,chop,neutral,down,0,-13.0756,0.4827,1w
2023-01-06,chop,down,down,1,-15.2024,0.3787,1w
2023-01-13,chop,down,down,1,-9.564,0.2773,1w
2023-01-20,chop,down,down,1,-29.2071,0.2747,1w
2023-01-27,chop,down,up,0,6.8317,0.2293,1w
