date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-7.7667,0.7933,1w
2021-01-13,chop,up,down,0,-8.691,0.64,1w
2021-01-25,chop,down,down,1,-5.0235,0.3733,1w
2021-02-03,high_volatility,down,down,1,-18.4435,0.3947,1w
2021-02-12,chop,down,down,1,-18.3285,0.3787,1w
2021-02-24,trending_bear,down,down,1,-8.4418,0.2747,1w
2021-03-05,crisis,down,up,0,8.1162,0.1653,1w
2021-03-16,high_volatility,down,up,0,4.3284,0.1467,1w
2021-03-25,trending_bear,down,up,0,2.579,0.1693,1w
2021-04-06,trending_bear,down,neutral,0,-0.12,0.1867,1w
2021-04-15,chop,down,down,1,-5.1316,0.168,1w
2021-04-26,chop,down,down,1,-4.6108,0.2747,1w
2021-05-05,chop,down,down,1,-5.793,0.2747,1w
2021-05-14,chop,down,down,1,-7.4044,0.256,1w
2021-05-25,high_volatility,down,down,1,-5.8455,0.3147,1w
2021-06-04,chop,neutral,down,0,-5.3403,0.5227,1w
2021-06-15,high_volatility,down,up,0,2.9863,0.368,1w
2021-06-24,chop,down,up,0,4.8426,0.3147,1w
2021-07-06,chop,down,up,0,7.4037,0.3347,1w
2021-07-15,chop,down,up,0,16.6167,0.3147,1w
2021-07-26,chop,down,up,0,1.6241,0.448,1w
2021-08-04,chop,down,down,1,-2.3298,0.3867,1w
2021-08-13,chop,up,down,0,-8.725,0.596,1w
2021-08-24,chop,neutral,down,0,-12.5693,0.544,1w
2021-09-02,chop,neutral,down,0,-7.7327,0.4653,1w
2021-09-14,chop,up,down,0,-8.7134,0.616,1w
2021-09-23,chop,down,neutral,0,0.2404,0.368,1w
2021-10-04,chop,down,down,1,-4.3223,0.408,1w
2021-10-13,chop,down,up,0,11.8143,0.3867,1w
2021-10-22,chop,down,up,0,15.8917,0.332,1w
2021-11-02,chop,down,up,0,23.2579,0.3227,1w
2021-11-11,chop,down,up,0,1.7142,0.376,1w
2021-11-22,trending_bull,neutral,down,0,-3.667,0.488,1w
2021-12-02,trending_bull,up,down,0,-7.6183,0.58,1w
2021-12-13,trending_bull,up,down,0,-1.8274,0.5893,1w
2021-12-22,chop,up,up,1,4.0601,0.6187,1w
2022-01-03,chop,up,up,1,3.4316,0.5573,1w
2022-01-12,chop,up,down,0,-2.7643,0.668,1w
2022-01-24,chop,up,neutral,0,0.4911,0.668,1w
2022-02-02,chop,up,up,1,2.7119,0.724,1w
2022-02-11,chop,down,down,1,-2.8924,0.4467,1w
2022-02-23,chop,down,down,1,-3.292,0.4213,1w
2022-03-04,chop,down,up,0,5.6604,0.424,1w
2022-03-15,chop,down,up,0,9.3797,0.376,1w
2022-03-24,chop,neutral,up,0,11.4524,0.4667,1w
2022-04-04,chop,up,down,0,-2.4829,0.56,1w
2022-04-13,chop,neutral,neutral,0,0.2353,0.544,1w
2022-04-25,trending_bull,up,down,0,-2.6379,0.6187,1w
2022-05-04,chop,neutral,neutral,0,0.369,0.536,1w
2022-05-13,chop,up,up,1,0.9833,0.6173,1w
2022-05-24,chop,neutral,up,0,6.0433,0.5187,1w
2022-06-03,chop,up,up,1,4.3169,0.5613,1w
2022-06-14,chop,up,up,1,7.0291,0.6653,1w
2022-06-24,chop,up,up,1,1.2117,0.6893,1w
2022-07-06,chop,up,down,0,-4.2243,0.5653,1w
2022-07-15,trending_bull,up,down,0,-7.84,0.612,1w
2022-07-26,chop,up,down,0,-4.7823,0.5907,1w
2022-08-04,chop,neutral,down,0,-4.3057,0.5013,1w
2022-08-15,chop,neutral,down,0,-2.3612,0.4587,1w
2022-08-24,chop,neutral,down,0,-4.5675,0.5373,1w
2022-09-02,chop,down,down,1,-2.7946,0.412,1w
2022-09-14,chop,down,down,1,-3.991,0.3507,1w
2022-09-23,trending_bear,down,down,1,-4.4787,0.26,1w
2022-10-04,trending_bear,down,down,1,-4.8809,0.2587,1w
2022-10-13,chop,down,neutral,0,-0.3208,0.1707,1w
2022-10-24,chop,down,up,0,13.0466,0.1787,1w
2022-11-02,trending_bear,down,up,0,12.1283,0.216,1w
2022-11-11,chop,down,up,0,10.4561,0.344,1w
2022-11-22,trending_bull,down,up,0,9.0143,0.4387,1w
2022-12-02,trending_bull,up,up,1,1.5843,0.5587,1w
2022-12-13,trending_bull,up,down,0,-3.6138,0.6653,1w
2022-12-22,trending_bull,up,down,0,-4.6095,0.752,1w
2023-01-04,trending_bull,up,down,0,-5.7352,0.6813,1w
2023-01-13,trending_bull,up,down,0,-2.0827,0.704,1w
2023-01-25,trending_bear,up,neutral,0,-0.0255,0.8427,1w
2023-02-03,trending_bear,up,up,1,0.6313,0.656,1w
2023-02-14,trending_bear,up,down,0,-3.2018,0.5853,1w
2023-02-24,chop,up,up,1,0.6458,0.58,1w
2023-03-07,chop,down,down,1,-1.3201,0.404,1w
2023-03-16,chop,down,down,1,-3.998,0.24,1w
2023-03-27,chop,down,down,1,-10.5922,0.2987,1w
2023-04-05,chop,down,down,1,-4.9103,0.3227,1w
2023-04-17,chop,down,up,0,0.5491,0.2933,1w
2023-04-26,trending_bear,down,up,0,1.4623,0.2253,1w
2023-05-05,trending_bear,down,neutral,0,-0.2592,0.336,1w
2023-05-16,chop,down,down,1,-5.535,0.32,1w
2023-05-25,chop,down,down,1,-3.3565,0.2853,1w
2023-06-06,chop,down,down,1,-2.7714,0.3253,1w
2023-06-15,chop,down,up,0,4.28,0.26,1w
2023-06-27,chop,down,up,0,2.1217,0.1613,1w
2023-07-07,chop,down,down,1,-4.9497,0.2347,1w
2023-07-18,chop,down,down,1,-6.7875,0.428,1w
2023-07-27,chop,down,neutral,0,-0.0878,0.4093,1w
2023-08-07,chop,down,up,0,6.4896,0.2093,1w
2023-08-16,chop,down,up,0,4.0359,0.2413,1w
2023-08-25,chop,down,up,0,0.5743,0.4093,1w
2023-09-06,chop,down,up,0,3.0374,0.36,1w
2023-09-15,chop,down,up,0,1.8908,0.4387,1w
2023-09-26,chop,neutral,down,0,-5.4329,0.524,1w
2023-10-05,chop,neutral,down,0,-3.0214,0.524,1w
2023-10-16,chop,down,down,1,-4.8098,0.4253,1w
2023-10-25,chop,neutral,down,0,-2.4787,0.456,1w
2023-11-03,chop,up,up,1,2.3012,0.6013,1w
2023-11-14,chop,neutral,up,0,0.5262,0.4867,1w
2023-11-24,chop,down,down,1,-3.8238,0.376,1w
2023-12-05,chop,neutral,down,0,-8.3108,0.5013,1w
2023-12-14,chop,down,down,1,-2.4788,0.4013,1w
2023-12-26,chop,down,up,0,1.4683,0.1947,1w
2024-01-05,chop,down,neutral,0,0.0345,0.1933,1w
2024-01-17,chop,down,down,1,-0.815,0.2573,1w
2024-01-26,chop,down,down,1,-6.5701,0.3893,1w
2024-02-06,crisis,down,neutral,0,0.4488,0.332,1w
2024-02-15,chop,down,down,1,-2.5977,0.388,1w
2024-02-27,chop,down,down,1,-5.1051,0.28,1w
2024-03-07,crisis,down,down,1,-19.1924,0.3067,1w
2024-03-18,chop,down,down,1,-10.0755,0.3253,1w
2024-03-27,high_volatility,down,down,1,-5.0663,0.2733,1w
2024-04-08,crisis,down,up,0,5.3341,0.1787,1w
2024-04-17,high_volatility,down,up,0,15.6684,0.2747,1w
2024-04-26,trending_bear,down,up,0,2.8899,0.296,1w
2024-05-07,chop,down,up,0,4.3214,0.4093,1w
2024-05-16,chop,neutral,down,0,-4.8774,0.4587,1w
2024-05-28,chop,neutral,up,0,2.6625,0.4587,1w
2024-06-06,chop,neutral,up,0,3.5031,0.4773,1w
2024-06-17,chop,down,up,0,5.3833,0.4453,1w
2024-06-27,chop,neutral,down,0,-8.7278,0.52,1w
2024-07-09,chop,up,down,0,-8.8235,0.6987,1w
2024-07-18,chop,up,down,0,-1.5474,0.704,1w
2024-07-29,chop,down,up,0,6.1263,0.424,1w
2024-08-07,chop,down,up,0,2.6849,0.4253,1w
2024-08-16,chop,neutral,down,0,-2.7128,0.4573,1w
2024-08-27,chop,neutral,down,0,-6.4821,0.48,1w
2024-09-06,chop,down,down,1,-6.6097,0.3787,1w
2024-09-17,chop,neutral,down,0,-7.1742,0.4773,1w
2024-09-26,chop,down,neutral,0,0.1903,0.256,1w
2024-10-07,chop,down,down,1,-4.4478,0.2013,1w
2024-10-16,trending_bear,down,down,1,-5.9717,0.2253,1w
2024-10-25,chop,neutral,up,0,1.5155,0.4653,1w
2024-11-05,chop,down,up,0,5.0555,0.256,1w
2024-11-14,chop,down,up,0,9.3862,0.1867,1w
2024-11-25,chop,down,up,0,4.2083,0.2747,1w
