date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-2.0571,0.6987,1w
2021-01-13,trending_bull,up,down,0,-3.8718,0.6667,1w
2021-01-25,chop,up,down,0,-9.3031,0.5587,1w
2021-02-03,chop,neutral,down,0,-12.4537,0.524,1w
2021-02-12,trending_bear,neutral,down,0,-8.0584,0.4907,1w
2021-02-24,crisis,down,up,0,3.8166,0.3467,1w
2021-03-05,crisis,down,up,0,10.5575,0.3067,1w
2021-03-16,crisis,down,up,0,8.7924,0.2693,1w
2021-03-25,trending_bear,down,up,0,9.367,0.2867,1w
2021-04-06,trending_bull,down,down,1,-1.8467,0.3893,1w
2021-04-15,trending_bull,down,down,1,-2.1747,0.392,1w
2021-04-26,trending_bull,neutral,down,0,-0.6384,0.4947,1w
2021-05-05,trending_bull,down,up,0,3.6345,0.376,1w
2021-05-14,high_volatility,neutral,down,0,-5.8742,0.4533,1w
2021-05-25,chop,up,down,0,-10.0983,0.7413,1w
2021-06-04,chop,up,down,0,-9.2638,0.7547,1w
2021-06-15,crisis,neutral,up,0,5.1062,0.5013,1w
2021-06-24,crisis,down,up,0,2.8434,0.42,1w
2021-07-06,crisis,down,up,0,7.1719,0.3507,1w
2021-07-15,chop,down,up,0,10.0254,0.352,1w
2021-07-26,chop,down,up,0,7.8103,0.3507,1w
2021-08-04,chop,neutral,up,0,2.3776,0.484,1w
2021-08-13,chop,up,down,0,-3.1195,0.58,1w
2021-08-24,trending_bull,neutral,down,0,-5.3691,0.5013,1w
2021-09-02,chop,down,down,1,-9.2616,0.436,1w
2021-09-14,chop,up,down,0,-19.0412,0.7413,1w
2021-09-23,chop,up,down,0,-8.7389,0.58,1w
2021-10-04,crisis,down,neutral,0,-0.3376,0.396,1w
2021-10-13,crisis,down,up,0,12.4037,0.2387,1w
2021-10-22,crisis,down,up,0,10.8406,0.3307,1w
2021-11-02,trending_bear,down,up,0,12.1363,0.352,1w
2021-11-11,high_volatility,down,up,0,8.2832,0.3147,1w
2021-11-22,chop,down,up,0,3.0969,0.368,1w
2021-12-02,trending_bull,neutral,up,0,0.8515,0.4947,1w
2021-12-13,trending_bull,neutral,up,0,4.7035,0.4653,1w
2021-12-22,trending_bull,up,up,1,1.0624,0.5507,1w
2022-01-03,trending_bull,up,down,0,-1.8042,0.656,1w
2022-01-12,trending_bull,up,down,0,-5.8804,0.872,1w
2022-01-24,chop,up,down,0,-5.5593,0.7653,1w
2022-02-02,chop,up,down,0,-4.1172,0.7293,1w
2022-02-11,chop,up,down,0,-3.699,0.5893,1w
2022-02-23,chop,down,down,1,-2.419,0.3893,1w
2022-03-04,chop,down,up,0,3.4118,0.328,1w
2022-03-15,chop,down,up,0,5.0368,0.2973,1w
2022-03-24,chop,down,up,0,6.454,0.296,1w
2022-04-04,chop,down,up,0,1.1276,0.296,1w
2022-04-13,chop,down,down,1,-2.0195,0.3213,1w
2022-04-25,chop,down,down,1,-6.6714,0.4067,1w
2022-05-04,chop,neutral,down,0,-7.3739,0.4733,1w
2022-05-13,chop,down,down,1,-1.7015,0.428,1w
2022-05-24,chop,down,up,0,2.9536,0.3573,1w
2022-06-03,trending_bear,down,up,0,0.783,0.4453,1w
2022-06-14,chop,down,down,1,-2.0733,0.4253,1w
2022-06-24,chop,down,up,0,5.3699,0.4093,1w
2022-07-06,chop,down,neutral,0,-0.496,0.2347,1w
2022-07-15,chop,down,down,1,-3.1915,0.2173,1w
2022-07-26,chop,down,down,1,-8.9123,0.4293,1w
2022-08-04,chop,down,down,1,-6.9705,0.224,1w
2022-08-15,chop,down,up,0,2.2678,0.256,1w
2022-08-24,trending_bear,down,neutral,0,-0.0857,0.3653,1w
2022-09-02,trending_bear,down,down,1,-5.1738,0.2253,1w
2022-09-14,trending_bear,down,down,1,-6.8979,0.336,1w
2022-09-23,chop,down,down,1,-0.5356,0.2973,1w
2022-10-04,trending_bear,down,up,0,9.2335,0.1973,1w
2022-10-13,trending_bear,down,up,0,3.1844,0.2693,1w
2022-10-24,trending_bear,down,up,0,7.6292,0.2013,1w
2022-11-02,chop,down,up,0,3.9022,0.3787,1w
2022-11-11,chop,down,up,0,6.9186,0.432,1w
2022-11-22,trending_bull,up,up,1,2.8761,0.5587,1w
2022-12-02,trending_bull,up,up,1,7.1256,0.6347,1w
2022-12-13,trending_bull,up,down,0,-0.8506,0.5907,1w
2022-12-22,trending_bull,up,down,0,-4.2624,0.6747,1w
2023-01-04,trending_bull,up,down,0,-7.6757,0.848,1w
2023-01-13,chop,up,down,0,-1.0634,0.7173,1w
2023-01-25,trending_bear,up,up,1,1.236,0.6067,1w
2023-02-03,chop,neutral,up,0,4.5154,0.4987,1w
2023-02-14,chop,neutral,up,0,1.6571,0.5013,1w
2023-02-24,chop,neutral,up,0,1.6197,0.4653,1w
2023-03-07,chop,up,up,1,1.2649,0.5573,1w
2023-03-16,chop,down,down,1,-3.3086,0.424,1w
2023-03-27,chop,down,neutral,0,-0.4376,0.424,1w
2023-04-05,chop,down,up,0,2.5931,0.4133,1w
2023-04-17,chop,down,up,0,11.9228,0.4293,1w
2023-04-26,chop,up,up,1,6.1436,0.6133,1w
2023-05-05,chop,up,up,1,2.0811,0.708,1w
2023-05-16,trending_bull,up,down,0,-4.2981,0.7533,1w
2023-05-25,trending_bull,up,down,0,-2.1566,0.696,1w
2023-06-06,chop,up,down,0,-3.6547,0.64,1w
2023-06-15,chop,up,up,1,2.8664,0.588,1w
2023-06-27,chop,neutral,up,0,6.0901,0.5013,1w
2023-07-07,chop,neutral,up,0,10.2882,0.4707,1w
2023-07-18,chop,up,up,1,7.8691,0.708,1w
2023-07-27,trending_bull,up,up,1,7.6223,0.7227,1w
2023-08-07,crisis,up,up,1,5.4098,0.656,1w
2023-08-16,trending_bull,up,up,1,5.6849,0.6,1w
2023-08-25,trending_bull,up,up,1,4.0103,0.7787,1w
2023-09-06,trending_bull,up,up,1,2.3104,0.824,1w
2023-09-15,trending_bull,up,neutral,0,-0.1852,0.924,1w
2023-09-26,trending_bull,up,up,1,0.8282,0.916,1w
2023-10-05,trending_bull,up,up,1,0.5962,0.924,1w
2023-10-16,trending_bull,up,up,1,2.6671,0.8013,1w
2023-10-25,chop,up,up,1,6.2288,0.768,1w
2023-11-03,crisis,up,up,1,4.3879,0.616,1w
2023-11-14,high_volatility,up,down,0,-2.0076,0.668,1w
2023-11-24,high_volatility,up,down,0,-4.4892,0.688,1w
2023-12-05,chop,up,down,0,-6.1928,0.6173,1w
2023-12-14,chop,neutral,up,0,2.6299,0.4587,1w
2023-12-26,trending_bear,neutral,up,0,0.6744,0.468,1w
2024-01-05,trending_bear,neutral,up,0,6.5938,0.456,1w
2024-01-17,trending_bull,neutral,up,0,2.8572,0.5107,1w
2024-01-26,crisis,neutral,up,0,5.2551,0.5013,1w
2024-02-06,high_volatility,up,up,1,1.2211,0.5853,1w
2024-02-15,crisis,neutral,up,0,2.5665,0.5467,1w
2024-02-27,high_volatility,neutral,up,0,2.2393,0.4707,1w
2024-03-07,crisis,neutral,down,0,-2.1587,0.5013,1w
2024-03-18,high_volatility,up,up,1,2.1155,0.6587,1w
2024-03-27,high_volatility,up,up,1,0.7754,0.676,1w
2024-04-08,crisis,up,up,1,4.274,0.5747,1w
2024-04-17,high_volatility,up,down,0,-0.8213,0.6173,1w
2024-04-26,high_volatility,up,down,0,-5.6986,0.6933,1w
2024-05-07,chop,up,down,0,-4.4776,0.568,1w
2024-05-16,chop,neutral,down,0,-2.9449,0.508,1w
2024-05-28,chop,down,down,1,-1.6835,0.4213,1w
2024-06-06,chop,down,up,0,1.809,0.4253,1w
2024-06-17,chop,down,up,0,7.1957,0.3813,1w
2024-06-27,chop,down,up,0,6.0312,0.3347,1w
2024-07-09,chop,neutral,up,0,6.0694,0.484,1w
2024-07-18,chop,neutral,neutral,0,-0.2173,0.5387,1w
2024-07-29,trending_bull,down,up,0,2.4377,0.4267,1w
2024-08-07,trending_bull,neutral,down,0,-1.516,0.5293,1w
2024-08-16,chop,up,down,0,-3.3326,0.6107,1w
2024-08-27,chop,up,up,1,2.4554,0.6133,1w
2024-09-06,chop,up,up,1,4.1911,0.608,1w
2024-09-17,chop,up,up,1,4.9033,0.6173,1w
2024-09-26,chop,up,down,0,-0.6728,0.7213,1w
2024-10-07,chop,up,down,0,-1.1911,0.708,1w
2024-10-16,chop,neutral,down,0,-2.3095,0.5173,1w
2024-10-25,chop,up,up,1,0.6305,0.58,1w
