date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-09-15,chop,up,down,0,-8.9033,0.6147,1w
2021-09-24,chop,up,up,1,12.5558,0.5733,1w
2021-10-05,chop,up,up,1,7.1758,0.6093,1w
2021-10-14,chop,up,up,1,14.0253,0.6347,1w
2021-10-25,chop,up,neutral,0,-0.1753,0.5827,1w
2021-11-03,chop,neutral,up,0,6.3182,0.5173,1w
2021-11-12,chop,neutral,down,0,-4.199,0.456,1w
2021-11-23,chop,neutral,down,0,-6.674,0.5147,1w
2021-12-03,chop,up,down,0,-14.2387,0.564,1w
2021-12-14,chop,neutral,down,0,-13.5135,0.4707,1w
2021-12-23,chop,up,down,0,-4.741,0.5747,1w
2022-01-04,chop,down,up,0,2.0888,0.4173,1w
2022-01-13,chop,down,down,1,-6.0854,0.4093,1w
2022-01-25,chop,down,down,1,-3.7037,0.3507,1w
2022-02-03,chop,down,down,1,-7.8469,0.3787,1w
2022-02-14,chop,down,down,1,-12.7648,0.268,1w
2022-02-24,chop,down,down,1,-24.0096,0.2747,1w
2022-03-07,chop,down,down,1,-5.8272,0.2253,1w
2022-03-16,trending_bear,down,up,0,17.4079,0.2453,1w
2022-03-25,trending_bear,down,up,0,29.8583,0.2013,1w
2022-04-05,trending_bear,down,down,1,-14.2685,0.3467,1w
2022-04-14,trending_bull,down,down,1,-10.0756,0.4213,1w
2022-04-26,chop,down,up,0,20.1873,0.4253,1w
2022-05-05,trending_bear,down,up,0,21.5658,0.3467,1w
2022-05-16,trending_bull,down,up,0,8.0025,0.4213,1w
2022-05-25,chop,down,up,0,4.3014,0.396,1w
2022-06-06,chop,neutral,up,0,6.3634,0.4693,1w
2022-06-15,chop,neutral,up,0,6.8398,0.5413,1w
2022-06-27,chop,up,up,1,0.8467,0.5827,1w
2022-07-07,chop,neutral,down,0,-10.5128,0.5427,1w
2022-07-18,chop,neutral,down,0,-16.8883,0.4787,1w
2022-07-27,chop,up,down,0,-12.4965,0.676,1w
2022-08-05,chop,up,up,1,8.1434,0.6693,1w
2022-08-16,chop,down,up,0,7.2549,0.428,1w
2022-08-25,chop,down,up,0,4.4926,0.4427,1w
2022-09-06,chop,neutral,down,0,-16.0584,0.4973,1w
2022-09-15,chop,down,down,1,-10.6808,0.416,1w
2022-09-26,chop,down,down,1,-21.497,0.3947,1w
2022-10-05,chop,down,up,0,8.3733,0.2253,1w
2022-10-14,chop,down,up,0,16.2604,0.2747,1w
2022-10-25,chop,down,up,0,35.2334,0.224,1w
2022-11-03,chop,neutral,up,0,18.7995,0.5,1w
2022-11-14,chop,neutral,up,0,27.582,0.5453,1w
2022-11-23,chop,up,up,1,23.1324,0.58,1w
