date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-2.7212,0.8893,1w
2021-01-13,high_volatility,up,down,0,-2.2698,0.74,1w
2021-01-25,high_volatility,up,down,0,-2.7689,0.6413,1w
2021-02-03,crisis,up,up,1,0.702,0.5827,1w
2021-02-12,high_volatility,up,up,1,0.5305,0.64,1w
2021-02-24,chop,neutral,up,0,4.7123,0.548,1w
2021-03-05,crisis,up,up,1,5.6616,0.6733,1w
2021-03-16,high_volatility,neutral,up,0,14.5379,0.4947,1w
2021-03-25,high_volatility,neutral,up,0,7.8366,0.4853,1w
2021-04-06,high_volatility,up,down,0,-9.4113,0.6173,1w
2021-04-15,high_volatility,up,down,0,-22.5589,0.6573,1w
2021-04-26,high_volatility,up,down,0,-19.7744,0.7013,1w
2021-05-05,crisis,down,down,1,-6.2646,0.4093,1w
2021-05-14,crisis,down,down,1,-6.6085,0.2853,1w
2021-05-25,trending_bear,down,down,1,-4.8266,0.3333,1w
2021-06-04,trending_bear,down,down,1,-4.1969,0.2933,1w
2021-06-15,trending_bear,down,up,0,2.8841,0.2333,1w
2021-06-24,trending_bear,down,up,0,3.0968,0.2253,1w
2021-07-06,chop,down,up,0,7.7947,0.1867,1w
2021-07-15,chop,down,up,0,16.8059,0.1453,1w
2021-07-26,chop,down,up,0,8.6394,0.2093,1w
2021-08-04,chop,down,up,0,2.1811,0.4093,1w
2021-08-13,trending_bull,up,down,0,-7.2065,0.724,1w
2021-08-24,trending_bull,up,down,0,-12.3404,0.632,1w
2021-09-02,chop,up,down,0,-11.201,0.5867,1w
2021-09-14,chop,up,down,0,-11.633,0.7427,1w
2021-09-23,trending_bear,down,down,1,-0.81,0.4453,1w
2021-10-04,trending_bear,down,up,0,3.5825,0.3893,1w
2021-10-13,trending_bear,down,up,0,4.6916,0.3733,1w
2021-10-22,trending_bear,down,up,0,2.1281,0.34,1w
2021-11-02,trending_bear,down,up,0,4.4025,0.3453,1w
2021-11-11,trending_bull,down,up,0,2.114,0.268,1w
2021-11-22,chop,down,down,1,-4.605,0.2907,1w
2021-12-02,chop,down,down,1,-6.6898,0.3147,1w
2021-12-13,chop,down,down,1,-1.9343,0.3733,1w
2021-12-22,chop,down,up,0,4.9359,0.4173,1w
2022-01-03,chop,down,up,0,11.9917,0.3733,1w
2022-01-12,chop,neutral,up,0,3.9984,0.5053,1w
2022-01-24,chop,neutral,up,0,0.6877,0.4907,1w
2022-02-02,chop,up,down,0,-0.8915,0.6173,1w
2022-02-11,chop,neutral,down,0,-3.0907,0.5173,1w
2022-02-23,chop,down,down,1,-1.2413,0.428,1w
2022-03-04,chop,neutral,up,0,3.022,0.5413,1w
2022-03-15,chop,down,down,1,-1.5295,0.3893,1w
2022-03-24,chop,neutral,up,0,1.2747,0.524,1w
2022-04-04,chop,up,down,0,-5.5198,0.6653,1w
2022-04-13,chop,neutral,neutral,0,-0.1664,0.4707,1w
2022-04-25,chop,neutral,down,0,-1.8155,0.4653,1w
2022-05-04,chop,down,down,1,-4.3121,0.372,1w
2022-05-13,chop,down,down,1,-0.601,0.4267,1w
2022-05-24,chop,down,up,0,3.0991,0.412,1w
2022-06-03,chop,down,up,0,5.0019,0.3653,1w
2022-06-14,chop,down,up,0,4.4952,0.4067,1w
2022-06-24,chop,neutral,up,0,2.0967,0.4947,1w
2022-07-06,chop,down,down,1,-3.9709,0.3653,1w
2022-07-15,chop,neutral,down,0,-4.9869,0.528,1w
2022-07-26,chop,neutral,down,0,-5.0498,0.536,1w
2022-08-04,chop,down,down,1,-4.1765,0.3227,1w
2022-08-15,chop,down,neutral,0,0.1246,0.4067,1w
2022-08-24,chop,down,down,1,-3.5028,0.4067,1w
2022-09-02,chop,down,down,1,-2.5451,0.4067,1w
2022-09-14,chop,down,down,1,-0.726,0.38,1w
2022-09-23,chop,down,down,1,-8.0593,0.2747,1w
2022-10-04,chop,down,down,1,-4.1023,0.2587,1w
2022-10-13,chop,down,down,1,-10.6626,0.304,1w
2022-10-24,chop,down,up,0,7.0297,0.1733,1w
2022-11-02,trending_bear,down,up,0,6.3334,0.2133,1w
2022-11-11,chop,down,up,0,9.8636,0.2253,1w
2022-11-22,chop,down,up,0,18.1014,0.3187,1w
2022-12-02,chop,neutral,up,0,12.885,0.4867,1w
2022-12-13,chop,neutral,up,0,1.2882,0.5427,1w
2022-12-22,trending_bull,up,down,0,-3.3788,0.6987,1w
2023-01-04,trending_bull,up,down,0,-8.1879,0.7293,1w
2023-01-13,trending_bull,up,down,0,-4.7606,0.5987,1w
2023-01-25,trending_bull,up,down,0,-3.8844,0.8427,1w
2023-02-03,trending_bear,up,up,1,1.8231,0.6333,1w
2023-02-14,chop,up,down,0,-2.2151,0.6507,1w
2023-02-24,chop,up,down,0,-0.5112,0.6653,1w
2023-03-07,chop,up,neutral,0,-0.2005,0.5907,1w
2023-03-16,chop,down,down,1,-5.5335,0.3707,1w
2023-03-27,chop,down,down,1,-10.2117,0.2747,1w
2023-04-05,chop,down,down,1,-6.4078,0.3627,1w
2023-04-17,high_volatility,down,up,0,9.4878,0.2747,1w
2023-04-26,chop,down,up,0,5.6881,0.2747,1w
2023-05-05,chop,down,up,0,1.4422,0.4093,1w
2023-05-16,chop,neutral,neutral,0,-0.2236,0.4827,1w
2023-05-25,chop,down,up,0,7.6942,0.424,1w
2023-06-06,chop,down,up,0,6.3401,0.4147,1w
2023-06-15,chop,neutral,up,0,9.2248,0.5173,1w
2023-06-27,chop,neutral,up,0,4.952,0.48,1w
