date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-10.54,0.4147,1w
2021-01-13,chop,down,down,1,-5.4523,0.376,1w
2021-01-25,chop,down,up,0,1.6897,0.256,1w
2021-02-03,trending_bear,down,up,0,11.7666,0.296,1w
2021-02-12,chop,down,up,0,17.6169,0.2213,1w
2021-02-24,chop,down,up,0,25.4551,0.3653,1w
2021-03-05,chop,neutral,up,0,7.6495,0.528,1w
2021-03-16,chop,up,up,1,4.9826,0.5827,1w
2021-03-25,trending_bull,up,down,0,-4.9923,0.652,1w
2021-04-06,trending_bull,up,down,0,-6.6141,0.6107,1w
2021-04-15,trending_bull,up,down,0,-11.8941,0.6987,1w
2021-04-26,trending_bull,up,up,1,2.0087,0.6227,1w
2021-05-05,trending_bear,up,up,1,5.4541,0.6693,1w
2021-05-14,high_volatility,up,up,1,2.0879,0.612,1w
2021-05-25,high_volatility,up,up,1,3.7348,0.7067,1w
2021-06-04,high_volatility,up,down,0,-0.5919,0.6173,1w
2021-06-15,high_volatility,neutral,up,0,6.3288,0.4787,1w
2021-06-24,high_volatility,down,up,0,4.407,0.4467,1w
2021-07-06,high_volatility,neutral,up,0,2.5818,0.5013,1w
2021-07-15,chop,neutral,up,0,6.9208,0.456,1w
2021-07-26,chop,up,up,1,1.4744,0.64,1w
2021-08-04,chop,up,down,0,-1.0602,0.584,1w
2021-08-13,chop,up,down,0,-4.9214,0.676,1w
2021-08-24,chop,up,down,0,-5.4338,0.696,1w
2021-09-02,chop,neutral,neutral,0,0.3453,0.4853,1w
2021-09-14,chop,up,down,0,-2.8722,0.6507,1w
2021-09-23,chop,neutral,up,0,10.4193,0.4653,1w
2021-10-04,chop,neutral,up,0,12.2503,0.456,1w
2021-10-13,chop,neutral,up,0,19.7251,0.4933,1w
2021-10-22,chop,neutral,up,0,11.5682,0.52,1w
2021-11-02,trending_bull,up,up,1,3.4461,0.668,1w
2021-11-11,trending_bull,up,down,0,-2.8642,0.704,1w
2021-11-22,trending_bull,up,down,0,-4.3371,0.6987,1w
2021-12-02,trending_bull,up,down,0,-8.2573,0.7693,1w
2021-12-13,trending_bull,up,down,0,-4.0659,0.6733,1w
2021-12-22,chop,up,down,0,-6.8276,0.7573,1w
2022-01-03,trending_bear,up,down,0,-1.6463,0.6267,1w
2022-01-12,trending_bear,up,up,1,1.5841,0.616,1w
2022-01-24,trending_bear,down,up,0,7.6105,0.392,1w
2022-02-02,trending_bear,down,up,0,1.1638,0.2827,1w
2022-02-11,chop,down,down,1,-9.075,0.296,1w
2022-02-23,chop,down,down,1,-8.4757,0.3653,1w
2022-03-04,chop,down,neutral,0,0.3559,0.2747,1w
2022-03-15,chop,down,up,0,9.8189,0.2253,1w
2022-03-24,trending_bear,down,up,0,2.1805,0.32,1w
2022-04-04,trending_bull,neutral,down,0,-3.0303,0.4653,1w
2022-04-13,trending_bull,neutral,down,0,-3.5019,0.512,1w
2022-04-25,trending_bear,neutral,neutral,0,0.44,0.4947,1w
2022-05-04,chop,down,up,0,3.078,0.428,1w
2022-05-13,chop,down,up,0,7.1894,0.4133,1w
2022-05-24,chop,down,up,0,9.7617,0.304,1w
2022-06-03,chop,neutral,up,0,2.091,0.4987,1w
