date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,15.7381,0.4213,1w
2021-01-13,chop,neutral,up,0,3.6617,0.5467,1w
2021-01-25,trending_bull,neutral,up,0,2.6179,0.492,1w
2021-02-03,crisis,up,down,0,-4.3482,0.6333,1w
2021-02-12,trending_bull,up,down,0,-15.1221,0.6613,1w
2021-02-24,high_volatility,up,down,0,-4.4177,0.68,1w
2021-03-05,high_volatility,up,up,1,1.9692,0.6987,1w
2021-03-16,crisis,up,up,1,8.8001,0.636,1w
2021-03-25,chop,up,up,1,3.0819,0.6333,1w
2021-04-06,chop,up,up,1,4.7537,0.6533,1w
2021-04-15,chop,down,up,0,9.6825,0.4067,1w
2021-04-26,chop,neutral,up,0,18.5601,0.4947,1w
2021-05-05,high_volatility,neutral,up,0,8.203,0.5253,1w
2021-05-14,crisis,neutral,up,0,8.3328,0.456,1w
2021-05-25,high_volatility,up,down,0,-12.7932,0.6173,1w
2021-06-04,high_volatility,up,down,0,-23.0423,0.7,1w
2021-06-15,high_volatility,up,down,0,-24.5654,0.788,1w
2021-06-24,crisis,neutral,up,0,3.6105,0.52,1w
2021-07-06,crisis,down,up,0,7.5192,0.4093,1w
2021-07-15,high_volatility,down,up,0,10.2401,0.424,1w
2021-07-26,chop,up,up,1,7.5197,0.5573,1w
2021-08-04,chop,down,up,0,5.5988,0.3707,1w
2021-08-13,chop,down,down,1,-2.3042,0.424,1w
2021-08-24,chop,down,down,1,-10.9343,0.4173,1w
2021-09-02,chop,down,down,1,-4.3862,0.2933,1w
2021-09-14,chop,down,up,0,8.0697,0.292,1w
2021-09-23,chop,down,up,0,32.1753,0.448,1w
2021-10-04,chop,up,up,1,18.8358,0.5573,1w
2021-10-13,chop,up,up,1,9.6388,0.62,1w
2021-10-22,trending_bull,up,up,1,9.552,0.656,1w
2021-11-02,trending_bull,up,up,1,5.571,0.752,1w
2021-11-11,trending_bull,up,down,0,-7.4852,0.6733,1w
2021-11-22,trending_bull,up,down,0,-7.9615,0.6613,1w
2021-12-02,trending_bull,up,down,0,-5.2785,0.6987,1w
2021-12-13,trending_bull,up,up,1,0.7148,0.668,1w
2021-12-22,chop,up,up,1,6.4458,0.8213,1w
2022-01-03,chop,up,down,0,-1.6885,0.6387,1w
2022-01-12,chop,up,up,1,5.0762,0.5747,1w
2022-01-24,chop,up,down,0,-6.877,0.58,1w
2022-02-02,chop,down,up,0,6.2961,0.4093,1w
2022-02-11,chop,down,down,1,-12.3699,0.428,1w
2022-02-23,chop,down,down,1,-8.1078,0.32,1w
2022-03-04,chop,down,down,1,-3.4483,0.4427,1w
2022-03-15,chop,down,up,0,11.7938,0.3733,1w
2022-03-24,chop,down,up,0,3.211,0.3867,1w
2022-04-04,chop,down,down,1,-11.6059,0.4467,1w
2022-04-13,chop,neutral,down,0,-9.3341,0.52,1w
2022-04-25,chop,down,down,1,-1.6574,0.372,1w
2022-05-04,chop,down,up,0,3.8942,0.3893,1w
2022-05-13,trending_bear,down,up,0,5.2946,0.296,1w
2022-05-24,trending_bear,down,down,1,-3.8049,0.4013,1w
2022-06-03,chop,down,down,1,-1.4666,0.396,1w
2022-06-14,chop,neutral,up,0,2.0821,0.492,1w
2022-06-24,chop,down,up,0,18.3861,0.404,1w
2022-07-06,chop,down,up,0,11.1022,0.3213,1w
2022-07-15,chop,down,up,0,12.1293,0.3947,1w
2022-07-26,trending_bull,up,up,1,4.18,0.6387,1w
2022-08-04,trending_bull,up,up,1,5.7361,0.752,1w
2022-08-15,trending_bull,up,up,1,9.5794,0.7973,1w
