date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-19.681,0.6933,1w
2021-01-13,chop,neutral,up,0,5.7357,0.4933,1w
2021-01-25,trending_bear,down,up,0,10.5331,0.388,1w
2021-02-03,trending_bear,down,down,1,-9.205,0.4253,1w
2021-02-12,chop,down,down,1,-36.9076,0.2747,1w
2021-02-24,chop,down,up,0,1.2759,0.2267,1w
2021-03-05,chop,down,up,0,21.9714,0.2267,1w
2021-03-16,trending_bear,down,up,0,27.8722,0.1693,1w
2021-03-25,chop,down,down,1,-14.5101,0.3147,1w
2021-04-06,chop,down,down,1,-15.3791,0.3653,1w
2021-04-15,chop,down,down,1,-22.6301,0.4093,1w
2021-04-26,chop,neutral,down,0,-11.0069,0.4693,1w
2021-05-05,chop,down,down,1,-14.1318,0.4133,1w
2021-05-14,chop,down,down,1,-21.4093,0.256,1w
2021-05-25,chop,down,down,1,-1.7964,0.4067,1w
2021-06-04,chop,down,down,1,-15.6863,0.4493,1w
2021-06-15,chop,down,down,1,-15.3235,0.4147,1w
2021-06-24,chop,down,down,1,-13.8641,0.26,1w
2021-07-06,chop,down,up,0,10.1054,0.216,1w
2021-07-15,chop,down,up,0,50.2574,0.2187,1w
2021-07-26,chop,down,up,0,32.5198,0.2347,1w
2021-08-04,chop,down,up,0,7.762,0.312,1w
2021-08-13,trending_bull,neutral,down,0,-20.8113,0.5013,1w
2021-08-24,trending_bull,neutral,down,0,-20.0197,0.536,1w
2021-09-02,chop,down,down,1,-7.2072,0.4467,1w
2021-09-14,chop,neutral,down,0,-6.7245,0.4907,1w
2021-09-23,trending_bear,down,up,0,10.0923,0.4093,1w
2021-10-04,trending_bear,neutral,down,0,-7.2309,0.5293,1w
2021-10-13,chop,neutral,down,0,-13.0852,0.5453,1w
2021-10-22,chop,up,down,0,-16.1308,0.588,1w
2021-11-02,chop,neutral,down,0,-4.9249,0.4653,1w
2021-11-11,chop,down,down,1,-16.5019,0.2187,1w
2021-11-22,chop,down,down,1,-12.8647,0.2693,1w
2021-12-02,chop,down,down,1,-16.8561,0.348,1w
2021-12-13,trending_bear,down,up,0,4.0936,0.256,1w
2021-12-22,chop,down,up,0,15.0235,0.312,1w
2022-01-03,chop,down,up,0,28.811,0.2187,1w
2022-01-12,chop,down,up,0,6.6949,0.2973,1w
2022-01-24,chop,down,up,0,6.11,0.3,1w
2022-02-02,chop,neutral,down,0,-16.9637,0.4907,1w
2022-02-11,chop,down,down,1,-14.2395,0.3893,1w
2022-02-23,chop,neutral,down,0,-10.2108,0.5053,1w
2022-03-04,chop,down,down,1,-1.3601,0.3187,1w
2022-03-15,chop,down,up,0,7.5472,0.4293,1w
2022-03-24,chop,neutral,down,0,-0.7337,0.5427,1w
2022-04-04,chop,neutral,down,0,-12.5276,0.5213,1w
2022-04-13,chop,neutral,up,0,4.1288,0.4733,1w
2022-04-25,chop,down,up,0,28.6891,0.3813,1w
2022-05-04,chop,down,up,0,52.5103,0.184,1w
2022-05-13,chop,down,up,0,26.2032,0.4333,1w
2022-05-24,trending_bull,up,up,1,4.8228,0.5853,1w
2022-06-03,trending_bull,up,down,0,-8.2177,0.7293,1w
2022-06-14,trending_bull,up,neutral,0,0.311,0.7747,1w
2022-06-24,trending_bull,up,up,1,2.4256,0.7293,1w
2022-07-06,trending_bull,up,up,1,12.993,0.6987,1w
2022-07-15,trending_bull,up,down,0,-33.038,0.7467,1w
2022-07-26,chop,up,down,0,-31.1039,0.7653,1w
2022-08-04,chop,up,down,0,-25.2993,0.888,1w
2022-08-15,trending_bear,down,up,0,2.2382,0.4013,1w
2022-08-24,trending_bear,down,down,1,-8.3656,0.324,1w
2022-09-02,trending_bear,down,down,1,-14.8678,0.3467,1w
2022-09-14,trending_bear,down,down,1,-4.15,0.2747,1w
2022-09-23,trending_bear,down,up,0,4.3103,0.2733,1w
2022-10-04,trending_bear,down,down,1,-0.7569,0.296,1w
2022-10-13,trending_bear,down,up,0,18.9448,0.2547,1w
2022-10-24,chop,down,up,0,38.3562,0.2747,1w
2022-11-02,chop,down,up,0,41.4815,0.2413,1w
2022-11-11,chop,up,up,1,11.9461,0.6107,1w
2022-11-22,trending_bull,up,up,1,1.9596,0.6573,1w
2022-12-02,trending_bull,up,down,0,-11.7165,0.6413,1w
2022-12-13,trending_bull,up,down,0,-19.0313,0.7293,1w
2022-12-22,trending_bull,up,down,0,-7.5045,0.7453,1w
2023-01-04,chop,up,neutral,0,-0.3365,0.6653,1w
2023-01-13,trending_bear,up,up,1,9.6706,0.58,1w
2023-01-25,trending_bear,up,up,1,7.7373,0.6987,1w
2023-02-03,chop,up,up,1,35.2021,0.6267,1w
2023-02-14,chop,neutral,up,0,40.1469,0.4707,1w
2023-02-24,chop,neutral,up,0,15.2832,0.4907,1w
2023-03-07,crisis,up,up,1,15.1677,0.6107,1w
2023-03-16,crisis,up,down,0,-5.4395,0.664,1w
2023-03-27,high_volatility,up,down,0,-1.9347,0.7133,1w
2023-04-05,trending_bull,up,down,0,-0.6334,0.7747,1w
2023-04-17,trending_bull,up,up,1,7.974,0.7547,1w
2023-04-26,chop,up,up,1,2.3266,0.7427,1w
2023-05-05,chop,up,down,0,-10.1998,0.7653,1w
2023-05-16,chop,up,down,0,-7.0318,0.7293,1w
2023-05-25,chop,up,down,0,-17.033,0.6227,1w
2023-06-06,high_volatility,neutral,down,0,-6.0422,0.5253,1w
2023-06-15,chop,down,up,0,1.2293,0.3653,1w
2023-06-27,chop,down,up,0,14.3441,0.26,1w
2023-07-07,chop,down,down,1,-5.1257,0.2747,1w
2023-07-18,chop,neutral,down,0,-33.7637,0.4587,1w
2023-07-27,chop,down,down,1,-27.2603,0.4213,1w
2023-08-07,high_volatility,down,down,1,-19.3565,0.2347,1w
2023-08-16,high_volatility,down,up,0,6.8965,0.2133,1w
2023-08-25,trending_bear,down,down,1,-8.3655,0.26,1w
2023-09-06,trending_bear,down,up,0,1.7919,0.288,1w
2023-09-15,trending_bear,down,up,0,4.6543,0.272,1w
2023-09-26,trending_bear,down,up,0,2.4862,0.2947,1w
2023-10-05,chop,down,down,1,-0.8978,0.296,1w
2023-10-16,chop,down,up,0,8.2557,0.296,1w
2023-10-25,chop,down,up,0,9.3982,0.2493,1w
2023-11-03,chop,down,up,0,14.1509,0.304,1w
2023-11-14,chop,up,up,1,4.2866,0.676,1w
2023-11-24,trending_bull,neutral,down,0,-3.1506,0.5173,1w
2023-12-05,trending_bull,up,down,0,-4.7826,0.6573,1w
2023-12-14,trending_bull,up,down,0,-12.7196,0.5907,1w
