date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-4.8762,0.8267,1w
2021-01-13,high_volatility,up,down,0,-6.6249,0.848,1w
2021-01-25,crisis,up,down,0,-2.4578,0.6987,1w
2021-02-03,crisis,up,down,0,-11.7748,0.7253,1w
2021-02-12,crisis,neutral,down,0,-13.8245,0.5387,1w
2021-02-24,high_volatility,down,down,1,-5.0193,0.3787,1w
2021-03-05,high_volatility,down,down,1,-9.4108,0.404,1w
2021-03-16,crisis,down,down,1,-5.6307,0.2453,1w
2021-03-25,high_volatility,down,down,1,-16.1871,0.3173,1w
2021-04-06,chop,down,down,1,-6.209,0.2733,1w
2021-04-15,trending_bear,down,down,1,-6.2135,0.2253,1w
2021-04-26,trending_bear,down,down,1,-3.2513,0.268,1w
2021-05-05,chop,down,down,1,-1.3957,0.26,1w
2021-05-14,chop,down,down,1,-4.1449,0.2853,1w
2021-05-25,chop,down,down,1,-6.0747,0.3027,1w
2021-06-04,chop,down,down,1,-10.8979,0.3867,1w
2021-06-15,chop,down,up,0,8.936,0.3733,1w
2021-06-24,chop,down,up,0,22.502,0.2347,1w
2021-07-06,chop,down,up,0,17.3933,0.296,1w
2021-07-15,chop,neutral,up,0,4.7932,0.4907,1w
2021-07-26,chop,up,down,0,-6.1679,0.584,1w
2021-08-04,chop,neutral,down,0,-13.4832,0.4773,1w
2021-08-13,chop,up,down,0,-17.4187,0.5907,1w
2021-08-24,chop,up,down,0,-11.985,0.58,1w
2021-09-02,chop,down,down,1,-8.764,0.38,1w
2021-09-14,chop,down,down,1,-14.8122,0.424,1w
2021-09-23,chop,neutral,down,0,-4.4971,0.4653,1w
2021-10-04,trending_bear,down,down,1,-4.1187,0.376,1w
2021-10-13,chop,down,up,0,6.9289,0.1773,1w
2021-10-22,chop,down,up,0,3.2823,0.1947,1w
2021-11-02,chop,down,up,0,13.4387,0.2027,1w
2021-11-11,chop,down,neutral,0,0.4553,0.256,1w
2021-11-22,chop,down,down,1,-6.7362,0.3187,1w
2021-12-02,chop,neutral,down,0,-14.6904,0.4653,1w
2021-12-13,chop,down,down,1,-1.5386,0.4227,1w
2021-12-22,chop,down,up,0,18.0882,0.4213,1w
2022-01-03,chop,down,up,0,21.8058,0.3507,1w
2022-01-12,chop,up,up,1,8.8157,0.5573,1w
2022-01-24,chop,up,down,0,-3.789,0.5867,1w
2022-02-02,trending_bull,up,down,0,-8.7856,0.6573,1w
2022-02-11,trending_bull,up,down,0,-12.1993,0.5653,1w
2022-02-23,chop,neutral,up,0,0.9507,0.5013,1w
2022-03-04,chop,down,up,0,2.6093,0.436,1w
2022-03-15,chop,down,neutral,0,-0.2904,0.3867,1w
2022-03-24,chop,up,down,0,-7.7265,0.6267,1w
2022-04-04,chop,up,down,0,-13.3778,0.5907,1w
2022-04-13,chop,neutral,down,0,-10.9734,0.4707,1w
2022-04-25,chop,down,down,1,-9.7582,0.2427,1w
2022-05-04,chop,down,up,0,4.3508,0.152,1w
2022-05-13,trending_bear,down,up,0,19.7196,0.1667,1w
2022-05-24,trending_bear,down,up,0,12.9013,0.1907,1w
2022-06-03,trending_bear,down,down,1,-0.9797,0.3893,1w
2022-06-14,trending_bull,neutral,neutral,0,-0.1699,0.508,1w
2022-06-24,chop,down,up,0,3.5312,0.3893,1w
2022-07-06,chop,down,up,0,4.7956,0.3787,1w
2022-07-15,chop,neutral,down,0,-9.0998,0.5227,1w
2022-07-26,chop,up,down,0,-13.7783,0.5867,1w
2022-08-04,chop,up,down,0,-1.6463,0.6107,1w
2022-08-15,chop,up,up,1,4.2647,0.576,1w
2022-08-24,chop,neutral,up,0,0.8085,0.5307,1w
2022-09-02,chop,neutral,down,0,-4.2117,0.4773,1w
2022-09-14,chop,down,down,1,-3.9597,0.3733,1w
2022-09-23,chop,down,neutral,0,-0.3008,0.3693,1w
2022-10-04,chop,down,up,0,6.8852,0.3973,1w
2022-10-13,chop,down,up,0,12.0713,0.2973,1w
2022-10-24,chop,down,up,0,21.6835,0.2747,1w
2022-11-02,chop,down,up,0,9.4181,0.4467,1w
2022-11-11,trending_bull,up,up,1,9.6755,0.656,1w
2022-11-22,trending_bull,up,up,1,13.0353,0.6947,1w
2022-12-02,trending_bull,up,up,1,4.1453,0.668,1w
2022-12-13,trending_bull,up,neutral,0,-0.2686,0.8027,1w
2022-12-22,trending_bull,up,up,1,6.1942,0.9027,1w
2023-01-04,trending_bull,up,up,1,5.339,0.8067,1w
2023-01-13,trending_bull,up,up,1,10.4938,0.86,1w
2023-01-25,trending_bull,up,up,1,4.1866,0.9587,1w
2023-02-03,trending_bull,up,up,1,17.1012,0.768,1w
2023-02-14,high_volatility,up,up,1,7.7377,0.7693,1w
2023-02-24,trending_bull,up,up,1,6.0762,0.7867,1w
2023-03-07,crisis,up,down,0,-2.3845,0.8147,1w
2023-03-16,high_volatility,up,up,1,0.9945,0.7173,1w
2023-03-27,trending_bull,up,down,0,-3.447,0.6733,1w
2023-04-05,trending_bull,up,up,1,4.7402,0.7707,1w
2023-04-17,trending_bull,up,up,1,18.4335,0.7307,1w
2023-04-26,high_volatility,up,up,1,26.983,0.5907,1w
2023-05-05,crisis,up,up,1,18.1062,0.76,1w
2023-05-16,high_volatility,up,up,1,11.8707,0.752,1w
2023-05-25,crisis,up,down,0,-7.0121,0.7987,1w
2023-06-06,crisis,up,down,0,-0.7401,0.7253,1w
2023-06-15,crisis,up,down,0,-13.7791,0.7893,1w
2023-06-27,crisis,up,down,0,-7.7376,0.6653,1w
2023-07-07,high_volatility,up,down,0,-23.3681,0.6973,1w
2023-07-18,crisis,up,down,0,-9.4641,0.6453,1w
2023-07-27,crisis,up,down,0,-5.122,0.5667,1w
2023-08-07,crisis,down,up,0,5.3971,0.3653,1w
2023-08-16,high_volatility,down,down,1,-2.7349,0.3787,1w
2023-08-25,trending_bear,down,down,1,-2.7542,0.2747,1w
2023-09-06,trending_bear,down,up,0,6.7703,0.2733,1w
2023-09-15,trending_bear,down,up,0,3.195,0.236,1w
2023-09-26,trending_bear,down,down,1,-2.641,0.3467,1w
2023-10-05,chop,down,down,1,-1.0543,0.296,1w
2023-10-16,chop,down,down,1,-6.4497,0.3853,1w
2023-10-25,chop,down,down,1,-7.9168,0.4093,1w
2023-11-03,chop,neutral,down,0,-1.549,0.5467,1w
2023-11-14,chop,down,down,1,-2.8119,0.3787,1w
2023-11-24,chop,down,up,0,0.8649,0.3467,1w
2023-12-05,chop,neutral,neutral,0,-0.3367,0.5107,1w
2023-12-14,chop,down,up,0,2.2421,0.384,1w
2023-12-26,chop,down,up,0,8.2129,0.3653,1w
2024-01-05,chop,down,up,0,5.4822,0.4093,1w
2024-01-17,chop,down,up,0,5.5177,0.3813,1w
2024-01-26,chop,neutral,down,0,-10.0577,0.4867,1w
2024-02-06,chop,neutral,down,0,-7.2305,0.5013,1w
2024-02-15,chop,up,down,0,-9.1923,0.5707,1w
2024-02-27,chop,down,down,1,-2.3074,0.42,1w
2024-03-07,chop,down,down,1,-18.5761,0.412,1w
2024-03-18,chop,neutral,down,0,-13.4789,0.4707,1w
2024-03-27,chop,down,down,1,-4.3812,0.4093,1w
2024-04-08,trending_bear,down,up,0,1.0516,0.216,1w
2024-04-17,high_volatility,down,up,0,12.8985,0.308,1w
2024-04-26,chop,down,neutral,0,-0.0808,0.344,1w
2024-05-07,chop,down,up,0,7.6895,0.3587,1w
2024-05-16,chop,down,neutral,0,0.4764,0.3733,1w
2024-05-28,chop,down,up,0,10.3421,0.424,1w
2024-06-06,chop,neutral,neutral,0,-0.0251,0.4933,1w
2024-06-17,chop,neutral,up,0,5.0555,0.456,1w
2024-06-27,chop,neutral,neutral,0,-0.2133,0.508,1w
2024-07-09,chop,up,down,0,-6.2873,0.6053,1w
2024-07-18,chop,up,down,0,-1.1013,0.692,1w
2024-07-29,chop,up,up,1,9.5666,0.58,1w
2024-08-07,chop,neutral,up,0,7.8346,0.5013,1w
2024-08-16,chop,neutral,up,0,8.7795,0.5,1w
2024-08-27,chop,up,up,1,3.4285,0.636,1w
2024-09-06,chop,neutral,up,0,5.5489,0.4653,1w
2024-09-17,chop,up,down,0,-2.0378,0.6573,1w
2024-09-26,trending_bull,neutral,up,0,8.8182,0.5373,1w
2024-10-07,trending_bull,up,up,1,4.5515,0.584,1w
2024-10-16,trending_bull,neutral,neutral,0,-0.1736,0.524,1w
2024-10-25,trending_bull,up,down,0,-7.5726,0.7307,1w
2024-11-05,trending_bull,up,up,1,3.1106,0.664,1w
2024-11-14,trending_bear,up,up,1,4.944,0.5653,1w
2024-11-25,chop,neutral,up,0,3.7041,0.5053,1w
