date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-14.0076,0.516,1w
2021-01-13,chop,neutral,down,0,-31.7861,0.4987,1w
2021-01-25,chop,neutral,down,0,-32.327,0.4907,1w
2021-02-03,chop,up,down,0,-31.8584,0.6307,1w
2021-02-12,high_volatility,down,neutral,0,-0.1738,0.2667,1w
2021-02-24,trending_bear,down,up,0,8.5741,0.248,1w
2021-03-05,trending_bear,down,up,0,13.6711,0.2747,1w
2021-03-16,trending_bear,down,neutral,0,0.0861,0.2253,1w
2021-03-25,trending_bear,down,down,1,-11.3814,0.2267,1w
2021-04-06,chop,down,down,1,-30.2041,0.2253,1w
2021-04-15,chop,down,down,1,-16.2025,0.256,1w
2021-04-26,chop,down,down,1,-0.779,0.2253,1w
2021-05-05,trending_bear,down,up,0,23.9057,0.1747,1w
2021-05-14,trending_bear,down,down,1,-2.4248,0.3547,1w
2021-05-25,chop,down,up,0,4.3392,0.4227,1w
2021-06-04,chop,neutral,down,0,-1.9319,0.52,1w
2021-06-15,chop,down,up,0,4.8708,0.3467,1w
2021-06-24,chop,down,up,0,8.1244,0.392,1w
2021-07-06,chop,down,neutral,0,0.1905,0.352,1w
2021-07-15,chop,down,up,0,15.6337,0.3733,1w
2021-07-26,chop,neutral,up,0,18.0282,0.5173,1w
2021-08-04,chop,up,down,0,-2.6468,0.6573,1w
2021-08-13,trending_bull,up,down,0,-10.9264,0.6573,1w
2021-08-24,trending_bull,up,down,0,-13.746,0.6693,1w
2021-09-02,trending_bull,neutral,down,0,-9.7436,0.548,1w
2021-09-14,chop,up,down,0,-3.5619,0.5827,1w
2021-09-23,chop,neutral,up,0,4.3851,0.5467,1w
2021-10-04,chop,neutral,up,0,4.8182,0.4773,1w
2021-10-13,chop,neutral,up,0,20.9877,0.4707,1w
2021-10-22,chop,neutral,up,0,24.5283,0.5013,1w
2021-11-02,chop,down,up,0,25.9912,0.4093,1w
2021-11-11,chop,neutral,down,0,-9.7301,0.5453,1w
2021-11-22,trending_bull,up,down,0,-2.555,0.5693,1w
2021-12-02,trending_bull,up,neutral,0,-0.0695,0.6347,1w
2021-12-13,trending_bull,up,up,1,20.765,0.58,1w
2021-12-22,chop,up,up,1,6.4039,0.6933,1w
2022-01-03,chop,up,up,1,10.0,0.692,1w
2022-01-12,trending_bull,up,up,1,7.3389,0.7253,1w
2022-01-24,trending_bull,up,up,1,18.9317,0.7253,1w
2022-02-02,trending_bull,up,up,1,4.6232,0.7413,1w
2022-02-11,trending_bull,up,down,0,-13.0,0.656,1w
2022-02-23,high_volatility,up,down,0,-15.5297,0.6933,1w
2022-03-04,chop,up,down,0,-6.4967,0.6053,1w
2022-03-15,chop,up,down,0,-12.8374,0.6107,1w
2022-03-24,chop,neutral,down,0,-27.1328,0.5453,1w
2022-04-04,chop,neutral,down,0,-42.6,0.544,1w
2022-04-13,chop,down,down,1,-42.868,0.3147,1w
2022-04-25,trending_bear,down,down,1,-16.3801,0.2413,1w
2022-05-04,trending_bear,down,up,0,14.6914,0.1053,1w
2022-05-13,trending_bear,down,up,0,17.7931,0.0293,1w
2022-05-24,trending_bear,down,down,1,-8.1319,0.0853,1w
2022-06-03,trending_bear,down,down,1,-10.808,0.1387,1w
2022-06-14,chop,down,up,0,9.4385,0.1413,1w
2022-06-24,chop,down,up,0,10.7784,0.12,1w
2022-07-06,chop,down,up,0,3.0999,0.1413,1w
2022-07-15,chop,down,up,0,1.556,0.2267,1w
2022-07-26,chop,down,up,0,10.82,0.348,1w
2022-08-04,chop,up,up,1,4.9127,0.5613,1w
2022-08-15,chop,up,down,0,-9.5424,0.696,1w
2022-08-24,chop,neutral,down,0,-4.2599,0.5293,1w
2022-09-02,chop,neutral,down,0,-4.4025,0.4827,1w
2022-09-14,chop,up,up,1,4.2363,0.5693,1w
2022-09-23,chop,neutral,up,0,15.5556,0.544,1w
2022-10-04,chop,neutral,up,0,28.3582,0.5147,1w
2022-10-13,chop,down,up,0,2.2966,0.4427,1w
2022-10-24,chop,up,up,1,10.5836,0.6107,1w
2022-11-02,trending_bull,up,up,1,13.624,0.6227,1w
2022-11-11,trending_bull,neutral,up,0,13.8083,0.5107,1w
2022-11-22,trending_bull,up,up,1,13.8743,0.6333,1w
2022-12-02,trending_bull,up,down,0,-1.9654,0.7107,1w
2022-12-13,trending_bull,up,down,0,-6.7744,0.7693,1w
2022-12-22,trending_bull,up,down,0,-2.3059,0.7693,1w
2023-01-04,trending_bull,up,up,1,1.2235,0.768,1w
2023-01-13,trending_bull,up,up,1,24.1975,0.6173,1w
2023-01-25,chop,up,up,1,16.5771,0.692,1w
2023-02-03,chop,up,up,1,15.1988,0.5987,1w
2023-02-14,trending_bull,up,up,1,7.0175,0.7293,1w
2023-02-24,trending_bull,up,up,1,14.6441,0.7293,1w
2023-03-07,trending_bull,up,up,1,11.9843,0.62,1w
2023-03-16,trending_bull,up,up,1,3.6108,0.704,1w
2023-03-27,high_volatility,up,down,0,-2.3055,0.724,1w
2023-04-05,trending_bull,up,up,1,8.2051,0.768,1w
2023-04-17,trending_bull,up,up,1,7.5426,0.7693,1w
2023-04-26,trending_bull,up,up,1,6.528,0.7413,1w
2023-05-05,high_volatility,up,down,0,-10.4992,0.8307,1w
