date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-9.0022,0.736,1w
2021-01-13,high_volatility,up,down,0,-7.4661,0.616,1w
2021-01-25,crisis,down,down,1,-4.3079,0.3227,1w
2021-02-03,crisis,down,down,1,-7.1182,0.34,1w
2021-02-12,crisis,down,down,1,-8.3242,0.304,1w
2021-02-24,high_volatility,down,up,0,6.9349,0.212,1w
2021-03-05,crisis,down,up,0,7.411,0.26,1w
2021-03-16,crisis,down,up,0,3.5714,0.1787,1w
2021-03-25,high_volatility,down,down,1,-9.5231,0.296,1w
2021-04-06,chop,down,down,1,-13.6691,0.312,1w
2021-04-15,chop,down,down,1,-15.9376,0.2787,1w
2021-04-26,chop,down,down,1,-10.9533,0.3507,1w
2021-05-05,high_volatility,down,down,1,-4.6177,0.2747,1w
2021-05-14,crisis,down,down,1,-8.7865,0.2453,1w
2021-05-25,crisis,down,down,1,-0.6414,0.324,1w
2021-06-04,high_volatility,down,down,1,-6.1034,0.3787,1w
2021-06-15,high_volatility,down,up,0,4.0995,0.2613,1w
2021-06-24,high_volatility,down,up,0,1.9212,0.2133,1w
2021-07-06,chop,down,up,0,11.804,0.1947,1w
2021-07-15,chop,down,up,0,13.1977,0.248,1w
2021-07-26,chop,down,up,0,6.7024,0.3573,1w
2021-08-04,chop,down,down,1,-7.7066,0.4387,1w
2021-08-13,trending_bull,up,down,0,-11.8177,0.5907,1w
2021-08-24,trending_bull,up,down,0,-10.9319,0.5973,1w
2021-09-02,chop,down,down,1,-7.1649,0.4253,1w
2021-09-14,chop,up,down,0,-11.113,0.5693,1w
2021-09-23,chop,down,neutral,0,-0.0327,0.3787,1w
2021-10-04,trending_bear,down,down,1,-2.4882,0.376,1w
2021-10-13,trending_bear,down,up,0,5.1819,0.2973,1w
2021-10-22,trending_bear,down,up,0,1.2354,0.368,1w
2021-11-02,chop,down,up,0,10.554,0.2253,1w
2021-11-11,chop,down,down,1,-0.8265,0.256,1w
2021-11-22,chop,down,down,1,-4.1425,0.3147,1w
2021-12-02,chop,neutral,down,0,-9.3785,0.4653,1w
2021-12-13,chop,down,down,1,-3.0944,0.4093,1w
2021-12-22,chop,neutral,up,0,8.1009,0.4587,1w
2022-01-03,chop,down,up,0,17.3026,0.3733,1w
2022-01-12,chop,neutral,up,0,8.3745,0.524,1w
2022-01-24,chop,neutral,up,0,3.1592,0.5227,1w
2022-02-02,trending_bull,up,down,0,-2.0119,0.7147,1w
2022-02-11,trending_bull,up,down,0,-2.5493,0.5733,1w
2022-02-23,trending_bull,neutral,up,0,6.6888,0.536,1w
2022-03-04,chop,neutral,up,0,7.837,0.5107,1w
2022-03-15,chop,neutral,up,0,3.9937,0.5293,1w
2022-03-24,chop,up,neutral,0,0.3984,0.744,1w
2022-04-04,trending_bull,up,neutral,0,0.0791,0.7867,1w
2022-04-13,trending_bull,up,up,1,2.4934,0.7133,1w
2022-04-25,chop,up,up,1,6.3424,0.6173,1w
2022-05-04,chop,neutral,up,0,9.9136,0.536,1w
2022-05-13,chop,up,up,1,11.8413,0.6107,1w
2022-05-24,trending_bull,up,up,1,5.4311,0.764,1w
2022-06-03,trending_bull,up,up,1,3.6986,0.8547,1w
2022-06-14,trending_bull,up,up,1,3.4772,0.8653,1w
