date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-12.8207,0.4093,1w
2021-01-13,chop,down,down,1,-12.4967,0.4067,1w
2021-01-25,chop,down,down,1,-4.8456,0.2333,1w
2021-02-03,trending_bear,down,down,1,-8.2201,0.26,1w
2021-02-12,chop,down,down,1,-6.7825,0.2933,1w
2021-02-24,chop,down,down,1,-3.4499,0.3187,1w
2021-03-05,chop,down,down,1,-6.264,0.3467,1w
2021-03-16,trending_bear,down,down,1,-6.0596,0.2253,1w
2021-03-25,trending_bear,down,down,1,-14.5448,0.2947,1w
2021-04-06,chop,down,down,1,-2.7695,0.2267,1w
2021-04-15,trending_bear,down,down,1,-12.8757,0.224,1w
2021-04-26,trending_bear,down,down,1,-7.5735,0.2747,1w
2021-05-05,trending_bear,down,down,1,-5.0109,0.3027,1w
2021-05-14,trending_bear,down,down,1,-10.3044,0.256,1w
2021-05-25,trending_bear,down,down,1,-7.0282,0.2827,1w
2021-06-04,chop,down,down,1,-11.755,0.3467,1w
2021-06-15,chop,down,up,0,1.7898,0.2427,1w
2021-06-24,chop,down,up,0,6.0897,0.208,1w
2021-07-06,chop,down,up,0,9.1178,0.256,1w
2021-07-15,chop,down,up,0,10.8704,0.32,1w
2021-07-26,chop,down,down,1,-1.0723,0.3787,1w
2021-08-04,chop,down,down,1,-17.061,0.3733,1w
2021-08-13,chop,neutral,down,0,-20.841,0.5293,1w
2021-08-24,chop,down,down,1,-16.4083,0.4253,1w
2021-09-02,chop,down,down,1,-8.6754,0.2747,1w
2021-09-14,chop,down,down,1,-8.8434,0.3507,1w
2021-09-23,trending_bear,down,up,0,3.8508,0.2787,1w
2021-10-04,trending_bear,down,up,0,0.5112,0.28,1w
2021-10-13,trending_bear,down,up,0,15.5762,0.2253,1w
2021-10-22,chop,down,up,0,10.2546,0.3013,1w
2021-11-02,chop,down,up,0,15.116,0.2333,1w
2021-11-11,chop,down,up,0,2.5005,0.336,1w
2021-11-22,chop,down,down,1,-3.8791,0.436,1w
2021-12-02,chop,neutral,down,0,-8.2827,0.5467,1w
2021-12-13,chop,up,down,0,-2.4853,0.6107,1w
2021-12-22,chop,up,up,1,18.7109,0.588,1w
2022-01-03,chop,neutral,up,0,17.5495,0.5053,1w
2022-01-12,chop,up,up,1,5.0,0.668,1w
2022-01-24,chop,up,down,0,-6.3845,0.6933,1w
2022-02-02,trending_bull,up,down,0,-5.7354,0.692,1w
2022-02-11,chop,up,down,0,-11.6133,0.5613,1w
2022-02-23,chop,neutral,neutral,0,0.2483,0.5453,1w
2022-03-04,chop,neutral,down,0,-2.7986,0.5107,1w
2022-03-15,chop,down,down,1,-3.6747,0.3733,1w
2022-03-24,chop,up,down,0,-8.9626,0.588,1w
2022-04-04,chop,neutral,down,0,-1.0632,0.548,1w
2022-04-13,chop,down,down,1,-0.6409,0.3787,1w
2022-04-25,chop,down,up,0,4.4103,0.2173,1w
2022-05-04,chop,down,up,0,3.2182,0.2747,1w
2022-05-13,chop,down,up,0,14.3614,0.2333,1w
2022-05-24,chop,down,up,0,4.7513,0.3373,1w
2022-06-03,trending_bull,down,up,0,1.724,0.3893,1w
2022-06-14,trending_bull,up,up,1,4.7508,0.5773,1w
2022-06-24,trending_bull,neutral,up,0,4.8417,0.4653,1w
2022-07-06,chop,neutral,up,0,6.6347,0.524,1w
2022-07-15,chop,up,down,0,-6.7903,0.6693,1w
2022-07-26,chop,up,down,0,-6.777,0.7253,1w
2022-08-04,chop,up,neutral,0,0.4217,0.6693,1w
2022-08-15,chop,up,down,0,-1.152,0.6027,1w
2022-08-24,chop,neutral,down,0,-4.9542,0.5493,1w
2022-09-02,chop,up,down,0,-11.427,0.6173,1w
2022-09-14,chop,down,down,1,-5.2226,0.3733,1w
2022-09-23,chop,down,down,1,-6.2968,0.3787,1w
2022-10-04,chop,down,down,1,-8.9864,0.3653,1w
2022-10-13,chop,down,down,1,-2.0061,0.2173,1w
2022-10-24,chop,down,up,0,8.2947,0.184,1w
2022-11-02,trending_bear,down,up,0,10.574,0.152,1w
2022-11-11,trending_bear,down,up,0,14.479,0.3467,1w
2022-11-22,trending_bull,down,up,0,20.5697,0.332,1w
