date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-14.6446,0.456,1w
2021-01-13,chop,down,neutral,0,0.2668,0.3467,1w
2021-01-25,trending_bear,down,down,1,-1.5303,0.3067,1w
2021-02-03,trending_bear,down,down,1,-8.3393,0.3053,1w
2021-02-12,chop,down,down,1,-14.6893,0.3493,1w
2021-02-24,chop,down,up,0,6.1429,0.3467,1w
2021-03-05,chop,down,up,0,23.2399,0.2933,1w
2021-03-16,chop,down,up,0,26.9273,0.26,1w
2021-03-25,chop,down,up,0,8.5937,0.2747,1w
2021-04-06,chop,down,down,1,-8.5477,0.3947,1w
2021-04-15,chop,up,down,0,-40.3878,0.5867,1w
2021-04-26,chop,up,down,0,-36.6376,0.5653,1w
2021-05-05,chop,neutral,down,0,-29.5644,0.4947,1w
2021-05-14,trending_bear,down,down,1,-7.3635,0.2213,1w
2021-05-25,trending_bear,down,up,0,30.9825,0.2747,1w
2021-06-04,trending_bear,down,up,0,24.1004,0.3267,1w
2021-06-15,trending_bear,down,up,0,36.1949,0.2947,1w
2021-06-24,trending_bull,down,down,1,-15.9155,0.388,1w
2021-07-06,trending_bull,down,down,1,-15.4307,0.3507,1w
2021-07-15,trending_bull,down,down,1,-20.3552,0.304,1w
2021-07-26,trending_bear,down,down,1,-2.9306,0.256,1w
2021-08-04,trending_bear,down,down,1,-13.0895,0.312,1w
2021-08-13,chop,neutral,down,0,-10.5273,0.4787,1w
2021-08-24,trending_bear,neutral,down,0,-17.1659,0.52,1w
2021-09-02,chop,down,down,1,-12.1885,0.424,1w
2021-09-14,chop,down,down,1,-15.021,0.4453,1w
2021-09-23,chop,down,down,1,-7.253,0.2093,1w
2021-10-04,trending_bear,down,down,1,-1.7112,0.164,1w
2021-10-13,trending_bear,down,down,1,-5.2207,0.1253,1w
2021-10-22,trending_bear,down,down,1,-7.4583,0.2253,1w
2021-11-02,chop,down,down,1,-6.849,0.2187,1w
2021-11-11,chop,down,up,0,17.0451,0.2267,1w
2021-11-22,chop,down,up,0,27.3016,0.1653,1w
2021-12-02,chop,down,up,0,13.3184,0.2747,1w
2021-12-13,chop,down,down,1,-3.8727,0.4213,1w
2021-12-22,trending_bull,neutral,down,0,-2.9241,0.524,1w
2022-01-03,trending_bull,neutral,neutral,0,-0.2108,0.528,1w
2022-01-12,trending_bull,neutral,up,0,0.597,0.5427,1w
2022-01-24,chop,up,up,1,2.3963,0.588,1w
2022-02-02,chop,up,down,0,-3.4332,0.588,1w
2022-02-11,chop,up,down,0,-5.8266,0.6173,1w
2022-02-23,chop,up,down,0,-13.8743,0.6653,1w
2022-03-04,chop,up,down,0,-5.9072,0.5507,1w
2022-03-15,chop,down,down,1,-5.0224,0.3947,1w
2022-03-24,trending_bear,down,up,0,12.1082,0.3347,1w
2022-04-04,chop,down,up,0,18.2499,0.3387,1w
2022-04-13,chop,down,up,0,20.2945,0.3467,1w
2022-04-25,chop,down,up,0,18.0723,0.4307,1w
2022-05-04,trending_bull,neutral,up,0,8.5345,0.4707,1w
2022-05-13,trending_bull,up,up,1,7.2821,0.5867,1w
2022-05-24,trending_bull,up,down,0,-2.6042,0.6,1w
2022-06-03,trending_bull,up,down,0,-11.5773,0.656,1w
2022-06-14,trending_bull,up,down,0,-9.2509,0.6987,1w
2022-06-24,trending_bull,up,down,0,-13.2029,0.7307,1w
2022-07-06,trending_bear,up,down,0,-15.4433,0.64,1w
2022-07-15,chop,up,down,0,-13.1644,0.58,1w
2022-07-26,chop,neutral,down,0,-11.9552,0.4653,1w
2022-08-04,chop,down,up,0,5.2297,0.2173,1w
2022-08-15,trending_bear,down,up,0,5.7651,0.2387,1w
2022-08-24,trending_bear,down,down,1,-3.2709,0.1667,1w
2022-09-02,chop,down,down,1,-11.7298,0.1667,1w
2022-09-14,chop,down,down,1,-10.9076,0.236,1w
2022-09-23,chop,down,down,1,-13.9802,0.1867,1w
2022-10-04,chop,down,up,0,4.6611,0.2133,1w
2022-10-13,chop,down,down,1,-4.6191,0.2253,1w
2022-10-24,chop,down,up,0,16.3874,0.2787,1w
2022-11-02,chop,neutral,up,0,6.155,0.488,1w
2022-11-11,chop,down,up,0,16.8407,0.428,1w
2022-11-22,chop,neutral,up,0,21.3592,0.4827,1w
2022-12-02,chop,neutral,up,0,12.0924,0.52,1w
2022-12-13,trending_bull,up,down,0,-4.1603,0.5987,1w
2022-12-22,trending_bull,up,down,0,-4.9769,0.6413,1w
2023-01-04,trending_bull,up,down,0,-5.9664,0.6907,1w
2023-01-13,trending_bull,up,up,1,5.1105,0.6107,1w
2023-01-25,chop,up,up,1,11.7412,0.7533,1w
2023-02-03,chop,up,up,1,11.7019,0.6173,1w
2023-02-14,chop,up,up,1,2.3995,0.6613,1w
2023-02-24,chop,up,down,0,-15.2814,0.7267,1w
2023-03-07,trending_bull,up,down,0,-1.1996,0.6693,1w
2023-03-16,chop,neutral,down,0,-9.1865,0.5013,1w
2023-03-27,chop,down,down,1,-6.3434,0.4093,1w
2023-04-05,chop,neutral,down,0,-14.3739,0.5293,1w
2023-04-17,crisis,down,down,1,-6.7785,0.4427,1w
2023-04-26,high_volatility,down,down,1,-8.8156,0.4453,1w
2023-05-05,chop,down,down,1,-1.2154,0.404,1w
2023-05-16,chop,down,down,1,-8.3548,0.3467,1w
2023-05-25,chop,down,up,0,3.0249,0.1787,1w
2023-06-06,chop,down,down,1,-0.6703,0.248,1w
2023-06-15,chop,down,up,0,10.2764,0.296,1w
2023-06-27,chop,down,up,0,8.3052,0.3387,1w
2023-07-07,chop,down,up,0,17.7988,0.2933,1w
2023-07-18,chop,neutral,up,0,20.921,0.4653,1w
2023-07-27,chop,neutral,up,0,26.1052,0.4893,1w
