date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-03-10,trending_bear,down,up,0,3.4024,0.12,1w
2021-03-19,trending_bear,down,down,1,-17.6743,0.1947,1w
2021-03-30,chop,down,down,1,-40.3771,0.204,1w
2021-04-09,chop,down,down,1,-37.827,0.2213,1w
2021-04-20,chop,down,down,1,-23.9524,0.2253,1w
2021-04-29,chop,down,down,1,-4.7337,0.2253,1w
2021-05-10,trending_bear,down,up,0,27.7529,0.1787,1w
2021-05-19,chop,down,down,1,-24.1475,0.256,1w
2021-05-28,chop,down,up,0,8.425,0.26,1w
2021-06-09,chop,down,up,0,25.6473,0.34,1w
2021-06-18,chop,down,up,0,48.3067,0.22,1w
2021-06-29,chop,down,up,0,26.3374,0.328,1w
2021-07-09,chop,down,up,0,27.3106,0.4467,1w
2021-07-20,trending_bull,neutral,up,0,13.1011,0.4613,1w
2021-07-29,trending_bull,up,down,0,-7.85,0.5907,1w
2021-08-09,trending_bull,up,down,0,-15.6494,0.752,1w
2021-08-18,trending_bull,up,down,0,-12.3974,0.6413,1w
2021-08-27,chop,up,down,0,-6.7058,0.588,1w
2021-09-08,chop,up,down,0,-6.474,0.588,1w
2021-09-17,chop,up,up,1,14.8208,0.7213,1w
2021-09-28,chop,neutral,up,0,19.6109,0.528,1w
2021-10-07,chop,neutral,up,0,16.5422,0.4907,1w
2021-10-18,chop,neutral,down,0,-15.3296,0.504,1w
2021-10-27,chop,neutral,down,0,-31.6989,0.5133,1w
2021-11-05,chop,down,down,1,-23.0286,0.3787,1w
2021-11-16,chop,down,down,1,-18.8899,0.376,1w
2021-11-26,chop,down,down,1,-14.7345,0.3733,1w
2021-12-07,chop,down,down,1,-6.1424,0.328,1w
2021-12-16,chop,down,up,0,29.4714,0.3467,1w
2021-12-28,chop,down,up,0,44.3043,0.2987,1w
2022-01-06,chop,down,up,0,25.6744,0.3827,1w
2022-01-18,trending_bull,down,up,0,30.44,0.376,1w
2022-01-27,trending_bull,down,up,0,3.1241,0.3733,1w
2022-02-07,trending_bull,neutral,up,0,6.4783,0.4653,1w
2022-02-16,trending_bull,up,up,1,6.0665,0.6027,1w
2022-02-28,trending_bull,up,up,1,14.7545,0.576,1w
2022-03-09,trending_bull,up,up,1,15.9301,0.6173,1w
2022-03-18,chop,up,down,0,-8.1583,0.7293,1w
2022-03-29,chop,up,down,0,-17.4206,0.752,1w
2022-04-07,chop,up,down,0,-21.4286,0.724,1w
2022-04-19,chop,up,up,1,1.8397,0.6027,1w
2022-04-28,trending_bear,neutral,up,0,9.9722,0.4787,1w
2022-05-09,trending_bear,neutral,neutral,0,0.0,0.4533,1w
2022-05-18,chop,neutral,up,0,4.3989,0.5013,1w
2022-05-27,chop,neutral,down,0,-7.4534,0.524,1w
2022-06-08,chop,down,up,0,12.794,0.4467,1w
2022-06-17,chop,down,up,0,6.3213,0.408,1w
2022-06-29,chop,down,down,1,-2.6055,0.38,1w
2022-07-11,chop,down,down,1,-32.2135,0.424,1w
2022-07-20,chop,neutral,down,0,-32.1913,0.468,1w
2022-07-29,chop,neutral,down,0,-29.5968,0.548,1w
2022-08-09,chop,down,down,1,-5.2271,0.2973,1w
2022-08-18,trending_bear,down,neutral,0,0.0,0.2413,1w
2022-08-29,trending_bear,down,down,1,-1.242,0.2253,1w
2022-09-08,trending_bear,down,up,0,5.8144,0.2893,1w
2022-09-19,trending_bear,down,up,0,15.0095,0.2387,1w
2022-09-28,trending_bear,down,up,0,7.0097,0.2267,1w
2022-10-07,trending_bull,down,up,0,13.4584,0.2267,1w
2022-10-18,trending_bull,down,up,0,21.1241,0.2667,1w
2022-10-27,trending_bull,down,up,0,22.9364,0.3,1w
2022-11-07,trending_bull,up,up,1,1.6318,0.6173,1w
2022-11-16,trending_bull,up,up,1,17.3569,0.7827,1w
2022-11-28,trending_bull,up,up,1,20.0362,0.764,1w
2022-12-07,trending_bull,up,up,1,3.5513,0.7667,1w
2022-12-16,trending_bull,up,down,0,-13.5032,0.9107,1w
