date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-24.9578,0.3013,1w
2021-01-13,trending_bear,down,up,0,1.9525,0.296,1w
2021-01-25,trending_bear,down,up,0,7.6322,0.1707,1w
2021-02-03,trending_bear,down,down,1,-5.0151,0.1813,1w
2021-02-12,trending_bear,down,down,1,-30.6273,0.1947,1w
2021-02-24,trending_bear,down,down,1,-9.5266,0.232,1w
2021-03-05,chop,down,up,0,11.4286,0.22,1w
2021-03-16,chop,down,up,0,1.1611,0.1787,1w
2021-03-25,chop,down,down,1,-23.4082,0.256,1w
2021-04-06,chop,down,down,1,-35.6971,0.2747,1w
2021-04-15,chop,down,down,1,-43.2604,0.2987,1w
2021-04-26,chop,down,down,1,-10.9285,0.2973,1w
2021-05-05,trending_bear,down,up,0,7.4439,0.2307,1w
2021-05-14,trending_bear,down,up,0,18.4819,0.132,1w
2021-05-25,trending_bear,down,up,0,39.2392,0.2747,1w
2021-06-04,trending_bear,down,up,0,15.6366,0.388,1w
2021-06-15,chop,down,up,0,53.8244,0.3733,1w
2021-06-24,chop,down,up,0,20.2151,0.4133,1w
2021-07-06,chop,down,down,1,-10.2167,0.448,1w
2021-07-15,trending_bull,neutral,up,0,8.3747,0.544,1w
2021-07-26,trending_bull,up,up,1,11.6986,0.6107,1w
2021-08-04,chop,up,up,1,4.4371,0.588,1w
2021-08-13,chop,up,down,0,-24.0721,0.764,1w
2021-08-24,chop,up,down,0,-29.6379,0.736,1w
2021-09-02,chop,up,neutral,0,-0.2574,0.5733,1w
2021-09-14,chop,up,up,1,16.1834,0.6173,1w
2021-09-23,chop,down,up,0,42.0372,0.412,1w
2021-10-04,chop,neutral,up,0,10.3368,0.456,1w
2021-10-13,chop,neutral,up,0,7.1344,0.516,1w
2021-10-22,chop,up,up,1,4.215,0.5693,1w
2021-11-02,chop,up,up,1,1.6584,0.6027,1w
2021-11-11,chop,neutral,up,0,3.6336,0.4693,1w
2021-11-22,chop,down,up,0,23.409,0.4493,1w
2021-12-02,chop,up,down,0,-3.6217,0.5733,1w
2021-12-13,chop,up,neutral,0,-0.0465,0.652,1w
2021-12-22,chop,up,up,1,14.6875,0.7747,1w
2022-01-03,high_volatility,neutral,up,0,12.4488,0.5453,1w
2022-01-12,chop,up,down,0,-12.338,0.6173,1w
2022-01-24,chop,up,down,0,-16.6814,0.6507,1w
2022-02-02,chop,up,neutral,0,0.2437,0.5907,1w
2022-02-11,chop,neutral,down,0,-10.1297,0.48,1w
2022-02-23,chop,neutral,down,0,-8.1036,0.504,1w
2022-03-04,chop,neutral,down,0,-14.1095,0.5013,1w
2022-03-15,chop,down,down,1,-4.0344,0.3467,1w
2022-03-24,trending_bear,down,up,0,6.7909,0.352,1w
2022-04-04,trending_bear,down,up,0,12.6582,0.376,1w
2022-04-13,chop,down,up,0,13.8003,0.2853,1w
2022-04-25,chop,down,up,0,22.8751,0.2693,1w
2022-05-04,chop,down,up,0,7.0476,0.388,1w
2022-05-13,chop,neutral,up,0,6.0776,0.544,1w
2022-05-24,trending_bull,up,down,0,-4.9832,0.6067,1w
2022-06-03,trending_bull,up,down,0,-17.1342,0.5587,1w
2022-06-14,trending_bull,up,down,0,-14.3297,0.6347,1w
2022-06-24,chop,up,down,0,-13.8308,0.616,1w
2022-07-06,chop,up,down,0,-7.839,0.5987,1w
2022-07-15,chop,neutral,down,0,-14.7059,0.4907,1w
2022-07-26,trending_bear,neutral,down,0,-8.4856,0.464,1w
2022-08-04,trending_bear,down,down,1,-5.5522,0.2693,1w
2022-08-15,trending_bear,down,up,0,52.4081,0.1733,1w
2022-08-24,trending_bear,down,up,0,28.9141,0.1667,1w
2022-09-02,trending_bear,down,up,0,14.9693,0.0987,1w
2022-09-14,trending_bull,neutral,down,0,-25.1599,0.508,1w
2022-09-23,trending_bull,neutral,down,0,-13.2231,0.4907,1w
2022-10-04,trending_bull,neutral,neutral,0,-0.3631,0.4707,1w
2022-10-13,chop,down,up,0,11.7411,0.424,1w
2022-10-24,chop,neutral,up,0,21.5871,0.5053,1w
2022-11-02,chop,up,up,1,17.9695,0.5587,1w
2022-11-11,chop,up,up,1,21.9909,0.588,1w
2022-11-22,trending_bull,up,up,1,35.2809,0.64,1w
2022-12-02,trending_bull,up,up,1,12.5247,0.6907,1w
2022-12-13,trending_bull,up,up,1,0.8487,0.5867,1w
2022-12-22,trending_bull,up,down,0,-8.849,0.7533,1w
2023-01-04,high_volatility,up,up,1,1.3447,0.764,1w
2023-01-13,crisis,up,up,1,5.8996,0.824,1w
2023-01-25,crisis,up,up,1,5.4513,0.7947,1w
2023-02-03,crisis,up,down,0,-4.4391,0.7293,1w
2023-02-14,crisis,up,down,0,-12.156,0.752,1w
2023-02-24,high_volatility,up,down,0,-13.5979,0.756,1w
2023-03-07,crisis,up,down,0,-9.1206,0.5693,1w
2023-03-16,crisis,down,down,1,-8.5596,0.4093,1w
2023-03-27,high_volatility,down,down,1,-18.8991,0.2947,1w
2023-04-05,chop,down,down,1,-4.879,0.3347,1w
2023-04-17,chop,down,neutral,0,-0.0845,0.3453,1w
2023-04-26,chop,down,down,1,-2.5478,0.2253,1w
2023-05-05,chop,down,down,1,-1.113,0.2413,1w
2023-05-16,chop,down,down,1,-6.5812,0.2187,1w
2023-05-25,chop,down,up,0,1.6714,0.144,1w
2023-06-06,chop,down,down,1,-10.1783,0.2693,1w
2023-06-15,chop,down,up,0,11.2736,0.2453,1w
2023-06-27,chop,down,up,0,18.1988,0.2493,1w
2023-07-07,chop,down,down,1,-4.8227,0.3187,1w
2023-07-18,chop,neutral,down,0,-19.2708,0.4693,1w
2023-07-27,chop,up,down,0,-20.8266,0.6053,1w
2023-08-07,high_volatility,down,down,1,-1.9577,0.3467,1w
2023-08-16,chop,down,up,0,1.2124,0.2827,1w
2023-08-25,chop,down,down,1,-3.3508,0.412,1w
2023-09-06,chop,down,down,1,-11.3452,0.2973,1w
2023-09-15,chop,down,down,1,-23.4862,0.3893,1w
2023-09-26,chop,down,down,1,-2.1591,0.3653,1w
2023-10-05,trending_bear,down,neutral,0,0.2981,0.2933,1w
2023-10-16,trending_bear,down,down,1,-13.2337,0.2453,1w
2023-10-25,chop,down,down,1,-17.1948,0.2293,1w
2023-11-03,chop,down,down,1,-21.0006,0.3813,1w
2023-11-14,chop,down,down,1,-18.8934,0.332,1w
2023-11-24,trending_bear,down,down,1,-17.1631,0.2613,1w
2023-12-05,chop,down,down,1,-7.2823,0.256,1w
2023-12-14,chop,down,down,1,-13.1803,0.1027,1w
2023-12-26,chop,down,down,1,-11.98,0.168,1w
2024-01-05,chop,down,down,1,-15.1394,0.2187,1w
2024-01-17,chop,down,up,0,4.7527,0.0853,1w
2024-01-26,chop,down,down,1,-9.7022,0.1387,1w
2024-02-06,chop,down,down,1,-16.9246,0.144,1w
2024-02-15,chop,down,down,1,-22.5275,0.22,1w
2024-02-27,chop,down,down,1,-19.6825,0.1533,1w
2024-03-07,chop,down,down,1,-41.6565,0.152,1w
2024-03-18,trending_bear,down,down,1,-23.9183,0.2187,1w
2024-03-27,trending_bear,down,up,0,9.1454,0.156,1w
2024-04-08,trending_bear,down,up,0,30.3704,0.064,1w
2024-04-17,trending_bear,down,down,1,-10.0418,0.232,1w
2024-04-26,trending_bear,down,down,1,-65.6619,0.296,1w
2024-05-07,trending_bear,down,down,1,-56.7954,0.3027,1w
2024-05-16,chop,down,down,1,-58.6861,0.2573,1w
2024-05-28,trending_bear,down,down,1,-2.3904,0.2333,1w
2024-06-06,trending_bear,down,neutral,0,0.0,0.2853,1w
2024-06-17,trending_bear,down,up,0,15.9259,0.2747,1w
2024-06-27,trending_bear,down,up,0,21.2355,0.284,1w
2024-07-09,trending_bear,down,down,1,-3.3784,0.3733,1w
2024-07-18,chop,down,down,1,-13.6498,0.312,1w
2024-07-29,chop,down,up,0,9.8361,0.2973,1w
