date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,neutral,0,0.4949,0.332,1w
2021-01-13,chop,down,up,0,6.7712,0.4213,1w
2021-01-25,chop,down,up,0,5.4871,0.412,1w
2021-02-03,chop,down,down,1,-11.5583,0.4093,1w
2021-02-12,chop,neutral,down,0,-18.8661,0.4907,1w
2021-02-24,chop,neutral,down,0,-5.7339,0.5107,1w
2021-03-05,chop,neutral,up,0,20.2012,0.508,1w
2021-03-16,trending_bear,down,up,0,11.4286,0.4213,1w
2021-03-25,chop,down,up,0,6.3093,0.424,1w
2021-04-06,chop,neutral,down,0,-6.9767,0.5013,1w
2021-04-15,chop,down,down,1,-29.5108,0.4253,1w
2021-04-26,chop,neutral,down,0,-32.7749,0.5053,1w
2021-05-05,chop,down,down,1,-25.7807,0.4253,1w
2021-05-14,high_volatility,down,down,1,-32.9872,0.1907,1w
2021-05-25,trending_bear,down,down,1,-27.4683,0.212,1w
2021-06-04,trending_bear,down,down,1,-35.5583,0.3387,1w
2021-06-15,trending_bear,down,down,1,-20.7901,0.1533,1w
2021-06-24,trending_bear,down,down,1,-17.5766,0.0893,1w
2021-07-06,trending_bear,down,up,0,15.2864,0.1,1w
2021-07-15,trending_bear,down,up,0,29.3345,0.0733,1w
2021-07-26,trending_bear,down,up,0,17.6329,0.1133,1w
2021-08-04,trending_bear,down,up,0,3.7262,0.1693,1w
2021-08-13,chop,down,up,0,9.5541,0.2853,1w
2021-08-24,chop,down,up,0,12.0649,0.3493,1w
2021-09-02,chop,down,down,1,-8.3171,0.3013,1w
2021-09-14,trending_bull,up,down,0,-7.3151,0.58,1w
2021-09-23,trending_bull,up,up,1,10.7609,0.5573,1w
2021-10-04,chop,neutral,up,0,18.5405,0.5467,1w
2021-10-13,chop,up,up,1,28.9832,0.6613,1w
2021-10-22,chop,up,up,1,18.158,0.7,1w
2021-11-02,chop,up,up,1,22.654,0.6467,1w
2021-11-11,chop,up,down,0,-2.5308,0.6613,1w
2021-11-22,chop,up,down,0,-11.8877,0.68,1w
2021-12-02,chop,up,down,0,-19.5009,0.724,1w
2021-12-13,chop,up,up,1,11.9799,0.58,1w
2021-12-22,chop,up,up,1,29.2525,0.5827,1w
2022-01-03,chop,up,up,1,31.725,0.572,1w
2022-01-12,chop,up,up,1,16.5564,0.752,1w
2022-01-24,trending_bull,up,up,1,12.2574,0.7,1w
2022-02-02,trending_bull,up,up,1,8.3577,0.764,1w
2022-02-11,trending_bull,up,down,0,-17.6596,0.7253,1w
2022-02-23,trending_bull,up,down,0,-13.282,0.6933,1w
2022-03-04,trending_bull,up,down,0,-12.9129,0.6973,1w
2022-03-15,trending_bear,up,down,0,-4.5013,0.5853,1w
2022-03-24,trending_bear,up,neutral,0,-0.1653,0.6787,1w
2022-04-04,chop,up,up,1,15.9542,0.6773,1w
2022-04-13,chop,down,up,0,20.5193,0.432,1w
2022-04-25,chop,down,up,0,29.7179,0.4013,1w
2022-05-04,chop,neutral,up,0,15.8577,0.524,1w
2022-05-13,trending_bull,neutral,up,0,23.8818,0.4827,1w
2022-05-24,trending_bull,up,up,1,24.8267,0.58,1w
2022-06-03,trending_bull,up,up,1,12.1803,0.6627,1w
2022-06-14,trending_bull,up,up,1,2.9715,0.8587,1w
2022-06-24,trending_bull,up,down,0,-0.5422,0.9413,1w
2022-07-06,trending_bull,up,up,1,1.8724,0.9467,1w
2022-07-15,trending_bull,up,up,1,4.1662,0.9333,1w
2022-07-26,trending_bull,up,down,0,-9.6918,0.9627,1w
2022-08-04,crisis,up,down,0,-8.4213,0.868,1w
2022-08-15,trending_bull,up,down,0,-1.3936,0.848,1w
2022-08-24,high_volatility,up,down,0,-8.8203,0.772,1w
2022-09-02,chop,up,down,0,-9.6096,0.5907,1w
2022-09-14,chop,neutral,down,0,-11.6095,0.524,1w
2022-09-23,chop,down,down,1,-8.8216,0.2973,1w
2022-10-04,high_volatility,down,down,1,-0.5069,0.2867,1w
2022-10-13,high_volatility,down,up,0,12.8143,0.2747,1w
2022-10-24,trending_bear,down,up,0,27.6575,0.1293,1w
2022-11-02,high_volatility,down,up,0,23.6574,0.1973,1w
2022-11-11,crisis,down,up,0,17.1773,0.4133,1w
2022-11-22,high_volatility,neutral,up,0,22.7477,0.5387,1w
2022-12-02,trending_bull,up,up,1,4.1211,0.656,1w
2022-12-13,trending_bull,up,up,1,1.1615,0.7293,1w
2022-12-22,trending_bull,up,down,0,-0.9846,0.8587,1w
2023-01-04,high_volatility,up,down,0,-1.1741,0.7933,1w
2023-01-13,high_volatility,up,down,0,-4.7296,0.8587,1w
2023-01-25,trending_bull,up,down,0,-3.1508,0.936,1w
2023-02-03,crisis,up,up,1,5.333,0.792,1w
2023-02-14,high_volatility,up,up,1,9.4305,0.656,1w
2023-02-24,high_volatility,up,up,1,11.0507,0.656,1w
2023-03-07,chop,up,up,1,9.3848,0.6107,1w
2023-03-16,chop,up,down,0,-1.2942,0.5533,1w
2023-03-27,trending_bull,up,down,0,-1.6104,0.5547,1w
2023-04-05,trending_bull,up,up,1,3.5867,0.6253,1w
2023-04-17,crisis,neutral,up,0,9.9007,0.516,1w
2023-04-26,high_volatility,up,up,1,5.5765,0.6173,1w
