date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-2.191,0.668,1w
2021-01-13,chop,up,down,0,-2.0936,0.668,1w
2021-01-25,chop,up,down,0,-2.9912,0.588,1w
2021-02-03,chop,down,down,1,-1.8784,0.3893,1w
2021-02-12,chop,down,up,0,2.8195,0.4253,1w
2021-02-24,chop,down,up,0,9.8919,0.3467,1w
2021-03-05,chop,down,up,0,11.9953,0.3893,1w
2021-03-16,chop,down,up,0,7.4873,0.4467,1w
2021-03-25,trending_bull,up,up,1,1.224,0.6093,1w
2021-04-06,trending_bull,up,down,0,-5.4295,0.656,1w
2021-04-15,trending_bull,up,down,0,-13.3804,0.6973,1w
2021-04-26,trending_bull,up,down,0,-1.2197,0.6507,1w
2021-05-05,trending_bear,up,down,0,-4.5638,0.58,1w
2021-05-14,crisis,down,down,1,-14.9058,0.4467,1w
2021-05-25,crisis,up,down,0,-11.4618,0.656,1w
2021-06-04,crisis,neutral,down,0,-5.3605,0.4907,1w
2021-06-15,crisis,down,up,0,9.2113,0.216,1w
2021-06-24,crisis,down,down,1,-4.116,0.3067,1w
2021-07-06,chop,down,up,0,2.3315,0.256,1w
2021-07-15,chop,down,up,0,3.4846,0.2093,1w
2021-07-26,chop,down,up,0,3.428,0.248,1w
2021-08-04,chop,down,down,1,-2.3302,0.3573,1w
2021-08-13,chop,down,up,0,9.0317,0.4227,1w
2021-08-24,chop,down,up,0,14.1791,0.2853,1w
2021-09-02,chop,down,up,0,26.6112,0.3893,1w
2021-09-14,crisis,up,up,1,4.3634,0.712,1w
2021-09-23,high_volatility,up,up,1,2.3776,0.588,1w
2021-10-04,high_volatility,up,up,1,2.7544,0.6747,1w
2021-10-13,trending_bull,up,down,0,-1.5255,0.6507,1w
2021-10-22,chop,up,neutral,0,0.2482,0.668,1w
2021-11-02,trending_bull,up,up,1,2.8036,0.6747,1w
2021-11-11,high_volatility,up,up,1,1.0933,0.6107,1w
2021-11-22,chop,up,down,0,-1.7404,0.6733,1w
2021-12-02,chop,up,down,0,-5.9917,0.7307,1w
2021-12-13,chop,up,down,0,-4.413,0.5733,1w
2021-12-22,chop,up,down,0,-0.8383,0.5573,1w
2022-01-03,chop,down,up,0,3.4013,0.4013,1w
2022-01-12,chop,down,up,0,5.794,0.376,1w
2022-01-24,chop,down,up,0,2.4933,0.428,1w
2022-02-02,chop,neutral,neutral,0,-0.3512,0.4907,1w
2022-02-11,chop,neutral,up,0,0.8075,0.5293,1w
2022-02-23,chop,neutral,up,0,8.3237,0.488,1w
2022-03-04,chop,neutral,up,0,6.2338,0.4933,1w
2022-03-15,chop,neutral,up,0,10.6142,0.4907,1w
2022-03-24,chop,up,down,0,-3.7579,0.6267,1w
2022-04-04,chop,up,down,0,-8.645,0.6547,1w
2022-04-13,trending_bull,up,down,0,-8.3905,0.712,1w
2022-04-25,chop,up,down,0,-5.2185,0.5827,1w
2022-05-04,chop,down,down,1,-1.5523,0.3893,1w
2022-05-13,trending_bear,down,up,0,3.884,0.448,1w
2022-05-24,trending_bear,down,up,0,8.1903,0.4093,1w
2022-06-03,trending_bear,down,down,1,-5.789,0.4013,1w
2022-06-14,trending_bear,neutral,down,0,-7.8486,0.512,1w
2022-06-24,chop,down,up,0,2.0766,0.3493,1w
2022-07-06,trending_bear,down,up,0,10.6853,0.22,1w
2022-07-15,trending_bear,down,up,0,10.9228,0.26,1w
2022-07-26,chop,down,up,0,11.6228,0.3653,1w
2022-08-04,chop,neutral,up,0,6.2176,0.4707,1w
2022-08-15,trending_bull,up,up,1,4.3946,0.5987,1w
2022-08-24,trending_bull,up,up,1,0.5167,0.68,1w
2022-09-02,trending_bull,up,neutral,0,-0.4155,0.6173,1w
2022-09-14,trending_bull,up,up,1,1.9711,0.572,1w
2022-09-23,chop,up,down,0,-3.3793,0.768,1w
2022-10-04,chop,up,down,0,-1.4835,0.7947,1w
2022-10-13,chop,up,down,0,-5.5662,0.768,1w
2022-10-24,chop,up,neutral,0,0.3375,0.6307,1w
2022-11-02,trending_bear,up,up,1,0.7859,0.588,1w
2022-11-11,chop,down,up,0,10.3843,0.4467,1w
2022-11-22,chop,down,up,0,6.0654,0.344,1w
2022-12-02,chop,neutral,up,0,11.1183,0.4653,1w
2022-12-13,chop,up,up,1,7.0,0.6053,1w
2022-12-22,chop,neutral,up,0,11.6935,0.4933,1w
2023-01-04,trending_bull,up,up,1,2.5362,0.668,1w
2023-01-13,trending_bull,up,up,1,2.0116,0.6933,1w
2023-01-25,trending_bull,up,up,1,5.237,0.8213,1w
2023-02-03,crisis,up,up,1,3.6564,0.764,1w
2023-02-14,trending_bull,up,up,1,1.0202,0.86,1w
2023-02-24,high_volatility,up,down,0,-3.0,0.916,1w
2023-03-07,high_volatility,up,down,0,-3.1449,0.8227,1w
2023-03-16,chop,up,down,0,-6.8527,0.6987,1w
2023-03-27,chop,up,down,0,-7.8257,0.768,1w
2023-04-05,chop,neutral,up,0,2.1481,0.5453,1w
2023-04-17,chop,down,up,0,8.5465,0.3187,1w
2023-04-26,high_volatility,down,up,0,11.5285,0.2747,1w
2023-05-05,crisis,neutral,up,0,3.7012,0.5053,1w
2023-05-16,trending_bull,neutral,up,0,7.0807,0.5133,1w
2023-05-25,trending_bull,down,up,0,9.8648,0.4147,1w
2023-06-06,trending_bull,neutral,up,0,5.1419,0.544,1w
2023-06-15,trending_bull,up,up,1,3.8503,0.6613,1w
2023-06-27,trending_bull,up,up,1,2.6426,0.724,1w
