date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,neutral,up,0,4.1023,0.4707,1w
2021-01-13,high_volatility,up,up,1,0.565,0.656,1w
2021-01-25,crisis,down,up,0,3.9617,0.3653,1w
2021-02-03,crisis,neutral,down,0,-1.5132,0.4573,1w
2021-02-12,chop,neutral,down,0,-7.7996,0.52,1w
2021-02-24,chop,neutral,down,0,-2.3347,0.4693,1w
2021-03-05,crisis,neutral,down,0,-4.3175,0.5053,1w
2021-03-16,crisis,neutral,down,0,-8.6441,0.544,1w
2021-03-25,high_volatility,neutral,down,0,-6.6812,0.5453,1w
2021-04-06,chop,down,neutral,0,0.3726,0.4173,1w
2021-04-15,chop,down,down,1,-5.3034,0.296,1w
2021-04-26,chop,down,down,1,-4.0741,0.392,1w
2021-05-05,chop,down,neutral,0,0.0615,0.3733,1w
2021-05-14,chop,down,down,1,-1.4379,0.2413,1w
2021-05-25,chop,down,down,1,-9.1236,0.3467,1w
2021-06-04,chop,down,down,1,-13.3333,0.4427,1w
2021-06-15,chop,down,down,1,-5.7364,0.2693,1w
2021-06-24,trending_bear,down,up,0,9.2355,0.2107,1w
2021-07-06,trending_bear,down,up,0,13.9547,0.3013,1w
2021-07-15,trending_bear,down,up,0,19.6457,0.296,1w
2021-07-26,chop,neutral,up,0,6.935,0.4587,1w
2021-08-04,trending_bull,down,up,0,2.6601,0.4173,1w
2021-08-13,trending_bull,up,down,0,-4.4873,0.6613,1w
2021-08-24,trending_bull,up,down,0,-2.7644,0.5827,1w
2021-09-02,trending_bull,neutral,down,0,-3.5714,0.456,1w
2021-09-14,chop,up,down,0,-11.4324,0.6387,1w
2021-09-23,chop,up,down,0,-6.5134,0.6173,1w
2021-10-04,chop,up,up,1,4.2056,0.6307,1w
2021-10-13,chop,neutral,up,0,11.4942,0.512,1w
2021-10-22,chop,down,up,0,9.5377,0.3973,1w
2021-11-02,chop,up,up,1,5.2174,0.56,1w
2021-11-11,chop,neutral,down,0,-3.4632,0.5013,1w
2021-11-22,chop,neutral,down,0,-6.2814,0.5013,1w
2021-12-02,chop,up,down,0,-6.4307,0.5747,1w
2021-12-13,chop,neutral,up,0,3.2795,0.4947,1w
2021-12-22,chop,neutral,up,0,8.3017,0.4907,1w
2022-01-03,chop,neutral,up,0,9.3108,0.4867,1w
2022-01-12,chop,up,up,1,6.5537,0.5827,1w
2022-01-24,chop,up,neutral,0,0.4803,0.656,1w
2022-02-02,chop,up,down,0,-2.875,0.632,1w
2022-02-11,trending_bull,neutral,down,0,-25.3093,0.516,1w
2022-02-23,chop,neutral,down,0,-22.1154,0.504,1w
2022-03-04,chop,neutral,down,0,-17.5006,0.4907,1w
2022-03-15,crisis,down,down,1,-0.5373,0.2133,1w
2022-03-24,crisis,down,down,1,-2.4644,0.2853,1w
2022-04-04,trending_bear,down,down,1,-13.8874,0.2733,1w
2022-04-13,trending_bear,down,down,1,-14.6779,0.256,1w
2022-04-25,trending_bear,down,down,1,-1.6366,0.2013,1w
2022-05-04,trending_bear,down,up,0,8.8788,0.108,1w
2022-05-13,trending_bear,down,up,0,14.7419,0.1427,1w
2022-05-24,trending_bear,down,up,0,0.8224,0.2173,1w
2022-06-03,chop,down,down,1,-2.5669,0.2693,1w
2022-06-14,chop,down,up,0,4.8035,0.4427,1w
2022-06-24,chop,down,up,0,15.468,0.4093,1w
2022-07-06,chop,down,up,0,12.4386,0.4467,1w
2022-07-15,chop,neutral,up,0,0.5092,0.5013,1w
2022-07-26,trending_bull,up,down,0,-5.9619,0.648,1w
2022-08-04,trending_bull,up,down,0,-11.0532,0.7693,1w
2022-08-15,chop,up,down,0,-6.5403,0.7747,1w
2022-08-24,trending_bear,up,down,0,-5.4672,0.6027,1w
2022-09-02,trending_bear,neutral,down,0,-9.3319,0.4947,1w
2022-09-14,trending_bear,down,down,1,-10.7461,0.4467,1w
2022-09-23,trending_bear,neutral,down,0,-16.0047,0.4587,1w
2022-10-04,trending_bear,down,down,1,-6.8237,0.2827,1w
2022-10-13,trending_bear,down,down,1,-9.3712,0.152,1w
2022-10-24,trending_bear,down,up,0,14.0825,0.128,1w
2022-11-02,trending_bear,down,up,0,12.0712,0.1653,1w
2022-11-11,trending_bear,down,up,0,15.3119,0.1947,1w
2022-11-22,chop,down,up,0,21.7714,0.3133,1w
2022-12-02,chop,down,up,0,13.1767,0.432,1w
2022-12-13,trending_bull,neutral,down,0,-8.4184,0.4947,1w
2022-12-22,trending_bull,up,down,0,-2.2483,0.6173,1w
2023-01-04,trending_bull,up,down,0,-7.3749,0.6173,1w
2023-01-13,trending_bull,up,up,1,1.9509,0.5747,1w
2023-01-25,trending_bull,up,down,0,-4.8042,0.8187,1w
2023-02-03,chop,up,up,1,9.5911,0.6573,1w
2023-02-14,chop,up,up,1,4.04,0.668,1w
2023-02-24,chop,up,up,1,8.5613,0.6587,1w
2023-03-07,chop,up,up,1,3.0691,0.692,1w
2023-03-16,chop,down,down,1,-1.9291,0.424,1w
2023-03-27,chop,neutral,down,0,-5.1741,0.516,1w
2023-04-05,chop,up,down,0,-2.7941,0.5573,1w
2023-04-17,chop,up,up,1,7.4231,0.5693,1w
2023-04-26,chop,neutral,down,0,-2.5484,0.5253,1w
2023-05-05,chop,up,down,0,-3.4849,0.6747,1w
2023-05-16,chop,up,down,0,-6.0486,0.6613,1w
2023-05-25,chop,neutral,neutral,0,0.2996,0.544,1w
2023-06-06,chop,down,up,0,6.1695,0.3933,1w
2023-06-15,chop,down,up,0,16.9841,0.4213,1w
2023-06-27,chop,down,up,0,18.5417,0.296,1w
2023-07-07,chop,down,up,0,2.8841,0.4173,1w
2023-07-18,trending_bull,up,down,0,-4.3459,0.764,1w
2023-07-27,crisis,up,up,1,1.605,0.752,1w
2023-08-07,crisis,up,up,1,11.5371,0.58,1w
2023-08-16,chop,up,up,1,4.8401,0.5773,1w
2023-08-25,chop,up,neutral,0,0.102,0.7667,1w
2023-09-06,trending_bull,up,up,1,3.0221,0.788,1w
2023-09-15,chop,up,up,1,5.4594,0.756,1w
2023-09-26,chop,up,up,1,3.7555,0.7507,1w
2023-10-05,chop,up,up,1,2.5428,0.708,1w
2023-10-16,chop,up,up,1,8.8407,0.6173,1w
2023-10-25,chop,up,up,1,16.0851,0.5907,1w
2023-11-03,trending_bull,up,up,1,12.3769,0.7573,1w
2023-11-14,crisis,up,down,0,-3.531,0.752,1w
2023-11-24,trending_bull,up,down,0,-11.7498,0.74,1w
2023-12-05,trending_bull,up,down,0,-9.5474,0.728,1w
2023-12-14,trending_bull,up,down,0,-2.6211,0.6413,1w
2023-12-26,trending_bear,neutral,up,0,3.168,0.548,1w
2024-01-05,trending_bear,neutral,up,0,3.3124,0.5453,1w
2024-01-17,trending_bear,neutral,up,0,1.9008,0.5107,1w
2024-01-26,chop,up,down,0,-4.8007,0.5573,1w
2024-02-06,chop,neutral,down,0,-11.0044,0.544,1w
2024-02-15,chop,down,down,1,-10.3517,0.3507,1w
2024-02-27,chop,down,down,1,-8.6957,0.1867,1w
2024-03-07,high_volatility,down,down,1,-12.6251,0.1573,1w
2024-03-18,trending_bear,down,down,1,-10.9317,0.2267,1w
2024-03-27,chop,down,down,1,-5.5683,0.2613,1w
2024-04-08,crisis,down,up,0,6.5,0.1733,1w
