date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-22.2131,0.3507,1w
2021-01-13,trending_bear,down,down,1,-10.2183,0.3387,1w
2021-01-25,trending_bear,down,neutral,0,0.1147,0.2347,1w
2021-02-03,trending_bear,down,down,1,-9.9788,0.2253,1w
2021-02-12,trending_bear,down,down,1,-11.4226,0.2747,1w
2021-02-24,chop,down,up,0,1.5064,0.1533,1w
2021-03-05,chop,down,down,1,-5.7143,0.1787,1w
2021-03-16,chop,down,up,0,3.5354,0.2733,1w
2021-03-25,chop,down,down,1,-10.7639,0.268,1w
2021-04-06,chop,down,down,1,-14.3373,0.2253,1w
2021-04-15,chop,down,down,1,-38.0668,0.2733,1w
2021-04-26,chop,down,down,1,-41.507,0.392,1w
2021-05-05,chop,down,down,1,-30.3116,0.296,1w
2021-05-14,trending_bear,down,down,1,-30.2048,0.152,1w
2021-05-25,trending_bear,down,down,1,-6.865,0.1747,1w
2021-06-04,trending_bear,down,down,1,-18.9796,0.208,1w
2021-06-15,trending_bear,down,down,1,-2.25,0.1587,1w
2021-06-24,trending_bear,down,up,0,0.7317,0.1373,1w
2021-07-06,trending_bear,down,up,0,30.3797,0.1347,1w
2021-07-15,trending_bear,down,up,0,79.7468,0.1307,1w
2021-07-26,chop,down,up,0,30.4878,0.1613,1w
2021-08-04,chop,down,down,1,-3.3027,0.2973,1w
2021-08-13,trending_bull,up,down,0,-14.6747,0.5853,1w
2021-08-24,trending_bull,up,down,0,-19.4393,0.596,1w
2021-09-02,trending_bull,neutral,down,0,-18.985,0.524,1w
2021-09-14,chop,up,down,0,-29.9475,0.692,1w
2021-09-23,chop,neutral,up,0,2.9126,0.5053,1w
2021-10-04,chop,neutral,up,0,12.5541,0.5293,1w
2021-10-13,chop,neutral,up,0,29.1971,0.4893,1w
2021-10-22,chop,neutral,up,0,1.6471,0.4987,1w
2021-11-02,chop,down,down,1,-13.7014,0.4467,1w
2021-11-11,chop,down,down,1,-26.2877,0.344,1w
2021-11-22,chop,down,down,1,-14.2202,0.3507,1w
2021-12-02,chop,down,down,1,-8.9412,0.3413,1w
2021-12-13,chop,down,up,0,15.8273,0.2893,1w
2021-12-22,chop,down,up,0,33.244,0.4093,1w
2022-01-03,chop,down,up,0,29.703,0.3507,1w
2022-01-12,chop,up,down,0,-5.2314,0.5867,1w
2022-01-24,trending_bull,up,down,0,-7.332,0.5827,1w
2022-02-02,trending_bull,neutral,down,0,-16.5725,0.524,1w
2022-02-11,trending_bull,down,down,1,-20.9677,0.3467,1w
2022-02-23,chop,neutral,down,0,-11.6854,0.5067,1w
2022-03-04,chop,neutral,down,0,-12.0455,0.5053,1w
2022-03-15,chop,down,up,0,1.5152,0.4213,1w
2022-03-24,chop,neutral,down,0,-3.0534,0.5173,1w
2022-04-04,chop,down,up,0,5.7221,0.428,1w
2022-04-13,chop,down,up,0,4.8309,0.2973,1w
2022-04-25,chop,down,up,0,22.8117,0.2413,1w
2022-05-04,chop,down,up,0,27.2727,0.2093,1w
2022-05-13,chop,down,up,0,32.9439,0.34,1w
2022-05-24,trending_bull,neutral,up,0,16.9935,0.508,1w
2022-06-03,trending_bull,up,up,1,8.1081,0.5813,1w
2022-06-14,trending_bull,up,up,1,21.3028,0.764,1w
2022-06-24,trending_bull,up,up,1,29.8182,0.7293,1w
2022-07-06,trending_bull,up,up,1,19.1972,0.7907,1w
2022-07-15,trending_bull,up,down,0,-22.2222,0.8213,1w
2022-07-26,crisis,up,down,0,-16.0475,0.86,1w
2022-08-04,high_volatility,up,down,0,-0.9105,0.8147,1w
2022-08-15,high_volatility,up,down,0,-10.5442,0.708,1w
2022-08-24,chop,up,down,0,-24.8705,0.6173,1w
2022-09-02,chop,up,down,0,-32.7613,0.6333,1w
2022-09-14,chop,down,down,1,-16.2109,0.416,1w
2022-09-23,trending_bear,down,down,1,-2.3585,0.3173,1w
2022-10-04,trending_bear,down,up,0,3.1461,0.2853,1w
2022-10-13,trending_bear,down,down,1,-2.9148,0.1067,1w
2022-10-24,trending_bear,down,up,0,4.1565,0.1467,1w
2022-11-02,trending_bear,down,down,1,-0.6508,0.2133,1w
2022-11-11,chop,down,up,0,14.1204,0.2413,1w
2022-11-22,chop,down,up,0,24.2009,0.2333,1w
2022-12-02,chop,down,up,0,22.9213,0.22,1w
2022-12-13,chop,down,down,1,-4.4487,0.432,1w
2022-12-22,chop,up,down,0,-12.766,0.6347,1w
2023-01-04,chop,up,down,0,-24.6296,0.6053,1w
2023-01-13,chop,neutral,down,0,-2.439,0.5467,1w
2023-01-25,chop,up,down,0,-6.3525,0.5933,1w
2023-02-03,chop,down,up,0,0.939,0.4013,1w
2023-02-14,chop,neutral,down,0,-15.7464,0.544,1w
2023-02-24,chop,neutral,down,0,-13.8004,0.5013,1w
2023-03-07,chop,neutral,down,0,-14.2212,0.4587,1w
2023-03-16,chop,down,down,1,-11.0,0.348,1w
2023-03-27,chop,down,down,1,-11.8357,0.236,1w
2023-04-05,chop,down,up,0,7.6923,0.224,1w
2023-04-17,chop,down,up,0,21.5686,0.2347,1w
2023-04-26,chop,down,up,0,11.6711,0.2573,1w
2023-05-05,chop,down,up,0,11.8388,0.412,1w
2023-05-16,chop,down,up,0,3.5377,0.3467,1w
2023-05-25,chop,down,up,0,8.4283,0.3467,1w
2023-06-06,chop,neutral,up,0,13.73,0.4707,1w
2023-06-15,trending_bull,up,up,1,25.576,0.5787,1w
2023-06-27,trending_bull,up,up,1,11.1111,0.5933,1w
2023-07-07,trending_bull,up,down,0,-7.185,0.7107,1w
2023-07-18,trending_bull,up,up,1,10.8365,0.7947,1w
2023-07-27,trending_bull,up,up,1,26.6917,0.7573,1w
2023-08-07,trending_bear,up,up,1,32.7511,0.616,1w
2023-08-16,chop,up,up,1,12.3476,0.7107,1w
2023-08-25,crisis,up,up,1,40.8497,0.7427,1w
2023-09-06,high_volatility,up,up,1,68.6747,0.68,1w
2023-09-15,high_volatility,up,up,1,38.6332,0.7653,1w
2023-09-26,crisis,up,up,1,28.7687,0.7827,1w
2023-10-05,crisis,up,up,1,16.219,0.8,1w
2023-10-16,crisis,up,up,1,68.2753,0.7947,1w
2023-10-25,crisis,up,up,1,108.0501,0.8347,1w
2023-11-03,crisis,up,up,1,95.6816,0.9,1w
2023-11-14,crisis,up,up,1,40.6682,0.9147,1w
2023-11-24,crisis,up,up,1,10.5569,0.952,1w
2023-12-05,crisis,up,up,1,20.4013,0.952,1w
2023-12-14,crisis,up,down,0,-4.8649,0.9373,1w
2023-12-26,crisis,up,up,1,1.8987,0.9133,1w
2024-01-05,crisis,up,down,0,-0.966,0.904,1w
2024-01-17,crisis,up,up,1,15.5833,0.7947,1w
2024-01-26,crisis,up,down,0,-31.3128,0.8133,1w
2024-02-06,high_volatility,up,down,0,-37.541,0.784,1w
2024-02-15,high_volatility,up,down,0,-27.5742,0.6933,1w
2024-02-27,high_volatility,down,down,1,-9.1264,0.388,1w
2024-03-07,high_volatility,down,down,1,-3.6455,0.332,1w
2024-03-18,trending_bear,down,up,0,6.5299,0.336,1w
2024-03-27,chop,down,up,0,25.2796,0.2827,1w
2024-04-08,chop,down,up,0,12.1904,0.256,1w
2024-04-17,chop,down,up,0,38.3378,0.3893,1w
2024-04-26,chop,down,up,0,25.5163,0.3507,1w
2024-05-07,chop,down,up,0,44.5149,0.388,1w
2024-05-16,chop,neutral,up,0,7.1154,0.4747,1w
2024-05-28,chop,up,up,1,33.52,0.6173,1w
2024-06-06,chop,up,up,1,43.9087,0.736,1w
2024-06-17,chop,up,up,1,57.0905,0.6947,1w
2024-06-27,high_volatility,up,up,1,35.2753,0.7933,1w
2024-07-09,high_volatility,up,up,1,14.5017,0.8053,1w
2024-07-18,crisis,up,down,0,-12.7133,0.9173,1w
2024-07-29,crisis,up,up,1,4.3336,0.8587,1w
2024-08-07,crisis,up,up,1,4.4647,0.8813,1w
2024-08-16,crisis,up,up,1,15.9499,0.736,1w
2024-08-27,crisis,up,down,0,-3.2716,0.7973,1w
2024-09-06,crisis,up,up,1,41.4555,0.78,1w
2024-09-17,crisis,up,up,1,38.6692,0.728,1w
2024-09-26,crisis,up,up,1,33.062,0.6667,1w
2024-10-07,crisis,up,down,0,-25.3086,0.752,1w
2024-10-16,crisis,up,down,0,-35.6941,0.6933,1w
2024-10-25,high_volatility,up,down,0,-36.6233,0.6773,1w
2024-11-05,high_volatility,neutral,neutral,0,-0.1549,0.5373,1w
2024-11-14,high_volatility,neutral,up,0,26.1337,0.5133,1w
2024-11-25,trending_bear,down,up,0,66.3977,0.3893,1w
