date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-14.5911,0.7667,1w
2021-01-13,high_volatility,up,down,0,-17.2396,0.668,1w
2021-01-25,crisis,down,down,1,-15.0041,0.4493,1w
2021-02-03,crisis,down,down,1,-7.7436,0.1667,1w
2021-02-12,high_volatility,down,down,1,-4.4682,0.1787,1w
2021-02-24,trending_bear,down,up,0,5.1477,0.0787,1w
2021-03-05,trending_bear,down,up,0,5.7311,0.1347,1w
2021-03-16,high_volatility,down,up,0,0.7241,0.076,1w
2021-03-25,trending_bear,down,down,1,-5.2618,0.1533,1w
2021-04-06,chop,down,down,1,-23.982,0.208,1w
2021-04-15,chop,down,down,1,-23.6706,0.144,1w
2021-04-26,chop,down,down,1,-22.0161,0.2173,1w
2021-05-05,crisis,down,neutral,0,-0.4379,0.1773,1w
2021-05-14,crisis,down,down,1,-1.099,0.2187,1w
2021-05-25,high_volatility,down,down,1,-0.5046,0.248,1w
2021-06-04,trending_bear,down,down,1,-8.5445,0.2827,1w
2021-06-15,trending_bear,down,neutral,0,-0.3692,0.2293,1w
2021-06-24,trending_bear,down,up,0,9.4002,0.184,1w
2021-07-06,chop,down,up,0,25.1782,0.1773,1w
2021-07-15,chop,down,up,0,25.4696,0.216,1w
2021-07-26,chop,down,up,0,11.4263,0.3067,1w
2021-08-04,trending_bull,up,down,0,-4.3765,0.6173,1w
2021-08-13,trending_bull,up,down,0,-4.3312,0.752,1w
2021-08-24,trending_bull,up,down,0,-7.4607,0.7293,1w
2021-09-02,trending_bull,up,down,0,-5.1973,0.6053,1w
2021-09-14,chop,up,down,0,-10.2195,0.7293,1w
2021-09-23,chop,up,up,1,5.5105,0.616,1w
2021-10-04,trending_bear,up,up,1,10.2748,0.616,1w
2021-10-13,chop,up,up,1,15.0022,0.584,1w
2021-10-22,chop,neutral,up,0,12.5613,0.544,1w
2021-11-02,chop,neutral,up,0,13.8575,0.484,1w
2021-11-11,high_volatility,neutral,down,0,-3.3196,0.5027,1w
2021-11-22,chop,up,down,0,-2.8505,0.5733,1w
2021-12-02,chop,up,down,0,-1.533,0.6053,1w
2021-12-13,chop,neutral,up,0,3.5624,0.5427,1w
2021-12-22,chop,up,up,1,8.5987,0.6693,1w
2022-01-03,chop,up,up,1,11.7568,0.6187,1w
2022-01-12,chop,up,up,1,2.9975,0.7133,1w
2022-01-24,chop,up,up,1,5.4082,0.692,1w
2022-02-02,chop,up,up,1,5.802,0.768,1w
2022-02-11,trending_bull,up,down,0,-5.2537,0.584,1w
2022-02-23,trending_bull,up,down,0,-4.4044,0.6173,1w
2022-03-04,trending_bull,up,down,0,-6.872,0.7013,1w
2022-03-15,chop,neutral,down,0,-1.6737,0.5,1w
2022-03-24,chop,up,down,0,-1.2464,0.5907,1w
2022-04-04,chop,up,up,1,2.2074,0.5773,1w
2022-04-13,chop,down,down,1,-0.8994,0.4213,1w
2022-04-25,chop,down,neutral,0,0.286,0.4467,1w
2022-05-04,chop,down,up,0,3.376,0.4067,1w
2022-05-13,chop,down,up,0,15.979,0.3707,1w
2022-05-24,chop,down,up,0,16.315,0.356,1w
2022-06-03,chop,down,up,0,11.1305,0.4253,1w
2022-06-14,chop,up,up,1,7.254,0.6347,1w
2022-06-24,trending_bull,up,up,1,3.5021,0.692,1w
2022-07-06,trending_bull,up,down,0,-8.1628,0.756,1w
2022-07-15,trending_bull,up,down,0,-13.8521,0.7947,1w
2022-07-26,trending_bull,up,down,0,-9.2817,0.7947,1w
2022-08-04,trending_bear,up,down,0,-0.6583,0.5573,1w
2022-08-15,trending_bear,up,down,0,-2.7342,0.6173,1w
2022-08-24,trending_bear,up,down,0,-6.228,0.6067,1w
2022-09-02,chop,up,down,0,-6.9828,0.5587,1w
2022-09-14,chop,down,up,0,1.094,0.2907,1w
2022-09-23,trending_bear,down,down,1,-4.7268,0.2573,1w
2022-10-04,chop,down,down,1,-9.631,0.2733,1w
2022-10-13,chop,down,down,1,-9.988,0.1933,1w
2022-10-24,chop,down,up,0,4.1063,0.176,1w
2022-11-02,trending_bear,down,up,0,6.5095,0.1707,1w
2022-11-11,trending_bear,down,up,0,8.7535,0.256,1w
2022-11-22,chop,down,up,0,12.7399,0.2827,1w
2022-12-02,chop,down,up,0,10.7891,0.2747,1w
2022-12-13,trending_bull,neutral,down,0,-2.7603,0.5053,1w
2022-12-22,trending_bull,up,down,0,-2.1862,0.6347,1w
2023-01-04,trending_bull,up,down,0,-12.6963,0.5827,1w
2023-01-13,trending_bull,neutral,down,0,-5.2306,0.508,1w
2023-01-25,chop,up,down,0,-7.9044,0.752,1w
2023-02-03,crisis,neutral,up,0,12.5007,0.4907,1w
2023-02-14,high_volatility,neutral,neutral,0,0.2678,0.5173,1w
2023-02-24,chop,neutral,up,0,1.2386,0.4947,1w
2023-03-07,chop,neutral,down,0,-5.0656,0.5373,1w
2023-03-16,chop,down,up,0,1.1576,0.3813,1w
2023-03-27,chop,down,down,1,-4.8968,0.3813,1w
2023-04-05,chop,down,down,1,-1.6522,0.3853,1w
2023-04-17,chop,down,down,1,-0.7688,0.4213,1w
2023-04-26,chop,down,down,1,-5.2526,0.384,1w
2023-05-05,chop,up,down,0,-4.152,0.588,1w
2023-05-16,chop,down,down,1,-6.1672,0.424,1w
2023-05-25,chop,down,up,0,3.2444,0.3453,1w
2023-06-06,chop,down,up,0,3.8588,0.2253,1w
2023-06-15,chop,down,up,0,11.3535,0.2933,1w
2023-06-27,chop,down,up,0,3.5045,0.2933,1w
2023-07-07,chop,down,down,1,-4.0078,0.3467,1w
2023-07-18,chop,neutral,down,0,-2.7,0.528,1w
2023-07-27,high_volatility,down,down,1,-1.0306,0.4493,1w
2023-08-07,crisis,down,up,0,3.6162,0.3547,1w
2023-08-16,high_volatility,down,neutral,0,-0.2322,0.4253,1w
2023-08-25,chop,neutral,down,0,-2.0052,0.524,1w
2023-09-06,chop,neutral,up,0,4.4313,0.484,1w
2023-09-15,chop,neutral,up,0,3.427,0.4933,1w
2023-09-26,chop,down,down,1,-1.2834,0.416,1w
2023-10-05,chop,neutral,down,0,-0.9618,0.5013,1w
2023-10-16,chop,neutral,up,0,4.4961,0.4693,1w
2023-10-25,chop,down,up,0,8.2775,0.436,1w
2023-11-03,chop,up,up,1,9.6513,0.5853,1w
2023-11-14,chop,up,up,1,4.2373,0.588,1w
2023-11-24,chop,up,down,0,-2.1761,0.6107,1w
2023-12-05,trending_bull,up,down,0,-5.2642,0.6693,1w
2023-12-14,trending_bull,up,down,0,-5.1099,0.6467,1w
2023-12-26,trending_bull,up,down,0,-3.9608,0.5867,1w
2024-01-05,chop,up,down,0,-4.4755,0.5547,1w
2024-01-17,chop,neutral,up,0,5.5464,0.5053,1w
2024-01-26,chop,neutral,up,0,2.4026,0.544,1w
2024-02-06,chop,neutral,up,0,1.1842,0.468,1w
2024-02-15,trending_bull,up,down,0,-13.1322,0.5533,1w
2024-02-27,chop,down,down,1,-9.9321,0.392,1w
2024-03-07,chop,down,down,1,-17.4165,0.3453,1w
2024-03-18,chop,down,down,1,-9.9965,0.2947,1w
