date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-12.9198,0.524,1w
2021-01-13,chop,neutral,down,0,-8.4124,0.4707,1w
2021-01-25,trending_bear,down,down,1,-6.1171,0.2747,1w
2021-02-03,trending_bear,down,down,1,-3.9042,0.2693,1w
2021-02-12,trending_bear,down,down,1,-8.7048,0.2347,1w
2021-02-24,trending_bear,down,up,0,2.3155,0.2253,1w
2021-03-05,trending_bear,down,up,0,1.6673,0.2413,1w
2021-03-16,trending_bear,down,up,0,16.842,0.184,1w
2021-03-25,chop,down,up,0,14.4216,0.236,1w
2021-04-06,chop,down,up,0,7.8137,0.2253,1w
2021-04-15,chop,down,down,1,-13.4169,0.4253,1w
2021-04-26,trending_bull,neutral,down,0,-25.4332,0.5427,1w
2021-05-05,chop,neutral,down,0,-19.9288,0.5107,1w
2021-05-14,high_volatility,down,down,1,-18.4103,0.4093,1w
2021-05-25,crisis,down,down,1,-4.3187,0.4013,1w
2021-06-04,high_volatility,down,down,1,-10.4235,0.424,1w
2021-06-15,chop,down,up,0,4.0135,0.3733,1w
2021-06-24,chop,down,up,0,6.5781,0.3467,1w
2021-07-06,chop,down,up,0,14.3127,0.32,1w
2021-07-15,chop,down,up,0,15.5681,0.2853,1w
2021-07-26,chop,down,up,0,12.8271,0.312,1w
2021-08-04,chop,down,up,0,5.671,0.3453,1w
2021-08-13,chop,neutral,neutral,0,0.0176,0.4653,1w
2021-08-24,trending_bull,up,down,0,-4.0478,0.6173,1w
2021-09-02,chop,up,down,0,-1.6363,0.56,1w
2021-09-14,trending_bull,up,down,0,-5.5332,0.6987,1w
2021-09-23,chop,up,up,1,0.7461,0.6093,1w
2021-10-04,chop,up,up,1,5.9297,0.6613,1w
2021-10-13,chop,up,up,1,13.6688,0.58,1w
2021-10-22,chop,up,up,1,28.9471,0.584,1w
2021-11-02,chop,up,up,1,27.4082,0.62,1w
2021-11-11,chop,up,up,1,21.3414,0.5693,1w
2021-11-22,trending_bull,up,neutral,0,0.1394,0.6987,1w
2021-12-02,trending_bull,up,down,0,-2.4096,0.7667,1w
2021-12-13,trending_bull,up,up,1,1.038,0.756,1w
2021-12-22,trending_bull,up,up,1,3.2994,0.7933,1w
