date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,11.0021,0.216,1w
2021-01-13,chop,down,down,1,-9.2774,0.3733,1w
2021-01-25,chop,down,up,0,10.3258,0.22,1w
2021-02-03,high_volatility,down,up,0,17.7389,0.3547,1w
2021-02-12,high_volatility,down,up,0,21.7723,0.3547,1w
2021-02-24,high_volatility,down,up,0,25.3863,0.4253,1w
2021-03-05,crisis,up,up,1,19.1465,0.7013,1w
2021-03-16,crisis,up,up,1,24.5586,0.7107,1w
2021-03-25,crisis,up,up,1,4.2955,0.7547,1w
2021-04-06,crisis,up,neutral,0,-0.3534,0.8147,1w
2021-04-15,crisis,up,down,0,-17.1665,0.7267,1w
2021-04-26,crisis,up,down,0,-3.4027,0.8333,1w
2021-05-05,crisis,up,up,1,9.2385,0.7573,1w
2021-05-14,crisis,up,up,1,19.6455,0.6627,1w
2021-05-25,high_volatility,up,down,0,-16.04,0.6693,1w
2021-06-04,crisis,up,down,0,-30.6368,0.6747,1w
2021-06-15,high_volatility,up,down,0,-11.4114,0.656,1w
2021-06-24,crisis,down,up,0,21.0726,0.3573,1w
2021-07-06,high_volatility,down,up,0,32.2097,0.312,1w
2021-07-15,high_volatility,down,up,0,26.2866,0.3467,1w
2021-07-26,chop,neutral,up,0,2.6586,0.5053,1w
2021-08-04,trending_bull,neutral,up,0,6.5333,0.4707,1w
2021-08-13,chop,up,down,0,-3.9963,0.62,1w
2021-08-24,chop,up,down,0,-20.8636,0.5827,1w
2021-09-02,chop,down,down,1,-17.9138,0.4093,1w
2021-09-14,chop,neutral,down,0,-15.6857,0.512,1w
2021-09-23,chop,neutral,up,0,3.4,0.5107,1w
2021-10-04,trending_bear,neutral,neutral,0,0.2841,0.548,1w
2021-10-13,chop,neutral,neutral,0,-0.139,0.5013,1w
2021-10-22,chop,down,up,0,6.3725,0.2827,1w
2021-11-02,chop,down,up,0,1.634,0.424,1w
2021-11-11,chop,down,down,1,-8.5803,0.3787,1w
2021-11-22,chop,down,down,1,-11.2517,0.3213,1w
2021-12-02,chop,down,down,1,-12.8931,0.376,1w
2021-12-13,chop,down,down,1,-4.5471,0.3173,1w
2021-12-22,chop,neutral,up,0,2.7176,0.5333,1w
2022-01-03,chop,down,neutral,0,0.2462,0.332,1w
2022-01-12,chop,down,up,0,2.0651,0.3867,1w
2022-01-24,chop,neutral,neutral,0,0.3576,0.4653,1w
2022-02-02,chop,down,up,0,13.125,0.376,1w
2022-02-11,chop,down,down,1,-7.3052,0.3653,1w
2022-02-23,chop,down,down,1,-13.137,0.312,1w
2022-03-04,chop,neutral,down,0,-1.3375,0.4907,1w
2022-03-15,chop,down,up,0,8.5623,0.388,1w
2022-03-24,chop,down,up,0,1.7018,0.4467,1w
2022-04-04,chop,up,down,0,-10.1776,0.5587,1w
2022-04-13,chop,neutral,up,0,2.1253,0.5467,1w
2022-04-25,chop,neutral,up,0,20.4041,0.4707,1w
2022-05-04,chop,neutral,up,0,6.996,0.4907,1w
2022-05-13,chop,neutral,down,0,-3.8985,0.52,1w
2022-05-24,trending_bull,neutral,down,0,-3.5496,0.528,1w
2022-06-03,trending_bull,neutral,up,0,2.1269,0.4653,1w
2022-06-14,chop,neutral,up,0,4.1472,0.5133,1w
2022-06-24,chop,up,up,1,9.0081,0.6173,1w
2022-07-06,chop,neutral,up,0,15.0228,0.5173,1w
2022-07-15,chop,up,up,1,6.9323,0.5587,1w
2022-07-26,chop,up,up,1,1.8307,0.724,1w
2022-08-04,chop,up,down,0,-3.2075,0.7533,1w
2022-08-15,chop,up,up,1,5.3105,0.668,1w
2022-08-24,chop,neutral,down,0,-1.1046,0.548,1w
2022-09-02,chop,up,down,0,-6.017,0.692,1w
2022-09-14,chop,up,up,1,9.2414,0.7467,1w
2022-09-23,chop,up,up,1,11.6942,0.5867,1w
2022-10-04,chop,up,up,1,19.2148,0.556,1w
2022-10-13,chop,up,down,0,-5.02,0.676,1w
2022-10-24,chop,up,down,0,-2.3079,0.6267,1w
2022-11-02,chop,up,down,0,-14.7731,0.6173,1w
2022-11-11,chop,neutral,down,0,-12.4262,0.5387,1w
2022-11-22,chop,up,down,0,-8.1804,0.56,1w
2022-12-02,chop,down,down,1,-3.0581,0.4493,1w
2022-12-13,trending_bear,down,down,1,-2.3026,0.3733,1w
2022-12-22,trending_bear,neutral,down,0,-3.531,0.4653,1w
2023-01-04,trending_bear,down,down,1,-8.6576,0.4147,1w
2023-01-13,chop,down,down,1,-2.2034,0.2333,1w
2023-01-25,trending_bear,down,up,0,5.0853,0.2693,1w
2023-02-03,trending_bear,down,up,0,16.7023,0.1347,1w
2023-02-14,trending_bear,down,up,0,6.602,0.224,1w
2023-02-24,trending_bull,down,up,0,5.8769,0.3787,1w
2023-03-07,trending_bull,neutral,up,0,6.8672,0.5373,1w
2023-03-16,trending_bull,up,up,1,8.743,0.5533,1w
2023-03-27,trending_bull,up,up,1,9.607,0.5827,1w
2023-04-05,trending_bull,up,up,1,3.6262,0.668,1w
2023-04-17,trending_bull,up,up,1,5.9044,0.732,1w
2023-04-26,trending_bull,up,down,0,-4.1008,0.7933,1w
2023-05-05,trending_bull,up,down,0,-2.2448,0.8347,1w
