date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-3.708,0.68,1w
2021-01-13,chop,up,down,0,-3.204,0.6387,1w
2021-01-25,crisis,down,down,1,-1.4393,0.3507,1w
2021-02-03,crisis,down,down,1,-2.1283,0.4027,1w
2021-02-12,high_volatility,down,down,1,-4.0883,0.3893,1w
2021-02-24,high_volatility,down,up,0,4.0879,0.3267,1w
2021-03-05,crisis,down,up,0,3.4517,0.4333,1w
2021-03-16,crisis,down,up,0,2.7264,0.2973,1w
2021-03-25,high_volatility,down,down,1,-2.9054,0.392,1w
2021-04-06,chop,down,down,1,-5.9851,0.388,1w
2021-04-15,chop,down,down,1,-9.7893,0.3467,1w
2021-04-26,chop,down,down,1,-6.3265,0.4253,1w
2021-05-05,high_volatility,down,down,1,-2.1407,0.3387,1w
2021-05-14,crisis,down,down,1,-6.5398,0.2747,1w
2021-05-25,crisis,down,down,1,-5.5164,0.3787,1w
2021-06-04,crisis,down,down,1,-8.0242,0.412,1w
2021-06-15,crisis,down,neutral,0,-0.2318,0.2693,1w
2021-06-24,high_volatility,down,up,0,1.8976,0.216,1w
2021-07-06,high_volatility,down,up,0,7.7076,0.2227,1w
2021-07-15,trending_bear,down,up,0,11.6084,0.2187,1w
2021-07-26,chop,down,up,0,4.549,0.3307,1w
2021-08-04,chop,down,down,1,-3.3215,0.3787,1w
2021-08-13,trending_bull,up,down,0,-7.022,0.5653,1w
2021-08-24,trending_bull,neutral,down,0,-9.1052,0.52,1w
2021-09-02,chop,down,down,1,-6.0298,0.368,1w
2021-09-14,chop,up,down,0,-8.9659,0.58,1w
2021-09-23,chop,down,up,0,1.8317,0.3733,1w
2021-10-04,trending_bear,down,up,0,3.3693,0.3867,1w
2021-10-13,chop,down,up,0,10.3662,0.3467,1w
2021-10-22,high_volatility,down,up,0,7.5325,0.3733,1w
2021-11-02,chop,down,up,0,9.1875,0.3867,1w
2021-11-11,high_volatility,down,neutral,0,0.0479,0.3813,1w
2021-11-22,chop,down,down,1,-2.6486,0.436,1w
2021-12-02,chop,up,down,0,-4.8614,0.5827,1w
2021-12-13,chop,neutral,up,0,1.4681,0.5307,1w
2021-12-22,chop,up,up,1,6.1187,0.6173,1w
2022-01-03,chop,up,up,1,8.1217,0.5533,1w
2022-01-12,chop,up,up,1,2.4015,0.7213,1w
2022-01-24,chop,up,down,0,-0.8037,0.68,1w
2022-02-02,chop,up,down,0,-2.7636,0.7307,1w
2022-02-11,chop,up,down,0,-8.9459,0.58,1w
2022-02-23,chop,neutral,down,0,-5.1979,0.4907,1w
2022-03-04,chop,neutral,down,0,-1.6521,0.456,1w
2022-03-15,chop,down,up,0,3.5454,0.3027,1w
2022-03-24,chop,down,up,0,2.3523,0.4213,1w
2022-04-04,chop,neutral,down,0,-1.6295,0.464,1w
2022-04-13,chop,down,down,1,-2.2729,0.376,1w
2022-04-25,chop,down,down,1,-0.8639,0.336,1w
2022-05-04,chop,down,neutral,0,0.1468,0.2347,1w
2022-05-13,chop,down,up,0,4.9462,0.2747,1w
2022-05-24,chop,down,up,0,4.5462,0.3253,1w
2022-06-03,chop,down,up,0,3.1772,0.392,1w
2022-06-14,chop,up,up,1,2.7258,0.6027,1w
2022-06-24,chop,up,up,1,5.1346,0.5987,1w
2022-07-06,trending_bull,up,up,1,1.8987,0.58,1w
2022-07-15,trending_bull,up,down,0,-2.6355,0.6053,1w
2022-07-26,trending_bull,up,down,0,-4.6668,0.764,1w
2022-08-04,trending_bull,up,down,0,-2.5816,0.6693,1w
2022-08-15,chop,up,neutral,0,0.4522,0.6933,1w
2022-08-24,trending_bear,up,down,0,-2.4039,0.632,1w
2022-09-02,chop,up,down,0,-5.646,0.58,1w
2022-09-14,chop,down,down,1,-4.527,0.4253,1w
2022-09-23,chop,down,down,1,-2.8573,0.2973,1w
2022-10-04,trending_bear,down,neutral,0,0.3674,0.1907,1w
2022-10-13,trending_bear,down,down,1,-1.0279,0.1413,1w
2022-10-24,trending_bear,down,up,0,8.1033,0.108,1w
2022-11-02,trending_bear,down,up,0,6.3634,0.1693,1w
2022-11-11,chop,down,up,0,7.4832,0.2747,1w
2022-11-22,trending_bull,down,up,0,7.2927,0.428,1w
2022-12-02,trending_bull,neutral,up,0,4.4265,0.5053,1w
2022-12-13,trending_bull,up,down,0,-1.1832,0.6107,1w
2022-12-22,trending_bull,up,neutral,0,-0.2723,0.7547,1w
2023-01-04,trending_bull,up,up,1,0.6872,0.768,1w
2023-01-13,trending_bull,up,up,1,3.2176,0.724,1w
2023-01-25,chop,up,up,1,2.4445,0.8787,1w
2023-02-03,chop,up,up,1,4.2087,0.7707,1w
2023-02-14,chop,up,up,1,2.2767,0.7693,1w
2023-02-24,chop,up,up,1,2.9309,0.768,1w
2023-03-07,chop,up,up,1,0.8334,0.78,1w
2023-03-16,trending_bull,up,down,0,-2.7407,0.6173,1w
2023-03-27,trending_bull,up,down,0,-3.8097,0.668,1w
2023-04-05,chop,up,down,0,-1.7136,0.724,1w
2023-04-17,crisis,up,up,1,5.4593,0.5907,1w
2023-04-26,high_volatility,up,up,1,2.1609,0.5733,1w
2023-05-05,high_volatility,up,up,1,0.5471,0.6,1w
2023-05-16,chop,up,down,0,-2.4495,0.632,1w
2023-05-25,chop,neutral,neutral,0,-0.1037,0.5467,1w
2023-06-06,chop,down,neutral,0,-0.2549,0.4253,1w
2023-06-15,chop,down,up,0,4.1411,0.4093,1w
2023-06-27,chop,down,up,0,3.3991,0.312,1w
2023-07-07,chop,down,neutral,0,0.4764,0.3627,1w
2023-07-18,chop,up,neutral,0,0.4896,0.7427,1w
2023-07-27,crisis,up,up,1,2.5299,0.6227,1w
2023-08-07,crisis,down,up,0,5.4855,0.4427,1w
2023-08-16,high_volatility,neutral,up,0,3.2205,0.5013,1w
2023-08-25,chop,up,up,1,1.8097,0.6427,1w
2023-09-06,chop,up,up,1,5.1758,0.5987,1w
2023-09-15,chop,up,up,1,2.5883,0.676,1w
2023-09-26,chop,up,neutral,0,0.3758,0.6987,1w
2023-10-05,chop,up,neutral,0,-0.3217,0.7307,1w
2023-10-16,chop,up,up,1,1.1508,0.668,1w
2023-10-25,chop,up,up,1,4.166,0.6333,1w
2023-11-03,chop,up,up,1,4.2872,0.756,1w
2023-11-14,chop,up,neutral,0,-0.0439,0.7347,1w
2023-11-24,chop,up,down,0,-4.7938,0.6987,1w
2023-12-05,chop,up,down,0,-4.6275,0.7933,1w
2023-12-14,chop,up,down,0,-0.9688,0.584,1w
2023-12-26,trending_bear,down,up,0,1.973,0.4213,1w
2024-01-05,trending_bear,down,up,0,3.1319,0.4147,1w
2024-01-17,trending_bear,down,up,0,1.3497,0.3893,1w
2024-01-26,chop,neutral,down,0,-1.4435,0.5133,1w
2024-02-06,chop,neutral,down,0,-3.3404,0.4947,1w
2024-02-15,chop,down,down,1,-4.0855,0.4453,1w
2024-02-27,chop,down,down,1,-4.1929,0.2493,1w
2024-03-07,high_volatility,down,down,1,-10.5978,0.2347,1w
2024-03-18,crisis,down,down,1,-6.4125,0.34,1w
2024-03-27,high_volatility,down,down,1,-2.4996,0.332,1w
2024-04-08,crisis,down,up,0,4.5108,0.1853,1w
2024-04-17,high_volatility,down,up,0,12.9117,0.296,1w
2024-04-26,chop,down,up,0,4.3514,0.3587,1w
2024-05-07,chop,down,up,0,3.5638,0.3947,1w
2024-05-16,chop,down,down,1,-1.1922,0.4427,1w
2024-05-28,chop,down,up,0,3.4301,0.428,1w
2024-06-06,chop,neutral,up,0,3.8573,0.5387,1w
2024-06-17,chop,neutral,up,0,3.7428,0.496,1w
2024-06-27,chop,neutral,up,0,0.7886,0.5493,1w
2024-07-09,chop,up,down,0,-0.7266,0.756,1w
2024-07-18,chop,up,neutral,0,0.4304,0.856,1w
2024-07-29,chop,up,up,1,2.7936,0.7507,1w
2024-08-07,chop,up,up,1,2.8097,0.6573,1w
2024-08-16,chop,up,up,1,1.6191,0.5907,1w
2024-08-27,trending_bull,up,up,1,0.7441,0.7133,1w
2024-09-06,trending_bull,up,up,1,2.2831,0.6173,1w
2024-09-17,trending_bull,up,neutral,0,-0.2017,0.704,1w
2024-09-26,trending_bull,up,neutral,0,0.4006,0.5707,1w
2024-10-07,trending_bull,up,down,0,-1.79,0.5907,1w
2024-10-16,chop,neutral,down,0,-2.6384,0.492,1w
2024-10-25,chop,up,up,1,1.1522,0.5907,1w
2024-11-05,chop,neutral,up,0,1.7541,0.52,1w
2024-11-14,chop,down,up,0,3.6651,0.4067,1w
2024-11-25,chop,neutral,up,0,1.4408,0.488,1w
