date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,4.3233,0.424,1w
2021-01-13,chop,neutral,up,0,4.3812,0.492,1w
2021-01-25,chop,down,up,0,6.1507,0.3733,1w
2021-02-03,high_volatility,neutral,up,0,8.4775,0.536,1w
2021-02-12,high_volatility,up,up,1,2.4242,0.5907,1w
2021-02-24,chop,up,up,1,10.3565,0.6,1w
2021-03-05,crisis,up,up,1,0.5824,0.804,1w
2021-03-16,crisis,up,up,1,5.1014,0.724,1w
2021-03-25,high_volatility,up,down,0,-1.1995,0.772,1w
2021-04-06,chop,up,down,0,-3.9275,0.724,1w
2021-04-15,chop,up,down,0,-11.5024,0.684,1w
2021-04-26,chop,up,down,0,-7.2597,0.704,1w
2021-05-05,high_volatility,neutral,down,0,-0.9667,0.5267,1w
2021-05-14,high_volatility,down,up,0,0.6303,0.396,1w
2021-05-25,high_volatility,neutral,down,0,-1.5556,0.4707,1w
2021-06-04,chop,down,down,1,-3.5399,0.4053,1w
2021-06-15,chop,down,down,1,-1.3579,0.3653,1w
2021-06-24,high_volatility,down,neutral,0,0.3928,0.2947,1w
2021-07-06,crisis,down,up,0,0.6495,0.3707,1w
2021-07-15,chop,down,up,0,4.1434,0.2613,1w
2021-07-26,chop,down,up,0,3.0234,0.3893,1w
2021-08-04,chop,down,down,1,-4.567,0.416,1w
2021-08-13,chop,neutral,down,0,-12.4024,0.524,1w
2021-08-24,chop,neutral,down,0,-10.5669,0.4587,1w
2021-09-02,chop,down,down,1,-5.1147,0.3387,1w
2021-09-14,chop,down,down,1,-3.9468,0.3427,1w
2021-09-23,chop,down,up,0,7.9361,0.2747,1w
2021-10-04,chop,down,up,0,11.7152,0.2693,1w
2021-10-13,chop,down,up,0,15.2822,0.304,1w
2021-10-22,chop,down,up,0,7.8391,0.4253,1w
2021-11-02,chop,neutral,up,0,6.3021,0.5227,1w
2021-11-11,chop,neutral,up,0,6.9341,0.5013,1w
2021-11-22,chop,neutral,up,0,3.0046,0.5213,1w
2021-12-02,chop,up,neutral,0,-0.198,0.68,1w
2021-12-13,chop,up,up,1,0.7909,0.7253,1w
2021-12-22,chop,up,up,1,0.9745,0.7907,1w
2022-01-03,chop,up,down,0,-3.8477,0.764,1w
2022-01-12,chop,up,up,1,1.9051,0.768,1w
2022-01-24,chop,up,neutral,0,0.1782,0.668,1w
2022-02-02,chop,neutral,up,0,3.708,0.5293,1w
2022-02-11,chop,up,down,0,-4.945,0.6267,1w
2022-02-23,chop,neutral,down,0,-3.1921,0.5387,1w
2022-03-04,chop,down,up,0,1.3547,0.4213,1w
2022-03-15,chop,down,up,0,3.6705,0.368,1w
2022-03-24,chop,down,up,0,4.3133,0.4107,1w
2022-04-04,chop,down,down,1,-2.8757,0.4267,1w
2022-04-13,chop,neutral,down,0,-6.2167,0.5387,1w
2022-04-25,chop,neutral,down,0,-3.5261,0.492,1w
2022-05-04,chop,down,neutral,0,-0.25,0.448,1w
2022-05-13,chop,down,up,0,2.0903,0.3507,1w
2022-05-24,chop,down,up,0,3.6834,0.3187,1w
2022-06-03,chop,down,up,0,0.626,0.4067,1w
2022-06-14,chop,down,down,1,-1.7143,0.4267,1w
2022-06-24,chop,neutral,down,0,-10.5977,0.456,1w
2022-07-06,chop,down,down,1,-13.2108,0.4453,1w
2022-07-15,chop,down,down,1,-10.5472,0.2947,1w
2022-07-26,high_volatility,down,up,0,0.6742,0.2693,1w
2022-08-04,trending_bear,down,neutral,0,0.203,0.26,1w
2022-08-15,trending_bear,down,down,1,-10.7037,0.296,1w
2022-08-24,trending_bear,down,down,1,-14.925,0.3293,1w
2022-09-02,trending_bear,down,down,1,-16.034,0.256,1w
2022-09-14,trending_bear,down,down,1,-3.3641,0.1533,1w
2022-09-23,trending_bear,down,up,0,8.4694,0.1373,1w
2022-10-04,trending_bear,down,up,0,19.3139,0.104,1w
2022-10-13,trending_bear,down,up,0,10.8813,0.156,1w
2022-10-24,trending_bull,down,up,0,2.5486,0.3467,1w
2022-11-02,trending_bull,down,up,0,1.2364,0.416,1w
2022-11-11,trending_bull,down,up,0,3.8957,0.4093,1w
2022-11-22,chop,down,up,0,4.0635,0.376,1w
2022-12-02,chop,neutral,up,0,3.2894,0.4667,1w
2022-12-13,chop,up,up,1,4.4466,0.656,1w
2022-12-22,chop,up,up,1,8.1975,0.7293,1w
2023-01-04,trending_bull,up,up,1,8.0347,0.824,1w
2023-01-13,trending_bull,up,up,1,7.4544,0.752,1w
2023-01-25,trending_bull,up,neutral,0,0.2241,0.7747,1w
2023-02-03,trending_bull,up,down,0,-1.545,0.7267,1w
