date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,up,down,0,-4.7813,0.7973,1w
2021-01-13,crisis,up,down,0,-1.0246,0.5853,1w
2021-01-25,crisis,neutral,down,0,-13.1021,0.4733,1w
2021-02-03,crisis,down,down,1,-6.2676,0.3733,1w
2021-02-12,crisis,down,down,1,-5.1679,0.2947,1w
2021-02-24,chop,down,up,0,5.8495,0.216,1w
2021-03-05,high_volatility,down,down,1,-11.7038,0.3573,1w
2021-03-16,crisis,down,down,1,-21.2373,0.2693,1w
2021-03-25,high_volatility,down,down,1,-25.4132,0.3653,1w
2021-04-06,crisis,down,down,1,-10.4606,0.26,1w
2021-04-15,high_volatility,down,down,1,-1.79,0.2347,1w
2021-04-26,trending_bear,down,down,1,-11.3922,0.2173,1w
2021-05-05,trending_bear,down,down,1,-8.1943,0.224,1w
2021-05-14,chop,down,down,1,-15.694,0.2827,1w
2021-05-25,chop,down,down,1,-1.7106,0.2773,1w
2021-06-04,chop,down,down,1,-9.0633,0.3067,1w
2021-06-15,chop,down,up,0,6.949,0.2387,1w
2021-06-24,chop,down,up,0,10.8343,0.2067,1w
2021-07-06,chop,down,up,0,21.2803,0.3267,1w
2021-07-15,chop,down,up,0,25.9723,0.42,1w
2021-07-26,chop,neutral,up,0,6.7197,0.4653,1w
2021-08-04,chop,neutral,down,0,-12.6539,0.508,1w
2021-08-13,chop,up,down,0,-18.1228,0.5813,1w
2021-08-24,chop,up,down,0,-16.3915,0.6173,1w
2021-09-02,chop,neutral,down,0,-3.8601,0.4707,1w
2021-09-14,chop,neutral,up,0,4.8797,0.5467,1w
2021-09-23,chop,down,up,0,3.111,0.4427,1w
2021-10-04,chop,neutral,up,0,0.6897,0.4907,1w
2021-10-13,chop,neutral,up,0,21.3882,0.5107,1w
2021-10-22,chop,down,up,0,20.6804,0.388,1w
2021-11-02,chop,down,up,0,19.2198,0.3187,1w
2021-11-11,chop,neutral,down,0,-4.0323,0.492,1w
2021-11-22,chop,neutral,down,0,-4.8391,0.5227,1w
2021-12-02,chop,up,down,0,-12.2455,0.5893,1w
