date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-15.1368,0.7427,1w
2021-01-13,crisis,neutral,down,0,-6.0353,0.5467,1w
2021-01-25,crisis,down,down,1,-9.0219,0.2827,1w
2021-02-03,crisis,down,up,0,0.7603,0.296,1w
2021-02-12,trending_bear,down,up,0,3.0103,0.3467,1w
2021-02-24,trending_bear,down,up,0,10.2392,0.2427,1w
2021-03-05,high_volatility,down,up,0,6.1855,0.3707,1w
2021-03-16,high_volatility,down,up,0,10.005,0.2747,1w
2021-03-25,chop,down,up,0,12.5842,0.2293,1w
2021-04-06,chop,down,down,1,-1.7405,0.3467,1w
2021-04-15,trending_bull,neutral,down,0,-8.8012,0.544,1w
2021-04-26,trending_bull,up,down,0,-6.976,0.656,1w
2021-05-05,crisis,up,down,0,-4.2745,0.5867,1w
2021-05-14,crisis,neutral,down,0,-7.4199,0.52,1w
2021-05-25,high_volatility,up,down,0,-6.1169,0.6653,1w
2021-06-04,high_volatility,neutral,down,0,-1.4717,0.4947,1w
2021-06-15,high_volatility,down,up,0,7.0525,0.4093,1w
2021-06-24,crisis,neutral,down,0,-2.2244,0.4707,1w
2021-07-06,high_volatility,down,up,0,5.1172,0.368,1w
2021-07-15,chop,down,up,0,9.1317,0.3387,1w
2021-07-26,chop,down,up,0,3.0538,0.332,1w
2021-08-04,chop,down,down,1,-5.5401,0.436,1w
2021-08-13,chop,neutral,down,0,-10.397,0.536,1w
2021-08-24,chop,down,down,1,-11.3163,0.4067,1w
2021-09-02,chop,down,down,1,-9.2015,0.4493,1w
2021-09-14,chop,up,down,0,-22.6551,0.5773,1w
2021-09-23,trending_bear,down,down,1,-15.7988,0.2933,1w
2021-10-04,trending_bear,down,down,1,-6.0187,0.2613,1w
2021-10-13,trending_bear,down,up,0,18.8669,0.1453,1w
2021-10-22,trending_bear,down,up,0,19.8079,0.1533,1w
2021-11-02,trending_bear,down,up,0,12.5158,0.1867,1w
2021-11-11,trending_bull,down,down,1,-2.2651,0.2573,1w
2021-11-22,chop,down,down,1,-4.5501,0.3307,1w
2021-12-02,chop,down,down,1,-4.5758,0.4013,1w
2021-12-13,chop,down,up,0,1.6452,0.3667,1w
2021-12-22,chop,down,up,0,2.6134,0.4067,1w
2022-01-03,chop,down,up,0,5.2831,0.412,1w
2022-01-12,chop,up,down,0,-4.8997,0.728,1w
2022-01-24,chop,up,down,0,-8.956,0.668,1w
2022-02-02,chop,up,down,0,-13.9705,0.6627,1w
2022-02-11,chop,down,down,1,-10.4443,0.424,1w
2022-02-23,chop,down,neutral,0,-0.2087,0.3067,1w
2022-03-04,trending_bear,down,up,0,4.6909,0.26,1w
2022-03-15,trending_bear,down,neutral,0,0.0348,0.2547,1w
2022-03-24,trending_bear,down,neutral,0,0.1672,0.3507,1w
2022-04-04,chop,down,down,1,-7.7108,0.2933,1w
2022-04-13,chop,down,down,1,-10.6011,0.2253,1w
2022-04-25,chop,down,down,1,-10.3757,0.2453,1w
2022-05-04,chop,down,down,1,-6.0381,0.176,1w
2022-05-13,trending_bear,down,neutral,0,-0.4726,0.2093,1w
2022-05-24,trending_bear,down,up,0,1.1863,0.256,1w
2022-06-03,trending_bear,down,up,0,6.7399,0.3213,1w
2022-06-14,chop,down,down,1,-3.334,0.2693,1w
2022-06-24,chop,down,neutral,0,0.3991,0.268,1w
2022-07-06,chop,down,down,1,-7.4611,0.3253,1w
2022-07-15,chop,down,up,0,0.8155,0.2347,1w
2022-07-26,chop,down,down,1,-0.8095,0.3267,1w
2022-08-04,chop,down,up,0,1.1803,0.3653,1w
2022-08-15,chop,neutral,neutral,0,-0.3646,0.456,1w
2022-08-24,chop,neutral,down,0,-9.4454,0.456,1w
2022-09-02,chop,neutral,down,0,-12.4731,0.456,1w
2022-09-14,chop,down,down,1,-7.6003,0.3733,1w
2022-09-23,chop,down,down,1,-1.5092,0.304,1w
2022-10-04,trending_bear,down,up,0,13.6554,0.1787,1w
2022-10-13,trending_bear,down,up,0,7.8955,0.2827,1w
2022-10-24,trending_bear,down,up,0,19.5961,0.2733,1w
2022-11-02,trending_bull,down,up,0,10.0043,0.4467,1w
2022-11-11,trending_bull,neutral,up,0,6.555,0.4587,1w
2022-11-22,trending_bull,neutral,up,0,6.9505,0.544,1w
2022-12-02,trending_bull,up,neutral,0,-0.1997,0.6587,1w
2022-12-13,trending_bull,up,down,0,-5.111,0.656,1w
2022-12-22,trending_bull,up,down,0,-7.9338,0.7693,1w
2023-01-04,trending_bull,up,down,0,-11.7563,0.828,1w
2023-01-13,trending_bear,up,down,0,-10.2357,0.712,1w
2023-01-25,trending_bear,up,down,0,-8.8324,0.728,1w
2023-02-03,trending_bear,down,down,1,-0.7456,0.388,1w
2023-02-14,trending_bear,down,up,0,2.11,0.2493,1w
2023-02-24,trending_bear,down,up,0,7.6103,0.2333,1w
2023-03-07,trending_bear,down,down,1,-1.7314,0.2253,1w
2023-03-16,chop,down,down,1,-8.5342,0.216,1w
2023-03-27,chop,down,down,1,-9.2397,0.1933,1w
2023-04-05,chop,down,down,1,-9.5864,0.22,1w
2023-04-17,chop,down,up,0,3.1291,0.2133,1w
2023-04-26,chop,down,down,1,-3.6723,0.2413,1w
2023-05-05,trending_bear,down,up,0,0.9528,0.288,1w
2023-05-16,chop,down,down,1,-2.9266,0.3973,1w
2023-05-25,chop,down,up,0,3.3531,0.3787,1w
2023-06-06,chop,down,down,1,-0.7217,0.3187,1w
2023-06-15,chop,down,up,0,12.0456,0.3387,1w
2023-06-27,chop,down,up,0,9.0175,0.292,1w
2023-07-07,chop,down,up,0,12.6784,0.3347,1w
2023-07-18,chop,up,up,1,1.6663,0.6,1w
2023-07-27,chop,up,up,1,4.9313,0.6,1w
2023-08-07,trending_bull,up,up,1,9.0416,0.6627,1w
2023-08-16,trending_bull,up,up,1,12.8433,0.5693,1w
2023-08-25,trending_bull,up,up,1,4.735,0.7547,1w
2023-09-06,trending_bull,up,down,0,-1.3165,0.7427,1w
2023-09-15,trending_bull,up,up,1,1.7592,0.8333,1w
2023-09-26,trending_bull,up,up,1,4.1522,0.768,1w
2023-10-05,chop,up,down,0,-3.7609,0.764,1w
2023-10-16,chop,up,down,0,-12.1568,0.764,1w
2023-10-25,chop,up,down,0,-8.3278,0.7067,1w
2023-11-03,chop,up,down,0,-2.8706,0.5907,1w
2023-11-14,trending_bear,neutral,down,0,-1.9179,0.4693,1w
2023-11-24,trending_bear,down,down,1,-10.3638,0.3867,1w
2023-12-05,chop,down,down,1,-10.222,0.2973,1w
2023-12-14,trending_bear,down,down,1,-3.8157,0.212,1w
2023-12-26,trending_bear,down,down,1,-1.1422,0.1947,1w
2024-01-05,trending_bear,down,up,0,4.6506,0.1653,1w
2024-01-17,trending_bear,down,up,0,1.3703,0.152,1w
2024-01-26,trending_bear,down,up,0,10.1464,0.1933,1w
2024-02-06,chop,down,up,0,9.2751,0.292,1w
2024-02-15,chop,down,up,0,6.3304,0.36,1w
2024-02-27,chop,down,neutral,0,0.0264,0.3947,1w
2024-03-07,trending_bull,neutral,down,0,-4.8884,0.4907,1w
2024-03-18,trending_bull,neutral,up,0,3.6611,0.5293,1w
2024-03-27,chop,up,up,1,8.4042,0.5827,1w
2024-04-08,crisis,up,up,1,11.5395,0.5747,1w
2024-04-17,high_volatility,up,up,1,4.4159,0.6573,1w
2024-04-26,high_volatility,up,down,0,-4.9518,0.7387,1w
2024-05-07,chop,up,down,0,-5.6815,0.68,1w
2024-05-16,chop,up,down,0,-1.8658,0.656,1w
2024-05-28,chop,up,up,1,1.2722,0.5653,1w
2024-06-06,chop,neutral,up,0,2.9315,0.508,1w
2024-06-17,chop,neutral,up,0,2.2066,0.5213,1w
2024-06-27,chop,up,down,0,-4.9259,0.5773,1w
2024-07-09,chop,up,down,0,-3.4746,0.628,1w
2024-07-18,chop,neutral,down,0,-7.9758,0.544,1w
2024-07-29,chop,down,down,1,-7.8554,0.3027,1w
2024-08-07,chop,down,down,1,-12.1789,0.2973,1w
2024-08-16,chop,down,down,1,-10.6828,0.3347,1w
2024-08-27,chop,down,down,1,-4.2714,0.2413,1w
2024-09-06,trending_bear,down,down,1,-3.079,0.1867,1w
2024-09-17,trending_bear,down,down,1,-1.4264,0.2253,1w
2024-09-26,trending_bear,down,neutral,0,0.0258,0.1533,1w
2024-10-07,trending_bear,down,up,0,3.8722,0.1533,1w
2024-10-16,trending_bear,down,neutral,0,-0.4532,0.152,1w
2024-10-25,chop,down,up,0,2.8612,0.2093,1w
2024-11-05,chop,down,down,1,-2.7167,0.2253,1w
2024-11-14,chop,down,down,1,-3.4143,0.22,1w
2024-11-25,chop,down,neutral,0,-0.2986,0.3467,1w
