date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,up,1,5.014,0.6947,1w
2021-01-13,high_volatility,up,down,0,-1.87,0.768,1w
2021-01-25,crisis,up,down,0,-4.4647,0.5773,1w
2021-02-03,crisis,up,down,0,-10.4901,0.616,1w
2021-02-12,high_volatility,up,down,0,-6.5649,0.6667,1w
2021-02-24,high_volatility,neutral,up,0,8.722,0.5147,1w
2021-03-05,crisis,neutral,up,0,5.4398,0.48,1w
2021-03-16,crisis,neutral,down,0,-3.7273,0.5293,1w
2021-03-25,high_volatility,neutral,down,0,-22.6658,0.5467,1w
2021-04-06,chop,down,down,1,-15.6015,0.4387,1w
2021-04-15,chop,down,down,1,-22.2831,0.2827,1w
2021-04-26,crisis,down,down,1,-6.8823,0.256,1w
2021-05-05,trending_bear,down,up,0,0.7438,0.2293,1w
2021-05-14,trending_bear,down,down,1,-8.1847,0.2013,1w
2021-05-25,trending_bear,down,down,1,-2.9872,0.2587,1w
2021-06-04,trending_bear,down,down,1,-9.5333,0.3733,1w
2021-06-15,trending_bear,down,down,1,-0.8837,0.1787,1w
2021-06-24,trending_bear,down,down,1,-1.1951,0.1413,1w
2021-07-06,chop,down,up,0,8.7327,0.2133,1w
2021-07-15,chop,down,up,0,20.9981,0.156,1w
2021-07-26,chop,down,up,0,19.3717,0.3387,1w
2021-08-04,chop,down,up,0,4.27,0.424,1w
2021-08-13,trending_bull,up,down,0,-3.836,0.6347,1w
2021-08-24,trending_bull,up,down,0,-1.7185,0.6333,1w
2021-09-02,trending_bull,neutral,up,0,4.0802,0.5013,1w
2021-09-14,chop,up,down,0,-1.1821,0.7173,1w
2021-09-23,chop,up,down,0,-0.8041,0.632,1w
2021-10-04,chop,up,up,1,4.815,0.6733,1w
2021-10-13,chop,up,up,1,6.3557,0.6733,1w
2021-10-22,chop,up,up,1,13.4677,0.656,1w
2021-11-02,chop,up,up,1,3.8343,0.668,1w
2021-11-11,chop,neutral,up,0,2.463,0.52,1w
2021-11-22,chop,up,neutral,0,-0.0123,0.5907,1w
2021-12-02,chop,up,down,0,-0.6306,0.6787,1w
2021-12-13,chop,up,up,1,7.3698,0.612,1w
2021-12-22,chop,up,down,0,-1.9183,0.6667,1w
2022-01-03,chop,up,down,0,-8.0744,0.5827,1w
2022-01-12,chop,up,down,0,-2.7836,0.656,1w
2022-01-24,chop,up,neutral,0,0.0072,0.656,1w
2022-02-02,chop,down,down,1,-2.7609,0.4093,1w
2022-02-11,chop,neutral,down,0,-26.2721,0.5107,1w
2022-02-23,chop,down,down,1,-33.9206,0.4093,1w
2022-03-04,chop,down,down,1,-33.2888,0.344,1w
2022-03-15,crisis,down,down,1,-12.284,0.2667,1w
2022-03-24,crisis,down,down,1,-6.9814,0.1867,1w
2022-04-04,trending_bear,down,down,1,-3.0694,0.152,1w
2022-04-13,trending_bear,down,down,1,-2.9577,0.1613,1w
2022-04-25,trending_bear,down,up,0,3.4689,0.184,1w
2022-05-04,trending_bear,down,up,0,11.0836,0.152,1w
2022-05-13,trending_bear,down,up,0,8.5047,0.1787,1w
2022-05-24,chop,down,down,1,-1.5302,0.1907,1w
2022-06-03,chop,down,up,0,2.4721,0.2573,1w
2022-06-14,chop,down,up,0,5.6386,0.4013,1w
2022-06-24,chop,down,up,0,20.6447,0.428,1w
2022-07-06,chop,up,up,1,14.3159,0.6587,1w
2022-07-15,trending_bull,up,down,0,-7.2802,0.6173,1w
2022-07-26,trending_bull,up,down,0,-11.7862,0.768,1w
2022-08-04,trending_bull,up,down,0,-9.1869,0.784,1w
2022-08-15,trending_bull,up,down,0,-1.1414,0.724,1w
2022-08-24,trending_bear,up,down,0,-4.8151,0.5587,1w
2022-09-02,trending_bear,up,down,0,-11.7728,0.5867,1w
2022-09-14,chop,up,down,0,-11.8344,0.5733,1w
2022-09-23,trending_bear,neutral,down,0,-8.0627,0.4707,1w
2022-10-04,trending_bear,down,up,0,7.5793,0.3467,1w
2022-10-13,trending_bear,down,up,0,0.9063,0.116,1w
2022-10-24,trending_bear,down,up,0,13.8057,0.1093,1w
2022-11-02,trending_bull,down,up,0,12.711,0.22,1w
2022-11-11,chop,down,up,0,21.0075,0.2973,1w
2022-11-22,trending_bull,down,up,0,21.5311,0.4067,1w
2022-12-02,trending_bull,up,up,1,7.4883,0.58,1w
2022-12-13,trending_bull,up,down,0,-9.3459,0.6627,1w
2022-12-22,trending_bull,up,down,0,-7.5997,0.76,1w
2023-01-04,trending_bull,up,down,0,-7.2289,0.7947,1w
2023-01-13,trending_bull,up,neutral,0,-0.2626,0.7227,1w
2023-01-25,trending_bull,up,up,1,0.9665,0.7947,1w
2023-02-03,chop,up,up,1,10.4763,0.6467,1w
2023-02-14,chop,up,up,1,3.7289,0.684,1w
2023-02-24,chop,up,up,1,8.6458,0.6733,1w
2023-03-07,chop,up,up,1,5.426,0.6267,1w
2023-03-16,chop,down,up,0,8.4124,0.3347,1w
2023-03-27,chop,neutral,up,0,3.4678,0.536,1w
2023-04-05,trending_bull,up,up,1,6.2042,0.6173,1w
2023-04-17,trending_bull,up,up,1,8.8804,0.768,1w
2023-04-26,trending_bull,up,down,0,-3.3108,0.7933,1w
2023-05-05,trending_bull,up,down,0,-1.1991,0.916,1w
2023-05-16,trending_bull,up,down,0,-6.1379,0.872,1w
2023-05-25,trending_bear,up,up,1,3.4892,0.668,1w
2023-06-06,trending_bull,up,down,0,-1.3603,0.6267,1w
2023-06-15,chop,up,down,0,-12.3747,0.62,1w
2023-06-27,chop,neutral,down,0,-9.4617,0.4907,1w
2023-07-07,chop,neutral,down,0,-15.7386,0.4907,1w
2023-07-18,crisis,down,up,0,5.1723,0.2947,1w
2023-07-27,crisis,down,down,1,-0.8609,0.312,1w
2023-08-07,high_volatility,down,up,0,2.7718,0.236,1w
2023-08-16,trending_bear,down,down,1,-2.8375,0.2453,1w
2023-08-25,chop,down,neutral,0,0.2034,0.3453,1w
2023-09-06,chop,down,up,0,2.9412,0.256,1w
2023-09-15,chop,down,up,0,12.7193,0.2867,1w
2023-09-26,chop,down,up,0,13.7061,0.2813,1w
2023-10-05,chop,down,up,0,10.3749,0.2787,1w
2023-10-16,chop,up,up,1,8.9321,0.724,1w
2023-10-25,trending_bull,up,up,1,13.5319,0.6747,1w
2023-11-03,trending_bull,up,up,1,14.6956,0.728,1w
2023-11-14,trending_bull,up,down,0,-0.8106,0.752,1w
2023-11-24,trending_bull,up,down,0,-8.475,0.8253,1w
2023-12-05,trending_bull,up,down,0,-8.9598,0.8573,1w
