date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,up,0,6.2893,0.5387,1w
2021-01-13,chop,up,up,1,4.1287,0.5733,1w
2021-01-25,chop,down,up,0,3.6124,0.4427,1w
2021-02-03,chop,up,down,0,-3.6653,0.588,1w
2021-02-12,trending_bull,neutral,down,0,-0.9646,0.4667,1w
2021-02-24,chop,neutral,up,0,7.2027,0.516,1w
2021-03-05,chop,neutral,up,0,6.8071,0.516,1w
2021-03-16,chop,neutral,up,0,4.4872,0.4973,1w
2021-03-25,chop,neutral,down,0,-3.8462,0.5453,1w
2021-04-06,chop,up,down,0,-9.1181,0.596,1w
2021-04-15,trending_bull,up,down,0,-7.9445,0.588,1w
2021-04-26,chop,up,up,1,1.3303,0.5907,1w
2021-05-05,high_volatility,down,up,0,2.1263,0.368,1w
2021-05-14,chop,down,down,1,-3.5831,0.3893,1w
2021-05-25,chop,neutral,down,0,-1.4539,0.5467,1w
2021-06-04,chop,neutral,down,0,-0.7974,0.516,1w
2021-06-15,chop,down,up,0,6.0708,0.3733,1w
2021-06-24,chop,down,up,0,3.0695,0.3653,1w
2021-07-06,chop,down,up,0,8.5622,0.3507,1w
2021-07-15,chop,down,up,0,7.1224,0.4067,1w
2021-07-26,chop,neutral,down,0,-1.2441,0.524,1w
2021-08-04,chop,up,down,0,-8.6438,0.6173,1w
2021-08-13,chop,up,down,0,-11.226,0.668,1w
2021-08-24,chop,neutral,down,0,-5.9295,0.4947,1w
2021-09-02,trending_bear,down,down,1,-3.4597,0.4093,1w
2021-09-14,chop,neutral,down,0,-0.832,0.492,1w
2021-09-23,trending_bear,down,up,0,6.5404,0.336,1w
2021-10-04,trending_bear,down,up,0,1.5075,0.3453,1w
2021-10-13,chop,down,up,0,4.7928,0.32,1w
2021-10-22,chop,down,up,0,3.6012,0.396,1w
2021-11-02,trending_bull,down,up,0,6.0013,0.256,1w
2021-11-11,trending_bull,down,down,1,-4.5031,0.3547,1w
2021-11-22,trending_bull,neutral,down,0,-9.0909,0.528,1w
2021-12-02,trending_bull,up,down,0,-7.2115,0.5813,1w
2021-12-13,trending_bear,neutral,down,0,-3.2468,0.5147,1w
2021-12-22,chop,neutral,neutral,0,-0.3442,0.4987,1w
2022-01-03,chop,down,down,1,-9.5563,0.3787,1w
2022-01-12,chop,down,down,1,-20.5965,0.3813,1w
2022-01-24,chop,down,down,1,-25.3651,0.2787,1w
2022-02-02,chop,down,down,1,-17.2319,0.248,1w
2022-02-11,trending_bear,down,down,1,-21.7204,0.0907,1w
2022-02-23,trending_bear,down,down,1,-14.123,0.052,1w
