date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-19.114,0.8467,1w
2021-01-13,high_volatility,up,down,0,-17.467,0.752,1w
2021-01-25,crisis,neutral,down,0,-9.0139,0.544,1w
2021-02-03,crisis,down,down,1,-15.0291,0.256,1w
2021-02-12,high_volatility,down,down,1,-10.5734,0.2093,1w
2021-02-24,high_volatility,down,up,0,1.5451,0.208,1w
2021-03-05,trending_bear,down,up,0,5.9133,0.184,1w
2021-03-16,trending_bear,down,down,1,-4.2626,0.1387,1w
2021-03-25,chop,down,down,1,-17.0989,0.2013,1w
2021-04-06,chop,down,down,1,-8.0994,0.1933,1w
2021-04-15,chop,down,neutral,0,-0.4058,0.1787,1w
2021-04-26,trending_bear,down,up,0,6.4768,0.2253,1w
2021-05-05,chop,down,up,0,6.1452,0.2747,1w
2021-05-14,chop,down,down,1,-6.7679,0.3787,1w
2021-05-25,chop,down,up,0,1.682,0.4067,1w
2021-06-04,chop,up,down,0,-19.6592,0.564,1w
2021-06-15,chop,down,down,1,-7.56,0.4173,1w
2021-06-24,chop,down,down,1,-4.1356,0.376,1w
2021-07-06,chop,down,up,0,25.6655,0.2573,1w
2021-07-15,chop,down,up,0,13.1192,0.396,1w
2021-07-26,chop,neutral,down,0,-3.4647,0.5347,1w
2021-08-04,chop,neutral,down,0,-23.3083,0.5293,1w
2021-08-13,chop,neutral,down,0,-13.3338,0.4947,1w
2021-08-24,chop,down,down,1,-8.4741,0.4427,1w
2021-09-02,chop,down,up,0,9.4902,0.2747,1w
2021-09-14,trending_bear,down,down,1,-9.0336,0.396,1w
2021-09-23,chop,down,up,0,1.5943,0.3187,1w
2021-10-04,chop,neutral,down,0,-11.526,0.536,1w
2021-10-13,chop,down,up,0,11.373,0.376,1w
2021-10-22,chop,down,up,0,16.1225,0.3733,1w
2021-11-02,chop,down,up,0,22.4813,0.2253,1w
2021-11-11,chop,down,up,0,1.5647,0.4173,1w
2021-11-22,trending_bull,neutral,down,0,-2.1334,0.4947,1w
2021-12-02,trending_bull,up,down,0,-5.3453,0.632,1w
2021-12-13,chop,up,up,1,3.7144,0.564,1w
2021-12-22,chop,up,up,1,17.0953,0.58,1w
2022-01-03,chop,neutral,up,0,38.2658,0.488,1w
2022-01-12,chop,up,up,1,25.7579,0.6387,1w
2022-01-24,trending_bull,up,up,1,12.839,0.7213,1w
2022-02-02,trending_bull,up,down,0,-3.6763,0.82,1w
2022-02-11,trending_bull,up,down,0,-13.0635,0.7267,1w
2022-02-23,trending_bull,up,down,0,-2.4844,0.672,1w
2022-03-04,trending_bull,up,down,0,-3.786,0.6787,1w
2022-03-15,chop,up,down,0,-2.7024,0.608,1w
2022-03-24,high_volatility,up,down,0,-7.2507,0.708,1w
2022-04-04,chop,up,down,0,-19.4377,0.6733,1w
2022-04-13,chop,up,down,0,-18.8716,0.588,1w
2022-04-25,chop,neutral,down,0,-4.3616,0.4693,1w
2022-05-04,trending_bear,down,up,0,3.5808,0.144,1w
2022-05-13,trending_bear,down,up,0,19.7555,0.112,1w
2022-05-24,trending_bear,down,up,0,5.5131,0.1773,1w
2022-06-03,chop,down,up,0,3.3747,0.236,1w
2022-06-14,trending_bull,down,up,0,2.4072,0.4013,1w
2022-06-24,chop,down,down,1,-5.4169,0.3293,1w
2022-07-06,chop,down,down,1,-9.4364,0.3733,1w
2022-07-15,chop,neutral,down,0,-17.5005,0.456,1w
2022-07-26,chop,neutral,down,0,-9.6416,0.4907,1w
2022-08-04,chop,neutral,down,0,-6.3645,0.4933,1w
2022-08-15,trending_bear,neutral,down,0,-8.6016,0.4827,1w
2022-08-24,trending_bear,down,down,1,-11.7665,0.3893,1w
2022-09-02,chop,down,down,1,-12.9978,0.332,1w
2022-09-14,trending_bear,down,down,1,-10.2029,0.1747,1w
2022-09-23,trending_bear,down,down,1,-12.7094,0.164,1w
2022-10-04,trending_bear,down,down,1,-21.9885,0.144,1w
2022-10-13,trending_bear,down,down,1,-15.4395,0.064,1w
2022-10-24,trending_bear,down,up,0,6.0852,0.064,1w
2022-11-02,trending_bear,down,up,0,20.024,0.04,1w
2022-11-11,trending_bear,down,up,0,21.3667,0.076,1w
2022-11-22,trending_bear,down,up,0,29.6376,0.184,1w
2022-12-02,trending_bull,down,up,0,9.4171,0.2493,1w
2022-12-13,trending_bull,neutral,down,0,-9.4414,0.4693,1w
2022-12-22,trending_bull,up,down,0,-2.5595,0.6173,1w
2023-01-04,trending_bull,neutral,neutral,0,-0.3897,0.5453,1w
2023-01-13,chop,neutral,up,0,20.6318,0.5467,1w
2023-01-25,chop,up,up,1,5.9721,0.7693,1w
2023-02-03,chop,up,up,1,24.4548,0.744,1w
2023-02-14,chop,up,down,0,-7.7844,0.76,1w
2023-02-24,chop,up,down,0,-2.4243,0.7293,1w
2023-03-07,chop,up,down,0,-13.6654,0.7253,1w
2023-03-16,chop,neutral,down,0,-3.9134,0.4693,1w
2023-03-27,chop,neutral,down,0,-15.2014,0.456,1w
2023-04-05,chop,up,down,0,-5.948,0.5573,1w
2023-04-17,chop,neutral,up,0,8.2613,0.5387,1w
2023-04-26,high_volatility,down,up,0,4.6426,0.404,1w
2023-05-05,chop,neutral,down,0,-2.0932,0.52,1w
2023-05-16,chop,down,down,1,-9.7703,0.388,1w
2023-05-25,chop,down,down,1,-14.3171,0.4013,1w
2023-06-06,chop,down,down,1,-5.7769,0.256,1w
2023-06-15,chop,down,neutral,0,-0.2511,0.3653,1w
2023-06-27,chop,down,up,0,10.0521,0.216,1w
2023-07-07,chop,down,down,1,-12.6872,0.3027,1w
2023-07-18,chop,down,down,1,-8.5319,0.444,1w
2023-07-27,high_volatility,down,down,1,-0.9681,0.4453,1w
2023-08-07,crisis,down,up,0,15.4597,0.2253,1w
2023-08-16,high_volatility,down,up,0,5.5225,0.26,1w
2023-08-25,chop,down,down,1,-3.518,0.3973,1w
2023-09-06,high_volatility,down,up,0,10.471,0.3733,1w
2023-09-15,chop,down,up,0,2.2296,0.3973,1w
2023-09-26,chop,neutral,down,0,-3.809,0.5107,1w
2023-10-05,chop,neutral,down,0,-8.54,0.4907,1w
2023-10-16,chop,neutral,down,0,-8.1548,0.4707,1w
2023-10-25,chop,down,down,1,-6.5265,0.4147,1w
2023-11-03,chop,up,up,1,6.7777,0.58,1w
2023-11-14,chop,neutral,up,0,22.2582,0.4907,1w
2023-11-24,trending_bear,down,up,0,15.108,0.3707,1w
2023-12-05,chop,neutral,up,0,20.0783,0.5293,1w
2023-12-14,trending_bull,up,up,1,1.0525,0.6053,1w
2023-12-26,trending_bull,up,up,1,2.7037,0.564,1w
2024-01-05,trending_bull,up,up,1,14.1574,0.6053,1w
2024-01-17,trending_bull,up,up,1,14.1596,0.6027,1w
2024-01-26,trending_bull,up,up,1,2.1254,0.616,1w
2024-02-06,crisis,up,down,0,-6.2036,0.7667,1w
2024-02-15,crisis,up,down,0,-19.3782,0.82,1w
2024-02-27,crisis,up,down,0,-19.4369,0.668,1w
2024-03-07,crisis,up,down,0,-30.3958,0.6693,1w
2024-03-18,high_volatility,down,down,1,-27.4782,0.4213,1w
2024-03-27,trending_bear,down,down,1,-9.6384,0.3293,1w
2024-04-08,crisis,down,up,0,11.7292,0.18,1w
2024-04-17,trending_bear,down,up,0,41.2695,0.224,1w
2024-04-26,trending_bear,down,up,0,21.6391,0.296,1w
2024-05-07,chop,down,up,0,15.3182,0.3,1w
2024-05-16,trending_bull,down,up,0,9.7432,0.3467,1w
2024-05-28,trending_bull,down,up,0,22.26,0.3893,1w
2024-06-06,chop,neutral,up,0,2.7562,0.54,1w
2024-06-17,trending_bull,up,up,1,3.6093,0.5613,1w
2024-06-27,trending_bull,up,down,0,-9.0085,0.6587,1w
2024-07-09,trending_bull,up,down,0,-11.9921,0.768,1w
2024-07-18,chop,up,down,0,-6.9583,0.8813,1w
2024-07-29,chop,up,up,1,4.3105,0.752,1w
2024-08-07,chop,neutral,up,0,8.6044,0.5467,1w
2024-08-16,chop,neutral,up,0,5.6295,0.504,1w
2024-08-27,chop,up,down,0,-4.0715,0.6107,1w
2024-09-06,chop,down,up,0,2.0345,0.4347,1w
2024-09-17,chop,neutral,down,0,-0.78,0.4693,1w
2024-09-26,chop,down,up,0,4.3163,0.2987,1w
2024-10-07,chop,down,down,1,-2.842,0.392,1w
2024-10-16,chop,down,down,1,-14.5912,0.412,1w
2024-10-25,chop,neutral,down,0,-4.6928,0.512,1w
2024-11-05,chop,neutral,up,0,10.1645,0.52,1w
2024-11-14,chop,down,up,0,13.5144,0.3187,1w
2024-11-25,chop,down,up,0,4.0132,0.388,1w
