date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-1.1331,0.5107,1w
2021-01-13,chop,down,neutral,0,-0.1399,0.4147,1w
2021-01-25,chop,down,up,0,0.9046,0.4267,1w
2021-02-03,chop,down,up,0,11.2757,0.3693,1w
2021-02-12,chop,down,up,0,6.0925,0.2693,1w
2021-02-24,chop,down,up,0,2.2437,0.448,1w
2021-03-05,chop,up,down,0,-3.8071,0.6987,1w
2021-03-16,trending_bull,up,up,1,2.0435,0.676,1w
2021-03-25,trending_bull,up,down,0,-5.5061,0.6387,1w
2021-04-06,chop,up,down,0,-7.954,0.5907,1w
2021-04-15,chop,up,down,0,-19.4947,0.628,1w
2021-04-26,chop,neutral,down,0,-7.9249,0.4707,1w
2021-05-05,chop,down,down,1,-3.2425,0.4453,1w
2021-05-14,crisis,down,neutral,0,0.4119,0.2333,1w
2021-05-25,trending_bear,down,down,1,-5.0024,0.256,1w
2021-06-04,trending_bear,down,down,1,-12.3579,0.2253,1w
2021-06-15,trending_bear,down,down,1,-12.2354,0.1867,1w
2021-06-24,trending_bear,down,down,1,-12.9677,0.156,1w
2021-07-06,trending_bear,down,up,0,4.5223,0.132,1w
2021-07-15,trending_bear,down,up,0,11.5183,0.0667,1w
2021-07-26,trending_bear,down,up,0,2.6807,0.12,1w
2021-08-04,trending_bear,down,down,1,-12.1245,0.2413,1w
2021-08-13,trending_bull,down,down,1,-4.5503,0.432,1w
2021-08-24,chop,down,up,0,2.6092,0.2293,1w
2021-09-02,chop,down,up,0,15.2686,0.1573,1w
2021-09-14,chop,down,down,1,-2.2778,0.3347,1w
2021-09-23,chop,down,up,0,2.3041,0.3467,1w
2021-10-04,crisis,up,down,0,-6.7665,0.576,1w
2021-10-13,high_volatility,neutral,up,0,14.8361,0.5,1w
2021-10-22,high_volatility,neutral,up,0,8.5973,0.5107,1w
2021-11-02,chop,down,up,0,18.3305,0.4173,1w
2021-11-11,crisis,up,up,1,7.5689,0.556,1w
2021-11-22,chop,up,up,1,13.5872,0.58,1w
2021-12-02,chop,up,up,1,3.5697,0.7347,1w
2021-12-13,high_volatility,up,neutral,0,0.229,0.676,1w
2021-12-22,crisis,up,neutral,0,0.3227,0.736,1w
2022-01-03,high_volatility,up,down,0,-1.4619,0.6387,1w
2022-01-12,trending_bull,up,down,0,-9.5387,0.7573,1w
2022-01-24,high_volatility,up,down,0,-10.6509,0.7413,1w
2022-02-02,high_volatility,up,down,0,-6.0768,0.7293,1w
2022-02-11,chop,neutral,down,0,-0.5964,0.4853,1w
2022-02-23,chop,neutral,up,0,11.1577,0.48,1w
2022-03-04,trending_bear,down,up,0,24.4986,0.296,1w
2022-03-15,trending_bear,down,up,0,17.0181,0.324,1w
2022-03-24,trending_bull,down,up,0,8.3412,0.4213,1w
2022-04-04,trending_bull,neutral,up,0,4.3592,0.5453,1w
2022-04-13,trending_bull,neutral,down,0,-3.9965,0.5387,1w
2022-04-25,trending_bull,neutral,down,0,-7.3149,0.544,1w
2022-05-04,trending_bull,up,down,0,-8.1884,0.7267,1w
2022-05-13,trending_bull,up,up,1,0.7336,0.6173,1w
2022-05-24,trending_bear,up,neutral,0,0.1917,0.6333,1w
2022-06-03,chop,up,down,0,-3.7875,0.7307,1w
2022-06-14,chop,up,up,1,3.8742,0.6467,1w
2022-06-24,chop,down,up,0,9.1992,0.424,1w
2022-07-06,chop,down,up,0,2.2663,0.2693,1w
2022-07-15,chop,down,down,1,-10.0913,0.4293,1w
2022-07-26,chop,neutral,neutral,0,0.0,0.4653,1w
2022-08-04,chop,down,up,0,1.7916,0.312,1w
2022-08-15,chop,down,up,0,0.8268,0.3627,1w
2022-08-24,chop,up,down,0,-4.5905,0.5707,1w
2022-09-02,chop,neutral,down,0,-9.0866,0.456,1w
2022-09-14,chop,down,down,1,-1.5632,0.3547,1w
2022-09-23,chop,neutral,neutral,0,0.2863,0.4787,1w
2022-10-04,chop,down,up,0,8.4156,0.2933,1w
2022-10-13,chop,down,down,1,-1.2089,0.2747,1w
2022-10-24,chop,down,up,0,3.4861,0.364,1w
2022-11-02,chop,down,up,0,5.8435,0.416,1w
2022-11-11,chop,down,up,0,2.8342,0.4413,1w
2022-11-22,chop,down,down,1,-0.6736,0.404,1w
2022-12-02,chop,up,down,0,-4.7016,0.5733,1w
2022-12-13,chop,neutral,down,0,-5.3725,0.516,1w
2022-12-22,chop,up,down,0,-5.6757,0.5587,1w
2023-01-04,chop,up,down,0,-3.4889,0.6187,1w
2023-01-13,chop,neutral,down,0,-1.0169,0.4867,1w
2023-01-25,chop,neutral,down,0,-1.1505,0.4573,1w
2023-02-03,chop,down,up,0,7.7523,0.3867,1w
2023-02-14,chop,down,up,0,9.9809,0.3867,1w
2023-02-24,chop,down,up,0,8.6048,0.3027,1w
2023-03-07,chop,neutral,up,0,12.545,0.456,1w
2023-03-16,trending_bull,neutral,up,0,12.6146,0.544,1w
2023-03-27,trending_bull,neutral,up,0,11.3283,0.4693,1w
2023-04-05,crisis,up,down,0,-1.2992,0.7467,1w
2023-04-17,crisis,up,up,1,4.913,0.8,1w
2023-04-26,high_volatility,up,up,1,11.4504,0.7507,1w
2023-05-05,high_volatility,up,up,1,9.9518,0.764,1w
2023-05-16,trending_bull,up,neutral,0,-0.1848,0.8227,1w
2023-05-25,crisis,up,down,0,-10.0205,0.8413,1w
2023-06-06,crisis,up,down,0,-1.402,0.7307,1w
2023-06-15,high_volatility,up,up,1,2.786,0.6667,1w
2023-06-27,chop,up,down,0,-3.6673,0.656,1w
2023-07-07,chop,up,down,0,-12.3755,0.5893,1w
2023-07-18,chop,up,down,0,-4.9265,0.5573,1w
2023-07-27,chop,neutral,up,0,7.3899,0.4987,1w
2023-08-07,chop,neutral,up,0,7.8093,0.456,1w
2023-08-16,chop,down,up,0,6.2051,0.4093,1w
2023-08-25,chop,down,up,0,6.2134,0.3747,1w
2023-09-06,chop,down,up,0,15.2276,0.348,1w
2023-09-15,chop,neutral,up,0,2.6824,0.528,1w
2023-09-26,chop,up,up,1,4.8872,0.5987,1w
2023-10-05,chop,neutral,up,0,2.4196,0.5293,1w
2023-10-16,chop,neutral,down,0,-4.4967,0.5467,1w
2023-10-25,high_volatility,up,down,0,-7.0519,0.724,1w
2023-11-03,high_volatility,up,down,0,-4.1008,0.7307,1w
2023-11-14,high_volatility,neutral,neutral,0,-0.2157,0.528,1w
2023-11-24,chop,neutral,down,0,-2.2077,0.5227,1w
2023-12-05,chop,up,down,0,-4.6218,0.6213,1w
2023-12-14,chop,neutral,up,0,0.8633,0.452,1w
2023-12-26,chop,down,up,0,1.8055,0.34,1w
2024-01-05,chop,down,up,0,7.5009,0.3733,1w
2024-01-17,chop,down,up,0,8.3303,0.4093,1w
2024-01-26,chop,down,up,0,1.4286,0.2747,1w
2024-02-06,chop,down,neutral,0,0.2756,0.4267,1w
2024-02-15,chop,up,up,1,3.1533,0.6027,1w
2024-02-27,chop,neutral,up,0,9.5019,0.5147,1w
2024-03-07,chop,neutral,down,0,-9.4125,0.4973,1w
2024-03-18,chop,up,down,0,-3.1148,0.6693,1w
2024-03-27,chop,up,down,0,-3.7431,0.7307,1w
2024-04-08,chop,down,up,0,4.9893,0.4467,1w
2024-04-17,chop,up,down,0,-1.242,0.58,1w
2024-04-26,chop,up,up,1,2.3649,0.5707,1w
2024-05-07,chop,neutral,up,0,12.047,0.4907,1w
2024-05-16,chop,down,up,0,10.4215,0.436,1w
2024-05-28,chop,up,up,1,9.3667,0.5773,1w
2024-06-06,chop,up,up,1,1.5649,0.6173,1w
2024-06-17,trending_bull,up,up,1,8.0379,0.5907,1w
2024-06-27,trending_bull,up,up,1,2.3831,0.5533,1w
2024-07-09,trending_bull,up,neutral,0,-0.4282,0.7693,1w
2024-07-18,trending_bull,up,down,0,-5.1792,0.752,1w
2024-07-29,trending_bull,up,up,1,6.6026,0.6787,1w
2024-08-07,chop,up,up,1,8.7771,0.7373,1w
2024-08-16,chop,up,up,1,10.3398,0.6747,1w
2024-08-27,chop,up,up,1,17.4358,0.7533,1w
2024-09-06,chop,up,up,1,19.1125,0.6933,1w
2024-09-17,trending_bull,up,up,1,20.3637,0.752,1w
2024-09-26,high_volatility,up,up,1,0.7789,0.904,1w
2024-10-07,crisis,up,down,0,-2.5945,0.872,1w
