date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-12.3638,0.7693,1w
2021-01-13,high_volatility,up,down,0,-8.5791,0.7293,1w
2021-01-25,crisis,neutral,down,0,-4.2873,0.4987,1w
2021-02-03,crisis,neutral,down,0,-7.4849,0.4587,1w
2021-02-12,high_volatility,down,down,1,-10.0132,0.392,1w
2021-02-24,high_volatility,down,up,0,2.2256,0.2973,1w
2021-03-05,crisis,down,up,0,3.9436,0.3093,1w
2021-03-16,crisis,down,down,1,-3.4943,0.2413,1w
2021-03-25,high_volatility,down,down,1,-15.1006,0.3133,1w
2021-04-06,chop,down,down,1,-11.6086,0.296,1w
2021-04-15,chop,down,down,1,-10.1791,0.2347,1w
2021-04-26,trending_bear,down,down,1,-3.681,0.3027,1w
2021-05-05,trending_bear,down,up,0,0.973,0.296,1w
2021-05-14,high_volatility,down,down,1,-8.9899,0.2893,1w
2021-05-25,high_volatility,down,down,1,-7.3728,0.3627,1w
2021-06-04,chop,down,down,1,-18.4925,0.4453,1w
2021-06-15,chop,down,down,1,-1.6109,0.304,1w
2021-06-24,chop,down,up,0,4.2607,0.2093,1w
2021-07-06,chop,down,up,0,22.4138,0.1867,1w
2021-07-15,chop,down,up,0,14.2372,0.312,1w
2021-07-26,chop,down,up,0,2.8382,0.4093,1w
2021-08-04,chop,neutral,down,0,-14.436,0.456,1w
2021-08-13,chop,neutral,down,0,-17.048,0.536,1w
2021-08-24,chop,neutral,down,0,-14.4485,0.492,1w
2021-09-02,chop,down,down,1,-7.7278,0.3027,1w
2021-09-14,chop,down,down,1,-15.091,0.4147,1w
2021-09-23,chop,down,down,1,-3.1294,0.344,1w
2021-10-04,trending_bear,down,down,1,-4.7159,0.4213,1w
2021-10-13,chop,down,up,0,18.2075,0.236,1w
2021-10-22,trending_bear,down,up,0,15.3739,0.2733,1w
2021-11-02,chop,down,up,0,22.6563,0.2013,1w
2021-11-11,chop,down,up,0,1.4312,0.3213,1w
