date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-27.7527,0.2347,1w
2021-01-13,chop,down,down,1,-4.938,0.18,1w
2021-01-25,trending_bear,down,up,0,15.9434,0.1093,1w
2021-02-03,trending_bear,down,up,0,11.1943,0.1667,1w
2021-02-12,trending_bear,down,down,1,-29.096,0.3787,1w
2021-02-24,chop,down,down,1,-2.9746,0.3733,1w
2021-03-05,chop,down,up,0,12.9949,0.3733,1w
2021-03-16,chop,down,up,0,13.4888,0.292,1w
2021-03-25,chop,down,down,1,-19.6761,0.3853,1w
2021-04-06,chop,down,down,1,-26.4616,0.4013,1w
2021-04-15,chop,down,down,1,-34.3426,0.3893,1w
2021-04-26,chop,neutral,down,0,-24.8746,0.4573,1w
2021-05-05,trending_bear,down,down,1,-50.5968,0.4413,1w
2021-05-14,trending_bear,down,down,1,-51.4343,0.1733,1w
2021-05-25,trending_bear,down,up,0,8.9914,0.212,1w
2021-06-04,trending_bear,down,down,1,-0.7591,0.2307,1w
2021-06-15,trending_bear,down,up,0,10.5793,0.212,1w
2021-06-24,trending_bear,down,down,1,-32.3129,0.1867,1w
2021-07-06,trending_bear,down,down,1,-27.7311,0.1867,1w
2021-07-15,trending_bear,down,down,1,-14.8718,0.1947,1w
2021-07-26,chop,down,up,0,10.0727,0.216,1w
2021-08-04,trending_bear,down,up,0,13.561,0.22,1w
2021-08-13,chop,down,down,1,-3.8399,0.2827,1w
2021-08-24,chop,down,down,1,-3.6832,0.4093,1w
2021-09-02,chop,down,down,1,-11.0517,0.396,1w
2021-09-14,chop,neutral,down,0,-8.7674,0.476,1w
2021-09-23,chop,down,down,1,-24.8062,0.3507,1w
2021-10-04,chop,down,down,1,-5.268,0.3467,1w
2021-10-13,chop,down,up,0,1.4178,0.3787,1w
2021-10-22,chop,down,up,0,19.8556,0.3733,1w
2021-11-02,chop,neutral,up,0,13.9413,0.48,1w
2021-11-11,chop,down,down,1,-18.3074,0.4133,1w
2021-11-22,chop,down,down,1,-12.8153,0.436,1w
2021-12-02,chop,neutral,down,0,-15.7143,0.4653,1w
2021-12-13,chop,down,up,0,2.4442,0.3867,1w
2021-12-22,chop,down,up,0,18.2028,0.392,1w
2022-01-03,chop,down,up,0,22.5806,0.3813,1w
2022-01-12,chop,down,up,0,9.2857,0.4253,1w
2022-01-24,chop,up,up,1,4.4467,0.616,1w
2022-02-02,chop,up,up,1,6.0,0.5907,1w
2022-02-11,chop,down,down,1,-4.7005,0.412,1w
2022-02-23,chop,neutral,up,0,17.8389,0.4907,1w
2022-03-04,chop,up,down,0,-6.1433,0.556,1w
2022-03-15,chop,neutral,down,0,-3.6069,0.5467,1w
2022-03-24,chop,up,down,0,-13.4583,0.6747,1w
2022-04-04,chop,up,down,0,-23.8691,0.5907,1w
2022-04-13,chop,neutral,down,0,-20.0368,0.5427,1w
2022-04-25,chop,neutral,down,0,-0.8097,0.5107,1w
2022-05-04,chop,down,up,0,27.7035,0.2667,1w
2022-05-13,chop,down,up,0,19.0476,0.3213,1w
2022-05-24,chop,neutral,up,0,14.6217,0.4707,1w
2022-06-03,chop,down,up,0,13.3206,0.3893,1w
2022-06-14,chop,down,up,0,26.3602,0.4093,1w
2022-06-24,trending_bull,down,down,1,-6.5331,0.4293,1w
2022-07-06,trending_bull,up,down,0,-7.9623,0.5853,1w
2022-07-15,trending_bull,up,down,0,-28.4966,0.6333,1w
2022-07-26,trending_bear,neutral,down,0,-9.2933,0.5387,1w
2022-08-04,trending_bear,up,down,0,-1.0407,0.7,1w
2022-08-15,trending_bear,up,neutral,0,0.0,0.5733,1w
2022-08-24,trending_bear,down,down,1,-7.027,0.4253,1w
2022-09-02,trending_bear,neutral,down,0,-9.7612,0.4693,1w
2022-09-14,trending_bear,down,down,1,-5.2402,0.3467,1w
2022-09-23,trending_bear,down,up,0,16.4269,0.2267,1w
2022-10-04,trending_bear,down,up,0,19.3364,0.2267,1w
2022-10-13,chop,down,up,0,16.2551,0.1467,1w
2022-10-24,chop,down,up,0,33.95,0.4067,1w
2022-11-02,trending_bull,neutral,up,0,33.3955,0.4587,1w
2022-11-11,trending_bull,up,up,1,35.391,0.6773,1w
2022-11-22,trending_bull,up,up,1,36.1821,0.7307,1w
2022-12-02,trending_bull,up,up,1,10.9589,0.8213,1w
2022-12-13,trending_bull,up,down,0,-8.2645,0.9373,1w
