date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-03-17,trending_bear,down,up,0,13.25,0.4107,1w
2021-03-26,trending_bear,down,up,0,10.9105,0.3653,1w
2021-04-07,chop,down,up,0,9.1359,0.4427,1w
2021-04-16,chop,down,down,1,-13.8919,0.4387,1w
2021-04-27,chop,neutral,down,0,-10.2401,0.5467,1w
2021-05-06,chop,neutral,down,0,-23.1663,0.5453,1w
2021-05-17,chop,down,down,1,-23.9592,0.3133,1w
2021-05-26,chop,down,down,1,-24.4838,0.3787,1w
2021-06-07,chop,neutral,down,0,-14.4306,0.48,1w
2021-06-16,trending_bear,down,up,0,3.3586,0.2373,1w
2021-06-25,trending_bear,down,up,0,4.8138,0.224,1w
2021-07-07,trending_bear,down,up,0,12.0514,0.2213,1w
2021-07-16,trending_bear,down,up,0,6.9878,0.2093,1w
2021-07-27,chop,down,down,1,-3.7571,0.1907,1w
2021-08-05,chop,down,down,1,-7.2701,0.26,1w
2021-08-16,chop,down,down,1,-8.4149,0.3573,1w
2021-08-25,chop,down,down,1,-22.2576,0.2933,1w
2021-09-03,chop,down,down,1,-26.5188,0.376,1w
2021-09-15,chop,neutral,down,0,-18.8731,0.4907,1w
2021-09-24,trending_bear,down,up,0,2.9979,0.3347,1w
2021-10-05,trending_bear,down,up,0,20.8251,0.3147,1w
2021-10-14,trending_bear,down,up,0,50.1393,0.2947,1w
2021-10-25,trending_bear,down,up,0,38.9853,0.248,1w
2021-11-03,chop,down,up,0,3.5275,0.388,1w
2021-11-12,trending_bull,neutral,down,0,-15.9276,0.5173,1w
2021-11-23,trending_bull,up,down,0,-22.3966,0.5573,1w
2021-12-03,trending_bull,down,down,1,-12.5455,0.4147,1w
2021-12-14,chop,neutral,up,0,2.515,0.4907,1w
2021-12-23,chop,up,up,1,15.9148,0.5987,1w
2022-01-04,trending_bear,up,up,1,25.2638,0.56,1w
2022-01-13,chop,up,up,1,14.1068,0.708,1w
2022-01-25,chop,up,up,1,7.7089,0.6667,1w
2022-02-03,trending_bull,up,up,1,7.4669,0.6027,1w
2022-02-14,trending_bull,down,down,1,-9.8431,0.4093,1w
2022-02-24,chop,down,down,1,-7.7266,0.412,1w
2022-03-07,chop,up,down,0,-13.787,0.6507,1w
2022-03-16,chop,neutral,up,0,4.3333,0.5053,1w
2022-03-25,chop,up,down,0,-4.8488,0.6173,1w
2022-04-05,chop,up,down,0,-10.7342,0.6053,1w
2022-04-14,chop,neutral,down,0,-4.6088,0.4947,1w
2022-04-26,chop,neutral,down,0,-5.6989,0.456,1w
2022-05-05,chop,down,up,0,8.1395,0.2973,1w
2022-05-16,chop,down,up,0,7.9583,0.312,1w
2022-05-25,chop,down,up,0,14.1535,0.3347,1w
2022-06-06,chop,down,up,0,13.3878,0.3147,1w
2022-06-15,trending_bull,up,up,1,14.9575,0.5707,1w
2022-06-27,trending_bull,up,down,0,-2.0178,0.5733,1w
2022-07-07,trending_bull,up,down,0,-27.9877,0.5907,1w
2022-07-18,trending_bull,up,down,0,-32.8423,0.6933,1w
2022-07-27,trending_bull,up,down,0,-31.0976,0.5907,1w
2022-08-05,trending_bear,down,down,1,-6.0,0.3893,1w
2022-08-16,trending_bear,down,down,1,-6.9693,0.3453,1w
2022-08-25,trending_bear,down,up,0,1.3315,0.2947,1w
2022-09-06,trending_bear,down,down,1,-0.791,0.268,1w
2022-09-15,trending_bear,down,neutral,0,0.2809,0.2253,1w
2022-09-26,trending_bear,down,down,1,-15.2086,0.1787,1w
2022-10-05,trending_bear,down,down,1,-6.9059,0.168,1w
2022-10-14,chop,down,down,1,-2.9232,0.144,1w
2022-10-25,chop,down,up,0,14.1654,0.132,1w
2022-11-03,chop,down,up,0,23.8931,0.2973,1w
2022-11-14,chop,down,up,0,12.8205,0.3787,1w
2022-11-23,trending_bull,neutral,up,0,7.2667,0.5173,1w
2022-12-05,trending_bull,neutral,down,0,-9.5381,0.544,1w
2022-12-14,trending_bull,up,down,0,-24.306,0.6027,1w
2022-12-23,trending_bull,up,down,0,-11.8528,0.5573,1w
2023-01-05,trending_bull,neutral,down,0,-2.9782,0.4933,1w
2023-01-17,trending_bear,down,up,0,24.2156,0.304,1w
2023-01-26,trending_bear,neutral,up,0,10.2098,0.5467,1w
2023-02-06,chop,up,neutral,0,0.3448,0.58,1w
2023-02-15,chop,neutral,down,0,-12.1369,0.5427,1w
2023-02-27,chop,neutral,down,0,-4.9842,0.52,1w
2023-03-08,chop,down,up,0,2.8472,0.344,1w
2023-03-17,chop,down,up,0,8.1724,0.2947,1w
2023-03-28,chop,down,down,1,-9.5427,0.4067,1w
2023-04-06,chop,down,down,1,-18.4106,0.4467,1w
2023-04-18,chop,up,down,0,-25.1867,0.652,1w
2023-04-27,chop,down,down,1,-30.6241,0.4093,1w
2023-05-08,chop,down,down,1,-7.3666,0.2947,1w
2023-05-17,trending_bear,down,down,1,-3.6279,0.168,1w
2023-05-26,trending_bear,down,up,0,27.2823,0.0787,1w
2023-06-07,trending_bear,down,up,0,21.7099,0.196,1w
2023-06-16,chop,down,up,0,20.1362,0.2387,1w
2023-06-28,chop,down,down,1,-0.9554,0.2947,1w
2023-07-10,trending_bull,down,down,1,-19.3339,0.3293,1w
2023-07-19,chop,down,down,1,-20.4082,0.328,1w
2023-07-28,chop,down,down,1,-16.1466,0.388,1w
2023-08-08,chop,down,up,0,8.1159,0.368,1w
2023-08-17,trending_bear,down,up,0,14.1404,0.3893,1w
2023-08-28,trending_bear,up,up,1,4.049,0.5733,1w
2023-09-07,chop,neutral,down,0,-14.91,0.536,1w
2023-09-18,chop,neutral,up,0,1.6784,0.5467,1w
2023-09-27,chop,down,up,0,11.5827,0.3693,1w
2023-10-06,chop,down,up,0,38.0322,0.296,1w
2023-10-17,chop,down,up,0,35.1138,0.4213,1w
2023-10-26,chop,neutral,up,0,7.7454,0.4653,1w
2023-11-06,high_volatility,up,down,0,-6.2982,0.7293,1w
2023-11-15,trending_bull,up,up,1,2.0148,0.792,1w
2023-11-27,trending_bull,up,up,1,8.7581,0.6987,1w
2023-12-06,chop,up,up,1,11.8017,0.656,1w
2023-12-15,chop,up,up,1,8.5906,0.704,1w
2023-12-27,chop,up,up,1,12.9183,0.708,1w
2024-01-08,chop,up,up,1,5.364,0.7827,1w
2024-01-18,chop,up,up,1,7.6969,0.7587,1w
2024-01-29,chop,up,down,0,-5.2353,0.7107,1w
2024-02-07,crisis,neutral,down,0,-23.4682,0.544,1w
2024-02-16,crisis,up,down,0,-28.9488,0.668,1w
2024-02-28,high_volatility,up,down,0,-21.4286,0.6173,1w
2024-03-08,crisis,down,down,1,-9.1264,0.3893,1w
2024-03-19,trending_bear,down,down,1,-35.9094,0.3293,1w
2024-03-28,trending_bear,down,down,1,-15.3713,0.2947,1w
2024-04-09,crisis,down,up,0,14.052,0.2867,1w
2024-04-18,high_volatility,down,up,0,40.4734,0.144,1w
2024-04-29,trending_bear,down,up,0,17.8026,0.1973,1w
2024-05-08,trending_bull,down,down,1,-2.439,0.2747,1w
2024-05-17,trending_bull,down,down,1,-3.9497,0.256,1w
2024-05-29,chop,down,up,0,6.1525,0.312,1w
2024-06-07,chop,down,up,0,11.9481,0.436,1w
2024-06-18,chop,down,up,0,15.0874,0.376,1w
2024-06-28,chop,neutral,down,0,-7.0569,0.508,1w
2024-07-10,chop,up,down,0,-16.7435,0.6347,1w
2024-07-19,chop,up,down,0,-6.1709,0.7827,1w
2024-07-30,chop,up,up,1,28.516,0.6173,1w
2024-08-08,chop,down,up,0,8.4367,0.3573,1w
2024-08-19,chop,neutral,up,0,8.6059,0.528,1w
2024-08-28,chop,up,down,0,-11.7339,0.5867,1w
2024-09-09,chop,up,down,0,-18.022,0.5813,1w
2024-09-18,chop,up,down,0,-4.2105,0.5907,1w
2024-09-27,chop,down,down,1,-9.8556,0.424,1w
2024-10-08,chop,down,up,0,16.156,0.3467,1w
2024-10-17,chop,down,neutral,0,-0.4163,0.412,1w
2024-10-28,chop,neutral,up,0,21.5617,0.5013,1w
2024-11-06,chop,neutral,up,0,16.1657,0.5013,1w
2024-11-15,chop,neutral,up,0,29.7274,0.5013,1w
2024-11-26,chop,neutral,up,0,5.6535,0.4947,1w
