date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-13.6472,0.7693,1w
2021-01-13,crisis,up,down,0,-8.1042,0.6493,1w
2021-01-25,crisis,down,down,1,-6.1199,0.3893,1w
2021-02-03,crisis,down,down,1,-2.1513,0.388,1w
2021-02-12,high_volatility,down,down,1,-5.5234,0.3733,1w
2021-02-24,crisis,down,up,0,10.8255,0.2773,1w
2021-03-05,high_volatility,down,up,0,8.3867,0.344,1w
2021-03-16,crisis,down,up,0,8.8721,0.2253,1w
2021-03-25,high_volatility,down,down,1,-12.4585,0.332,1w
2021-04-06,chop,down,down,1,-14.0938,0.3947,1w
2021-04-15,chop,down,down,1,-14.5605,0.3853,1w
2021-04-26,high_volatility,down,up,0,5.5204,0.3893,1w
2021-05-05,chop,down,up,0,10.5685,0.392,1w
2021-05-14,high_volatility,down,up,0,5.1669,0.3573,1w
2021-05-25,crisis,neutral,up,0,4.3459,0.544,1w
2021-06-04,high_volatility,neutral,down,0,-7.5592,0.5387,1w
2021-06-15,high_volatility,neutral,up,0,3.3406,0.4907,1w
2021-06-24,chop,down,up,0,6.3628,0.4213,1w
2021-07-06,chop,down,up,0,19.7688,0.368,1w
2021-07-15,chop,neutral,up,0,22.6344,0.4667,1w
2021-07-26,chop,up,up,1,5.7718,0.612,1w
2021-08-04,trending_bull,up,down,0,-10.6906,0.6787,1w
2021-08-13,trending_bull,up,down,0,-17.1187,0.7947,1w
2021-08-24,trending_bull,up,down,0,-14.4334,0.7213,1w
2021-09-02,trending_bear,neutral,down,0,-4.1082,0.4907,1w
2021-09-14,trending_bear,up,down,0,-14.5901,0.5933,1w
2021-09-23,trending_bear,down,down,1,-2.2356,0.4067,1w
2021-10-04,trending_bear,neutral,down,0,-9.4902,0.5013,1w
2021-10-13,trending_bear,down,up,0,10.9001,0.2853,1w
2021-10-22,trending_bear,down,up,0,7.6704,0.2853,1w
2021-11-02,trending_bear,down,up,0,27.2954,0.168,1w
2021-11-11,trending_bull,down,up,0,0.8871,0.24,1w
2021-11-22,trending_bull,down,up,0,0.9971,0.3547,1w
2021-12-02,trending_bull,up,down,0,-8.1828,0.56,1w
2021-12-13,chop,neutral,down,0,-1.4876,0.5053,1w
2021-12-22,chop,up,up,1,8.5665,0.5693,1w
2022-01-03,chop,neutral,up,0,14.8506,0.4653,1w
2022-01-12,chop,up,up,1,8.6464,0.6413,1w
2022-01-24,trending_bull,up,up,1,4.6411,0.6507,1w
2022-02-02,trending_bull,up,up,1,2.028,0.7693,1w
2022-02-11,trending_bull,up,down,0,-2.4259,0.5907,1w
2022-02-23,trending_bull,up,up,1,3.9417,0.6173,1w
2022-03-04,chop,up,up,1,6.5462,0.5573,1w
2022-03-15,chop,up,up,1,2.0535,0.5907,1w
2022-03-24,chop,up,down,0,-2.5112,0.724,1w
2022-04-04,chop,up,down,0,-3.1029,0.7467,1w
2022-04-13,chop,up,down,0,-1.8175,0.6933,1w
2022-04-25,chop,neutral,up,0,8.2964,0.5413,1w
2022-05-04,chop,neutral,up,0,21.1541,0.4893,1w
2022-05-13,chop,down,up,0,18.9023,0.436,1w
2022-05-24,chop,up,down,0,-3.9129,0.616,1w
2022-06-03,crisis,up,down,0,-2.8682,0.7507,1w
2022-06-14,trending_bull,up,up,1,3.3179,0.7107,1w
2022-06-24,trending_bull,up,up,1,5.2837,0.6173,1w
2022-07-06,chop,up,up,1,2.3488,0.656,1w
2022-07-15,trending_bull,up,down,0,-5.6574,0.7253,1w
2022-07-26,trending_bull,up,down,0,-2.8703,0.736,1w
2022-08-04,trending_bear,up,up,1,5.1464,0.6987,1w
2022-08-15,chop,up,up,1,8.8601,0.6693,1w
2022-08-24,high_volatility,neutral,up,0,1.264,0.4653,1w
2022-09-02,trending_bull,up,down,0,-0.9384,0.5693,1w
2022-09-14,trending_bull,neutral,up,0,8.3509,0.548,1w
2022-09-23,trending_bear,up,up,1,5.3291,0.5587,1w
2022-10-04,chop,up,up,1,4.1088,0.5867,1w
2022-10-13,high_volatility,up,up,1,6.2851,0.5733,1w
2022-10-24,high_volatility,neutral,up,0,18.8398,0.544,1w
2022-11-02,chop,up,up,1,8.8658,0.5933,1w
2022-11-11,trending_bull,up,up,1,5.5302,0.7867,1w
2022-11-22,trending_bull,up,down,0,-3.3592,0.7947,1w
2022-12-02,crisis,up,down,0,-8.499,0.6987,1w
2022-12-13,crisis,up,down,0,-7.5746,0.836,1w
2022-12-22,crisis,up,up,1,3.1581,0.7253,1w
2023-01-04,high_volatility,up,up,1,15.3318,0.576,1w
2023-01-13,high_volatility,neutral,up,0,10.802,0.52,1w
2023-01-25,crisis,up,up,1,9.0073,0.708,1w
2023-02-03,high_volatility,up,up,1,6.1833,0.6667,1w
2023-02-14,crisis,neutral,down,0,-1.3983,0.5293,1w
2023-02-24,crisis,neutral,up,0,1.7979,0.5467,1w
2023-03-07,high_volatility,up,down,0,-1.3542,0.564,1w
2023-03-16,chop,neutral,down,0,-3.4854,0.4653,1w
2023-03-27,chop,up,down,0,-7.5416,0.6173,1w
2023-04-05,chop,up,down,0,-5.3474,0.692,1w
2023-04-17,chop,up,up,1,9.9738,0.5573,1w
2023-04-26,chop,neutral,up,0,8.0455,0.4693,1w
2023-05-05,chop,neutral,up,0,7.0104,0.4707,1w
2023-05-16,chop,neutral,up,0,3.6784,0.524,1w
2023-05-25,chop,neutral,up,0,1.7995,0.5013,1w
2023-06-06,chop,neutral,up,0,7.2563,0.4707,1w
2023-06-15,trending_bull,up,down,0,-6.9102,0.556,1w
2023-06-27,trending_bull,neutral,down,0,-8.1714,0.544,1w
2023-07-07,trending_bull,up,down,0,-17.8554,0.5827,1w
2023-07-18,trending_bear,up,down,0,-2.1592,0.5867,1w
2023-07-27,high_volatility,neutral,down,0,-3.9469,0.4707,1w
2023-08-07,crisis,down,down,1,-2.8451,0.3547,1w
2023-08-16,high_volatility,down,down,1,-9.1858,0.4213,1w
2023-08-25,chop,down,down,1,-2.1887,0.3467,1w
2023-09-06,chop,down,up,0,7.5759,0.2733,1w
2023-09-15,chop,down,up,0,3.0483,0.256,1w
2023-09-26,chop,down,down,1,-3.9096,0.3013,1w
2023-10-05,chop,down,up,0,5.9915,0.2667,1w
2023-10-16,chop,down,up,0,11.2915,0.38,1w
2023-10-25,chop,down,up,0,12.658,0.3533,1w
2023-11-03,chop,up,up,1,12.648,0.5573,1w
2023-11-14,chop,neutral,down,0,-7.3006,0.4907,1w
2023-11-24,chop,up,down,0,-10.983,0.5693,1w
2023-12-05,chop,up,down,0,-2.7615,0.752,1w
2023-12-14,chop,neutral,down,0,-1.2066,0.4867,1w
2023-12-26,chop,down,up,0,6.1111,0.4293,1w
2024-01-05,chop,neutral,up,0,9.3433,0.488,1w
2024-01-17,chop,neutral,neutral,0,-0.3228,0.5013,1w
2024-01-26,chop,neutral,down,0,-11.3124,0.52,1w
2024-02-06,chop,neutral,down,0,-18.2515,0.4947,1w
2024-02-15,chop,down,down,1,-10.1202,0.416,1w
2024-02-27,chop,down,down,1,-4.2272,0.256,1w
2024-03-07,trending_bear,down,down,1,-11.3983,0.2347,1w
2024-03-18,chop,down,down,1,-8.1491,0.2773,1w
2024-03-27,chop,down,up,0,7.4432,0.2987,1w
2024-04-08,trending_bear,down,up,0,13.0161,0.208,1w
2024-04-17,chop,down,up,0,28.2459,0.236,1w
2024-04-26,chop,down,down,1,-0.8758,0.368,1w
2024-05-07,chop,down,up,0,2.6651,0.3867,1w
2024-05-16,trending_bull,neutral,down,0,-8.1438,0.5013,1w
2024-05-28,trending_bear,neutral,up,0,10.4961,0.4667,1w
2024-06-06,chop,up,up,1,12.2502,0.6067,1w
2024-06-17,chop,neutral,up,0,25.7008,0.524,1w
2024-06-27,chop,up,up,1,23.6824,0.6467,1w
2024-07-09,trending_bull,up,up,1,10.7531,0.7693,1w
2024-07-18,trending_bull,up,neutral,0,-0.3804,0.8813,1w
2024-07-29,trending_bull,up,down,0,-3.3624,0.828,1w
2024-08-07,trending_bull,up,down,0,-1.9071,0.7453,1w
2024-08-16,trending_bull,up,down,0,-20.1321,0.6747,1w
2024-08-27,chop,up,down,0,-20.1998,0.8267,1w
2024-09-06,chop,up,up,1,26.1953,0.7253,1w
2024-09-17,high_volatility,neutral,down,0,-9.6589,0.4907,1w
2024-09-26,trending_bear,down,down,1,-7.41,0.44,1w
2024-10-07,chop,down,down,1,-18.2222,0.412,1w
2024-10-16,trending_bear,down,down,1,-13.9208,0.344,1w
2024-10-25,chop,down,down,1,-10.0277,0.336,1w
2024-11-05,trending_bear,down,up,0,18.3819,0.2893,1w
2024-11-14,trending_bear,down,up,0,18.0423,0.2933,1w
2024-11-25,trending_bear,down,up,0,14.5834,0.304,1w
