date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,neutral,0,-0.264,0.7307,1w
2021-01-13,trending_bull,up,down,0,-2.6999,0.6987,1w
2021-01-25,trending_bull,up,down,0,-3.5897,0.6987,1w
2021-02-03,crisis,up,down,0,-2.5093,0.712,1w
2021-02-12,crisis,up,up,1,3.8578,0.5907,1w
2021-02-24,crisis,neutral,up,0,9.4685,0.524,1w
2021-03-05,crisis,up,up,1,9.6774,0.6387,1w
2021-03-16,crisis,up,up,1,10.0204,0.5693,1w
2021-03-25,chop,up,up,1,9.5383,0.5573,1w
2021-04-06,trending_bull,up,neutral,0,0.0,0.6667,1w
2021-04-15,high_volatility,up,down,0,-1.6985,0.6987,1w
2021-04-26,trending_bull,up,neutral,0,-0.1775,0.724,1w
2021-05-05,crisis,up,up,1,2.7942,0.5933,1w
2021-05-14,crisis,up,down,0,-6.6531,0.688,1w
2021-05-25,high_volatility,up,down,0,-8.4688,0.7867,1w
2021-06-04,high_volatility,up,down,0,-5.8995,0.7293,1w
2021-06-15,high_volatility,neutral,up,0,7.6071,0.4773,1w
2021-06-24,crisis,neutral,up,0,4.0957,0.4707,1w
2021-07-06,crisis,down,up,0,8.1013,0.4093,1w
2021-07-15,high_volatility,down,up,0,8.956,0.376,1w
2021-07-26,chop,down,up,0,8.1266,0.4093,1w
2021-08-04,high_volatility,up,up,1,1.9157,0.5507,1w
2021-08-13,chop,up,neutral,0,-0.1786,0.5907,1w
2021-08-24,trending_bull,up,down,0,-3.715,0.5613,1w
2021-09-02,chop,up,down,0,-10.4533,0.5733,1w
2021-09-14,trending_bull,up,down,0,-22.5733,0.7933,1w
2021-09-23,chop,up,down,0,-13.9885,0.6667,1w
2021-10-04,crisis,down,down,1,-7.2995,0.416,1w
2021-10-13,crisis,down,up,0,2.5917,0.216,1w
2021-10-22,high_volatility,down,up,0,2.8422,0.268,1w
2021-11-02,trending_bear,down,up,0,5.6124,0.208,1w
2021-11-11,trending_bear,down,up,0,10.281,0.2013,1w
2021-11-22,trending_bear,down,up,0,7.2479,0.216,1w
2021-12-02,chop,down,up,0,6.7716,0.2667,1w
2021-12-13,chop,down,down,1,-1.2218,0.2973,1w
2021-12-22,trending_bull,down,down,1,-5.7377,0.3813,1w
2022-01-03,trending_bull,neutral,down,0,-5.3648,0.508,1w
2022-01-12,chop,up,down,0,-4.5364,0.6733,1w
2022-01-24,chop,neutral,down,0,-2.7425,0.5467,1w
2022-02-02,chop,up,down,0,-2.0209,0.5933,1w
2022-02-11,chop,neutral,up,0,2.5593,0.5467,1w
2022-02-23,chop,down,up,0,6.2423,0.4253,1w
2022-03-04,chop,down,up,0,8.2387,0.404,1w
2022-03-15,chop,down,up,0,5.6078,0.3653,1w
2022-03-24,chop,down,up,0,8.4115,0.408,1w
2022-04-04,chop,down,up,0,3.8462,0.388,1w
2022-04-13,trending_bull,neutral,up,0,1.0582,0.528,1w
2022-04-25,trending_bull,up,down,0,-1.4731,0.6987,1w
2022-05-04,trending_bull,up,down,0,-6.1253,0.704,1w
2022-05-13,trending_bull,up,down,0,-0.5924,0.696,1w
2022-05-24,chop,up,up,1,2.7356,0.6987,1w
2022-06-03,chop,up,up,1,2.047,0.68,1w
2022-06-14,chop,up,down,0,-0.8197,0.576,1w
2022-06-24,chop,up,up,1,2.7699,0.616,1w
2022-07-06,chop,down,down,1,-4.0181,0.436,1w
2022-07-15,chop,down,down,1,-1.8961,0.38,1w
2022-07-26,chop,neutral,down,0,-6.4936,0.492,1w
2022-08-04,chop,down,down,1,-1.5186,0.2333,1w
2022-08-15,chop,down,up,0,5.175,0.3347,1w
2022-08-24,chop,down,up,0,1.7624,0.3787,1w
2022-09-02,chop,down,down,1,-2.4604,0.364,1w
2022-09-14,chop,neutral,down,0,-6.3863,0.4827,1w
2022-09-23,chop,down,down,1,-0.9835,0.4013,1w
2022-10-04,trending_bear,down,up,0,8.5617,0.2693,1w
2022-10-13,trending_bear,down,neutral,0,-0.237,0.3867,1w
2022-10-24,trending_bear,down,up,0,5.525,0.26,1w
2022-11-02,chop,up,up,1,2.2833,0.5547,1w
2022-11-11,chop,down,up,0,6.6541,0.4453,1w
2022-11-22,chop,neutral,neutral,0,-0.2442,0.528,1w
2022-12-02,chop,up,up,1,1.0997,0.6413,1w
2022-12-13,chop,neutral,down,0,-1.6503,0.544,1w
2022-12-22,chop,up,neutral,0,-0.3024,0.5573,1w
2023-01-04,chop,up,down,0,-6.1863,0.724,1w
2023-01-13,chop,up,down,0,-2.6138,0.58,1w
2023-01-25,chop,up,down,0,-3.1236,0.5787,1w
2023-02-03,chop,down,up,0,2.8278,0.3653,1w
2023-02-14,trending_bear,down,up,0,4.476,0.416,1w
2023-02-24,chop,down,up,0,4.2281,0.3547,1w
2023-03-07,chop,down,up,0,0.9531,0.3893,1w
2023-03-16,chop,down,down,1,-2.3769,0.3787,1w
2023-03-27,chop,neutral,up,0,4.6728,0.4667,1w
2023-04-05,chop,down,up,0,7.722,0.4067,1w
2023-04-17,chop,down,up,0,13.596,0.3893,1w
2023-04-26,chop,up,up,1,7.1734,0.6667,1w
2023-05-05,trending_bull,up,up,1,4.1546,0.7533,1w
2023-05-16,trending_bull,up,neutral,0,-0.0127,0.872,1w
2023-05-25,trending_bull,up,up,1,0.8641,0.8467,1w
2023-06-06,trending_bull,up,down,0,-1.0807,0.7907,1w
2023-06-15,trending_bull,up,up,1,5.085,0.768,1w
2023-06-27,trending_bull,up,up,1,5.2921,0.724,1w
2023-07-07,trending_bull,up,up,1,10.6631,0.7347,1w
2023-07-18,trending_bull,up,up,1,7.0102,0.8587,1w
2023-07-27,trending_bull,up,up,1,5.0075,0.7747,1w
2023-08-07,crisis,up,up,1,3.3954,0.752,1w
2023-08-16,trending_bull,up,up,1,3.7512,0.7013,1w
2023-08-25,trending_bull,up,up,1,4.2104,0.7427,1w
2023-09-06,trending_bull,up,up,1,2.1491,0.7827,1w
2023-09-15,trending_bull,up,up,1,1.1824,0.8187,1w
2023-09-26,trending_bull,up,up,1,5.2389,0.7947,1w
2023-10-05,trending_bull,up,down,0,-0.8662,0.816,1w
2023-10-16,trending_bull,up,down,0,-5.1685,0.7467,1w
2023-10-25,trending_bull,up,down,0,-3.8711,0.7667,1w
2023-11-03,crisis,neutral,down,0,-2.414,0.4947,1w
2023-11-14,high_volatility,neutral,down,0,-3.3338,0.4707,1w
2023-11-24,chop,neutral,down,0,-5.9489,0.5293,1w
2023-12-05,chop,down,down,1,-6.068,0.3787,1w
2023-12-14,chop,down,up,0,2.4548,0.2627,1w
2023-12-26,trending_bear,down,up,0,0.845,0.2947,1w
2024-01-05,trending_bear,down,up,0,3.3296,0.2253,1w
2024-01-17,trending_bear,down,up,0,3.2405,0.2333,1w
2024-01-26,crisis,down,up,0,7.4962,0.2693,1w
2024-02-06,high_volatility,down,up,0,10.8403,0.3467,1w
2024-02-15,high_volatility,neutral,up,0,3.6078,0.4667,1w
2024-02-27,high_volatility,neutral,up,0,1.4924,0.4693,1w
2024-03-07,crisis,up,down,0,-3.596,0.628,1w
2024-03-18,high_volatility,up,up,1,2.0451,0.6587,1w
2024-03-27,trending_bull,up,down,0,-0.5438,0.668,1w
2024-04-08,crisis,up,up,1,2.8588,0.6053,1w
2024-04-17,crisis,up,neutral,0,0.003,0.6547,1w
2024-04-26,chop,up,down,0,-2.6047,0.692,1w
2024-05-07,chop,up,down,0,-1.2236,0.6173,1w
2024-05-16,chop,neutral,down,0,-2.4221,0.5467,1w
2024-05-28,chop,down,up,0,2.0333,0.4467,1w
2024-06-06,chop,down,up,0,4.4345,0.424,1w
2024-06-17,chop,down,up,0,6.1478,0.428,1w
2024-06-27,chop,neutral,up,0,2.8169,0.4693,1w
2024-07-09,chop,up,up,1,2.1908,0.6173,1w
2024-07-18,chop,up,down,0,-0.9632,0.5987,1w
2024-07-29,trending_bull,up,down,0,-1.5968,0.5587,1w
2024-08-07,chop,up,down,0,-2.7882,0.5907,1w
2024-08-16,chop,up,down,0,-3.6659,0.588,1w
2024-08-27,chop,up,up,1,1.7443,0.5573,1w
