date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-01,crisis,up,down,0,-21.5696,0.9533,1w
2021-01-08,crisis,up,up,1,4.5315,0.9627,1w
2021-01-15,crisis,up,up,1,7.4329,0.9453,1w
2021-01-22,high_volatility,up,up,1,17.7113,0.924,1w
2021-01-29,chop,up,up,1,22.5951,0.904,1w
2021-02-05,chop,up,up,1,52.1486,0.864,1w
2021-02-12,chop,up,up,1,19.248,0.792,1w
2021-02-19,high_volatility,up,down,0,-2.3455,0.7693,1w
2021-02-26,high_volatility,up,down,0,-12.78,0.7133,1w
2021-03-05,high_volatility,up,up,1,2.403,0.6053,1w
2021-03-12,high_volatility,up,down,0,-15.8407,0.6093,1w
2021-03-19,high_volatility,up,down,0,-7.6011,0.6947,1w
2021-03-26,high_volatility,up,down,0,-10.0311,0.684,1w
2021-04-02,crisis,up,up,1,2.8557,0.5547,1w
2021-04-09,high_volatility,neutral,down,0,-14.2857,0.524,1w
2021-04-16,chop,neutral,down,0,-23.2629,0.464,1w
2021-04-23,chop,down,down,1,-25.3048,0.3947,1w
2021-04-30,chop,down,down,1,-34.2884,0.2347,1w
2021-05-07,trending_bear,down,down,1,-30.5831,0.2413,1w
2021-05-14,trending_bear,down,down,1,-5.1473,0.2013,1w
2021-05-21,trending_bear,down,up,0,2.2971,0.1507,1w
2021-05-28,trending_bear,down,down,1,-20.4855,0.1533,1w
2021-06-04,trending_bear,down,down,1,-0.8743,0.256,1w
2021-06-11,chop,down,down,1,-7.9124,0.18,1w
2021-06-18,trending_bear,down,down,1,-5.0994,0.1507,1w
2021-06-25,chop,down,up,0,15.8395,0.2187,1w
2021-07-02,chop,down,up,0,51.9122,0.2413,1w
2021-07-09,chop,down,up,0,32.2577,0.2347,1w
2021-07-16,chop,down,up,0,2.0776,0.424,1w
2021-07-23,trending_bull,up,down,0,-24.2911,0.6387,1w
2021-07-30,trending_bull,neutral,down,0,-10.5784,0.5107,1w
2021-08-06,chop,neutral,down,0,-16.4977,0.5013,1w
2021-08-13,chop,neutral,down,0,-55.5882,0.548,1w
2021-08-20,chop,neutral,down,0,-44.4599,0.5133,1w
2021-08-27,chop,down,down,1,-46.8089,0.448,1w
2021-09-03,trending_bear,down,down,1,-15.8503,0.2253,1w
2021-09-10,trending_bear,down,down,1,-19.31,0.2693,1w
2021-09-17,trending_bear,down,down,1,-26.821,0.184,1w
2021-09-24,trending_bear,down,neutral,0,-0.2195,0.108,1w
2021-10-01,trending_bear,down,down,1,-9.4402,0.1453,1w
