date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bull,up,down,0,-12.5909,0.7853,1w
2021-01-13,high_volatility,up,down,0,-8.6407,0.7453,1w
2021-01-25,crisis,neutral,down,0,-2.9935,0.5013,1w
2021-02-03,crisis,neutral,down,0,-6.8715,0.456,1w
2021-02-12,high_volatility,down,down,1,-9.4134,0.392,1w
2021-02-24,high_volatility,down,up,0,2.483,0.32,1w
2021-03-05,crisis,down,up,0,3.4776,0.332,1w
2021-03-16,crisis,down,down,1,-4.585,0.2453,1w
2021-03-25,high_volatility,down,down,1,-15.5976,0.32,1w
2021-04-06,chop,down,down,1,-11.4619,0.296,1w
2021-04-15,chop,down,down,1,-9.3543,0.236,1w
2021-04-26,trending_bear,down,down,1,-4.5103,0.3187,1w
2021-05-05,trending_bear,down,neutral,0,0.0461,0.2973,1w
2021-05-14,high_volatility,down,down,1,-9.8419,0.296,1w
2021-05-25,high_volatility,down,down,1,-8.0551,0.3507,1w
2021-06-04,chop,down,down,1,-19.1435,0.432,1w
2021-06-15,chop,down,down,1,-2.2067,0.296,1w
2021-06-24,chop,down,up,0,4.1298,0.1933,1w
2021-07-06,chop,down,up,0,22.8072,0.184,1w
2021-07-15,chop,down,up,0,14.1871,0.3,1w
2021-07-26,chop,down,up,0,3.0668,0.3973,1w
2021-08-04,chop,down,down,1,-14.1211,0.428,1w
2021-08-13,chop,neutral,down,0,-16.38,0.508,1w
2021-08-24,chop,neutral,down,0,-14.2549,0.488,1w
2021-09-02,chop,down,down,1,-7.6104,0.2987,1w
2021-09-14,chop,down,down,1,-14.9177,0.416,1w
2021-09-23,chop,down,down,1,-3.1655,0.3507,1w
2021-10-04,chop,down,down,1,-4.6666,0.4253,1w
2021-10-13,chop,down,up,0,17.7335,0.256,1w
2021-10-22,trending_bear,down,up,0,13.5299,0.2853,1w
2021-11-02,chop,down,up,0,20.871,0.2173,1w
2021-11-11,chop,down,up,0,0.7801,0.3347,1w
2021-11-22,chop,down,down,1,-3.488,0.4013,1w
2021-12-02,trending_bull,up,down,0,-9.2775,0.5507,1w
2021-12-13,chop,neutral,down,0,-0.5096,0.5453,1w
2021-12-22,chop,up,up,1,15.2763,0.5733,1w
