date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-8.0723,0.7307,1w
2021-01-13,chop,up,down,0,-11.085,0.708,1w
2021-01-25,chop,neutral,down,0,-5.5099,0.5013,1w
2021-02-03,crisis,down,down,1,-6.7803,0.3693,1w
2021-02-12,crisis,down,down,1,-8.4677,0.2747,1w
2021-02-24,trending_bear,down,down,1,-1.795,0.2173,1w
2021-03-05,trending_bear,down,down,1,-1.6061,0.3467,1w
2021-03-16,high_volatility,down,down,1,-2.095,0.256,1w
2021-03-25,trending_bear,down,down,1,-3.266,0.2253,1w
2021-04-06,chop,down,down,1,-10.1539,0.2293,1w
2021-04-15,chop,down,down,1,-9.3745,0.176,1w
2021-04-26,chop,down,down,1,-14.6647,0.2747,1w
2021-05-05,chop,down,down,1,-9.8411,0.224,1w
2021-05-14,chop,down,down,1,-15.5304,0.2333,1w
2021-05-25,chop,down,down,1,-8.96,0.2307,1w
2021-06-04,chop,down,down,1,-9.8954,0.2533,1w
2021-06-15,trending_bear,down,down,1,-2.6008,0.1773,1w
2021-06-24,trending_bear,down,up,0,4.4268,0.1667,1w
2021-07-06,trending_bear,down,up,0,10.9002,0.1467,1w
2021-07-15,chop,down,up,0,20.2262,0.152,1w
2021-07-26,chop,down,up,0,4.1529,0.248,1w
2021-08-04,chop,down,down,1,-4.243,0.2853,1w
2021-08-13,trending_bull,neutral,down,0,-9.8122,0.4733,1w
2021-08-24,chop,neutral,down,0,-12.1053,0.4707,1w
2021-09-02,chop,down,down,1,-7.9425,0.368,1w
2021-09-14,chop,up,down,0,-6.3481,0.5573,1w
2021-09-23,chop,down,up,0,12.0426,0.3733,1w
2021-10-04,trending_bear,down,up,0,18.7441,0.4013,1w
2021-10-13,chop,down,up,0,25.2635,0.4467,1w
2021-10-22,chop,neutral,up,0,14.4448,0.4693,1w
2021-11-02,chop,up,up,1,6.6302,0.5867,1w
2021-11-11,trending_bull,up,neutral,0,0.2005,0.5693,1w
2021-11-22,trending_bull,up,down,0,-0.8718,0.6053,1w
2021-12-02,chop,up,neutral,0,0.0037,0.6973,1w
2021-12-13,chop,up,up,1,4.7821,0.704,1w
2021-12-22,chop,up,up,1,7.812,0.7933,1w
2022-01-03,chop,up,up,1,8.7735,0.768,1w
2022-01-12,chop,up,neutral,0,0.1672,0.8307,1w
2022-01-24,chop,up,down,0,-2.3085,0.76,1w
2022-02-02,trending_bull,up,down,0,-4.5913,0.7293,1w
2022-02-11,chop,up,down,0,-11.227,0.5733,1w
2022-02-23,chop,neutral,down,0,-13.7919,0.536,1w
2022-03-04,chop,up,down,0,-6.3308,0.5667,1w
2022-03-15,chop,down,down,1,-1.5018,0.3267,1w
2022-03-24,trending_bear,down,up,0,5.7309,0.304,1w
2022-04-04,trending_bear,down,down,1,-1.91,0.3613,1w
2022-04-13,chop,down,down,1,-3.9695,0.2347,1w
2022-04-25,chop,down,down,1,-5.7043,0.2693,1w
2022-05-04,chop,down,down,1,-2.7385,0.2133,1w
2022-05-13,chop,down,up,0,8.6964,0.2347,1w
2022-05-24,chop,down,up,0,11.5296,0.2253,1w
2022-06-03,chop,down,up,0,10.9166,0.296,1w
2022-06-14,trending_bull,neutral,up,0,9.6736,0.516,1w
2022-06-24,trending_bull,up,up,1,9.8169,0.6173,1w
2022-07-06,trending_bull,up,neutral,0,-0.2193,0.6347,1w
2022-07-15,trending_bull,up,down,0,-3.0036,0.6613,1w
2022-07-26,trending_bull,up,down,0,-10.0325,0.736,1w
2022-08-04,trending_bull,up,down,0,-3.9445,0.636,1w
