date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,up,down,0,-5.183,0.764,1w
2021-01-13,high_volatility,up,down,0,-4.607,0.6947,1w
2021-01-25,crisis,down,down,1,-2.3349,0.3507,1w
2021-02-03,crisis,down,down,1,-4.7316,0.396,1w
2021-02-12,high_volatility,down,down,1,-5.3263,0.376,1w
2021-02-24,high_volatility,down,up,0,5.5051,0.2667,1w
2021-03-05,crisis,down,up,0,5.1269,0.3467,1w
2021-03-16,crisis,down,up,0,3.1634,0.2253,1w
2021-03-25,high_volatility,down,down,1,-5.4274,0.3467,1w
2021-04-06,chop,down,down,1,-8.8485,0.3507,1w
2021-04-15,chop,down,down,1,-11.4976,0.3053,1w
2021-04-26,chop,down,down,1,-7.3721,0.3893,1w
2021-05-05,high_volatility,down,down,1,-2.7199,0.2853,1w
2021-05-14,crisis,down,down,1,-6.6514,0.2613,1w
2021-05-25,crisis,down,down,1,-3.6043,0.3653,1w
2021-06-04,high_volatility,down,down,1,-6.5597,0.4053,1w
2021-06-15,high_volatility,down,up,0,1.5172,0.2613,1w
2021-06-24,high_volatility,down,up,0,1.4074,0.212,1w
2021-07-06,high_volatility,down,up,0,8.1409,0.2133,1w
2021-07-15,chop,down,up,0,10.8976,0.2253,1w
2021-07-26,chop,down,up,0,5.49,0.3467,1w
2021-08-04,chop,down,down,1,-4.2857,0.4067,1w
2021-08-13,trending_bull,up,down,0,-8.3384,0.5827,1w
2021-08-24,trending_bull,up,down,0,-9.165,0.5587,1w
2021-09-02,chop,down,down,1,-6.1503,0.392,1w
2021-09-14,chop,up,down,0,-9.269,0.5733,1w
2021-09-23,chop,down,up,0,1.7231,0.3733,1w
2021-10-04,trending_bear,down,up,0,1.7329,0.3733,1w
2021-10-13,trending_bear,down,up,0,7.8476,0.312,1w
2021-10-22,high_volatility,down,up,0,4.1492,0.3813,1w
2021-11-02,chop,down,up,0,8.6723,0.328,1w
2021-11-11,high_volatility,down,neutral,0,0.1104,0.332,1w
2021-11-22,chop,down,down,1,-2.9749,0.3867,1w
2021-12-02,chop,neutral,down,0,-5.982,0.5373,1w
2021-12-13,chop,neutral,down,0,-0.7929,0.4907,1w
2021-12-22,chop,up,up,1,5.1166,0.5587,1w
2022-01-03,chop,neutral,up,0,8.6043,0.4827,1w
2022-01-12,chop,up,up,1,3.596,0.62,1w
2022-01-24,chop,up,neutral,0,0.0774,0.5827,1w
2022-02-02,chop,up,down,0,-1.911,0.6933,1w
2022-02-11,chop,up,down,0,-5.6611,0.5573,1w
2022-02-23,chop,neutral,neutral,0,0.2221,0.4653,1w
2022-03-04,chop,down,up,0,3.0029,0.4387,1w
2022-03-15,chop,down,up,0,4.5251,0.376,1w
2022-03-24,chop,up,up,1,2.4187,0.5667,1w
2022-04-04,chop,up,down,0,-0.606,0.62,1w
2022-04-13,chop,up,neutral,0,-0.2247,0.5573,1w
2022-04-25,chop,neutral,up,0,1.6643,0.4987,1w
2022-05-04,chop,down,up,0,3.5068,0.396,1w
2022-05-13,chop,neutral,up,0,6.5643,0.456,1w
2022-05-24,chop,up,up,1,4.4357,0.5733,1w
2022-06-03,chop,up,up,1,3.0987,0.6693,1w
2022-06-14,trending_bull,up,up,1,2.2401,0.768,1w
2022-06-24,trending_bull,up,up,1,4.4341,0.7427,1w
2022-07-06,trending_bull,up,up,1,1.8835,0.7253,1w
2022-07-15,trending_bull,up,down,0,-2.4879,0.752,1w
2022-07-26,trending_bull,up,down,0,-3.4476,0.8587,1w
2022-08-04,trending_bull,up,neutral,0,-0.3261,0.764,1w
2022-08-15,chop,up,up,1,2.4384,0.7453,1w
2022-08-24,chop,up,down,0,-1.4127,0.6613,1w
2022-09-02,chop,up,down,0,-4.496,0.6533,1w
2022-09-14,chop,neutral,down,0,-2.6772,0.516,1w
2022-09-23,chop,down,down,1,-0.5283,0.396,1w
2022-10-04,trending_bear,down,up,0,1.4747,0.304,1w
2022-10-13,chop,down,up,0,0.9517,0.24,1w
2022-10-24,chop,down,up,0,8.9738,0.2187,1w
2022-11-02,trending_bear,down,up,0,5.0611,0.2933,1w
2022-11-11,chop,down,up,0,4.8515,0.448,1w
2022-11-22,trending_bull,up,up,1,4.4521,0.5693,1w
2022-12-02,trending_bull,neutral,up,0,2.7539,0.5293,1w
2022-12-13,trending_bull,up,up,1,1.0266,0.6413,1w
2022-12-22,trending_bull,up,up,1,2.6028,0.7933,1w
2023-01-04,trending_bull,up,up,1,5.2637,0.7693,1w
2023-01-13,trending_bull,up,up,1,5.5644,0.752,1w
2023-01-25,trending_bull,up,up,1,3.812,0.9453,1w
2023-02-03,trending_bull,up,up,1,3.1924,0.9027,1w
2023-02-14,trending_bull,up,up,1,1.8733,0.8573,1w
2023-02-24,trending_bull,up,up,1,2.6615,0.8267,1w
2023-03-07,trending_bull,up,up,1,1.0161,0.836,1w
2023-03-16,trending_bull,up,down,0,-1.8192,0.7467,1w
2023-03-27,trending_bull,up,down,0,-3.7617,0.768,1w
2023-04-05,chop,up,neutral,0,-0.4145,0.8013,1w
2023-04-17,crisis,up,up,1,5.8396,0.684,1w
2023-04-26,crisis,up,up,1,4.1672,0.5733,1w
2023-05-05,crisis,up,up,1,3.3898,0.6093,1w
2023-05-16,chop,up,up,1,2.6651,0.6533,1w
2023-05-25,chop,up,up,1,3.2955,0.616,1w
2023-06-06,chop,up,up,1,4.1917,0.5907,1w
2023-06-15,chop,up,up,1,2.127,0.6653,1w
2023-06-27,trending_bull,up,neutral,0,-0.3532,0.616,1w
2023-07-07,trending_bull,up,down,0,-6.0577,0.728,1w
2023-07-18,trending_bull,up,neutral,0,0.0742,0.864,1w
2023-07-27,crisis,up,up,1,2.9426,0.724,1w
2023-08-07,crisis,neutral,up,0,5.9673,0.48,1w
2023-08-16,high_volatility,up,up,1,1.5389,0.5907,1w
2023-08-25,chop,up,up,1,1.8214,0.6213,1w
2023-09-06,chop,neutral,up,0,6.362,0.5413,1w
2023-09-15,chop,neutral,up,0,3.2835,0.5413,1w
2023-09-26,chop,up,up,1,1.2127,0.58,1w
2023-10-05,chop,neutral,neutral,0,0.354,0.5453,1w
2023-10-16,trending_bull,up,up,1,2.5571,0.588,1w
2023-10-25,trending_bull,up,up,1,2.8444,0.6333,1w
2023-11-03,chop,up,up,1,5.3685,0.7533,1w
2023-11-14,trending_bull,up,up,1,1.8303,0.7107,1w
2023-11-24,chop,up,up,1,0.9696,0.6587,1w
2023-12-05,chop,up,down,0,-1.5324,0.8627,1w
2023-12-14,chop,up,down,0,-2.1686,0.7253,1w
2023-12-26,chop,up,up,1,0.5288,0.62,1w
2024-01-05,chop,up,up,1,3.0053,0.6133,1w
2024-01-17,chop,neutral,up,0,2.3277,0.5013,1w
2024-01-26,chop,up,down,0,-2.7849,0.588,1w
2024-02-06,chop,up,down,0,-6.6898,0.6173,1w
2024-02-15,chop,up,down,0,-7.4723,0.5573,1w
2024-02-27,chop,down,down,1,-6.2015,0.3747,1w
