date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-24.6353,0.3493,1w
2021-01-13,trending_bear,down,down,1,-10.241,0.3027,1w
2021-01-25,trending_bear,down,down,1,-9.8166,0.2253,1w
2021-02-03,trending_bear,down,down,1,-6.5217,0.2267,1w
2021-02-12,trending_bear,down,down,1,-34.9215,0.1573,1w
2021-02-24,trending_bear,down,down,1,-12.5154,0.1733,1w
2021-03-05,chop,down,down,1,-12.2382,0.184,1w
2021-03-16,trending_bear,down,down,1,-14.5228,0.128,1w
2021-03-25,trending_bear,down,down,1,-42.9672,0.184,1w
2021-04-06,chop,down,down,1,-47.0203,0.1693,1w
2021-04-15,chop,down,down,1,-41.3598,0.144,1w
2021-04-26,trending_bear,down,down,1,-41.8631,0.1453,1w
2021-05-05,trending_bear,down,down,1,-32.618,0.1173,1w
2021-05-14,trending_bear,down,down,1,-12.9032,0.052,1w
2021-05-25,trending_bear,down,up,0,23.3663,0.0733,1w
2021-06-04,trending_bear,down,up,0,15.748,0.0707,1w
2021-06-15,trending_bear,down,up,0,60.6,0.1507,1w
2021-06-24,trending_bear,down,up,0,19.9664,0.156,1w
2021-07-06,trending_bear,down,down,1,-5.7263,0.2093,1w
2021-07-15,trending_bull,down,up,0,41.604,0.3867,1w
2021-07-26,trending_bull,down,up,0,26.3229,0.4067,1w
2021-08-04,trending_bull,neutral,up,0,23.9658,0.4693,1w
2021-08-13,trending_bull,up,down,0,-17.9805,0.704,1w
2021-08-24,trending_bull,up,down,0,-21.73,0.6773,1w
2021-09-02,chop,up,down,0,-21.3097,0.6573,1w
2021-09-14,chop,up,down,0,-21.4815,0.6933,1w
2021-09-23,chop,up,up,1,14.1085,0.5653,1w
2021-10-04,chop,neutral,up,0,16.1857,0.4707,1w
2021-10-13,chop,down,up,0,9.7527,0.4453,1w
2021-10-22,chop,neutral,up,0,8.1744,0.48,1w
2021-11-02,chop,up,down,0,-15.2853,0.6027,1w
2021-11-11,chop,down,down,1,-4.7059,0.2973,1w
2021-11-22,chop,down,up,0,2.5126,0.384,1w
2021-12-02,chop,down,up,0,21.7281,0.4013,1w
2021-12-13,chop,down,up,0,43.5867,0.3893,1w
2021-12-22,chop,up,up,1,54.933,0.6173,1w
2022-01-03,chop,up,up,1,29.2581,0.5893,1w
2022-01-12,chop,up,down,0,-16.9435,0.744,1w
2022-01-24,trending_bull,up,down,0,-28.5483,0.7547,1w
2022-02-02,trending_bull,up,down,0,-25.3408,0.6613,1w
2022-02-11,trending_bull,up,up,1,2.4802,0.584,1w
2022-02-23,trending_bear,neutral,down,0,-7.0238,0.5467,1w
2022-03-04,trending_bear,up,down,0,-18.5484,0.5893,1w
