date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-6.5683,0.5467,1w
2021-01-13,high_volatility,neutral,down,0,-3.5535,0.4707,1w
2021-01-25,crisis,down,up,0,15.2468,0.2747,1w
2021-02-03,high_volatility,down,up,0,30.2856,0.3787,1w
2021-02-12,high_volatility,down,up,0,17.7565,0.3893,1w
2021-02-24,chop,down,up,0,37.4839,0.4067,1w
2021-03-05,crisis,up,up,1,10.2801,0.7253,1w
2021-03-16,crisis,up,up,1,16.2404,0.6467,1w
2021-03-25,crisis,up,up,1,1.4815,0.7667,1w
2021-04-06,crisis,up,up,1,3.3015,0.7533,1w
2021-04-15,high_volatility,up,down,0,-14.4264,0.7413,1w
2021-04-26,crisis,up,down,0,-12.5378,0.916,1w
2021-05-05,crisis,up,down,0,-5.0609,0.8253,1w
2021-05-14,high_volatility,up,down,0,-4.7889,0.6733,1w
2021-05-25,chop,up,down,0,-15.5186,0.692,1w
2021-06-04,chop,up,down,0,-21.8384,0.576,1w
2021-06-15,chop,down,down,1,-6.696,0.436,1w
2021-06-24,chop,down,up,0,2.1267,0.2093,1w
2021-07-06,chop,down,up,0,18.553,0.2267,1w
2021-07-15,chop,down,up,0,26.1706,0.22,1w
2021-07-26,chop,down,up,0,14.9688,0.256,1w
2021-08-04,chop,down,neutral,0,-0.1807,0.3253,1w
2021-08-13,trending_bull,up,down,0,-1.9629,0.6107,1w
2021-08-24,chop,neutral,down,0,-10.849,0.516,1w
2021-09-02,chop,down,down,1,-2.8169,0.4013,1w
2021-09-14,chop,up,up,1,6.2923,0.6267,1w
2021-09-23,chop,neutral,up,0,33.0061,0.532,1w
2021-10-04,chop,up,up,1,23.9554,0.6267,1w
2021-10-13,chop,up,up,1,18.9089,0.632,1w
2021-10-22,chop,up,up,1,7.0226,0.7253,1w
2021-11-02,trending_bull,up,up,1,13.8264,0.68,1w
2021-11-11,trending_bull,up,up,1,13.4588,0.6027,1w
2021-11-22,high_volatility,up,down,0,-1.522,0.684,1w
2021-12-02,trending_bull,up,down,0,-12.8297,0.7427,1w
2021-12-13,trending_bull,up,neutral,0,0.3324,0.836,1w
2021-12-22,high_volatility,up,up,1,5.3952,0.8467,1w
2022-01-03,chop,up,up,1,27.4947,0.692,1w
2022-01-12,chop,up,up,1,10.9666,0.768,1w
2022-01-24,chop,up,up,1,7.7892,0.6133,1w
2022-02-02,crisis,up,up,1,2.9646,0.7827,1w
2022-02-11,high_volatility,up,down,0,-19.5652,0.744,1w
2022-02-23,high_volatility,up,down,0,-8.5317,0.6053,1w
2022-03-04,crisis,up,down,0,-20.8421,0.692,1w
2022-03-15,crisis,down,down,1,-1.3235,0.396,1w
2022-03-24,high_volatility,neutral,down,0,-5.681,0.524,1w
2022-04-04,chop,neutral,down,0,-6.6363,0.5173,1w
2022-04-13,chop,down,down,1,-7.5632,0.412,1w
2022-04-25,chop,down,down,1,-8.7216,0.4173,1w
2022-05-04,chop,down,down,1,-0.5295,0.2253,1w
2022-05-13,chop,down,up,0,9.646,0.2413,1w
2022-05-24,trending_bear,down,up,0,9.4901,0.2573,1w
2022-06-03,trending_bear,down,up,0,5.1711,0.22,1w
2022-06-14,chop,neutral,up,0,1.3275,0.456,1w
2022-06-24,chop,down,down,1,-2.3949,0.3893,1w
2022-07-06,trending_bull,neutral,down,0,-1.3028,0.4853,1w
2022-07-15,chop,neutral,down,0,-4.1483,0.4867,1w
2022-07-26,chop,neutral,down,0,-1.405,0.4947,1w
2022-08-04,chop,up,up,1,1.0722,0.5573,1w
2022-08-15,chop,up,down,0,-3.1457,0.588,1w
2022-08-24,chop,up,up,1,2.5845,0.5653,1w
2022-09-02,chop,up,up,1,2.8822,0.5613,1w
2022-09-14,chop,down,up,0,7.7242,0.4133,1w
2022-09-23,chop,down,down,1,-0.7709,0.428,1w
2022-10-04,chop,neutral,up,0,4.2722,0.492,1w
2022-10-13,chop,down,up,0,2.5974,0.424,1w
2022-10-24,chop,neutral,up,0,12.8806,0.4587,1w
2022-11-02,chop,up,up,1,6.1679,0.5733,1w
2022-11-11,chop,neutral,up,0,4.1625,0.4947,1w
2022-11-22,chop,up,up,1,9.2735,0.6227,1w
2022-12-02,trending_bull,up,neutral,0,0.2237,0.6733,1w
2022-12-13,chop,up,down,0,-5.9904,0.724,1w
2022-12-22,trending_bull,up,down,0,-4.0752,0.7253,1w
2023-01-04,trending_bull,up,up,1,4.5345,0.6027,1w
2023-01-13,chop,up,up,1,6.5777,0.58,1w
2023-01-25,chop,up,up,1,12.9914,0.7253,1w
2023-02-03,chop,up,up,1,8.1468,0.6107,1w
2023-02-14,chop,up,up,1,11.1111,0.5933,1w
2023-02-24,chop,up,up,1,8.9193,0.7213,1w
2023-03-07,chop,up,up,1,11.5771,0.64,1w
2023-03-16,chop,up,neutral,0,0.1753,0.6987,1w
2023-03-27,trending_bull,up,down,0,-9.4973,0.752,1w
2023-04-05,trending_bull,up,down,0,-10.3145,0.8253,1w
2023-04-17,trending_bull,up,down,0,-1.4396,0.8,1w
2023-04-26,crisis,up,down,0,-0.5222,0.6933,1w
2023-05-05,crisis,up,down,0,-4.182,0.6213,1w
2023-05-16,chop,up,down,0,-10.5669,0.6387,1w
2023-05-25,chop,neutral,down,0,-7.0748,0.4693,1w
2023-06-06,chop,down,down,1,-2.8213,0.388,1w
2023-06-15,chop,down,up,0,3.161,0.2013,1w
2023-06-27,chop,down,up,0,4.7757,0.1973,1w
2023-07-07,chop,down,down,1,-1.505,0.2013,1w
2023-07-18,chop,down,down,1,-8.5805,0.3653,1w
2023-07-27,chop,down,down,1,-5.9684,0.42,1w
2023-08-07,crisis,down,down,1,-6.548,0.3467,1w
