date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-8.4304,0.4213,1w
2021-01-13,chop,neutral,down,0,-9.7688,0.4787,1w
2021-01-25,chop,down,down,1,-5.8566,0.2453,1w
2021-02-03,trending_bear,down,down,1,-7.4398,0.2747,1w
2021-02-12,chop,down,down,1,-9.0686,0.2973,1w
2021-02-24,chop,down,neutral,0,-0.06,0.2973,1w
2021-03-05,trending_bear,down,down,1,-2.8406,0.376,1w
2021-03-16,trending_bear,down,down,1,-4.1039,0.2107,1w
2021-03-25,trending_bear,down,down,1,-16.8533,0.3307,1w
2021-04-06,trending_bear,down,down,1,-11.0292,0.2747,1w
2021-04-15,trending_bear,down,down,1,-18.3215,0.224,1w
2021-04-26,trending_bear,down,down,1,-12.768,0.2493,1w
2021-05-05,trending_bear,down,down,1,-1.8357,0.2667,1w
2021-05-14,trending_bear,down,down,1,-9.4711,0.208,1w
2021-05-25,trending_bear,down,down,1,-5.6167,0.2253,1w
2021-06-04,trending_bear,down,down,1,-12.0514,0.2787,1w
2021-06-15,chop,down,up,0,7.1798,0.2093,1w
2021-06-24,trending_bear,down,up,0,7.9669,0.152,1w
2021-07-06,trending_bear,down,up,0,17.1569,0.168,1w
2021-07-15,chop,down,up,0,12.2205,0.2747,1w
2021-07-26,chop,down,up,0,1.5651,0.3733,1w
2021-08-04,chop,neutral,down,0,-11.7473,0.464,1w
2021-08-13,chop,up,down,0,-12.5151,0.58,1w
2021-08-24,chop,neutral,down,0,-8.4601,0.52,1w
2021-09-02,chop,down,down,1,-10.6911,0.392,1w
2021-09-14,chop,neutral,down,0,-20.6279,0.5453,1w
2021-09-23,chop,down,down,1,-10.8119,0.44,1w
2021-10-04,chop,down,down,1,-6.2486,0.3733,1w
2021-10-13,trending_bear,down,up,0,11.253,0.224,1w
2021-10-22,chop,down,up,0,9.0975,0.2667,1w
2021-11-02,chop,down,up,0,14.64,0.2093,1w
2021-11-11,chop,down,up,0,1.0482,0.2947,1w
2021-11-22,chop,down,down,1,-2.4209,0.3573,1w
2021-12-02,chop,down,down,1,-3.6824,0.44,1w
2021-12-13,chop,down,up,0,3.043,0.4427,1w
2021-12-22,chop,down,up,0,20.9399,0.4493,1w
2022-01-03,chop,neutral,up,0,21.2879,0.4587,1w
2022-01-12,chop,up,up,1,18.886,0.676,1w
2022-01-24,trending_bull,up,up,1,3.3266,0.7213,1w
2022-02-02,trending_bull,up,up,1,0.8153,0.7707,1w
2022-02-11,trending_bull,up,down,0,-7.7596,0.712,1w
2022-02-23,trending_bull,up,up,1,3.0852,0.6667,1w
