date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-1.371,0.32,1w
2021-01-13,trending_bull,up,down,0,-8.3176,0.5813,1w
2021-01-25,trending_bull,up,down,0,-9.833,0.584,1w
2021-02-03,crisis,neutral,down,0,-2.5673,0.4587,1w
2021-02-12,trending_bear,neutral,down,0,-5.1388,0.4653,1w
2021-02-24,chop,down,down,1,-1.276,0.4467,1w
2021-03-05,chop,up,neutral,0,0.4609,0.5587,1w
2021-03-16,chop,neutral,up,0,12.1587,0.536,1w
2021-03-25,chop,down,up,0,12.375,0.396,1w
2021-04-06,chop,down,up,0,7.3693,0.4093,1w
2021-04-15,chop,down,up,0,1.5448,0.4253,1w
2021-04-26,trending_bull,neutral,up,0,6.3045,0.4587,1w
2021-05-05,trending_bull,up,up,1,6.2156,0.5653,1w
2021-05-14,chop,up,neutral,0,-0.4032,0.6173,1w
2021-05-25,trending_bull,up,down,0,-2.5992,0.732,1w
2021-06-04,trending_bull,up,up,1,1.2919,0.7453,1w
2021-06-15,trending_bear,up,up,1,5.9166,0.692,1w
2021-06-24,trending_bull,up,down,0,-10.544,0.724,1w
2021-07-06,chop,up,down,0,-11.737,0.7107,1w
2021-07-15,chop,up,down,0,-11.1813,0.5747,1w
2021-07-26,chop,down,down,1,-1.3115,0.3973,1w
2021-08-04,trending_bear,down,down,1,-4.2145,0.3467,1w
2021-08-13,trending_bear,down,down,1,-8.4828,0.3467,1w
2021-08-24,trending_bear,down,down,1,-9.8279,0.2227,1w
2021-09-02,trending_bear,down,down,1,-7.5044,0.1973,1w
2021-09-14,trending_bear,down,down,1,-11.2114,0.2347,1w
2021-09-23,trending_bear,down,up,0,8.7053,0.0947,1w
2021-10-04,trending_bear,down,up,0,16.0716,0.0827,1w
2021-10-13,trending_bear,down,up,0,24.6032,0.06,1w
2021-10-22,trending_bull,down,up,0,7.5957,0.376,1w
2021-11-02,trending_bull,neutral,up,0,4.1237,0.5013,1w
2021-11-11,trending_bull,neutral,up,0,1.3123,0.5333,1w
2021-11-22,trending_bull,up,down,0,-4.4737,0.5707,1w
