date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,trending_bear,down,down,1,-15.5027,0.256,1w
2021-01-13,trending_bear,down,down,1,-10.3444,0.1733,1w
2021-01-25,trending_bear,down,down,1,-13.1187,0.1133,1w
2021-02-03,trending_bear,down,down,1,-10.0403,0.1373,1w
2021-02-12,trending_bear,down,down,1,-30.2623,0.144,1w
2021-02-24,trending_bear,down,up,0,12.6261,0.1733,1w
2021-03-05,chop,down,up,0,10.4672,0.2693,1w
2021-03-16,trending_bear,down,up,0,22.4464,0.1667,1w
2021-03-25,chop,down,down,1,-16.0542,0.2973,1w
2021-04-06,chop,down,down,1,-49.4859,0.3387,1w
2021-04-15,chop,down,down,1,-55.386,0.3653,1w
2021-04-26,chop,down,down,1,-45.5251,0.3373,1w
2021-05-05,trending_bear,down,down,1,-8.6923,0.248,1w
2021-05-14,trending_bear,down,down,1,-14.7663,0.2133,1w
2021-05-25,trending_bear,down,up,0,16.2617,0.2747,1w
2021-06-04,trending_bear,down,up,0,12.395,0.2747,1w
2021-06-15,trending_bear,down,up,0,33.8572,0.268,1w
2021-06-24,trending_bear,down,up,0,13.2096,0.26,1w
2021-07-06,chop,down,down,1,-0.7988,0.26,1w
2021-07-15,chop,down,down,1,-0.6407,0.2947,1w
2021-07-26,chop,down,down,1,-18.4872,0.3587,1w
2021-08-04,chop,neutral,down,0,-17.779,0.4667,1w
2021-08-13,chop,up,down,0,-23.5035,0.58,1w
2021-08-24,chop,neutral,down,0,-16.934,0.508,1w
2021-09-02,chop,down,down,1,-14.281,0.4107,1w
2021-09-14,chop,neutral,down,0,-20.9662,0.516,1w
2021-09-23,chop,down,down,1,-10.901,0.3147,1w
2021-10-04,chop,down,up,0,3.1429,0.248,1w
2021-10-13,chop,down,up,0,26.0887,0.216,1w
2021-10-22,chop,down,up,0,13.2765,0.2013,1w
2021-11-02,chop,down,up,0,3.4237,0.2973,1w
2021-11-11,chop,down,down,1,-15.9412,0.296,1w
2021-11-22,trending_bull,down,down,1,-4.8526,0.3507,1w
2021-12-02,chop,down,down,1,-22.6712,0.4467,1w
2021-12-13,chop,down,down,1,-7.6295,0.388,1w
2021-12-22,chop,neutral,up,0,12.3503,0.4653,1w
2022-01-03,chop,down,up,0,42.2451,0.3227,1w
2022-01-12,chop,neutral,up,0,11.7756,0.5173,1w
2022-01-24,chop,neutral,up,0,1.3299,0.5467,1w
2022-02-02,trending_bull,up,down,0,-18.6764,0.588,1w
2022-02-11,trending_bull,down,down,1,-17.8442,0.3973,1w
2022-02-23,trending_bull,neutral,down,0,-7.3225,0.4653,1w
