date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,up,0,5.9934,0.4213,1w
2021-01-13,chop,up,down,0,-1.8588,0.6173,1w
2021-01-25,crisis,down,up,0,0.5442,0.396,1w
2021-02-03,crisis,neutral,down,0,-5.5335,0.4667,1w
2021-02-12,chop,neutral,down,0,-8.9494,0.5013,1w
2021-02-24,chop,neutral,down,0,-3.9934,0.476,1w
2021-03-05,crisis,neutral,down,0,-6.1567,0.4827,1w
2021-03-16,crisis,neutral,down,0,-9.1865,0.4707,1w
2021-03-25,high_volatility,neutral,down,0,-13.4377,0.4973,1w
2021-04-06,chop,down,down,1,-10.2406,0.3707,1w
2021-04-15,trending_bear,down,down,1,-9.7095,0.2013,1w
2021-04-26,trending_bear,down,down,1,-6.0596,0.224,1w
2021-05-05,trending_bear,down,down,1,-0.9752,0.168,1w
2021-05-14,trending_bear,down,up,0,0.7126,0.1427,1w
2021-05-25,trending_bear,down,neutral,0,0.1068,0.1867,1w
2021-06-04,trending_bear,down,down,1,-0.9167,0.2253,1w
2021-06-15,chop,down,down,1,-2.2491,0.1693,1w
2021-06-24,chop,down,neutral,0,-0.2235,0.1533,1w
2021-07-06,chop,down,up,0,5.7713,0.2733,1w
2021-07-15,chop,down,up,0,10.2808,0.256,1w
2021-07-26,chop,down,up,0,2.6997,0.4213,1w
2021-08-04,chop,neutral,down,0,-3.8892,0.468,1w
2021-08-13,chop,up,down,0,-8.382,0.656,1w
2021-08-24,chop,up,down,0,-8.7762,0.5707,1w
2021-09-02,chop,down,down,1,-3.8288,0.396,1w
2021-09-14,chop,neutral,down,0,-11.151,0.508,1w
2021-09-23,chop,down,down,1,-6.3825,0.32,1w
2021-10-04,chop,down,down,1,-3.7371,0.376,1w
2021-10-13,chop,down,up,0,5.6817,0.288,1w
2021-10-22,chop,down,up,0,9.4129,0.2693,1w
2021-11-02,chop,down,up,0,6.4813,0.3507,1w
2021-11-11,chop,down,down,1,-8.0406,0.3467,1w
2021-11-22,chop,down,down,1,-10.0603,0.404,1w
2021-12-02,chop,neutral,down,0,-3.1736,0.472,1w
2021-12-13,chop,down,up,0,9.2383,0.3787,1w
2021-12-22,chop,down,up,0,13.7947,0.4067,1w
2022-01-03,chop,down,up,0,12.3523,0.396,1w
2022-01-12,chop,up,up,1,4.3175,0.58,1w
2022-01-24,trending_bull,up,down,0,-3.2841,0.656,1w
2022-02-02,trending_bull,up,down,0,-6.9031,0.6693,1w
2022-02-11,trending_bull,neutral,down,0,-34.2482,0.5467,1w
2022-02-23,trending_bull,neutral,down,0,-30.1402,0.4907,1w
2022-03-04,chop,neutral,down,0,-27.5182,0.5213,1w
2022-03-15,crisis,down,up,0,0.9411,0.22,1w
2022-03-24,crisis,down,down,1,-8.0109,0.2693,1w
2022-04-04,trending_bear,down,down,1,-18.1449,0.22,1w
2022-04-13,trending_bear,down,down,1,-17.1065,0.2093,1w
2022-04-25,chop,down,up,0,1.2332,0.1533,1w
2022-05-04,trending_bear,down,up,0,12.732,0.1013,1w
2022-05-13,trending_bear,down,up,0,16.7464,0.152,1w
2022-05-24,chop,down,down,1,-1.4412,0.2133,1w
2022-06-03,chop,down,down,1,-6.7474,0.2693,1w
2022-06-14,chop,neutral,up,0,3.7554,0.456,1w
2022-06-24,chop,down,up,0,9.4129,0.392,1w
2022-07-06,chop,down,up,0,0.596,0.4493,1w
2022-07-15,chop,neutral,down,0,-12.7867,0.4653,1w
2022-07-26,chop,up,down,0,-8.2686,0.58,1w
2022-08-04,chop,up,down,0,-5.057,0.6267,1w
2022-08-15,chop,up,up,1,1.0996,0.5907,1w
2022-08-24,trending_bear,down,neutral,0,0.1041,0.4093,1w
2022-09-02,chop,down,down,1,-8.5801,0.376,1w
2022-09-14,chop,down,down,1,-2.0345,0.372,1w
2022-09-23,chop,down,down,1,-2.4425,0.4093,1w
2022-10-04,chop,down,up,0,9.8607,0.2747,1w
2022-10-13,chop,down,up,0,2.9682,0.2453,1w
2022-10-24,chop,down,up,0,14.5852,0.2827,1w
