date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,neutral,down,0,-5.4839,0.508,1w
2021-01-13,high_volatility,down,down,1,-4.7356,0.3893,1w
2021-01-25,crisis,down,down,1,-10.5989,0.1867,1w
2021-02-03,crisis,down,up,0,3.3087,0.1867,1w
2021-02-12,high_volatility,down,down,1,-0.8959,0.18,1w
2021-02-24,trending_bear,down,up,0,14.1232,0.1413,1w
2021-03-05,crisis,down,down,1,-6.0509,0.3467,1w
2021-03-16,crisis,down,up,0,7.4251,0.324,1w
2021-03-25,high_volatility,neutral,up,0,11.3527,0.4653,1w
2021-04-06,chop,down,up,0,8.4557,0.3507,1w
2021-04-15,high_volatility,neutral,down,0,-7.0781,0.508,1w
2021-04-26,high_volatility,up,down,0,-36.053,0.5853,1w
2021-05-05,high_volatility,up,down,0,-31.9491,0.5573,1w
2021-05-14,crisis,neutral,down,0,-33.8248,0.504,1w
2021-05-25,high_volatility,down,down,1,-2.094,0.3467,1w
2021-06-04,trending_bear,down,down,1,-9.5193,0.2693,1w
2021-06-15,trending_bear,down,up,0,2.5158,0.2253,1w
2021-06-24,trending_bear,down,up,0,4.7002,0.2307,1w
2021-07-06,trending_bear,down,up,0,15.9588,0.2333,1w
2021-07-15,trending_bear,down,up,0,17.5973,0.1933,1w
2021-07-26,trending_bull,down,up,0,7.3613,0.2173,1w
2021-08-04,chop,down,neutral,0,-0.4124,0.256,1w
2021-08-13,trending_bull,down,down,1,-3.5227,0.3173,1w
2021-08-24,trending_bull,up,down,0,-6.2343,0.5787,1w
2021-09-02,chop,neutral,down,0,-7.7825,0.5053,1w
2021-09-14,chop,up,down,0,-6.7844,0.668,1w
2021-09-23,chop,neutral,up,0,4.3116,0.5013,1w
2021-10-04,chop,neutral,up,0,4.8611,0.544,1w
2021-10-13,chop,neutral,up,0,6.6572,0.5453,1w
2021-10-22,chop,neutral,down,0,-1.7358,0.5387,1w
2021-11-02,chop,neutral,up,0,3.6611,0.4627,1w
2021-11-11,chop,down,down,1,-12.8946,0.4093,1w
2021-11-22,chop,down,down,1,-9.8568,0.4467,1w
2021-12-02,chop,neutral,down,0,-7.5719,0.4827,1w
2021-12-13,chop,down,up,0,5.8859,0.3853,1w
2021-12-22,chop,down,up,0,15.7057,0.4093,1w
2022-01-03,chop,down,up,0,18.5306,0.4427,1w
2022-01-12,chop,neutral,up,0,5.2977,0.5133,1w
2022-01-24,chop,neutral,up,0,1.4176,0.4907,1w
2022-02-02,trending_bull,up,down,0,-5.9539,0.5987,1w
2022-02-11,trending_bull,neutral,down,0,-7.034,0.4773,1w
2022-02-23,chop,up,down,0,-6.4327,0.5533,1w
2022-03-04,chop,neutral,up,0,1.9838,0.4853,1w
2022-03-15,chop,up,down,0,-1.2573,0.5733,1w
2022-03-24,chop,up,down,0,-1.1106,0.6373,1w
2022-04-04,chop,up,down,0,-7.6919,0.6093,1w
2022-04-13,chop,down,down,1,-1.3091,0.4253,1w
2022-04-25,chop,down,down,1,-7.3213,0.4013,1w
2022-05-04,chop,down,down,1,-15.8769,0.2253,1w
2022-05-13,chop,down,down,1,-15.0915,0.3467,1w
2022-05-24,chop,down,down,1,-4.4405,0.2253,1w
2022-06-03,trending_bear,down,down,1,-1.4017,0.156,1w
2022-06-14,trending_bear,down,down,1,-5.6805,0.1867,1w
2022-06-24,trending_bear,down,up,0,1.4791,0.224,1w
2022-07-06,chop,down,up,0,1.9069,0.1533,1w
2022-07-15,chop,down,down,1,-3.5838,0.1533,1w
2022-07-26,chop,down,down,1,-6.9414,0.2333,1w
2022-08-04,chop,down,down,1,-4.3026,0.2133,1w
2022-08-15,chop,down,down,1,-3.0913,0.148,1w
2022-08-24,chop,down,down,1,-7.8249,0.2533,1w
2022-09-02,chop,down,down,1,-13.8145,0.3653,1w
2022-09-14,chop,down,down,1,-8.9963,0.256,1w
2022-09-23,trending_bear,down,down,1,-0.7307,0.1693,1w
2022-10-04,trending_bear,down,up,0,5.63,0.1453,1w
2022-10-13,trending_bear,down,down,1,-3.6718,0.2093,1w
2022-10-24,trending_bear,down,up,0,19.4742,0.1453,1w
2022-11-02,chop,down,up,0,19.712,0.1947,1w
2022-11-11,chop,down,up,0,24.903,0.1733,1w
2022-11-22,trending_bull,up,up,1,6.6484,0.5587,1w
2022-12-02,trending_bull,up,up,1,5.5464,0.5733,1w
2022-12-13,trending_bull,up,neutral,0,-0.0496,0.6067,1w
2022-12-22,trending_bull,up,up,1,0.8154,0.7413,1w
2023-01-04,trending_bull,up,up,1,1.1226,0.7693,1w
2023-01-13,trending_bull,up,up,1,4.5336,0.7347,1w
2023-01-25,trending_bull,up,up,1,6.1265,0.752,1w
2023-02-03,chop,up,up,1,21.0451,0.7307,1w
2023-02-14,chop,up,up,1,13.0571,0.76,1w
2023-02-24,chop,up,up,1,13.5864,0.7427,1w
2023-03-07,crisis,up,neutral,0,0.1341,0.804,1w
2023-03-16,trending_bull,up,down,0,-2.5479,0.692,1w
2023-03-27,trending_bull,up,down,0,-5.8568,0.7467,1w
2023-04-05,trending_bull,up,down,0,-6.6883,0.744,1w
2023-04-17,trending_bull,up,down,0,-3.5726,0.7013,1w
2023-04-26,chop,up,down,0,-11.2361,0.676,1w
2023-05-05,chop,up,down,0,-7.5093,0.6093,1w
2023-05-16,chop,up,down,0,-12.132,0.5907,1w
