date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,neutral,down,0,-1.6512,0.5187,1w
2021-01-13,chop,down,down,1,-4.6083,0.412,1w
2021-01-25,chop,down,down,1,-2.5743,0.4427,1w
2021-02-03,chop,down,down,1,-2.9237,0.352,1w
2021-02-12,chop,down,down,1,-4.5682,0.2293,1w
2021-02-24,chop,down,down,1,-3.6625,0.296,1w
2021-03-05,crisis,down,down,1,-5.4601,0.216,1w
2021-03-16,crisis,down,down,1,-6.3648,0.1533,1w
2021-03-25,crisis,down,down,1,-7.8916,0.1773,1w
2021-04-06,crisis,down,down,1,-10.109,0.256,1w
2021-04-15,crisis,down,down,1,-4.3009,0.1533,1w
2021-04-26,high_volatility,down,down,1,-3.6568,0.1387,1w
2021-05-05,high_volatility,down,down,1,-1.7983,0.1227,1w
2021-05-14,high_volatility,down,down,1,-4.8145,0.156,1w
2021-05-25,high_volatility,down,down,1,-3.8002,0.1667,1w
2021-06-04,trending_bear,down,up,0,0.8025,0.1227,1w
2021-06-15,trending_bear,down,up,0,6.3493,0.1427,1w
2021-06-24,high_volatility,down,up,0,4.4975,0.1933,1w
2021-07-06,high_volatility,down,up,0,4.1796,0.224,1w
2021-07-15,high_volatility,down,neutral,0,-0.3273,0.3227,1w
2021-07-26,chop,down,down,1,-4.4573,0.3893,1w
2021-08-04,crisis,neutral,down,0,-7.9443,0.48,1w
2021-08-13,high_volatility,neutral,down,0,-6.5417,0.4587,1w
2021-08-24,chop,down,down,1,-5.1497,0.332,1w
2021-09-02,chop,down,down,1,-5.5726,0.3413,1w
2021-09-14,chop,down,down,1,-6.896,0.4347,1w
2021-09-23,trending_bear,down,down,1,-11.6439,0.2987,1w
2021-10-04,trending_bear,down,down,1,-6.3085,0.256,1w
2021-10-13,trending_bear,down,down,1,-0.9037,0.1787,1w
2021-10-22,trending_bear,down,up,0,8.5566,0.0773,1w
2021-11-02,trending_bear,down,up,0,10.0278,0.1093,1w
2021-11-11,trending_bear,down,up,0,9.2287,0.168,1w
2021-11-22,trending_bull,down,up,0,2.6786,0.256,1w
2021-12-02,trending_bull,down,down,1,-5.0281,0.3853,1w
2021-12-13,trending_bull,down,neutral,0,0.2978,0.4453,1w
2021-12-22,trending_bull,down,up,0,3.4144,0.428,1w
2022-01-03,chop,down,up,0,5.5894,0.4213,1w
2022-01-12,chop,up,down,0,-2.0813,0.6307,1w
2022-01-24,chop,up,down,0,-4.5746,0.752,1w
2022-02-02,chop,up,down,0,-5.0149,0.712,1w
2022-02-11,chop,up,up,1,2.2509,0.6093,1w
2022-02-23,chop,neutral,up,0,6.0843,0.4907,1w
2022-03-04,chop,down,up,0,5.5855,0.336,1w
2022-03-15,chop,down,neutral,0,0.0726,0.4253,1w
2022-03-24,trending_bull,neutral,up,0,2.7709,0.5387,1w
2022-04-04,chop,up,down,0,-2.5353,0.5733,1w
2022-04-13,chop,down,neutral,0,-0.3656,0.4213,1w
2022-04-25,chop,neutral,down,0,-4.7593,0.456,1w
2022-05-04,chop,down,down,1,-2.688,0.4253,1w
2022-05-13,chop,down,down,1,-0.5724,0.4467,1w
2022-05-24,chop,neutral,up,0,3.4253,0.456,1w
2022-06-03,chop,neutral,down,0,-2.3927,0.4693,1w
2022-06-14,chop,down,down,1,-1.3452,0.376,1w
2022-06-24,chop,down,down,1,-1.5758,0.428,1w
2022-07-06,chop,down,down,1,-2.3052,0.2347,1w
2022-07-15,chop,down,down,1,-6.8362,0.3893,1w
2022-07-26,chop,down,down,1,-4.1575,0.3347,1w
2022-08-04,chop,down,down,1,-1.8618,0.2253,1w
2022-08-15,chop,down,neutral,0,-0.0314,0.224,1w
2022-08-24,trending_bear,down,down,1,-6.0623,0.3027,1w
2022-09-02,chop,down,down,1,-7.6979,0.2253,1w
2022-09-14,chop,down,down,1,-5.4567,0.2093,1w
2022-09-23,chop,down,down,1,-3.6567,0.144,1w
2022-10-04,trending_bear,down,up,0,1.7579,0.1533,1w
2022-10-13,trending_bear,down,up,0,2.1943,0.1613,1w
2022-10-24,trending_bear,down,up,0,9.2654,0.168,1w
2022-11-02,trending_bear,down,up,0,6.0291,0.2693,1w
2022-11-11,trending_bear,down,up,0,8.2052,0.3307,1w
2022-11-22,chop,down,up,0,10.3676,0.3733,1w
2022-12-02,chop,down,up,0,3.0898,0.4467,1w
2022-12-13,trending_bull,up,down,0,-4.2609,0.5653,1w
2022-12-22,trending_bull,up,down,0,-4.8603,0.6947,1w
2023-01-04,trending_bull,up,down,0,-1.9287,0.728,1w
2023-01-13,trending_bull,up,down,0,-1.6387,0.6933,1w
2023-01-25,chop,up,neutral,0,0.1185,0.752,1w
2023-02-03,chop,up,up,1,1.3063,0.6467,1w
2023-02-14,chop,up,neutral,0,-0.0729,0.5653,1w
2023-02-24,chop,up,up,1,1.221,0.5853,1w
2023-03-07,chop,neutral,down,0,-4.3876,0.5133,1w
2023-03-16,chop,down,down,1,-4.3901,0.2627,1w
2023-03-27,chop,down,down,1,-7.0006,0.2947,1w
2023-04-05,chop,down,down,1,-0.9564,0.2973,1w
2023-04-17,chop,down,up,0,3.52,0.26,1w
2023-04-26,chop,down,up,0,3.9213,0.2693,1w
2023-05-05,chop,down,up,0,3.2278,0.2827,1w
2023-05-16,chop,down,up,0,3.2426,0.4147,1w
2023-05-25,chop,down,up,0,3.773,0.4013,1w
2023-06-06,chop,down,neutral,0,-0.1662,0.376,1w
2023-06-15,chop,neutral,up,0,0.8104,0.5453,1w
2023-06-27,chop,down,neutral,0,-0.2505,0.412,1w
2023-07-07,chop,neutral,up,0,4.9399,0.52,1w
2023-07-18,chop,up,up,1,4.2299,0.6467,1w
2023-07-27,chop,up,up,1,5.3237,0.636,1w
2023-08-07,chop,up,up,1,4.1539,0.656,1w
2023-08-16,chop,up,up,1,4.3306,0.62,1w
2023-08-25,chop,up,neutral,0,0.1821,0.7147,1w
2023-09-06,chop,up,down,0,-3.7176,0.6627,1w
2023-09-15,trending_bull,up,down,0,-5.5764,0.708,1w
2023-09-26,chop,up,down,0,-5.2015,0.6107,1w
2023-10-05,chop,up,down,0,-2.3923,0.5853,1w
2023-10-16,chop,neutral,down,0,-5.4631,0.524,1w
2023-10-25,trending_bear,down,down,1,-1.5682,0.4333,1w
2023-11-03,trending_bear,down,up,0,1.7753,0.3147,1w
2023-11-14,trending_bear,down,neutral,0,0.1582,0.22,1w
2023-11-24,trending_bear,down,down,1,-4.5425,0.2187,1w
2023-12-05,chop,down,down,1,-7.44,0.292,1w
2023-12-14,chop,down,down,1,-3.3639,0.1653,1w
2023-12-26,trending_bear,down,neutral,0,0.4213,0.1787,1w
2024-01-05,trending_bear,down,up,0,4.9472,0.22,1w
2024-01-17,trending_bear,down,up,0,1.4042,0.2173,1w
2024-01-26,trending_bear,down,up,0,4.1197,0.336,1w
2024-02-06,chop,down,up,0,2.315,0.3733,1w
2024-02-15,chop,down,up,0,3.6923,0.3813,1w
2024-02-27,chop,down,down,1,-2.1706,0.412,1w
2024-03-07,chop,down,down,1,-1.9164,0.3507,1w
2024-03-18,chop,neutral,down,0,-3.7214,0.5013,1w
2024-03-27,chop,up,down,0,-0.5557,0.5573,1w
