date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-22.6044,0.1733,1w
2021-01-13,trending_bear,down,down,1,-6.568,0.152,1w
2021-01-25,trending_bear,down,down,1,-13.5417,0.0787,1w
2021-02-03,trending_bear,down,up,0,22.671,0.1373,1w
2021-02-12,trending_bear,down,up,0,13.5243,0.132,1w
2021-02-24,chop,down,up,0,93.5612,0.152,1w
2021-03-05,chop,down,up,0,48.3279,0.376,1w
2021-03-16,chop,down,up,0,32.6013,0.356,1w
2021-03-25,chop,up,down,0,-13.708,0.5573,1w
2021-04-06,trending_bull,up,down,0,-20.7321,0.6173,1w
2021-04-15,trending_bull,up,up,1,3.1881,0.6333,1w
2021-04-26,trending_bull,up,up,1,24.4336,0.632,1w
2021-05-05,trending_bull,up,down,0,-7.1359,0.644,1w
2021-05-14,trending_bull,up,down,0,-11.9137,0.6787,1w
2021-05-25,high_volatility,up,up,1,12.6015,0.7587,1w
2021-06-04,high_volatility,up,up,1,24.1087,0.6613,1w
2021-06-15,chop,up,up,1,21.6746,0.6453,1w
2021-06-24,high_volatility,up,up,1,10.0639,0.5907,1w
2021-07-06,high_volatility,up,up,1,17.9449,0.588,1w
2021-07-15,high_volatility,up,up,1,40.7186,0.612,1w
2021-07-26,high_volatility,up,up,1,37.909,0.6733,1w
2021-08-04,crisis,up,up,1,25.9646,0.6307,1w
2021-08-13,crisis,up,up,1,10.6723,0.752,1w
2021-08-24,crisis,up,down,0,-18.5777,0.7747,1w
2021-09-02,crisis,up,down,0,-18.3961,0.7947,1w
2021-09-14,crisis,up,down,0,-20.7101,0.8227,1w
2021-09-23,crisis,up,up,1,11.6123,0.6693,1w
2021-10-04,high_volatility,up,up,1,7.6683,0.6227,1w
2021-10-13,chop,up,up,1,37.1979,0.6133,1w
2021-10-22,chop,up,up,1,26.1639,0.632,1w
2021-11-02,chop,up,up,1,33.2183,0.5853,1w
2021-11-11,crisis,up,up,1,5.7945,0.5827,1w
2021-11-22,high_volatility,neutral,up,0,3.2957,0.544,1w
2021-12-02,high_volatility,up,down,0,-11.1681,0.588,1w
2021-12-13,high_volatility,up,down,0,-2.4701,0.5653,1w
2021-12-22,high_volatility,up,up,1,11.8242,0.708,1w
2022-01-03,high_volatility,up,up,1,25.5689,0.6347,1w
2022-01-12,high_volatility,up,up,1,11.7406,0.724,1w
2022-01-24,high_volatility,up,up,1,16.1714,0.7253,1w
2022-02-02,crisis,up,up,1,16.6955,0.7133,1w
2022-02-11,crisis,up,up,1,10.0103,0.6267,1w
2022-02-23,crisis,up,down,0,-4.9612,0.676,1w
2022-03-04,high_volatility,up,down,0,-3.6677,0.6333,1w
2022-03-15,crisis,up,down,0,-12.9698,0.6107,1w
2022-03-24,high_volatility,up,up,1,9.5426,0.6173,1w
2022-04-04,high_volatility,up,up,1,1.1997,0.7253,1w
2022-04-13,chop,neutral,up,0,7.6393,0.5413,1w
2022-04-25,crisis,up,down,0,-10.8122,0.616,1w
2022-05-04,crisis,neutral,up,0,0.9997,0.516,1w
2022-05-13,high_volatility,neutral,up,0,9.2172,0.5467,1w
2022-05-24,chop,down,up,0,12.1407,0.3893,1w
2022-06-03,chop,down,up,0,2.8589,0.4093,1w
2022-06-14,chop,neutral,up,0,18.0814,0.544,1w
2022-06-24,chop,neutral,up,0,12.0588,0.5213,1w
2022-07-06,trending_bull,up,down,0,-1.5698,0.584,1w
2022-07-15,trending_bull,up,down,0,-34.4332,0.736,1w
2022-07-26,trending_bull,up,down,0,-30.3508,0.6173,1w
2022-08-04,high_volatility,up,down,0,-6.437,0.5587,1w
2022-08-15,high_volatility,down,down,1,-6.8085,0.3187,1w
2022-08-24,trending_bear,down,down,1,-14.4617,0.3547,1w
2022-09-02,trending_bear,down,down,1,-19.1876,0.296,1w
2022-09-14,trending_bear,down,down,1,-28.1995,0.2387,1w
2022-09-23,trending_bear,down,down,1,-24.0022,0.1733,1w
2022-10-04,trending_bear,down,down,1,-22.4334,0.168,1w
2022-10-13,trending_bear,down,up,0,36.1251,0.0707,1w
2022-10-24,trending_bear,down,up,0,72.9804,0.076,1w
2022-11-02,trending_bear,down,up,0,75.2933,0.1227,1w
2022-11-11,crisis,down,up,0,18.0219,0.4493,1w
2022-11-22,trending_bull,neutral,up,0,11.7287,0.524,1w
2022-12-02,trending_bull,neutral,up,0,2.5403,0.5453,1w
2022-12-13,trending_bull,up,neutral,0,0.3671,0.5893,1w
2022-12-22,trending_bull,up,up,1,6.0602,0.6347,1w
2023-01-04,trending_bull,up,up,1,17.1471,0.656,1w
2023-01-13,trending_bull,up,up,1,13.6918,0.7413,1w
2023-01-25,trending_bull,up,down,0,-10.0752,0.7933,1w
2023-02-03,trending_bull,up,down,0,-3.0688,0.7787,1w
2023-02-14,trending_bull,up,down,0,-15.1129,0.784,1w
