date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,chop,down,down,1,-4.2646,0.3187,1w
2021-01-13,chop,down,up,0,12.8823,0.3853,1w
2021-01-25,trending_bear,down,up,0,15.8087,0.2373,1w
2021-02-03,trending_bear,down,up,0,13.0863,0.3787,1w
2021-02-12,crisis,neutral,neutral,0,-0.3294,0.544,1w
2021-02-24,trending_bull,up,up,1,2.7915,0.58,1w
2021-03-05,high_volatility,up,up,1,6.1105,0.6173,1w
2021-03-16,chop,up,up,1,4.0862,0.5747,1w
2021-03-25,chop,neutral,up,0,2.3391,0.5147,1w
2021-04-06,chop,up,down,0,-4.7817,0.64,1w
2021-04-15,chop,up,down,0,-8.0237,0.7107,1w
2021-04-26,chop,up,up,1,0.8385,0.7347,1w
2021-05-05,crisis,up,up,1,2.5912,0.656,1w
2021-05-14,crisis,neutral,down,0,-1.3536,0.4587,1w
2021-05-25,high_volatility,up,up,1,5.2004,0.5693,1w
2021-06-04,chop,up,up,1,0.6954,0.6067,1w
2021-06-15,chop,down,up,0,8.6149,0.444,1w
2021-06-24,high_volatility,up,down,0,-1.8383,0.58,1w
2021-07-06,high_volatility,neutral,up,0,4.8905,0.5173,1w
2021-07-15,chop,neutral,up,0,6.6172,0.4707,1w
2021-07-26,chop,neutral,up,0,7.4304,0.528,1w
2021-08-04,chop,up,neutral,0,0.0904,0.5907,1w
2021-08-13,chop,up,down,0,-6.1013,0.7213,1w
2021-08-24,chop,up,down,0,-7.0736,0.6587,1w
2021-09-02,chop,up,down,0,-2.1693,0.5587,1w
2021-09-14,chop,up,down,0,-6.3341,0.6333,1w
2021-09-23,chop,down,up,0,3.121,0.424,1w
2021-10-04,trending_bear,neutral,up,0,6.8332,0.488,1w
2021-10-13,chop,down,up,0,13.0523,0.4013,1w
2021-10-22,chop,neutral,up,0,7.5797,0.4947,1w
2021-11-02,chop,up,up,1,1.1932,0.56,1w
2021-11-11,chop,neutral,down,0,-2.5925,0.5027,1w
2021-11-22,chop,neutral,down,0,-6.6821,0.5133,1w
2021-12-02,chop,up,down,0,-8.7724,0.58,1w
2021-12-13,chop,neutral,up,0,6.6368,0.4653,1w
2021-12-22,chop,up,up,1,4.5008,0.584,1w
2022-01-03,trending_bear,down,up,0,4.9943,0.4067,1w
2022-01-12,chop,up,down,0,-2.0711,0.6773,1w
2022-01-24,chop,neutral,down,0,-2.2557,0.5467,1w
2022-02-02,chop,down,down,1,-1.0125,0.4013,1w
2022-02-11,chop,neutral,down,0,-2.0815,0.4587,1w
2022-02-23,chop,down,down,1,-1.2949,0.3507,1w
2022-03-04,chop,down,up,0,2.4078,0.3173,1w
2022-03-15,chop,neutral,up,0,5.7098,0.5173,1w
2022-03-24,chop,neutral,up,0,2.8492,0.5013,1w
2022-04-04,chop,up,down,0,-5.2709,0.5587,1w
2022-04-13,chop,down,down,1,-3.9006,0.4453,1w
2022-04-25,chop,down,down,1,-5.584,0.4453,1w
2022-05-04,chop,down,down,1,-7.8991,0.3787,1w
2022-05-13,chop,down,down,1,-10.8907,0.396,1w
2022-05-24,chop,down,down,1,-0.6703,0.3747,1w
2022-06-03,trending_bear,down,up,0,8.262,0.2973,1w
2022-06-14,trending_bear,down,up,0,3.947,0.2693,1w
2022-06-24,trending_bear,down,up,0,3.6131,0.3427,1w
2022-07-06,chop,down,down,1,-3.1445,0.332,1w
2022-07-15,chop,down,neutral,0,0.0939,0.296,1w
2022-07-26,chop,down,down,1,-4.6897,0.3693,1w
2022-08-04,chop,down,neutral,0,0.1757,0.3307,1w
2022-08-15,chop,down,up,0,3.5226,0.3813,1w
2022-08-24,chop,down,up,0,4.9944,0.412,1w
2022-09-02,chop,up,up,1,2.93,0.6107,1w
2022-09-14,chop,up,neutral,0,-0.1832,0.6573,1w
2022-09-23,chop,neutral,neutral,0,0.4343,0.5253,1w
2022-10-04,chop,down,up,0,6.5997,0.4213,1w
2022-10-13,chop,neutral,up,0,2.7716,0.508,1w
2022-10-24,chop,neutral,up,0,5.6174,0.4693,1w
2022-11-02,chop,up,up,1,4.0525,0.6227,1w
2022-11-11,chop,up,up,1,9.0038,0.6107,1w
2022-11-22,trending_bull,up,up,1,4.9737,0.7347,1w
2022-12-02,trending_bull,up,up,1,5.3896,0.7933,1w
2022-12-13,trending_bull,up,up,1,3.9587,0.7773,1w
2022-12-22,trending_bull,up,up,1,3.6536,0.752,1w
2023-01-04,trending_bull,up,down,0,-0.8325,0.9107,1w
2023-01-13,trending_bull,up,down,0,-1.735,0.848,1w
2023-01-25,trending_bull,up,up,1,1.0792,0.924,1w
2023-02-03,trending_bull,up,up,1,4.4019,0.8347,1w
2023-02-14,trending_bull,up,up,1,0.5475,0.824,1w
2023-02-24,chop,up,down,0,-1.7484,0.8093,1w
2023-03-07,chop,up,down,0,-1.9952,0.7693,1w
2023-03-16,chop,up,down,0,-0.8439,0.5827,1w
2023-03-27,chop,up,up,1,1.2592,0.5693,1w
2023-04-05,chop,down,up,0,0.9136,0.372,1w
2023-04-17,chop,down,up,0,1.6178,0.2973,1w
2023-04-26,chop,neutral,up,0,1.2442,0.492,1w
2023-05-05,chop,neutral,up,0,11.5723,0.4707,1w
2023-05-16,chop,neutral,up,0,7.9978,0.4667,1w
2023-05-25,chop,neutral,up,0,5.782,0.4707,1w
2023-06-06,trending_bull,up,neutral,0,-0.3337,0.768,1w
2023-06-15,high_volatility,up,up,1,3.484,0.736,1w
2023-06-27,crisis,up,down,0,-1.0653,0.7267,1w
2023-07-07,trending_bull,up,up,1,6.0374,0.7693,1w
2023-07-18,trending_bull,up,up,1,6.7694,0.8427,1w
2023-07-27,high_volatility,up,up,1,13.3205,0.6573,1w
2023-08-07,crisis,up,up,1,3.7949,0.8053,1w
2023-08-16,high_volatility,up,up,1,5.0676,0.8427,1w
2023-08-25,trending_bull,up,neutral,0,-0.0281,0.848,1w
2023-09-06,trending_bull,up,up,1,7.9171,0.6987,1w
2023-09-15,trending_bull,up,up,1,7.0696,0.7947,1w
2023-09-26,high_volatility,up,up,1,14.9127,0.7573,1w
2023-10-05,chop,up,up,1,7.6417,0.784,1w
2023-10-16,trending_bull,up,up,1,9.6105,0.8267,1w
2023-10-25,crisis,up,up,1,5.266,0.9333,1w
2023-11-03,trending_bull,up,up,1,7.4178,0.7827,1w
2023-11-14,trending_bull,up,down,0,-2.092,0.848,1w
2023-11-24,trending_bull,up,down,0,-6.7208,0.7653,1w
2023-12-05,trending_bull,up,down,0,-12.9376,0.8947,1w
2023-12-14,crisis,up,down,0,-5.979,0.7147,1w
