date,regime,predicted_direction,actual_direction,correct,actual_return_pct,sim_win_rate,horizon_type
2021-01-04,high_volatility,up,down,0,-4.197,0.728,1w
2021-01-13,high_volatility,up,down,0,-3.6,0.6093,1w
2021-01-25,crisis,down,up,0,3.7975,0.376,1w
2021-02-03,crisis,neutral,down,0,-1.6204,0.4653,1w
2021-02-12,chop,down,up,0,1.5765,0.2947,1w
2021-02-24,high_volatility,down,up,0,8.726,0.2413,1w
2021-03-05,crisis,down,up,0,6.7872,0.4093,1w
2021-03-16,high_volatility,down,neutral,0,-0.3531,0.4453,1w
2021-03-25,chop,neutral,down,0,-2.2029,0.5053,1w
2021-04-06,chop,neutral,down,0,-11.1048,0.5013,1w
2021-04-15,chop,down,down,1,-17.9814,0.44,1w
2021-04-26,chop,up,down,0,-14.8438,0.616,1w
2021-05-05,high_volatility,down,down,1,-4.0051,0.304,1w
2021-05-14,crisis,down,down,1,-8.0272,0.26,1w
2021-05-25,high_volatility,down,down,1,-7.2179,0.312,1w
2021-06-04,trending_bear,down,down,1,-9.9504,0.3147,1w
2021-06-15,trending_bear,down,down,1,-1.6897,0.1907,1w
2021-06-24,trending_bear,down,up,0,2.392,0.156,1w
2021-07-06,trending_bear,down,up,0,9.3823,0.168,1w
2021-07-15,trending_bear,down,up,0,8.0975,0.1693,1w
2021-07-26,chop,down,up,0,0.5208,0.2293,1w
2021-08-04,chop,down,down,1,-10.159,0.3507,1w
2021-08-13,chop,down,down,1,-4.3003,0.4093,1w
2021-08-24,chop,neutral,down,0,-12.8819,0.456,1w
2021-09-02,chop,down,down,1,-11.8806,0.3267,1w
2021-09-14,chop,neutral,down,0,-10.1896,0.476,1w
2021-09-23,chop,down,up,0,7.8539,0.3067,1w
2021-10-04,trending_bear,down,up,0,5.8236,0.3213,1w
2021-10-13,trending_bear,down,up,0,10.3896,0.3733,1w
2021-10-22,chop,down,up,0,7.9801,0.3507,1w
2021-11-02,chop,down,up,0,3.4594,0.3507,1w
2021-11-11,chop,down,down,1,-4.0,0.4093,1w
2021-11-22,chop,neutral,down,0,-14.2728,0.456,1w
2021-12-02,chop,neutral,down,0,-12.97,0.4907,1w
2021-12-13,chop,neutral,up,0,3.3272,0.4707,1w
2021-12-22,trending_bear,neutral,up,0,6.9683,0.4987,1w
2022-01-03,trending_bear,down,up,0,7.0725,0.3787,1w
2022-01-12,trending_bear,neutral,neutral,0,-0.2575,0.5453,1w
2022-01-24,chop,neutral,up,0,1.0152,0.5013,1w
2022-02-02,chop,neutral,up,0,7.1609,0.468,1w
2022-02-11,chop,down,down,1,-4.4897,0.3213,1w
2022-02-23,chop,down,down,1,-0.6558,0.3867,1w
2022-03-04,chop,neutral,down,0,-2.6295,0.496,1w
2022-03-15,high_volatility,neutral,up,0,6.0018,0.4707,1w
2022-03-24,high_volatility,neutral,up,0,4.0552,0.5467,1w
2022-04-04,chop,up,down,0,-14.6214,0.584,1w
2022-04-13,chop,up,down,0,-13.4378,0.5547,1w
2022-04-25,chop,neutral,down,0,-9.0831,0.544,1w
2022-05-04,high_volatility,down,up,0,10.061,0.3147,1w
2022-05-13,trending_bear,down,up,0,14.0109,0.3813,1w
2022-05-24,trending_bear,down,up,0,10.507,0.3867,1w
2022-06-03,chop,down,up,0,10.3226,0.3573,1w
2022-06-14,trending_bull,neutral,up,0,3.7131,0.54,1w
2022-06-24,chop,neutral,up,0,11.7229,0.484,1w
2022-07-06,trending_bull,up,down,0,-5.6931,0.5573,1w
2022-07-15,trending_bull,neutral,down,0,-10.5434,0.5253,1w
2022-07-26,trending_bull,up,down,0,-12.8928,0.6107,1w
2022-08-04,trending_bear,up,down,0,-1.5901,0.6987,1w
2022-08-15,trending_bear,up,up,1,3.2646,0.58,1w
2022-08-24,trending_bear,neutral,down,0,-2.2664,0.54,1w
2022-09-02,trending_bear,neutral,down,0,-7.1451,0.5053,1w
2022-09-14,chop,down,down,1,-7.1429,0.4067,1w
2022-09-23,chop,down,down,1,-7.2134,0.3787,1w
2022-10-04,chop,down,neutral,0,-0.4036,0.2347,1w
2022-10-13,chop,down,up,0,1.282,0.2267,1w
2022-10-24,trending_bear,down,up,0,13.5722,0.1653,1w
2022-11-02,trending_bear,down,up,0,1.6473,0.2733,1w
2022-11-11,trending_bull,down,up,0,2.4691,0.3947,1w
2022-11-22,trending_bull,down,up,0,4.8398,0.448,1w
2022-12-02,trending_bull,down,up,0,10.7798,0.4213,1w
2022-12-13,trending_bull,neutral,up,0,5.933,0.4587,1w
2022-12-22,trending_bull,up,up,1,4.5161,0.6187,1w
2023-01-04,trending_bull,up,down,0,-2.039,0.7667,1w
2023-01-13,trending_bull,up,down,0,-3.0109,0.724,1w
2023-01-25,trending_bull,up,down,0,-4.878,0.9107,1w
2023-02-03,trending_bull,up,down,0,-1.8067,0.708,1w
2023-02-14,chop,up,down,0,-13.4045,0.58,1w
2023-02-24,chop,up,down,0,-13.9221,0.6467,1w
2023-03-07,chop,up,up,1,1.1574,0.6267,1w
2023-03-16,trending_bear,down,neutral,0,-0.111,0.3333,1w
2023-03-27,trending_bear,down,up,0,0.8584,0.2853,1w
2023-04-05,trending_bear,down,neutral,0,0.431,0.26,1w
2023-04-17,trending_bear,down,up,0,1.2168,0.26,1w
2023-04-26,trending_bear,down,down,1,-0.8377,0.256,1w
2023-05-05,chop,down,up,0,0.9825,0.2933,1w
2023-05-16,chop,down,up,0,2.8288,0.28,1w
2023-05-25,chop,down,down,1,-11.3668,0.3147,1w
2023-06-06,chop,neutral,down,0,-9.5436,0.48,1w
2023-06-15,chop,up,up,1,0.5714,0.56,1w
2023-06-27,trending_bear,down,up,0,10.0367,0.248,1w
2023-07-07,trending_bear,down,up,0,1.1166,0.272,1w
2023-07-18,trending_bull,neutral,down,0,-15.6393,0.4907,1w
2023-07-27,trending_bull,down,down,1,-15.4279,0.424,1w
2023-08-07,trending_bear,down,down,1,-6.9565,0.3453,1w
2023-08-16,high_volatility,down,down,1,-2.0743,0.236,1w
2023-08-25,trending_bear,down,down,1,-4.499,0.2267,1w
2023-09-06,trending_bear,down,down,1,-5.0436,0.236,1w
2023-09-15,trending_bear,down,down,1,-4.4755,0.236,1w
2023-09-26,trending_bear,down,down,1,-2.3188,0.2693,1w
2023-10-05,chop,down,down,1,-3.5608,0.2853,1w
2023-10-16,chop,down,up,0,15.8892,0.1733,1w
2023-10-25,chop,down,up,0,22.3388,0.1507,1w
2023-11-03,chop,down,up,0,28.2209,0.1973,1w
2023-11-14,trending_bull,up,up,1,3.3444,0.596,1w
2023-11-24,trending_bull,up,down,0,-7.5863,0.656,1w
2023-12-05,trending_bull,up,down,0,-3.7201,0.676,1w
2023-12-14,trending_bull,up,up,1,8.1119,0.656,1w
2023-12-26,trending_bull,up,up,1,7.3431,0.588,1w
2024-01-05,trending_bull,up,up,1,3.8513,0.6573,1w
2024-01-17,chop,up,up,1,6.7017,0.656,1w
2024-01-26,chop,up,up,1,1.0139,0.7253,1w
2024-02-06,chop,up,down,0,-4.3871,0.724,1w
2024-02-15,chop,up,down,0,-8.3122,0.5693,1w
2024-02-27,chop,neutral,down,0,-8.6474,0.4693,1w
2024-03-07,chop,down,down,1,-17.4131,0.3787,1w
2024-03-18,chop,neutral,down,0,-16.129,0.536,1w
2024-03-27,chop,down,down,1,-11.0315,0.4253,1w
2024-04-08,crisis,down,up,0,1.6103,0.184,1w
2024-04-17,crisis,down,up,0,19.3162,0.236,1w
2024-04-26,trending_bear,down,up,0,14.0033,0.2413,1w
2024-05-07,trending_bear,down,up,0,17.0144,0.2947,1w
2024-05-16,high_volatility,down,up,0,2.0666,0.3547,1w
2024-05-28,chop,down,up,0,5.0911,0.3507,1w
2024-06-06,trending_bull,neutral,up,0,3.6278,0.52,1w
2024-06-17,trending_bull,neutral,up,0,6.8657,0.4547,1w
2024-06-27,chop,neutral,down,0,-0.7205,0.52,1w
2024-07-09,trending_bull,up,down,0,-12.5176,0.728,1w
2024-07-18,trending_bull,up,down,0,-14.1079,0.78,1w
2024-07-29,trending_bear,up,down,0,-3.0523,0.704,1w
2024-08-07,chop,neutral,up,0,7.6433,0.524,1w
2024-08-16,trending_bear,down,up,0,4.2252,0.3733,1w
2024-08-27,chop,neutral,down,0,-11.8825,0.4653,1w
2024-09-06,chop,down,down,1,-13.3838,0.4067,1w
2024-09-17,chop,down,down,1,-10.72,0.3973,1w
2024-09-26,trending_bear,down,down,1,-1.5598,0.2347,1w
2024-10-07,trending_bear,down,up,0,6.308,0.172,1w
2024-10-16,trending_bear,down,up,0,6.7616,0.168,1w
2024-10-25,trending_bear,down,up,0,14.7748,0.2293,1w
2024-11-05,trending_bear,down,up,0,18.0212,0.3653,1w
2024-11-14,chop,neutral,up,0,6.1959,0.4707,1w
2024-11-25,trending_bull,down,up,0,1.8827,0.412,1w
